F2 L' R B' U F'
F2 L' B' R U F'
F2 R L' B' U F'
R U2 F2 U F R
F2 D2 L' B' U F
F2 D L' B R' B2 U
F2 D L' B' U2 L U'
R F U2 F U F R
F2 D B L' R' B' U
F2 D B R' L' B' U
F2 D B2 L' B' R' U
U' F2 L' R U F' R
U' F2 L' U R F' R
U' F2 L' U F' R F'
U2 F2 L' R B U F'
U2 F2 L' U F R F'
U' F2 R L' U F' R
F' D' F' L' R B' U
F' D' F' L' B' R U
F' D' F' R L' B' U
U2 F2 R L' B U F'
L' F2 R B' L' U F'
U2 F2 R B L' U F'
F2 D2 L' R B' U F
F2 D2 L' R' B' U F
F2 D2 L' R2 B' U F
F2 D2 L' D B' U F
F2 D2 L' D' B' U F
F2 D2 L' D2 B' U F
F2 D2 L' B' R U F
F2 D2 L' B' R' U F
F2 D2 L' B' R2 U F
F2 D2 L' B' U D F
F2 D2 L' B' U D' F
F2 D2 L' B' U D2 F
F2 D2 L' B' U F D
F2 D2 L' B' U F D'
F2 D2 L' B' U F D2
F2 D2 L' B' D U F
F2 D2 L' B' D' U F
F2 D2 L' B' D2 U F
F2 D2 R L' B' U F
U2 F2 D2 L' U F R
L' F2 D2 B' L' U F
F2 D2 R' L' B' U F
L' F2 B' L' R U F'
F2 D2 R2 L' B' U F
L' F2 B' R L' U F'
L' F2 B' D2 L' U F
F' D2 F' L' B' U F
F2 D2 B L' B' U F
F2 D2 B' L' B' U F
F2 D2 B2 L' B' U F
F2 B L' R B' U F'
F2 B L' B' R U F'
F2 B R L' B' U F'
R B U2 F2 U F R
F2 B D2 L' B' U F
F2 B' L' R B' U F'
F2 B' L' B' R U F'
F2 B' R L' B' U F'
R B' U2 F2 U F R
L' B' F2 L' R U F'
L' B' F2 R L' U F'
L' B' F2 D2 L' U F
F2 B' D2 L' B' U F
B' F2 L' R B' U F'
B2 F2 L' R B' U F'
B' F2 L' B' R U F'
F2 B2 L' R B' U F'
B2 F2 L' B' R U F'
F2 B2 L' B' R U F'
B F2 L' R B' U F'
B' F2 R L' B' U F'
B F2 L' B' R U F'
B2 F2 R L' B' U F'
F2 B2 R L' B' U F'
B F2 R L' B' U F'
R B2 U2 F2 U F R
B' F2 D2 L' B' U F
B2 F2 D2 L' B' U F
F2 B2 D2 L' B' U F
B F2 D2 L' B' U F
