U L' D R2 F B'
U L' D R2 B' F
U L' D F R2 B'
U L' D F B' R2
U L' D B' R2 F
U L' D B' F R2
U L' B' D R2 F
U L' B' D F R2
L' F U R F U'
U L' B2 D B R2 F
U L' B2 D B F R2
L' R2 F U R F U'
R' U L' D R2 F B'
R' U L' D R2 B' F
R' U L' D F R2 B'
R' U L' D F B' R2
R' U L' D B' R2 F
R' U L' D B' F R2
R' U L' B' D R2 F
R' U L' B' D F R2
R2 U L' D R2 F B'
R2 U L' D R2 B' F
R2 U L' D F R2 B'
R2 U L' D F B' R2
R2 U L' D B' R2 F
R2 U L' D B' F R2
R U L' D R2 F B'
R U L' D R2 B' F
R U L' D F R2 B'
R U L' D F B' R2
R U L' D B' R2 F
R U L' D B' F R2
R2 U L' B' D R2 F
R2 U L' B' D F R2
R U L' B' D R2 F
R U L' B' D F R2
F' R L' U F L' R
F' R L' U F R L'
U' R L' D F B R2
U' R L' D B R2 F
U' R L' D B F R2
U' R L' B D R2 F
U' R L' B D F R2
U R L' D R2 F B'
U R L' D R2 B' F
U R L' D F R2 B'
U R L' D F B' R2
U R L' D B' R2 F
U R L' D B' F R2
U R L' B' D R2 F
U R L' B' D F R2
L' U F2 L' U' F' B'
L' U F2 L' U' B' F'
F R F U' F2 L' F
U' R B L' D R2 F
U' R B L' D F R2
D2 R B2 U L' F' B'
D2 R B2 U L' B' F'
U' R' L' D R2 F B
U' R' L' D R2 B F
U R' L' D R2 F B'
U R' L' D R2 B' F
U R' L' D F R2 B'
U R' L' D F B' R2
U R' L' D B' R2 F
U R' L' D B' F R2
U R' L' B' D R2 F
U R' L' B' D F R2
F' R2 L' B U F L'
U R2 L' D R2 F B'
U R2 L' D R2 B' F
U R2 L' D F R2 B'
U R2 L' D F B' R2
U R2 L' D B' R2 F
U R2 L' D B' F R2
U R2 L' B' D R2 F
U R2 L' B' D F R2
F' R2 B L' U F L'
L' D R' F R' D B2
L' D R2 F U R U'
L' D F R' D R' B2
B' U L' D R2 F B'
B' U L' D R2 B' F
L' D F R2 U R' U'
B' U L' D F R2 B'
B' U L' D F B' R2
B' U L' D B' R2 F
B' U L' D B' F R2
L' D F U R U' R
B2 U L' D R2 F B'
B2 U L' D R2 B' F
B2 U L' D F R2 B'
B2 U L' D F B' R2
B2 U L' D B' R2 F
B2 U L' D B' F R2
B' U L' B' D R2 F
B' U L' B' D F R2
B2 U L' B' D R2 F
B2 U L' B' D F R2
B U L' D R2 F B'
B U L' D R2 B' F
B U L' D F R2 B'
B U L' D F B' R2
B U L' D B' R2 F
B U L' D B' F R2
B U L' B' D R2 F
B U L' B' D F R2
D U R2 D' L' F B'
D U R2 D' L' B' F
U D R2 D' L' F B'
U D R2 D' L' B' F
F2 U2 F L' U F L'
L' F R' U R2 F U'
L' F R' U F R2 U'
F2 U2 F2 U L' F B'
F2 U2 F2 U L' B' F
L' F R2 U R' F U'
L' F R2 U F R' U'
L F R F U' L2 F
L' F U R D F U'
L' F U R D' F U'
L' F U R D2 F U'
L' F U R F U' D
L' F U R F U' D'
L' F U R F U' D2
L' F U R F D U'
L' F U R F D' U'
L' F U R F D2 U'
L' F U R' F R2 U'
L' F U R2 F R' U'
L' F U D R F U'
L' F U D' R F U'
L' F U D2 R F U'
L' F D U R F U'
L' F D' U R F U'
L' F D2 U R F U'
L' F B U R F U'
L' F B' U R F U'
L' F B2 U R F U'
U2 F2 U' F2 L' F B'
U2 F2 U' F2 L' B' F
F D2 R F U' F2 L'
U B L' D R2 F B'
U B L' D R2 B' F
U B L' D F R2 B'
U B L' D F B' R2
U B L' D B' R2 F
U B L' D B' F R2
U B L' B' D R2 F
U B L' B' D F R2
L' B F U R F U'
U B' L' D R2 F B'
U B' L' D R2 B' F
U B' L' D F R2 B'
U B' L' D F B' R2
U B' L' D B' R2 F
U B' L' D B' F R2
U B' L' B' D R2 F
U B' L' B' D F R2
L' B' F U R F U'
D2 B2 R U L' F' B'
D2 B2 R U L' B' F'
U B2 L' D R2 F B'
U B2 L' D R2 B' F
U B2 L' D F R2 B'
U B2 L' D F B' R2
U B2 L' D B' R2 F
U B2 L' D B' F R2
U B2 L' B' D R2 F
U B2 L' B' D F R2
D2 B2 U D2 L' F B'
D2 B2 U D2 L' B' F
D2 B2 D2 U L' F B'
D2 B2 D2 U L' B' F
L' B2 F U R F U'
