F' R F2 D B' L
B U' F' R F2 B2
B U' F' R B2 F2
B U' F' B2 R F2
B U' B2 F' R F2
B U' B2 F' R F2
R2 F' U R F2 B'
R2 F' U R B' F2
R2 F' U B' R F2
D2 B U' R' F B2
D2 B U' R' B2 F
D2 B U' F R' B2
F' B U' R F2 B2
F' B U' R B2 F2
F' B U' B2 R F2
F' B' R F2 D L2
B' F' R F2 D L2
B F' U' R F2 B2
B F' U' R B2 F2
B F' U' B2 R F2
B F' R2 U' F2 R' B2
B' F' U B2 U' R F2
D B' D' F' R F2 L'
F' B' U B2 U' R F2
D2 B' F U B2 U' R'
U' B' F' R F2 D L2
B F' U R F2 B2 L
B F' U R B2 L F2
B F' U R B2 F2 L
L2 B' F L' U' B2 U'
L2 B' F L' U2 D L2
L2 B' F L' D U2 L2
L2 B' F L' D' R2 U2
L2 B' F D L' U2 L'
L2 B' F D' L' R2 U2
L2 B' F D' R2 L' U2
B F' U' R F2 B2 D
B F' U' R F2 B2 D'
B F' U' R F2 B2 D2
B F' U' R B2 F2 D
B F' U' R B2 F2 D'
B F' U' R B2 F2 D2
B F' U' R' F2 R2 B2
B F' U' R' F2 B2 R2
B F' U' R' B2 R2 F2
B F' U' R' B2 F2 R2
F B' U F2 B2 U' R
B F' U' R2 F2 R' B2
R2 B' F U' F2 U R
U2 B' F' R F2 D L2
B' F' D L2 D' R F2
F B' U B2 U L' U2
F B' U B2 F2 U' R
B F' U' B' R F2 B'
B F' U' B' R B' F2
D' B' F2 D L2 F' R
D' B' F2 D F' L2 R
D' B' F2 D F' R L2
B F' U' B2 R F2 D
B F' U' B2 R F2 D'
B F' U' B2 R F2 D2
B F' U' B2 R' F2 R2
B F' U' B2 R2 F2 R'
F' B' D L2 D' R F2
R2 B' F' R F2 D' L2
F B' U' D2 F2 U R
F2 B' D L2 F R F2
B' F' D' R D F2 L'
F B' U2 L' U' B2 U'
F B' U2 L' U2 D L2
F B' U2 L' D U2 L2
F B' U2 L' D' R2 U2
F2 B' D F L2 R F2
F2 B' D F R L2 F2
F2 B' D F R F2 L2
U B' F' R F2 D L2
F B' U2 D L' U2 L'
F' B' D' R D F2 L'
F B' U2 D' L' R2 U2
F B' U2 D' R2 L' U2
F B' D L D2 L R2
F B' D L D2 R2 L
F B' D L2 U2 L U2
F2 B' D' F R F2 L'
F B' D L2 B2 R' B2
F B' D U2 L' U2 L'
B F' D' L2 R2 U' R'
F B' D F2 L2 R F2
F B' D F2 R L2 F2
F B' D F2 R F2 L2
B F' D' R2 L2 U' R'
F B' D B2 L2 B2 R'
F B' D' L D2 L2 R2
F B' D' L D2 R2 L2
F B' D' U2 L' R2 U2
F B' D' U2 R2 L' U2
F B' D' F2 R F2 L'
F B' D2 U' F2 U R
B' F2 D L2 F R F2
B' F2 D F L2 R F2
B' F2 D F R L2 F2
B' F2 D F R F2 L2
B' F2 D' F R F2 L'
R2 B2 F' U B R F2
