R U R2 U B
R D F' B2 U2
R D B2 F' U2
R D' F' U2 F'
R F' U R2 U
R F' U2 D' F2
R F' D B2 U2
R F' D' U2 F2
R U L' R2 U D B
R U L' R2 U D' B
R U L' R2 U D2 B
R U L' R2 U B D
R U L' R2 U B D'
R U L' R2 U B D2
R U L' R2 D U B
R U L' R2 D' U B
R U L' R2 D2 U B
R U L2 R2 U D B
R U L2 R2 U D' B
R U L2 R2 U D2 B
R U L2 R2 U B D
R U L2 R2 U B D'
R U L2 R2 U B D2
R U L2 R2 D U B
R U L2 R2 D' U B
R U L2 R2 D2 U B
R U R D R U B
R U R D' R U B
R U R D2 R U B
U L2 F2 R' U L' B
U L2 F2 R' U B L'
R U R2 L U D B
R U R2 L U D' B
R U R2 L U D2 B
R U R2 L U B D
R U R2 L U B D'
R U R2 L U B D2
R U R2 L D U B
R U R2 L D' U B
R U R2 L D2 U B
R U R2 L' U D B
R U R2 L' U D' B
R U R2 L' U D2 B
R U R2 L' U B D
R U R2 L' U B D'
R U R2 L' U B D2
R U R2 L' D U B
R U R2 L' D' U B
R U R2 L' D2 U B
R U R2 L2 U D B
R U R2 L2 U D' B
R U R2 L2 U D2 B
R U R2 L2 U B D
R U R2 L2 U B D'
R U R2 L2 U B D2
R U R2 L2 D U B
R U R2 L2 D' U B
R U R2 L2 D2 U B
R U R2 U L B L'
R U R2 U L2 B L2
R U R2 U D B D
R U R2 U D B D'
R U R2 U D B D2
R U R2 U D' B D
R U R2 U D' B D'
R U R2 U D' B D2
R U R2 U D2 B D
R U R2 U D2 B D'
R U R2 U D2 B D2
R U R2 U B2 D B'
R U R2 U B2 D' B'
R U R2 U B2 D2 B'
R U R2 U' F U2 B
R U R2 U' F' U2 B
R U R2 U' F2 U2 B
R U R2 D L U B
R U R2 D L' U B
R U R2 D L2 U B
R U R2 D U B D
R U R2 D U B D'
R U R2 D U B D2
R U R2 D' L U B
R U R2 D' L' U B
R U R2 D' L2 U B
R U R2 D' U B D
R U R2 D' U B D'
R U R2 D' U B D2
R U R2 D2 L U B
R U R2 D2 L' U B
R U R2 D2 L2 U B
R U R2 D2 U B D
R U R2 D2 U B D'
R U R2 D2 U B D2
R' U D' F2 U F2 B
R' U D' F2 U B F2
R U D' R2 U F2 B
R U D' R2 U B F2
D2 R U L R2 U B'
D2 R U R2 L U B'
F' R U R2 U B L
F2 R U R2 U L' B
F2 R U R2 U B L'
U2 R U R2 U B R
U R U R2 U B R2
B2 R U' L R2 U' B
B2 R U' L U F' U2
B2 R U' R2 L U' B
R U B R2 B' U B2
F' R D F' B2 U2 L'
B2 R D F' U' L U'
U2 R D F' B2 L U2
F' R D B2 F' U2 L'
U2 R D B2 L F' U2
U2 R D B2 F' L U2
R U B2 R2 B2 U B'
F' R D' F' U2 L' F'
B2 R D' F' U' L U'
U2 R D' F' U2 F' R'
R U' L U2 R2 U B
B' R D2 F' U R U
B2 R D2 F' U' L U'
D' R F U L' R2 U
D' R F U R2 L' U
R U' L' U2 R2 U B
F' R F' U R2 U L'
F' R F' U2 L' D' F2
F' R F' U2 D' L' F2
R U' L2 U2 R2 U B
B2 R F' U' L U' D
B2 R F' U' L U' D'
B2 R F' U' L U' D2
B2 R F' U' L D U'
B2 R F' U' L D' U'
B2 R F' U' L D2 U'
B2 R F' U' D L U'
B2 R F' U' D' L U'
B2 R F' U' D2 L U'
F' R F' D B2 U2 L'
U2 R F' U R2 U R
F' R F' D' U2 L' F2
B' R F' B U R' U
B2 R F' D U' L U'
U2 R F' U2 D' R' F2
U2 R F' U2 D' F2 R'
B' R F' B' U' L U'
B2 R F' D' U' L U'
F R F' R U R U
B R F' U R' U F'
B R F' U' L U' F
B2 R F' D2 U' L U'
U2 R F' D B2 L U2
U2 R F' D' U2 R' F2
U2 R F' D' U2 F2 R'
B2 R F' B2 U R' U
U R F' U R2 U R2
F R F' U2 D' F2 L'
F R F' D R B2 U2
B R F' B U' L U'
F R F' D B2 R U2
B R F' B' U R' U
F R F' D' R U2 F2
F R F' D' U2 F2 L'
R U' R' U2 R' U B
B' R B F' U R' U
R' U' R2 F' U' F U'
B R B F' U' L U'
D R B' U L R2 U
D R B' U R2 L U
B' R B' F' U' L U'
B R B' F' U R' U
B2 R B2 F' U R' U
R U' D' R2 U' F2 B
R U' D' R2 U' B F2
U R' L U D2 L2 B
U R' L U D2 B L2
U R' L U B D2 L2
U R' L U' R2 F' U2
R U' D2 L2 R2 U' B
R U' D2 L2 U F' U2
U R' L D' F2 U B
U R' L D2 U L2 B
U R' L D2 U B L2
R U' D2 R2 L2 U' B
U R' L' U D2 L2 B
U R' L' U D2 B L2
U R' L' U B D2 L2
U R' L' U' R2 F' U2
U R' L' D' F2 U B
U R' L' D2 U L2 B
U R' L' D2 U B L2
U R' L2 U D2 L2 B
U R' L2 U D2 B L2
U R' L2 U B D2 L2
U R' L2 U' R2 F' U2
U R' L2 D' F2 U B
U' R' U R2 F' U2 F
U R' L2 D2 U L2 B
U R' L2 D2 U B L2
U2 R' U D2 L2 B R
U2 R' U D2 B L2 R
U2 R' U D2 B R L2
U R' U L D2 L2 B
U R' U L D2 B L2
U R' U L B D2 L2
U R' U L' D2 L2 B
U R' U L' D2 B L2
U R' U L' B D2 L2
U R' U L2 D2 L2 B
U R' U L2 D2 B L2
U R' U L2 B D2 L2
U2 R' U B D2 L2 R
U2 R' U B D2 R L2
U' R' U' R2 U2 R2 B
U' R' U' R2 F' U2 R2
U R' U D' B D' L2
U R' U D2 L' B L'
U R' U D2 L2 D B
U R' U D2 L2 D' B
U R' U D2 L2 D2 B
U R' U D2 L2 B D
U R' U D2 L2 B D'
U R' U D2 L2 B D2
U R' U D2 B L2 D
U R' U D2 B L2 D'
U R' U D2 B L2 D2
U R' U D2 B' L2 B2
U' R' U' D2 B L2 F
U R' U B L D2 L2
U R' U B L' D2 L2
U R' U B L2 D2 L2
U2 R' U' R2 F' U2 R'
U R' U B U2 R2 U2
U R' U B D2 L2 D
U R' U B D2 L2 D'
U R' U B D2 L2 D2
U' R' U' B D2 L2 F
U R' U B2 D2 B' L2
U R' U' R2 D F' U2
U R' U' R2 D' F' U2
U R' U' R2 D2 F' U2
U R' U' R2 F' U2 D
U R' U' R2 F' U2 D'
U R' U' R2 F' U2 D2
U R' U' R2 F' D U2
U R' U' R2 F' D' U2
U R' U' R2 F' D2 U2
U R' U' F R2 F' U2
U R' U' F' R2 F' U2
U R' U' F2 R2 F' U2
U R' U2 D B2 U' B'
U R' D U2 B2 U' B'
U R' D' L F2 U B
U R' D' L' F2 U B
U R' D' L2 F2 U B
U R' D' U B D' L2
U' R' D2 U' B L2 F
U R' D' F2 L U B
U R' D' F2 L' U B
U R' D' F2 L2 U B
U R' D' F2 U D B
U R' D' F2 U D' B
U R' D' F2 U D2 B
U R' D' F2 U B D
U R' D' F2 U B D'
U R' D' F2 U B D2
U R' D' F2 D U B
U R' D' F2 D' U B
U R' D' F2 D2 U B
U2 R' D2 U L2 B R
U2 R' D2 U B L2 R
U2 R' D2 U B R L2
U R' D2 L U L B
U R' D2 L' U L' B
U R' D2 L' U B L'
U R' D2 U L' B L'
U R' D2 U L2 D B
U R' D2 U L2 D' B
U R' D2 U L2 D2 B
U R' D2 U L2 B D
U R' D2 U L2 B D'
U R' D2 U L2 B D2
U R' D2 U B L2 D
U R' D2 U B L2 D'
U R' D2 U B L2 D2
U R' D2 U B' L2 B2
U R' D2 F U L2 B
U R' D2 F U B L2
U R' D2 F' U L2 B
U R' D2 F' U B L2
U R' D2 F2 U L2 B
U R' D2 F2 U B L2
U R' F U D2 L2 B
U R' F U D2 B L2
U R' F U B D2 L2
U R' F U' R2 F' U2
U R' F D' F2 U B
U R' F D2 U L2 B
U R' F D2 U B L2
U R' F' U D2 L2 B
U R' F' U D2 B L2
U R' F' U B D2 L2
U R' F' U' R2 F' U2
U R' F' D' F2 U B
U R' F' D2 U L2 B
U R' F' D2 U B L2
U R' F2 U D2 L2 B
U R' F2 U D2 B L2
U R' F2 U B D2 L2
U R' F2 U' R2 F' U2
U R' F2 D' F2 U B
U R' F2 D2 U L2 B
U R' F2 D2 U B L2
R U2 R2 B R2 D' F2
R U2 D R2 B R2 F'
R U2 D F D2 F2 B2
R U2 D F D2 B2 F2
R' U2 D2 L2 D F2 B
R' U2 D2 L2 D B F2
R' U2 D2 L2 B D F2
R' U2 D2 B L2 D F2
R U2 D' L2 F2 L2 B'
R U2 D' R2 F2 B R2
R U2 D' R2 B R2 F2
R U2 D' R2 B F2 R2
R U2 D' F D2 F B2
R U2 D' F D2 B2 F
R U2 D' F2 L2 B' L2
R U2 D' F2 U2 F U2
R U2 F D' F2 D' B2
R U2 F D2 B2 D F2
F2 R2 U R U L' B'
R U2 F' D' F2 D2 B2
R' U2 B D2 L2 D F2
R U2 B U' R2 U B
R U2 B' U' R2 U B
B' R2 D' R' F' B U2
B' R2 D' R' B F' U2
R U2 B2 U' R2 U B
R D L B2 L' F' U2
R D L' F' L B2 U2
R D L' F' B2 U2 R'
R D L' B2 F' U2 R'
R D L2 F' L2 B2 U2
R D L2 F' B2 L2 U2
R D L2 B2 L2 F' U2
R D L2 B2 F' L2 U2
R2 D R' U R2 U B
R2 D R' D F' B2 U2
R2 D R' D B2 F' U2
R2 D R' D' F' U2 F'
R2 D R' F' U R2 U
R2 D R' F' U2 D' F2
R2 D R' F' D B2 U2
R2 D R' F' D' U2 F2
R D R' B2 R F' U2
R D R2 B2 R2 U2 B'
F' U L R' F U B
F2 U L R' U L2 B
F2 U L R' U B L2
F' U L F R' U B
R D U2 R2 B R2 F'
R D U2 F D2 F2 B2
R D U2 F D2 B2 F2
F2 U L2 R' U L B
R D F U2 D2 F2 B2
R D F U2 D2 B2 F2
R D F D2 U2 F2 B2
R D F D2 U2 B2 F2
R D F B2 U2 D2 B2
R D F B2 D2 U2 B2
R D F' L B2 L' U2
R D F' L' B2 U2 R'
R D F' L2 B2 L2 U2
R D F' R B2 U2 L
R D F' R' B2 R U2
R D F' R2 B2 R2 U2
R D F' U D' R2 U
R D F' U' D L2 U'
R D F' U2 D2 F2 D
R D F' U2 D2 F2 D'
R D F' U2 D2 F2 D2
R D F' U2 F D2 F2
R D F' U2 F' D2 F2
R D F' U2 F2 D2 F2
F' U R' L F U B
R D F' D U' L2 U'
R D F' D' U R2 U
F' U R' U L B L
F' U R' U L' B L
F' U R' U L2 B L
R D F' D2 U2 F2 D
R D F' D2 U2 F2 D'
R D F' D2 U2 F2 D2
F' U R' U D B L
F' U R' U D' B L
F' U R' U D2 B L
R D F' D2 B U2 F2
R D F' D2 B' U2 F2
R D F' D2 B2 U2 F2
F' U R' U B L D
F' U R' U B L D'
F' U R' U B L D2
F' U R' U B D L
F' U R' U B D' L
F' U R' U B D2 L
R D F' B D B U2
R D F' B D' B U2
R D F' B D2 B U2
F2 U R' L U L2 B
F2 U R' L U B L2
R D F' B' D B' U2
R D F' B' D' B' U2
R D F' B' D2 B' U2
F' U R' D U B L
F2 U R' L2 U L B
F' U R' D' U B L
F2 U R' U L B L2
F2 U R' U L' D B
F2 U R' U L' D' B
F2 U R' U L' D2 B
F2 U R' U L' B D
F2 U R' U L' B D'
F2 U R' U L' B D2
F2 U R' U D L' B
F2 U R' U D B L'
F2 U R' U D' L' B
F2 U R' U D' B L'
F2 U R' U D2 L' B
F2 U R' U D2 B L'
F2 U R' U B L' D
F2 U R' U B L' D'
F2 U R' U B L' D2
F2 U R' U B D L'
F2 U R' U B D' L'
F2 U R' U B D2 L'
F2 U R' U B' L' B2
F' U R' D2 U B L
F' U R' F U B L
F' U R' F' U B L
F2 U R' D U L' B
F2 U R' D U B L'
F' U R' F2 U B L
F2 U R' D' U L' B
F2 U R' D' U B L'
F2 U R' D2 U L' B
F2 U R' D2 U B L'
R D F2 D2 F U2 F
R D F2 B2 D F U2
R D F2 B2 D' F U2
R D F2 B2 D2 F U2
F U R' F U L' B
F U R' F U B L'
R D B D F' B U2
R D B D B F' U2
R D B D' F' B U2
R D B D' B F' U2
R D B D2 F' B U2
R D B D2 B F' U2
R D B F' D B U2
R D B F' D' B U2
R D B F' D2 B U2
R D B' D F' B' U2
R D B' D B' F' U2
R D B' D' F' B' U2
R D B' D' B' F' U2
R D B' D2 F' B' U2
R D B' D2 B' F' U2
R D B' F' D B' U2
R D B' F' D' B' U2
R D B' F' D2 B' U2
R' D' L F2 U B R
R D B2 L' F' L U2
R D B2 L2 F' L2 U2
R D B2 U' R2 U' B
R D B2 U2 R2 B R2
R D B2 D F' U2 D
R D B2 D F' U2 D'
R D B2 D F' U2 D2
R D B2 D F' D U2
R D B2 D F' D' U2
R D B2 D F' D2 U2
D' U F2 R' U L' B'
R D B2 D' F' U2 D
R D B2 D' F' U2 D'
R D B2 D' F' U2 D2
R D B2 D' F' D U2
R D B2 D' F' D' U2
R D B2 D' F' D2 U2
R D B2 D2 F' U2 D
R D B2 D2 F' U2 D'
R D B2 D2 F' U2 D2
R D B2 D2 F' D U2
R D B2 D2 F' D' U2
R D B2 D2 F' D2 U2
R D B2 F U2 D2 B2
R D B2 F D2 U2 B2
R D B2 F2 D F U2
R D B2 F2 D' F U2
R D B2 F2 D2 F U2
F' U F R' U B L
R D' L F' U2 F' R
F' U F' R' U B L
F U F R' U L' B
F U F R' U B L'
R D' L' F' L U2 F'
F' U F2 R' U B L
R D' L2 F' L2 U2 F'
R2 D' R' U R2 U B
R2 D' R' D F' B2 U2
R2 D' R' D B2 F' U2
R2 D' R' D' F' U2 F'
R2 D' R' F' U R2 U
R2 D' R' F' U2 D' F2
R2 D' R' F' D B2 U2
R2 D' R' F' D' U2 F2
R' D' U F2 U F2 B
R' D' U F2 U B F2
R D' U R2 U F2 B
R D' U R2 U B F2
B2 U' L U R F' U2
R D' U' R2 U' F2 B
R D' U' R2 U' B F2
R D' U2 L2 F2 L2 B'
R D' U2 R2 F2 B R2
R D' U2 R2 B R2 F2
R D' U2 R2 B F2 R2
R D' U2 F D2 F B2
R D' U2 F D2 B2 F
R D' U2 F2 L2 B' L2
R D' U2 F2 U2 F U2
R D' F U2 D2 F B2
R D' F U2 D2 B2 F
R D' F D2 U2 F B2
R D' F D2 U2 B2 F
R D' F' R2 B R2 U2
R D' F' U' L U' F'
R D' F' U' L' U' F'
R D' F' U' L2 U' F'
R D' F' U2 L' F' L
R D' F' U2 L2 F' L2
R D' F' U2 D F' D
R D' F' U2 D F' D'
R D' F' U2 D F' D2
R D' F' U2 D' F' D
R D' F' U2 D' F' D'
R D' F' U2 D' F' D2
R D' F' U2 D2 F' D
R D' F' U2 D2 F' D'
R D' F' U2 D2 F' D2
R D' F' U2 F2 D F
R D' F' U2 F2 D' F
R D' F' U2 F2 D2 F
R D' F' D U2 F' D
R D' F' D U2 F' D'
R D' F' D U2 F' D2
R D' F' D B U2 F'
R D' F' D B' U2 F'
R D' F' D B2 U2 F'
R D' F' D' U2 F' D
R D' F' D' U2 F' D'
R D' F' D' U2 F' D2
R D' F' D' B U2 F'
R D' F' D' B' U2 F'
R D' F' D' B2 U2 F'
R D' F' D2 U2 F' D
R D' F' D2 U2 F' D'
R D' F' D2 U2 F' D2
R D' F' D2 B U2 F'
R D' F' D2 B' U2 F'
R D' F' D2 B2 U2 F'
R D' F' B U2 D F'
R D' F' B U2 D' F'
R D' F' B U2 D2 F'
R D' F' B U2 F' D
R D' F' B U2 F' D'
R D' F' B U2 F' D2
R D' F' B D U2 F'
R D' F' B D' U2 F'
R D' F' B D2 U2 F'
R D' F' B' U2 D F'
R D' F' B' U2 D' F'
R D' F' B' U2 D2 F'
R D' F' B' U2 F' D
R D' F' B' U2 F' D'
R D' F' B' U2 F' D2
R D' F' B' D U2 F'
R D' F' B' D' U2 F'
R D' F' B' D2 U2 F'
R D' F' B2 U2 D F'
R D' F' B2 U2 D' F'
R D' F' B2 U2 D2 F'
R D' F' B2 U2 F' D
R D' F' B2 U2 F' D'
R D' F' B2 U2 F' D2
R D' F' B2 D U2 F'
R D' F' B2 D' U2 F'
R D' F' B2 D2 U2 F'
R D' F2 D F U2 F'
R D' F2 D' F U2 F'
R D' F2 D2 F U2 F'
R D' B D2 F' B2 U2
R D' B D2 B2 F' U2
R D' B F' U2 D F'
R D' B F' U2 D' F'
R D' B F' U2 D2 F'
R D' B F' U2 F' D
R D' B F' U2 F' D'
R D' B F' U2 F' D2
R D' B F' D U2 F'
R D' B F' D' U2 F'
R D' B F' D2 U2 F'
U D' F2 R' U L' B'
R D' B' D2 F' B2 U2
R D' B' D2 B2 F' U2
R D' B' F' U2 D F'
R D' B' F' U2 D' F'
R D' B' F' U2 D2 F'
R D' B' F' U2 F' D
R D' B' F' U2 F' D'
R D' B' F' U2 F' D2
R D' B' F' D U2 F'
R D' B' F' D' U2 F'
R D' B' F' D2 U2 F'
R D' B2 D2 F' B2 U2
R D' B2 D2 B2 F' U2
R D' B2 F' U2 D F'
R D' B2 F' U2 D' F'
R D' B2 F' U2 D2 F'
R D' B2 F' U2 F' D
R D' B2 F' U2 F' D'
R D' B2 F' U2 F' D2
R D' B2 F' D U2 F'
R D' B2 F' D' U2 F'
R D' B2 F' D2 U2 F'
R2 D2 R' U R2 U B
R2 D2 R' D F' B2 U2
R2 D2 R' D B2 F' U2
R2 D2 R' D' F' U2 F'
R2 D2 R' F' U R2 U
R2 D2 R' F' U2 D' F2
R2 D2 R' F' D B2 U2
R2 D2 R' F' D' U2 F2
R' D2 U2 L2 D F2 B
R' D2 U2 L2 D B F2
R' D2 U2 L2 B D F2
R' D2 U2 B L2 D F2
R D2 U' L2 R2 U' B
R D2 U' L2 U F' U2
R D2 U' R2 L2 U' B
F2 U2 L' U' R' U B
R D2 F' U D2 R2 U
R D2 F' U' L2 U' D
R D2 F' U' L2 U' D'
R D2 F' U' L2 U' D2
R D2 F' U' L2 D U'
R D2 F' U' L2 D' U'
R D2 F' U' L2 D2 U'
R D2 F' U2 D F2 D
R D2 F' U2 D F2 D'
R D2 F' U2 D F2 D2
R D2 F' U2 F D F2
R D2 F' U2 F' D F2
R D2 F' U2 F2 D F2
R D2 F' D U2 F2 D
R D2 F' D U2 F2 D'
R D2 F' D U2 F2 D2
R D2 F' D B U2 F2
R D2 F' D B' U2 F2
R D2 F' D B2 U2 F2
R D2 F' D' B2 U2 D
R D2 F' D' B2 U2 D'
R D2 F' D' B2 U2 D2
R D2 F' D' B2 D U2
R D2 F' D' B2 D' U2
R D2 F' D' B2 D2 U2
R D2 F' D2 U R2 U
F2 U2 R' U L' B R
F2 U2 R' U B L' R
F2 U2 R' U B R L'
R D2 F' B U' L2 U'
R D2 F' B U2 D F2
R D2 F' B D U2 F2
R D2 F' B D' B2 U2
R D2 F' B' U' L2 U'
R D2 F' B' U2 D F2
R D2 F' B' D U2 F2
R D2 F' B' D' B2 U2
R D2 F' B2 U' L2 U'
R D2 F' B2 U2 D F2
R D2 F' B2 D U2 F2
R D2 F' B2 D' B2 U2
R D2 F2 U' L2 U' B'
R D2 F2 D F U2 F
R D2 F2 D' F B2 U2
R D2 F2 D' B2 F U2
R D2 B D F' U2 F'
R D2 B D' F' B2 U2
R D2 B D' B2 F' U2
R D2 B F' U' L2 U'
R D2 B F' U2 D F2
R D2 B F' D U2 F2
R D2 B F' D' B2 U2
R D2 B' D F' U2 F'
R D2 B' D' F' B2 U2
R D2 B' D' B2 F' U2
R D2 B' F' U' L2 U'
R D2 B' F' U2 D F2
R D2 B' F' D U2 F2
R D2 B' F' D' B2 U2
R D2 B2 D F' U2 F'
R D2 B2 D' F' B2 U2
R D2 B2 D' B2 F' U2
R D2 B2 F' U' L2 U'
R D2 B2 F' U2 D F2
R D2 B2 F' D U2 F2
R D2 B2 F' D' B2 U2
R' F R2 U R2 U B
R' F R2 D F' B2 U2
R' F R2 D B2 F' U2
R' F R2 D' F' U2 F'
R' F R2 F' U R2 U
R' F R2 F' U2 D' F2
R' F R2 F' D B2 U2
R' F R2 F' D' U2 F2
R2 F R' F' U R U
U F R' F U L' B
U F R' F U B L'
R F U R2 U D2 B2
R F U R2 U' F2 U2
R F U R2 D' L2 U
R F U R2 D2 U B2
R F U D' L2 U F2
R F U' D2 L2 U' B2
R2 F D R' F' B U2
R2 F D R' B F' U2
R F U2 D' F2 D' B2
R F U2 D2 B2 D F2
R F D B2 U' R2 U'
R F D B2 U2 D B2
R F D B2 D U2 B2
R F D B2 D' F2 U2
R F D' U L2 U F2
R F D' U2 F2 D' B2
R F D2 U' L2 U' B2
R F D2 U2 B2 D F2
R F' L U2 D' F2 R
R F' L D L' B2 U2
R F' L D B2 L' U2
R F' L D' L' U2 F2
R F' L D' U2 F2 R
R F' L' D L B2 U2
R F' L' D B2 U2 R'
R F' L' D' L U2 F2
R' F' R2 U R2 U B
R' F' R2 D F' B2 U2
R' F' R2 D B2 F' U2
R' F' R2 D' F' U2 F'
R' F' R2 F' U R2 U
R' F' R2 F' U2 D' F2
R' F' R2 F' D B2 U2
R' F' R2 F' D' U2 F2
R2 F' R' F' U' L' U'
U F' R' F' U L' B
U F' R' F' U B L'
U2 F' U' R' F' U B
R F' U R D R U
R F' U R D' R U
R F' U R D2 R U
