U2 L U' L2 U' L2
U L' U L2 U2 L'
U L' U' D2 L R2
U L' U' D2 R2 L
U L' D F2 U' L
U L' D2 U' L R2
U L' D2 U' R2 L
F2 R' D' L2 F2 R
B2 U2 L' U' R' B2
U B2 L' U' L R'
U B2 L' U' R' L
U L' U' R' D2 L R2
U L' U' R' D2 R2 L
U L' U' R2 D2 L R2
U L' U' R2 D2 R2 L
U L' U' D L D R2
U L' U' D' L D' R2
U L' U' D2 L R2 D
U L' U' D2 L R2 D'
U L' U' D2 L R2 D2
U L' U' D2 R2 L D
U L' U' D2 R2 L D'
U L' U' D2 R2 L D2
U L' U' D2 R2 D L
U L' U' D2 R2 D' L
U L' U' D2 R2 D2 L
U2 L' U2 D' B2 U B2
U2 L' D F2 U F2 U2
U2 L' D F2 U' D2 B2
U2 L' D F2 D R2 U'
U2 L' D F2 D2 U' B2
U L' D U' L D R2
U L' D F2 U' L D
U L' D F2 U' L D'
U L' D F2 U' L D2
U L' D F2 U' D L
U L' D F2 U' D' L
U L' D F2 U' D2 L
U L' D F2 D U' L
U L' D F2 D' U' L
U L' D F2 D2 U' L
U2 L' D' U2 B2 U B2
U L' D' U' L D' R2
U2 L' D2 U' R2 D B2
U2 L' D2 F U' R2 B
U L' D2 U' L R2 D
U L' D2 U' L R2 D'
U L' D2 U' L R2 D2
U L' D2 U' R2 L D
U L' D2 U' R2 L D'
U L' D2 U' R2 L D2
U L' D2 U' R2 D L
U L' D2 U' R2 D' L
U L' D2 U' R2 D2 L
U L' D2 F U' L R2
U L' D2 F U' R2 L
U L' D2 F' U' L R2
U L' D2 F' U' R2 L
U L' D2 F2 U' L R2
U L' D2 F2 U' R2 L
U2 L' F U L2 F' U2
U2 L' F U F' L2 U2
U2 L' F U' D2 R2 B
U L' F U L2 U2 L'
U2 L' F D2 U' R2 B
U L' F U' D2 L R2
U L' F U' D2 R2 L
U L' F D F2 U' L
U L' F D2 U' L R2
U L' F D2 U' R2 L
U2 L' F' U L2 U2 B'
U2 L' F' U F L2 U2
U L' F' U L2 U2 L'
U L' F' U' D2 L R2
U L' F' U' D2 R2 L
U L' F' D F2 U' L
U L' F' D2 U' L R2
U L' F' D2 U' R2 L
U2 L' F2 U L2 F2 U2
U2 L' F2 U F2 L2 U2
U2 L' F2 U' D2 R2 B2
U2 L' F2 U' D2 B2 R2
U2 L' F2 D R2 F2 U'
U2 L' F2 D F2 R2 U'
U L' F2 U L2 U2 L'
U2 L' F2 D2 U' R2 B2
U2 L' F2 D2 U' B2 R2
U L' F2 U' D2 L R2
U L' F2 U' D2 R2 L
U L' F2 D F2 U' L
U L' F2 D2 U' L R2
U L' F2 D2 U' R2 L
U L' B2 U L2 R' U2
U L' B2 U R' L2 U2
F2 L2 R' D' F2 L2 R
F2 L2 R' D' F2 R L2
F2 L2 U' R F2 U R
B2 L2 U2 L U' R' B2
L2 U L U L2 U2 L
L2 U L U' D2 L' R2
L2 U L U' D2 R2 L'
L2 U L D2 U' L' R2
L2 U L D2 U' R2 L'
R' U L' U L2 U2 L'
R' U L' U' D2 L R2
R' U L' U' D2 R2 L
R' U L' D F2 U' L
R' U L' D2 U' L R2
R' U L' D2 U' R2 L
R2 U L' U L2 U2 L'
R2 U L' U' D2 L R2
R2 U L' U' D2 R2 L
R U L' U L2 U2 L'
R2 U L' D F2 U' L
R U L' U' D2 L R2
R U L' U' D2 R2 L
R2 U L' D2 U' L R2
R2 U L' D2 U' R2 L
R U L' D F2 U' L
R U L' D2 U' L R2
R U L' D2 U' R2 L
L' U L2 U2 L2 D' B2
L U L2 U' L2 D2 R2
U L2 F2 L U' L R
U L2 F2 L U' R L
B' L2 B' U R' F' B2
B' L2 B' U R' B2 F'
U2 R L U' L2 U' L2
L2 U F2 L U' L' R
L2 U F2 L U' R L'
B2 R U2 L' U' R2 B2
B2 R U2 L' U' B2 R2
L U B L2 F U' L2
B2 R D L2 B2 R' U
R' U B2 L' U' L R'
R' U B2 L' U' R' L
R2 U B2 L' U' L R'
R2 U B2 L' U' R' L
R U B2 L' U' L R'
R U B2 L' U' R' L
L' U' L2 D F2 U2 F2
L U' L2 U2 L2 U L2
F2 R F2 B2 U R' B2
F2 R B2 F2 U R' B2
U2 R' L U' L2 U' L2
F2 R' L2 D' F2 L2 R
F2 R' L2 D' F2 R L2
B2 R' U L' U' L B2
B2 R' U2 L' U' B2 R'
F2 R' D' L2 R F2 R
F2 R' D' L2 R' F2 R
F2 R' D' L2 R2 F2 R
F2 R' D' L2 F2 R D
F2 R' D' L2 F2 R D'
F2 R' D' L2 F2 R D2
F2 R' D' L2 F2 D R
F2 R' D' L2 F2 D' R
F2 R' D' L2 F2 D2 R
R' U2 L U' L2 U' L2
F2 R' D' R L2 F2 R
F2 R' D' R' L2 F2 R
F2 R' D' R2 L2 F2 R
R2 U2 L U' L2 U' L2
R U2 L U' L2 U' L2
L2 U2 L' U' L2 U' L2
B2 R' B2 U L' U' L
U2 R2 L U' L2 U' L2
B2 R2 L' U' R B2 L
B2 R2 U2 L' U' R B2
B2 R2 U2 L' U' B2 R
L D L F2 R D' L2
L D L F2 D' L2 R
L D L F2 D' R L2
U2 D L U' L2 U' L2
D' U L' U L2 U2 L'
D2 U L' U L2 U2 L'
D' U L' U' D2 L R2
D' U L' U' D2 R2 L
D2 U L' U' D2 L R2
D2 U L' U' D2 R2 L
D' U L' D F2 U' L
D2 U L' D F2 U' L
D' U L' D2 U' L R2
D' U L' D2 U' R2 L
D2 U L' D2 U' L R2
D2 U L' D2 U' R2 L
B2 U L' U' L R' B2
B2 U L' U' R' L B2
D U L' U L2 U2 L'
D U L' U' D2 L R2
D U L' U' D2 R2 L
D U L' D F2 U' L
D U L' D2 U' L R2
D U L' D2 U' R2 L
U D L' U L2 U2 L'
U D L' U' D2 L R2
U D L' U' D2 R2 L
U D L' D F2 U' L
U D L' D2 U' L R2
U D L' D2 U' R2 L
L' D F2 D2 B2 U' B2
B2 U R' U L' U' B2
L D F2 D' L2 D2 R2
B2 U R' B2 U L' U'
L' D' L' B2 R' U B2
D' U B2 L' U' L R'
D' U B2 L' U' R' L
D2 U B2 L' U' L R'
D2 U B2 L' U' R' L
B2 U F2 R' B2 D' F2
D U B2 L' U' L R'
D U B2 L' U' R' L
U D B2 L' U' L R'
U D B2 L' U' R' L
U2 D' L U' L2 U' L2
U D' L' U L2 U2 L'
U D' L' U' D2 L R2
U D' L' U' D2 R2 L
U D' L' D F2 U' L
U D' L' D2 U' L R2
U D' L' D2 U' R2 L
F2 U' R F2 U' L U2
F2 U' R F2 B2 U R'
F2 U' R B2 F2 U R'
L' D' B2 U B2 D2 F2
L D' B2 U2 B2 D L2
D' U2 L U' L2 U' L2
D2 U2 L U' L2 U' L2
U D' B2 L' U' L R'
U D' B2 L' U' R' L
U2 D2 L U' L2 U' L2
D U2 L U' L2 U' L2
U D2 L' U L2 U2 L'
U D2 L' U' D2 L R2
U D2 L' U' D2 R2 L
U D2 L' D F2 U' L
U D2 L' D2 U' L R2
U D2 L' D2 U' R2 L
F2 U' B2 R F2 U R2
F2 U2 L U R F2 U
B2 U2 L' R U' R2 B2
B2 U2 L' R U' B2 R2
B2 U2 L' R2 U' R B2
B2 U2 L' R2 U' B2 R
B2 U2 L' U' R B2 R2
B2 U2 L' U' R' B2 D
B2 U2 L' U' R' B2 D'
B2 U2 L' U' R' B2 D2
B2 U2 L' U' R2 B2 R
B' U2 L' F U' B R
B2 U2 L' D' R2 U' R
B2 U2 L' F U' R' B2
B2 U2 L' F' U' R' B2
B2 U2 L' F2 U' R' B2
B2 U2 R L' U' R2 B2
B2 U2 R L' U' B2 R2
L' D2 B U B' R2 F'
B2 U2 R2 L' U' R B2
B2 U2 R2 L' U' B2 R
B2 U2 D' L' R2 U' R
B2 U2 D' R2 L' U' R
U D2 B2 L' U' L R'
U D2 B2 L' U' R' L
B2 U2 F U' R' F' B2
B2 U2 F U' R' B2 F'
U2 F U L F' U2 F2
U2 F U F' L U2 F
B2 D L2 U2 L U' R'
F2 D' L2 R' D' F2 R
F2 D' R' L2 D' F2 R
U' F2 L U L' R U
U' F2 L U R L' U
B2 D' U2 L' R2 U' R
B2 D' U2 R2 L' U' R
L2 F2 L' D R F2 L'
U' F2 R U' L R' U2
U' F2 R U' R' L U2
U' F2 R B2 U L R'
U' F2 R B2 U R' L
R' F2 R' D' L2 F2 R
D2 F2 R' D' L2 F2 R
D' F2 R' D' L2 F2 R
R2 F2 R' D' L2 F2 R
D F2 R' D' L2 F2 R
R F2 R' D' L2 F2 R
L' F2 D2 B2 U' R2 B2
L' F2 D2 B2 U' B2 R2
L F2 D' L2 D2 R2 F2
L F2 D' L2 D2 F2 R2
L F2 D' B2 U2 L2 B2
L F2 D' B2 U2 B2 L2
L' B U L2 U2 L2 B'
L' B U L2 F U2 L2
L' B U D2 B' R2 F'
L' B U B' D2 R2 F'
L' B U' L2 F U2 F'
U B D L' F U' L
L' B D2 U B' R2 F'
L' B' U L2 U2 L2 B
L' B' U L2 U2 B L2
L2 B' U' L' B' U2 B2
L2 B2 L2 R' U B2 R'
U B2 L' U' L R' D
U B2 L' U' L R' D'
U B2 L' U' L R' D2
U B2 L' U' L D R'
U B2 L' U' L D' R'
U B2 L' U' L D2 R'
U B2 L' U' R' L D
U B2 L' U' R' L D'
U B2 L' U' R' L D2
U B2 L' U' R' D L
U B2 L' U' R' D' L
U B2 L' U' R' D2 L
U B2 L' U' D L R'
U B2 L' U' D R' L
U B2 L' U' D' L R'
U B2 L' U' D' R' L
U B2 L' U' D2 L R'
U B2 L' U' D2 R' L
U B2 L' D U' L R'
U B2 L' D U' R' L
U B2 L' D' U' L R'
U B2 L' D' U' R' L
U B2 L' D2 U' L R'
U B2 L' D2 U' R' L
U B2 L' F U' L R'
U B2 L' F U' R' L
U B2 L' F' U' L R'
U B2 L' F' U' R' L
U B2 L' F2 U' L R'
U B2 L' F2 U' R' L
L2 B2 R' L2 U B2 R'
L2 B2 R' U' L' U2 B2
L' B2 U L2 U2 L2 B2
L' B2 U L2 U2 B2 L2
U B2 R' U L' R U'
U B2 R' U R L' U'
B2 F2 R F2 U R2 B2
B2 F2 R F2 U B2 R2
F2 B2 R F2 U R2 B2
F2 B2 R F2 U B2 R2
L' B2 U B2 D2 R2 F2
L' B2 U B2 D2 F2 R2
U' B2 U2 L' U' L R'
U' B2 U2 L' U' R' L
R' B2 U2 L' U' R' B2
B2 F2 R' B2 D' L2 F2
B2 F2 R' B2 D' F2 L2
D2 B2 U2 L' U' R' B2
F2 B2 R' B2 D' L2 F2
F2 B2 R' B2 D' F2 L2
D' B2 U2 L' U' R' B2
R2 B2 U2 L' U' R' B2
D B2 U2 L' U' R' B2
R B2 U2 L' U' R' B2
L B2 U2 B2 D L2 F2
L B2 U2 B2 D F2 L2
U B2 D L' U' L R'
U B2 D L' U' R' L
U B2 D' L' U' L R'
U B2 D' L' U' R' L
U B2 D2 L' U' L R'
U B2 D2 L' U' R' L
