U2 R' F' U' L'
B2 L' B' L2 U L'
U2 R' D F' U' L'
U2 R' D' F' U' L'
U2 R' D2 F' U' L'
U2 R' F' U' L' D
U2 R' F' U' L' D'
U2 R' F' U' L' D2
U2 R' F' U' D L'
U2 R' F' U' D' L'
U2 R' F' U' D2 L'
U2 R' F' D U' L'
U2 R' F' D' U' L'
U2 R' F' D2 U' L'
U2 R' F' B U' L'
U2 R' F' B' U' L'
U2 R' F' B2 U' L'
U2 R' B F' U' L'
U2 R' B' F' U' L'
U2 R' B2 F' U' L'
U2 D R' F' U' L'
U2 D' R' F' U' L'
D2 U2 R' F' U' L'
U2 D2 R' F' U' L'
D' U2 R' F' U' L'
D U2 R' F' U' L'
F' U2 R' F' U' L'
F2 U2 R' F' U' L'
F U2 R' F' U' L'
L2 B2 L B' U L
U2 R' D' F' U' D' L'
U2 R' D' F' U' D2 L'
U2 R' D' F' D U' L'
U2 R' D' F' D' U' L'
U2 R' D' F' D2 U' L'
U2 R' D' F' B U' L'
U2 R' D' F' B' U' L'
U2 R' D' F' B2 U' L'
U2 R' D' B F' U' L'
U2 R' D' B' F' U' L'
U2 R' D' B2 F' U' L'
U2 R' D2 F' U' L' D
U2 R' D2 F' U' L' D'
U2 R' D2 F' U' L' D2
U2 R' D2 F' U' D L'
U2 R' D2 F' U' D' L'
U2 R' D2 F' U' D2 L'
U2 R' D2 F' D U' L'
U2 R' D2 F' D' U' L'
U2 R' D2 F' D2 U' L'
U2 R' D2 F' B U' L'
U2 R' D2 F' B' U' L'
U2 R' D2 F' B2 U' L'
U2 R' D2 B F' U' L'
U2 R' D2 B' F' U' L'
U2 R' D2 B2 F' U' L'
U2 R' F' U R U2 L'
U2 R' F' U R' U2 L'
U2 R' F' U R2 U2 L'
U2 R' F' U' L2 D L
U2 R' F' U' L2 D' L
U2 R' F' U' L2 D2 L
U2 R' F' U' D L' D
U2 R' F' U' D L' D'
U2 R' F' U' D L' D2
U2 R' F' U' D' L' D
U2 R' F' U' D' L' D'
U2 R' F' U' D' L' D2
U2 R' F' U' D2 L' D
U2 R' F' U' D2 L' D'
U2 R' F' U' D2 L' D2
U2 R' F' U' B' L' B
U2 R' F' U' B2 L' B2
R' U2 R F' B U L'
U2 R' F' D U' L' D
U2 R' F' D U' L' D'
U2 R' F' D U' L' D2
U2 R' F' D B U' L'
U2 R' F' D B' U' L'
U2 R' F' D B2 U' L'
U2 R' F' D' U' L' D
U2 R' F' D' U' L' D'
U2 R' F' D' U' L' D2
U2 R' F' D' B U' L'
U2 R' F' D' B' U' L'
U2 R' F' D' B2 U' L'
R' U2 R B F' U L'
U2 R' F' D2 U' L' D
U2 R' F' D2 U' L' D'
U2 R' F' D2 U' L' D2
U2 R' F' D2 B U' L'
U2 R' F' D2 B' U' L'
U2 R' F' D2 B2 U' L'
U2 R' F' B U' L' D
U2 R' F' B U' L' D'
U2 R' F' B U' L' D2
U2 R' F' B U' D L'
U2 R' F' B U' D' L'
U2 R' F' B U' D2 L'
U2 R' F' B D U' L'
U2 R' F' B D' U' L'
U2 R' F' B D2 U' L'
U2 R' F' B' U' L' D
U2 R' F' B' U' L' D'
U2 R' F' B' U' L' D2
U2 R' F' B' U' D L'
U2 R' F' B' U' D' L'
U2 R' F' B' U' D2 L'
U2 R' F' B' D U' L'
U2 R' F' B' D' U' L'
U2 R' F' B' D2 U' L'
U2 R' F' B2 U' L' D
U2 R' F' B2 U' L' D'
U2 R' F' B2 U' L' D2
U2 R' F' B2 U' D L'
U2 R' F' B2 U' D' L'
U2 R' F' B2 U' D2 L'
U2 R' F' B2 D U' L'
U2 R' F' B2 D' U' L'
U2 R' F' B2 D2 U' L'
L U2 R' F U R U2
U2 R' B D F' U' L'
U2 R' B D' F' U' L'
U2 R' B D2 F' U' L'
U2 R' B F' U' L' D
U2 R' B F' U' L' D'
U2 R' B F' U' L' D2
U2 R' B F' U' D L'
U2 R' B F' U' D' L'
U2 R' B F' U' D2 L'
U2 R' B F' D U' L'
U2 R' B F' D' U' L'
U2 R' B F' D2 U' L'
U2 R' B' D F' U' L'
U2 R' B' D' F' U' L'
U2 R' B' D2 F' U' L'
U2 R' B' F' U' L' D
U2 R' B' F' U' L' D'
U2 R' B' F' U' L' D2
U2 R' B' F' U' D L'
U2 R' B' F' U' D' L'
U2 R' B' F' U' D2 L'
U2 R' B' F' D U' L'
U2 R' B' F' D' U' L'
U2 R' B' F' D2 U' L'
U2 R' B2 D F' U' L'
U2 R' B2 D' F' U' L'
U2 R' B2 D2 F' U' L'
U2 R' B2 F' U' L' D
U2 R' B2 F' U' L' D'
U2 R' B2 F' U' L' D2
U2 R' B2 F' U' D L'
U2 R' B2 F' U' D' L'
U2 R' B2 F' U' D2 L'
U2 R' B2 F' D U' L'
U2 R' B2 F' D' U' L'
U2 R' B2 F' D2 U' L'
L U2 F R' U R2 U2
L U2 F R' U' D2 L2
L U2 F R' D B2 U'
L U2 F R' D2 U' L2
U2 R2 B R F' U' L'
U2 R2 B' R F' U' L'
U2 R2 B2 R F' U' L'
B U L R B' R' B2
B U L R2 B' R' B
B U L B' R B R2
B U L B2 R B R'
B U R L B' R' B2
U2 D R' D F' U' L'
U2 D R' D' F' U' L'
U2 D R' D2 F' U' L'
U2 D R' F' U' L' D
U2 D R' F' U' L' D'
U2 D R' F' U' L' D2
U2 D R' F' U' D L'
U2 D R' F' U' D' L'
U2 D R' F' U' D2 L'
U2 D R' F' D U' L'
U2 D R' F' D' U' L'
U2 D R' F' D2 U' L'
U2 D R' F' B U' L'
U2 D R' F' B' U' L'
U2 D R' F' B2 U' L'
U2 D R' B F' U' L'
U2 D R' B' F' U' L'
U2 D R' B2 F' U' L'
B U R2 L B' R' B
B U R2 D2 L B' R'
B U R2 B' R' B L
B U B' R B L R2
B U B' R B R2 L
B U' L' U2 B' L2 R'
B U' L' U2 B' R' L2
U2 D' R' D F' U' L'
U2 D' R' D' F' U' L'
U2 D' R' D2 F' U' L'
U2 D' R' F' U' L' D
U2 D' R' F' U' L' D'
U2 D' R' F' U' L' D2
U2 D' R' F' U' D L'
U2 D' R' F' U' D' L'
U2 D' R' F' U' D2 L'
U2 D' R' F' D U' L'
U2 D' R' F' D' U' L'
U2 D' R' F' D2 U' L'
U2 D' R' F' B U' L'
U2 D' R' F' B' U' L'
U2 D' R' F' B2 U' L'
U2 D' R' B F' U' L'
U2 D' R' B' F' U' L'
U2 D' R' B2 F' U' L'
B U' F U2 L R B
B U' F U2 R L B
B U' F' L' U2 B' L2
D' U2 R' D F' U' L'
D' U2 R' D' F' U' L'
D' U2 R' D2 F' U' L'
D2 U2 R' D F' U' L'
D' U2 R' F' U' L' D
D' U2 R' F' U' L' D'
D' U2 R' F' U' L' D2
D' U2 R' F' U' D L'
D2 U2 R' D' F' U' L'
D' U2 R' F' U' D' L'
D' U2 R' F' U' D2 L'
D' U2 R' F' D U' L'
D' U2 R' F' D' U' L'
D' U2 R' F' D2 U' L'
D' U2 R' F' B U' L'
D' U2 R' F' B' U' L'
D' U2 R' F' B2 U' L'
D2 U2 R' D2 F' U' L'
D' U2 R' B F' U' L'
D2 U2 R' F' U' L' D
D2 U2 R' F' U' L' D'
D2 U2 R' F' U' L' D2
D2 U2 R' F' U' D L'
D2 U2 R' F' U' D' L'
D2 U2 R' F' U' D2 L'
D2 U2 R' F' D U' L'
D2 U2 R' F' D' U' L'
D2 U2 R' F' D2 U' L'
D2 U2 R' F' B U' L'
D2 U2 R' F' B' U' L'
D2 U2 R' F' B2 U' L'
D' U2 R' B' F' U' L'
D' U2 R' B2 F' U' L'
D2 U2 R' B F' U' L'
D2 U2 R' B' F' U' L'
D2 U2 R' B2 F' U' L'
U2 D2 R' D F' U' L'
U2 D2 R' D' F' U' L'
U2 D2 R' D2 F' U' L'
U2 D2 R' F' U' L' D
U2 D2 R' F' U' L' D'
U2 D2 R' F' U' L' D2
U2 D2 R' F' U' D L'
U2 D2 R' F' U' D' L'
U2 D2 R' F' U' D2 L'
U2 D2 R' F' D U' L'
U2 D2 R' F' D' U' L'
U2 D2 R' F' D2 U' L'
U2 D2 R' F' B U' L'
U2 D2 R' F' B' U' L'
U2 D2 R' F' B2 U' L'
U2 D2 R' B F' U' L'
U2 D2 R' B' F' U' L'
D U2 R' D F' U' L'
U2 D2 R' B2 F' U' L'
D U2 R' D' F' U' L'
D U2 R' D2 F' U' L'
D U2 R' F' U' L' D
D U2 R' F' U' L' D'
D U2 R' F' U' L' D2
D U2 R' F' U' D L'
D U2 R' F' U' D' L'
D U2 R' F' U' D2 L'
D U2 R' F' D U' L'
D U2 R' F' D' U' L'
D U2 R' F' D2 U' L'
D U2 R' F' B U' L'
D U2 R' F' B' U' L'
D U2 R' F' B2 U' L'
D U2 R' B F' U' L'
D U2 R' B' F' U' L'
D U2 R' B2 F' U' L'
F' U2 R' D F' U' L'
F' U2 R' D' F' U' L'
F' U2 R' D2 F' U' L'
F' U2 R' F' U' L' D
F' U2 R' F' U' L' D'
F' U2 R' F' U' L' D2
F' U2 R' F' U' D L'
F' U2 R' F' U' D' L'
F' U2 R' F' U' D2 L'
F' U2 R' F' D U' L'
F2 U2 R' D F' U' L'
F' U2 R' F' D' U' L'
F' U2 R' F' D2 U' L'
F' U2 R' F' B U' L'
F' U2 R' F' B' U' L'
F' U2 R' F' B2 U' L'
F2 U2 R' D' F' U' L'
F2 U2 R' D2 F' U' L'
F2 U2 R' D2 F' U' L'
F' U2 R' B F' U' L'
F' U2 R' B' F' U' L'
F2 U2 R' F' U' L' D
F2 U2 R' F' U' L' D'
F2 U2 R' F' U' L' D2
F2 U2 R' F' U' D L'
F2 U2 R' F' U' D' L'
F2 U2 R' F' U' D2 L'
F2 U2 R' F' D U' L'
F2 U2 R' F' D' U' L'
F2 U2 R' F' D2 U' L'
F' U2 R' B2 F' U' L'
F2 U2 R' F' B U' L'
F2 U2 R' F' B' U' L'
F2 U2 R' F' B2 U' L'
F2 U2 R' B F' U' L'
F2 U2 R' B' F' U' L'
F2 U2 R' B2 F' U' L'
F U2 R' D F' U' L'
F U2 R' D' F' U' L'
F U2 R' D2 F' U' L'
F U2 R' D2 F' U' L'
F U2 R' F' U' L' D
F U2 R' F' U' L' D'
F U2 R' F' U' L' D2
F U2 R' F' U' D L'
F U2 R' F' U' D' L'
F U2 R' F' U' D2 L'
F U2 R' F' D U' L'
F U2 R' F' D' U' L'
F U2 R' F' D2 U' L'
F U2 R' F' B U' L'
F U2 R' F' B' U' L'
F U2 R' F' B2 U' L'
F U2 R' B F' U' L'
F U2 R' B' F' U' L'
F' U2 D R' F' U' L'
F U2 R' B2 F' U' L'
F2 U2 D R' F' U' L'
F' U2 D' R' F' U' L'
F2 U2 D' R' F' U' L'
F U2 D R' F' U' L'
F' U2 D2 R' F' U' L'
F2 U2 D2 R' F' U' L'
F U2 D' R' F' U' L'
F U2 D2 R' F' U' L'
U2 F R' D F' B2 U'
U2 F R' D B2 F' U'
U2 F R' D2 F' U' L2
U2 F R' F' U R2 U2
U2 F R' F' U' D2 L2
U2 F R' F' D B2 U'
U2 F R' F' D2 U' L2
B2 D L U2 F B' U'
B2 D L U2 B' F U'
D' F U2 R' F' U' L'
D2 F U2 R' F' U' L'
B2 D L' F B' L2 U
D F U2 R' F' U' L'
B2 D L' B' F L2 U
L2 F B2 L B' U L
U' F' L' U' R' B' U'
F' D U2 R' F' U' L'
F2 D U2 R' F' U' L'
F D U2 R' F' U' L'
B' D B2 U L B' R'
D2 F' U2 R' F' U' L'
D' F' U2 R' F' U' L'
D F' U2 R' F' U' L'
U2 F' B U' L' B' R'
L2 F' B2 L B' U L
F' D' U2 R' F' U' L'
F2 D' U2 R' F' U' L'
F D' U2 R' F' U' L'
U2 F2 R' F' U R U2
B2 D2 L U2 F U' L'
D2 F2 U2 R' F' U' L'
D' F2 U2 R' F' U' L'
D F2 U2 R' F' U' L'
U2 F2 D R' F' B U'
U2 F2 D R' B F' U'
L F2 U2 F' R' U' L'
L2 F2 B2 L B' U L
F' D2 U2 R' F' U' L'
F2 D2 U2 R' F' U' L'
F D2 U2 R' F' U' L'
U2 B R' F' U' L' B'
R B R2 U' L F R
B2 F L' B' L2 U L'
L B U2 F R U' L
U2 B F' U' L' B' R'
L' B' U D B2 L B'
B2 F' L' B' L2 U L'
L' B' U' D' R' U2 B
L' B' D U B2 L B'
L' B' D' U' R' U2 B
L' B2 L B U' R' U2
L2 B2 L F B' U L
L2 B2 L F' B' U L
L2 B2 L F2 B' U L
L2 B2 L B' U L D
L2 B2 L B' U L D'
L2 B2 L B' U L D2
L2 B2 L B' U D L
L2 B2 L B' U D' L
L2 B2 L B' U D2 L
L2 B2 L B' D U L
L2 B2 L B' D' U L
L2 B2 L B' D2 U L
L2 B2 L B' F U L
L2 B2 L B' F' U L
L2 B2 L B' F2 U L
D2 B2 L' B' L2 U L'
D' B2 L' B' L2 U L'
D B2 L' B' L2 U L'
F' B2 L' B' L2 U L'
B2 F2 L' B' L2 U L'
F2 B2 L' B' L2 U L'
L B2 L2 B' L' U L2
F B2 L' B' L2 U L'
L2 B2 F L B' U L
L2 B2 F' L B' U L
L2 B2 F2 L B' U L
