U2 B L U' R2
U L R2 F D' L2
U2 L B L U' R2
U2 L' B L U' R2
U2 L2 B L U' R2
U R2 L F D' L2
F2 R2 F' R U R'
F R2 F' R' U R
U2 D' F2 B L U'
U2 D' B L F2 U'
U2 D' B F2 L U'
F' U2 L' B U' R2
D' U2 F2 B L U'
D' U2 B L F2 U'
D' U2 B F2 L U'
F' U2 B L' U' R2
R2 F R F2 U R'
R F R F' U R
U2 F B L U' R2
U2 F' B L U' R2
U2 F2 B L U' R2
U2 B L U' R2 D
U2 B L U' R2 D'
U2 B L U' R2 D2
U2 B L D' F2 U'
U2 B L F U' R2
U2 B L F' U' R2
U2 B L F2 U' R2
U2 B D' L F2 U'
U2 B D' F2 L U'
U2 B F L U' R2
U2 B F' L U' R2
U2 B F2 L U' R2
U2 B D' L F2 U' D
U2 B D' L F2 U' D'
U2 B D' L F2 U' D2
U2 B D' L F2 D U'
U2 B D' L F2 D' U'
U2 B D' L F2 D2 U'
U2 B D' L' F2 L2 U'
B2 F R U2 B' U' R
U2 B D' F' L F' U'
U2 B D' F2 L U' D
U2 B D' F2 L U' D'
U2 B D' F2 L U' D2
U2 B D' F2 L D U'
U2 B D' F2 L D' U'
U2 B D' F2 L D2 U'
U2 B D' F2 D L U'
U2 B D' F2 D' L U'
U2 B D' F2 D2 L U'
U2 B D2 L U L U2
U2 B F L U' R2 D
U2 B F L U' R2 D'
U2 B F L U' R2 D2
U2 B F L D' F2 U'
U2 B F L F U' R2
U2 B F L F' U' R2
U2 B F L F2 U' R2
U2 B F D' L F2 U'
U2 B F D' F2 L U'
R2 B F R F2 U R'
U2 B F' L U' R2 D
U2 B F' L U' R2 D'
U2 B F' L U' R2 D2
U2 B F' L D' F2 U'
U2 B F' L F U' R2
U2 B F' L F' U' R2
U2 B F' L F2 U' R2
U2 B F' D' L F2 U'
U2 B F' D' F2 L U'
U2 B F2 L U' R2 D
U2 B F2 L U' R2 D'
U2 B F2 L U' R2 D2
U2 B F2 L D' F2 U'
U2 B F2 L F U' R2
U2 B F2 L F' U' R2
U2 B F2 L F2 U' R2
R B F R F' U R
U2 B F2 D' L F2 U'
U2 B F2 D' F2 L U'
U2 B' L B2 L U' R2
B' F D R B2 U L2
U2 B' L' B2 L U' R2
B' F D B2 R U L2
U2 B' L2 B2 L U' R2
B' F' L' B2 R' U' R'
F' B' L' B2 R' U' R'
B F' L' U2 L U R2
F B' R U R D L2
F B' R U D L2 R
F B' R U D R L2
F B' R U2 B2 U' R
F B' R D U L2 R
F B' R D U R L2
B' F' U2 L' B2 U' R2
F' B' U2 L' B2 U' R2
R2 B' F R F2 U R'
B' F' U2 B2 L' U' R2
F' B' U2 B2 L' U' R2
B2 F' U2 B' L' U' R2
R B' F R F' U R
F B' D R B2 U L2
F B' D B2 R U L2
L2 B2 L2 F R U R
D B2 L2 F L2 R U
D B2 L2 F R L2 U
F B2 R U2 B' U' R
D B2 U2 B L B2 U'
D B2 U2 B' U2 R' U
F' B2 U2 B' L' U' R2
R2 B2 F R F2 U R'
D B2 F R U2 B' U'
D B2 F' U2 B' L' U'
R B2 F R F' U R
