F2 L R' B' U B2
R' L F2 B' U B2
R' L B' F2 U B2
L R' F2 B' U B2
L R' B' F2 U B2
R' U D' L2 B R'
R' U D' B L2 R'
R' U D' B R' L2
F2 R' L B' U B2
F2 R' U D' B R'
F2 R' D' U B R'
R' D' U L2 B R'
R' D' U B L2 R'
R' D' U B R' L2
R' F2 L B' U B2
R' F2 U D' B R'
L F2 R' B' U B2
R' F2 D' U B R'
R' D' F' U B R' L2
R' D' F2 U L2 B R'
R' D' F2 U B L2 R'
R' D' F2 U B R' L2
R D' F2 L2 B R' B2
R' D' B' U B2 L2 R'
R' D' B' U B2 R' L2
R D' F2 B L2 R' B'
R D' F2 B R' L2 B'
R D' F2 B2 L2 B' R'
R D' B F2 L2 R' B'
R D' B F2 R' L2 B'
R D' B2 F2 L2 B' R'
L' D2 F B2 L U' B'
L2 D2 B2 L F U' B'
L' D2 B2 F L U' B'
L F R' F B' U B2
L F R' B' F U B2
L' F U2 R' F U B
L' F U2 F R' U B
R' F D' F U B R'
R' F' L F' B' U B2
R' F' L B' F' U B2
R' F' D F' U B R
R' F' D' F' U B R'
U' F2 L R' B' U B2
R' F2 L U B D' R2
R' F2 L D B' U B2
R' F2 L D' B' U B2
R' F2 L D2 B' U B2
R' F2 L B' L U B2
R' F2 L B' L' U B2
R' F2 L B' L2 U B2
R' F2 L B' U B2 D
R' F2 L B' U B2 D'
R' F2 L B' U B2 D2
R' F2 L B' D L2 U
U2 F2 L R' B' U B2
R' F2 L' U2 F U' B
L2 F2 L' R' B' U B2
U F2 L R' B' U B2
R' F2 L2 U B' R' B2
R' F2 L2 B2 U B' R'
U' F2 R' L B' U B2
U' F2 R' U D' B R'
U' F2 R' D' U B R'
L' F2 R' U D B R'
R F2 L2 R2 U B' R'
L' F2 R' D U B R'
U2 F2 R' L B' U B2
L2 F2 R' L' B' U B2
U2 F2 R' U D' B R'
L2 F2 R' U B' R' B2
U2 F2 R' D' U B R'
L2 F2 R' B2 U B' R'
L F2 R B' R2 U B
L' F2 R2 B R U B
U F2 R' L B' U B2
U F2 R' U D' B R'
L F2 R' U B D' R2
R' F2 U D' B R' D
R' F2 U D' B R' D'
R' F2 U D' B R' D2
R' F2 U D' B D R'
R' F2 U D' B D' R'
R' F2 U D' B D2 R'
L F2 R' D B' U B2
U F2 R' D' U B R'
L F2 R' D' B' U B2
L F2 R' D2 B' U B2
L F2 R' B' L U B2
L F2 R' B' L' U B2
L F2 R' B' L2 U B2
L F2 R' B' U B2 D
L F2 R' B' U B2 D'
L F2 R' B' U B2 D2
L F2 R' B' D L2 U
R F2 R2 L2 U B' R'
L F2 R2 B' R U B
F2 D2 L R' B U B2
R2 F2 U2 L' F U' B'
R' F2 D' L U B R'
R' F2 D' L' U B R'
R' F2 D' L2 U B R'
R' F2 D' U B R' D
R' F2 D' U B R' D'
R' F2 D' U B R' D2
R' F2 D' U B D R'
R' F2 D' U B D' R'
R' F2 D' U B D2 R'
R' F2 D' B' U B2 R'
L F2 D R' B' L U
R' F2 B L B' U B
F2 D2 R' L B U B2
R' F2 B' L B' U B'
F2 D2 R' B L U B'
R' B L F2 B' U B
R' B L B' F2 U B
F2 B L B' R' U B
R' B F2 L B' U B
R' B' L F2 B' U B'
R' B' L B' F2 U B'
R' B' F2 L B' U B'
D2 B2 L R F' U' B'
D2 B2 L R2 U' B' R'
D2 B2 R L F' U' B'
D2 B2 R F' L U' B'
B F2 L B' R' U B
D2 B2 R2 L U' B' R'
