B2 L' R2 D' F' R
D L2 U F L R
D L2 U F R L
U L2 F L R B2
U L2 F L B2 R
U L2 F R L B2
L2 U F L R B2
L2 U F L B2 R
L2 U F R L B2
B2 R2 L' D' F' R
B2 R2 D' L' F' R
U' B' U2 R' B' L'
U B' U2 B' L' R'
U B' U2 B' R' L'
U B' U2 B' L' D R'
U B' U2 B' L' D' R'
U B' U2 B' L' D2 R'
U B' U2 B' R' L' D
U B' U2 B' R' L' D'
U B' U2 B' R' L' D2
U B' U2 B' R' D L'
U B' U2 B' R' D' L'
U B' U2 B' R' D2 L'
U B' U2 B' D L' R'
U B' U2 B' D R' L'
U B' U2 B' D' L' R'
U B' U2 B' D' R' L'
U B' U2 B' D2 L' R'
U B' U2 B' D2 R' L'
U' B' D2 U2 R' B' L'
U B' U2 B2 L' B R'
R B' U2 D' R2 B' L'
R B' U2 D' B' L' R2
R B' U2 D' B' R2 L'
U B' D U2 B' L' R'
U B' D U2 B' R' L'
R B' D L2 F U2 L
U B' D' U2 B' L' R'
U B' D' U2 B' R' L'
R B' D' U2 R2 B' L'
R B' D' U2 B' L' R2
R B' D' U2 B' R2 L'
U' B' F2 R U2 R2 B'
U' B' F2 R U2 B' R2
R B' D' B' L' R2 F'
R B' D' B' R2 L' F'
D2 B' F2 R U B U
U B' D2 U2 B' L' R'
U B' D2 U2 B' R' L'
U' B2 L' R2 D2 F' R
U' B2 L' U2 B U2 R'
U' B2 L' D2 R2 F' R
R' B2 L' F D R2 F'
R2 B2 L' D' R2 F' R
U B2 L' R F R F'
U B2 L' R2 F R F2
U B2 L' U2 B L U2
U B2 L' F R2 F' R'
R B2 L' R2 D F' R
U B2 L' F2 R2 F' R
R B2 L' D R2 F' R
U' B2 R2 L' D2 F' R
U' B2 R2 D2 L' F' R
U B2 R L' F R F'
B' F2 R U B U B2
B' F2 R U2 B' D' R2
U B2 R D2 L' F R
U B2 R F R F' L'
U B2 R2 L' F R F2
R B2 R2 L' D F' R
U' B2 U2 B U2 L' R'
U' B2 U2 B U2 R' L'
F B2 R2 D' F' L' R
F B2 R2 D' F' R L'
U' B2 D2 L' R2 F' R
U' B2 D2 R2 L' F' R
U B2 U2 B L U2 L2
R2 B2 D' L' R2 F' R
R2 B2 D' R2 L' F' R
R' B2 F D R2 F' L'
U B2 F R2 F' L' R'
U B2 F R2 F' R' L'
