U2 B U' B' R'
L U2 F B U' B'
L U2 B F U' B'
U2 D B U' B' R'
U2 D' B U' B' R'
D' U2 B U' B' R'
U2 D2 B U' B' R'
D2 U2 B U' B' R'
D U2 B U' B' R'
U2 F B U' B' R'
U2 F' B U' B' R'
U2 F2 B U' B' R'
U2 B R' F' U' B'
U2 B U' R B' R'
U2 B U' R' B' R'
U2 B U' R2 B' R'
U2 B U' D B' R'
U2 B U' D' B' R'
U2 B U' D2 B' R'
U2 B U' B' R' D
U2 B U' B' R' D'
U2 B U' B' R' D2
U2 B U' B' D R'
U2 B U' B' D' R'
U2 B U' B' D2 R'
U2 B D U' B' R'
U2 B D' U' B' R'
U2 B D2 U' B' R'
U2 B F U' B' R'
U2 B F' U' B' R'
U2 B F2 U' B' R'
L' B' U2 B2 U' B2
U2 B D' U' B' D' R'
U2 B D' U' B' D2 R'
U2 B D' F U' B' R'
U2 B D' F' U' B' R'
U2 B D' F2 U' B' R'
U' B F L2 U' R F
U2 B D2 R' F' U' B'
U' B F U B' U2 R
U2 B D2 U' R B' R'
U2 B D2 U' R' B' R'
U2 B D2 U' R2 B' R'
U2 B D2 U' B' R' D
U2 B D2 U' B' R' D'
U2 B D2 U' B' R' D2
U2 B D2 U' B' D R'
U2 B D2 U' B' D' R'
U2 B D2 U' B' D2 R'
U2 B D2 F U' B' R'
U2 B D2 F' U' B' R'
U2 B D2 F2 U' B' R'
U' B F' U B' L' U2
U2 B F R' F' U' B'
U2 B F U' R B' R'
U2 B F U' R' B' R'
U2 B F U' R2 B' R'
U2 B F U' D B' R'
U2 B F U' D' B' R'
U2 B F U' D2 B' R'
U2 B F U' B' R' D
U2 B F U' B' R' D'
U2 B F U' B' R' D2
U2 B F U' B' D R'
U2 B F U' B' D' R'
U2 B F U' B' D2 R'
U2 B F D U' B' R'
U2 B F D' U' B' R'
U2 B F D2 U' B' R'
U2 B F' R' F' U' B'
U2 B F' U' R B' R'
U2 B F' U' R' B' R'
U2 B F' U' R2 B' R'
U2 B F' U' D B' R'
U2 B F' U' D' B' R'
U2 B F' U' D2 B' R'
U2 B F' U' B' R' D
U2 B F' U' B' R' D'
U2 B F' U' B' R' D2
U2 B F' U' B' D R'
U2 B F' U' B' D' R'
U2 B F' U' B' D2 R'
U2 B F' D U' B' R'
U2 B F' D' U' B' R'
U2 B F' D2 U' B' R'
L B F U F' U2 F
U2 B F2 R' F' U' B'
U2 B F2 U' R B' R'
U2 B F2 U' R' B' R'
U2 B F2 U' R2 B' R'
U2 B F2 U' D B' R'
U2 B F2 U' D' B' R'
L' B' L U2 B2 U' B2
U2 B F2 U' D2 B' R'
U2 B F2 U' B' R' D
U2 B F2 U' B' R' D'
U2 B F2 U' B' R' D2
U2 B F2 U' B' D R'
U2 B F2 U' B' D' R'
U2 B F2 U' B' D2 R'
U2 B F2 D U' B' R'
U2 B F2 D' U' B' R'
U2 B F2 D2 U' B' R'
B F U F' U2 F R
L' B' L' U2 B2 U' B2
F B U F' U2 F R
B F U' F' L' U2 L
L' B' L2 U2 B2 U' B2
F B U' F' L' U2 L
U B' L2 D' R' B2 L
U B' R' U B2 U' B2
U B' R' D L2 D' B2
L' B' U D L2 D' B2
L' B' U2 R B2 U' B2
L' B' U2 R' B2 U' B2
L' B' U2 R2 B2 U' B2
L' B' U2 B2 R U' B2
L' B' U2 B2 R' U' B2
L' B' U2 B2 R2 U' B2
L' B' U2 B2 U' B2 D
L' B' U2 B2 U' B2 D'
L' B' U2 B2 U' B2 D2
L' B' U2 B2 D' R2 U'
U B' U B2 U' B2 R'
L' B' D U L2 D' B2
L' B' D F' U L2 B'
L B' U2 F B2 U' B2
L B' U2 B2 F U' B2
B' F' U D L2 B' R'
U B' D L2 R' D' B2
U B' D L2 D' R' B2
U B' D R' L2 D' B2
F' B' U D L2 B' R'
L' B' D2 F2 U D2 B2
L' B' D2 F2 U' F2 U2
L' B' D2 F2 D' L2 U
L' B' D2 F2 D2 U B2
L' B' F' U D L2 B'
L' B' F' D U L2 B'
U B' D2 F2 U R' F2
U B' D2 F2 U F2 R'
B' F' D U L2 B' R'
L' B' F2 D2 F2 U B2
F' B' D U L2 B' R'
U2 B2 R' F' B' U' B'
U2 B2 R' B' F' U' B'
L B2 U2 F B' U' B
L B2 U2 B' F U' B
