R' U' R F' U2
F' U R' U R
R' L U' R F' U2
F' L U R' U R
R' L' U' R F' U2
L' R' U' R F' U2
L R' U' R F' U2
L2 R' U' R F' U2
F' L' U R' U R
R' L2 U' R F' U2
F' L2 U R' U R
R' U' R D F' U2
R' U' R D' F' U2
R' U' R D2 F' U2
R' U' R F' U2 D
R' U' R F' U2 D'
R' U' R F' U2 D2
R' U' R F' D U2
R' U' R F' D' U2
R' U' R F' D2 U2
U R' U R' B R2
F2 R' U' R F U2
D2 R' U' R F' U2
D' R' U' R F' U2
D R' U' R F' U2
F R' U' R F2 U2
F R' U' F2 U2 L'
F' U R' U R D
F' U R' U R D'
F' U R' U R D2
F' U R' U D R
F' U R' U D' R
F' U R' U D2 R
F' U R' D U R
F' U R' D' U R
F' U R' D2 U R
F' U R' B U R
F' U R' B' U R
F' U R' B2 U R
F' U D R' U R
F' U D' R' U R
F' U D2 R' U R
R' D' F2 U L' B'
F' D U R' U R
L' F' U R' U R
D2 F' U R' U R
D' F' U R' U R
L2 F' U R' U R
L F' U R' U R
D F' U R' U R
F' D' U R' U R
F' D2 U R' U R
F' B' U B R' U
B' F' U B R' U
B2 F' U B2 R' U
F' B2 U B2 R' U
F' U2 B2 L U' L' B2
F' U2 B2 L U' B2 L'
R' F U' R F' R U2
R F R2 U' R F' U2
R' F U' F' R F' U2
F' D L U R' U R
F' D L' U R' U R
F' D L2 U R' U R
R' F D' L' F L' U
R' F D' F L' F U
R' F D2 L U B' L
R' F D2 U L B' L
R' F D2 U B' L B'
F2 D R' U' R F U2
F' D U R' U R D
F' D U R' U R D'
F' D U R' U R D2
F' D U R' U D R
F' D U R' U D' R
F' D U R' U D2 R
F' D U R' D U R
F' D U R' D' U R
F' D U R' D2 U R
F' D U R' B U R
F' D U R' B' U R
F' D U R' B2 U R
D' F' L U R' U R
D2 F' L U R' U R
L' F' L U R' U R
L2 F' L U R' U R
D' F' L' U R' U R
D2 F' L' U R' U R
L' F' L' U R' U R
D F' L U R' U R
L2 F' L' U R' U R
L F' L U R' U R
D' F' L2 U R' U R
D2 F' L2 U R' U R
L' F' L2 U R' U R
F2 D F U R' U R
D F' L' U R' U R
L2 F' L2 U R' U R
B2 D F' L2 U' L' U'
L F' L' U R' U R
D F' L2 U R' U R
L F' L2 U R' U R
U' F' U R' U' R U2
U' F' U R' F2 U L'
F' D B' U B R' U
D2 F' U R' U R D
D2 F' U R' U R D'
D2 F' U R' U R D2
D2 F' U R' U D R
D2 F' U R' U D' R
D2 F' U R' U D2 R
D' F' U R' U R D
D' F' U R' U R D'
D' F' U R' U R D2
D' F' U R' U D R
D' F' U R' U D' R
D' F' U R' U D2 R
D2 F' U R' D U R
D' F' U R' D U R
D2 F' U R' D' U R
D' F' U R' D' U R
D2 F' U R' D2 U R
D' F' U R' D2 U R
D2 F' U R' B U R
D' F' U R' B U R
D2 F' U R' B' U R
D' F' U R' B' U R
D2 F' U R' B2 U R
D' F' U R' B2 U R
D2 F' U D R' U R
D' F' U D R' U R
L' F' U R' U R D
L' F' U R' U R D'
L' F' U R' U R D2
L' F' U R' U D R
L' F' U R' U D' R
L' F' U R' U D2 R
L' F' U R' D U R
L' F' U R' D' U R
D2 F' U D' R' U R
D' F' U D' R' U R
L' F' U R' D2 U R
L' F' U R' B U R
L' F' U R' B' U R
L' F' U R' B2 U R
D2 F' U D2 R' U R
D' F' U D2 R' U R
L' F' U D R' U R
L' F' U D' R' U R
L' F' U D2 R' U R
L2 F' U R' U R D
L2 F' U R' U R D'
L2 F' U R' U R D2
L2 F' U R' U D R
L2 F' U R' U D' R
L2 F' U R' U D2 R
L2 F' U R' D U R
L2 F' U R' D' U R
L2 F' U R' D2 U R
L2 F' U R' B U R
L2 F' U R' B' U R
L2 F' U R' B2 U R
L2 F' U D R' U R
F' D B2 U B2 R' U
L2 F' U D' R' U R
L2 F' U D2 R' U R
R F' R2 U' R F' U2
U' F' U' B2 L U' L'
D F' U R' U R D
D F' U R' U R D'
D F' U R' U R D2
D F' U R' U D R
D F' U R' U D' R
D F' U R' U D2 R
D F' U R' D U R
D F' U R' D' U R
D F' U R' D2 U R
D F' U R' B U R
D F' U R' B' U R
D F' U R' B2 U R
D F' U D R' U R
D F' U D' R' U R
F' D' L U R' U R
D F' U D2 R' U R
L F' U R' U R D
L F' U R' U R D'
L F' U R' U R D2
L F' U R' U D R
L F' U R' U D' R
L F' U R' U D2 R
L F' U R' D U R
L F' U R' D' U R
L F' U R' D2 U R
L F' U R' B U R
L F' U R' B' U R
L F' U R' B2 U R
L F' U D R' U R
L F' U D' R' U R
L F' U D2 R' U R
F' D' L' U R' U R
D2 F' D U R' U R
D' F' D U R' U R
L' F' D U R' U R
F' D' L2 U R' U R
L2 F' D U R' U R
D2 F' D' U R' U R
D' F' D' U R' U R
L' F' D' U R' U R
D F' D U R' U R
L2 F' D' U R' U R
F D' L2 R' U' R U2
D2 F' D2 U R' U R
L F' D U R' U R
F D' L2 R' F2 U L'
D' F' D2 U R' U R
L' F' D2 U R' U R
D F' D' U R' U R
L2 F' D2 U R' U R
F2 D' R' U' R F U2
L F' D' U R' U R
D F' D2 U R' U R
D2 F' B' U B R' U
D' F' B' U B R' U
L F' D2 U R' U R
F D' R' L2 U' R U2
L' F' B' U B R' U
F D' R' L2 F2 U L'
U' F' B2 U' L B2 U'
F' D' U R' U R D
F' D' U R' U R D'
F' D' U R' U R D2
F' D' U R' U D R
F' D' U R' U D' R
F' D' U R' U D2 R
F' D' U R' D U R
F' D' U R' D' U R
F' D' U R' D2 U R
F' D' U R' B U R
F' D' U R' B' U R
F' D' U R' B2 U R
F D' R' F2 L2 U L
L2 F' B' U B R' U
D2 F' B2 U B2 R' U
D' F' B2 U B2 R' U
L' F' B2 U B2 R' U
D F' B' U B R' U
B2 D' U' L U' R2 B
L2 F' B2 U B2 R' U
L F' B' U B R' U
F D' U L2 R' U R
D F' B2 U B2 R' U
F D' U R' L2 U R
L F' B2 U B2 R' U
R' F2 L2 U D2 L B'
R' F2 L2 D2 U L B'
F2 D' F U R' U R
B2 D' F' U' L U' R2
D2 F2 R' U' R F U2
D' F2 R' U' R F U2
L' F2 R' U' R F U2
L2 F2 R' U' R F U2
D F2 R' U' R F U2
R' F2 U L' R' B R
R' F2 U L2 D2 L B'
F' D' B' U B R' U
R' F2 U R' L' B R
R' F2 U R' B L' R
R' F2 U R' B R L'
L F2 R' U' R F U2
R' F2 U D2 L B' L2
F' D' B2 U B2 R' U
R' F2 U' R' U2 L' B
R' F2 U' R' U2 B L'
R' F2 U' R2 U2 L' B'
R F2 R2 U' R F' U2
R' F2 U' F2 R F' U2
F' D2 L U R' U R
R' F2 U2 R' U' L' B
R' F2 U2 R' U' B L'
F' D2 L' U R' U R
F' D2 L2 U R' U R
R' F2 D2 L U B' L2
R' F2 D2 U L B' L2
F2 D2 R' U' R F U2
F D2 R' U' R U2 B2
F' D2 U R' U R D
F' D2 U R' U R D'
F' D2 U R' U R D2
F' D2 U R' U D R
F' D2 U R' U D' R
F' D2 U R' U D2 R
F' D2 U R' D U R
F' D2 U R' D' U R
F' D2 U R' D2 U R
F' D2 U R' B U R
F' D2 U R' B' U R
F' D2 U R' B2 U R
F D2 R' F2 U L' B2
F D2 R' F2 U B2 L'
F D2 U R' U R B2
F D2 U R' U B2 R
F2 D2 F U R' U R
B' D2 F' U B R U
B2 D2 F' U' L F' U'
B2 D2 F' U' F' L U'
F' D2 B' U B R' U
F' D2 B2 U B2 R' U
F' B U R' B' U F'
F' B U B' R' U F'
F' B U' L U' F R
B' F' L U B R' U
F' B' L U B R' U
B' F' L' U B R' U
F' B' L' U B R' U
B2 F' L' D L2 U2 F2
B2 F' L' D' B2 U2 R2
B' F' L2 U B R' U
F' B' L2 U B R' U
B' F' U B R' U D
B' F' U B R' U D'
B' F' U B R' U D2
B' F' U B R' D U
B' F' U B R' D' U
B' F' U B R' D2 U
B' F' U B D R' U
B' F' U B D' R' U
B' F' U B D2 R' U
B2 F' U R B2 R' U
B2 F' U R' B2 R' U
B2 F' U R2 B2 R' U
F' B' U B R' U D
F' B' U B R' U D'
F' B' U B R' U D2
F' B' U B R' D U
F' B' U B R' D' U
F' B' U B R' D2 U
F' B' U B D R' U
F' B' U B D' R' U
F' B' U B D2 R' U
B2 F' U B2 R' U D
B2 F' U B2 R' U D'
B2 F' U B2 R' U D2
B2 F' U B2 R' D U
B2 F' U B2 R' D' U
B2 F' U B2 R' D2 U
B2 F' U B2 D R' U
B2 F' U B2 D' R' U
B2 F' U B2 D2 R' U
B2 F' U' L U' D' R2
B2 F' U' L U2 B2 U
B2 F' U' L D' U' R2
B2 F' U' L D2 F2 U'
B F' U R' B' U F'
B2 F' U' D' L U' R2
B2 F' U' D2 L F2 U'
B2 F' U' D2 F2 L U'
D2 B' F' U B R' U
B F' U B' R' U F'
D' B' F' U B R' U
L' B' F' U B R' U
B F' U' L U' F R
L2 B' F' U B R' U
B2 F' D L2 U' L' U'
D B' F' U B R' U
U2 B2 L R2 U' L' B
U2 B2 L R2 U' B L'
L B' F' U B R' U
B2 F' D' U' L U' R2
B2 F' D2 U' L F2 U'
B2 F' D2 U' F2 L U'
F' B2 L' D L2 U2 F2
F' B2 L' D' B2 U2 R2
U2 B2 R2 L U' L' B
U2 B2 R2 L U' B L'
F' B2 U R B2 R' U
F' B2 U R' B2 R' U
F' B2 U R2 B2 R' U
F' B2 U B2 R' U D
F' B2 U B2 R' U D'
F' B2 U B2 R' U D2
F' B2 U B2 R' D U
F' B2 U B2 R' D' U
F' B2 U B2 R' D2 U
F' B2 U B2 D R' U
F' B2 U B2 D' R' U
F' B2 U B2 D2 R' U
F' B2 U' L U' D' R2
F' B2 U' L U2 B2 U
F' B2 U' L D' U' R2
F' B2 U' L D2 F2 U'
F' B2 U' D' L U' R2
F' B2 U' D2 L F2 U'
F' B2 U' D2 F2 L U'
F' B2 D L2 U' L' U'
U' B2 F' U' L B2 U'
D2 B2 F' U B2 R' U
F' B2 D' U' L U' R2
D' B2 F' U B2 R' U
L' B2 F' U B2 R' U
L2 B2 F' U B2 R' U
F' B2 D2 U' L F2 U'
F' B2 D2 U' F2 L U'
D B2 F' U B2 R' U
L B2 F' U B2 R' U
