D' L' F D2 B2
D' L F2 L2 F B'
D' L F2 L2 B' F
D' L' R2 F B R2
D' L' R2 B R2 F
D' L' R2 B F R2
D' L' U2 F' U2 F2
D' L' D F D2 B2
D' L' D' F D2 B2
D' L' D2 F D2 B2
D' L' F U2 F2 U2
D' L' F D2 B2 D
D' L' F D2 B2 D'
D' L' F D2 B2 D2
D' L' F B D2 B2
D' L' F B' D2 B2
D' L' F B2 D2 B2
D' L' B F D2 B2
D' L' B' F D2 B2
D' L' B2 F D2 B2
L' U2 F' U R U
D' R2 L' F B R2
D' R2 L' B R2 F
D' R2 L' B F R2
D' R2 B L' R2 F
D' R2 B L' F R2
D' R2 B R2 L' F
B' D' L' F D2 B2
B2 D' L' F D2 B2
B D' L' F D2 B2
D' B L' F D2 B2
R2 B R2 D' L' F
D' B' L' F D2 B2
D' B2 L' F D2 B2
D' L' D2 F B2 D2 B2
D' L' D2 B F D2 B2
D' L' D2 B' F D2 B2
D' L' D2 B2 F D2 B2
D' L' F L D2 L' B2
D' L' F L D2 B2 L'
D' L' F L' D2 L B2
D' L' F R D2 R' B2
D' L' F R' D2 R B2
D' L' F R' D2 B2 R
D' L' F U D R2 U'
D' L' F U' D' L2 U
D' L' F U2 F2 U2 D
D' L' F U2 F2 U2 D'
D' L' F U2 F2 U2 D2
D' L' F U2 F2 D U2
D' L' F U2 F2 D' U2
D' L' F U2 F2 D2 U2
D' L' F D U R2 U'
D' L' F D B D B2
D' L' F D B' D B2
D' L' F D B2 D B2
D' L' F D' U' L2 U
D' L' F D' B D' B2
D' L' F D' B' D' B2
D' L' F D' B2 D' B2
D' L' F D2 L B2 L'
D' L' F D2 L2 B2 L2
D' L' F D2 R' B2 R
D' L' F D2 R2 B2 R2
D' L' F D2 B D B
D' L' F D2 B D' B
D' L' F D2 B D2 B
D' L' F D2 B' D B'
D' L' F D2 B' D' B'
D' L' F D2 B' D2 B'
D' L' F B U2 F2 U2
D' L' F B D2 B2 D
D' L' F B D2 B2 D'
D' L' F B D2 B2 D2
D' L' F B' U2 F2 U2
D' L' F B' D2 B2 D
D' L' F B' D2 B2 D'
D' L' F B' D2 B2 D2
D' L' F B2 U2 F2 U2
D' L' F B2 D2 B2 D
D' L' F B2 D2 B2 D'
D' L' F B2 D2 B2 D2
D' L' F2 L2 F' B' L2
D' L' F2 L2 B' L2 F'
D' L' F2 L2 B' F' L2
D' L' F2 U2 F U2 F2
D' L' F2 D F' D2 B2
D' L' F2 D' F' D2 B2
D' L' F2 D2 F' D2 B2
F2 L' F2 D' L' F B'
F2 L' F2 D' L' B' F
D' L' B R2 F B R2
D' L' B R2 B R2 F
D' L' B R2 B F R2
D' L' B U2 F' U2 F2
D' L' B D F D2 B2
D' L' B D' F D2 B2
D' L' B D2 F D2 B2
D' L' B F U2 F2 U2
D' L' B F D2 B2 D
D' L' B F D2 B2 D'
D' L' B F D2 B2 D2
D' L' B' R2 F B R2
D' L' B' R2 B R2 F
D' L' B' R2 B F R2
D' L' B' U2 F' U2 F2
D' L' B' D F D2 B2
D' L' B' D' F D2 B2
D' L' B' D2 F D2 B2
D' L' B' F U2 F2 U2
D' L' B' F D2 B2 D
D' L' B' F D2 B2 D'
D' L' B' F D2 B2 D2
D' L' B2 R2 F B R2
D' L' B2 R2 B R2 F
D' L' B2 R2 B F R2
D' L' B2 U2 F' U2 F2
D' L' B2 D F D2 B2
D' L' B2 D' F D2 B2
D' L' B2 D2 F D2 B2
D' L' B2 F U2 F2 U2
D' L' B2 F D2 B2 D
D' L' B2 F D2 B2 D'
D' L' B2 F D2 B2 D2
L' R2 B R D R F'
D' L2 U2 F' U2 L F
D' L2 D L F D2 B2
D' L2 D' L F D2 B2
D' L2 D2 L F D2 B2
D' L2 F L D2 F B2
D' L2 F L D2 B2 F
D' L2 F D2 L F B2
D' L2 F D2 L B2 F
D' L2 F2 L2 B' L' F
F2 L2 F2 D' B' L' F
F2 L2 F2 B' D' L' F
F2 L2 B' F2 D' L' F
D' R L' F R B R2
D R L' F' R B R2
D' R U2 L' R' F B'
D' R U2 L' R' B' F
D' R U2 L' F R' B'
D' R U2 R' L' F B'
D' R U2 R' L' B' F
R2 U B R2 D' L' F
D R U2 L' F' R' B'
U2 R U2 D' L' F B'
U2 R U2 D' L' B' F
U2 R D' U2 L' F B'
U2 R D' U2 L' B' F
F2 R F U R U R2
F2 R F U2 R' D' F2
R2 U' B R2 D' L' F
R U2 R' D' L' F B'
R U2 R' D' L' B' F
R U2 D' L' R' F B'
R U2 D' L' R' B' F
R U2 D' L' F R' B'
R U2 D' R' L' F B'
R U2 D' R' L' B' F
D' R2 L' F B R2 D
D' R2 L' F B R2 D'
D' R2 L' F B R2 D2
D' R2 L' F B' R2 B2
D' R2 L' F B2 R2 B'
D' R2 L' F' B R2 F2
D' R2 L' B R' F R'
D' R2 L' B R2 D F
D' R2 L' B R2 D' F
D' R2 L' B R2 D2 F
D' R2 L' B R2 F D
D' R2 L' B R2 F D'
D' R2 L' B R2 F D2
D' R2 L' B F R2 D
D' R2 L' B F R2 D'
D' R2 L' B F R2 D2
D' R2 L' B F' R2 F2
D' R2 L' B' R2 F B2
D' R2 L' B' R2 B2 F
D' R2 L' B' F R2 B2
D' R2 L' B2 R2 F B'
D' R2 L' B2 R2 B' F
D' R2 L' B2 F R2 B'
D R2 L' B R' F' R'
L' U2 F' U R U D
L' U2 F' U R U D'
L' U2 F' U R U D2
L' U2 F' U R D U
L' U2 F' U R D' U
L' U2 F' U R D2 U
L' U2 F' U D R U
L' U2 F' U D' R U
L' U2 F' U D2 R U
D' R2 U L' F B R2
D' R2 U L' B R2 F
D' R2 U L' B F R2
L' U2 F' D U R U
L' U2 F' D' U R U
L' U2 F' D2 U R U
L2 U2 F' U R U L
L' U2 F' B U R U
L' U2 F' B' U R U
L' U2 F' B2 U R U
U' R2 U D' L' F B
U' R2 U D' L' B F
U' R2 U D' B L' F
D' R2 U B L' R2 F
D' R2 U B L' F R2
D' R2 U B R2 L' F
U' R2 U B D' L' F
L U2 F' U R U L2
D' R2 U' L' F B R2
D' R2 U' L' B R2 F
D' R2 U' L' B F R2
D' R2 U' B L' R2 F
D' R2 U' B L' F R2
D' R2 U' B R2 L' F
D' R2 U2 L' F B R2
D' R2 U2 L' B R2 F
D' R2 U2 L' B F R2
L' U2 B F' U R U
R2 U2 B R2 D' L' F
U R2 U' D' L' F B
U R2 U' D' L' B F
U R2 U' D' B L' F
D' R2 U2 B L' R2 F
D' R2 U2 B L' F R2
D' R2 U2 B R2 L' F
U2 R2 U2 D' L' F B
U2 R2 U2 D' L' B F
U2 R2 U2 D' B L' F
U R2 U' B D' L' F
U2 R2 U2 B D' L' F
L' U2 B' F' U R U
U' R2 D' U L' F B
U' R2 D' U L' B F
L' U2 B2 F' U R U
U' R2 D' U B L' F
U2 R2 D' U2 L' F B
U2 R2 D' U2 L' B F
U2 R2 D' U2 B L' F
U R2 D' U' L' F B
U R2 D' U' L' B F
U R2 D' U' B L' F
R D L' R F' B R2
R D L' R B F' R2
L' D R F' R B R2
R D R L' F' B R2
R D R L' B F' R2
D' R2 B L' R' F R'
D' R2 B L' R2 D F
D' R2 B L' R2 D' F
D' R2 B L' R2 D2 F
D' R2 B L' R2 F D
D' R2 B L' R2 F D'
D' R2 B L' R2 F D2
D' R2 B L' F R2 D
D' R2 B L' F R2 D'
D' R2 B L' F R2 D2
D' R2 B L' F' R2 F2
D' R2 B R' L' F R'
D' R2 B R2 L' D F
D' R2 B R2 L' D' F
D' R2 B R2 L' D2 F
D' R2 B R2 L' F D
D' R2 B R2 L' F D'
D' R2 B R2 L' F D2
B' R2 B R2 D' L' F
R D R B L' F' R2
B2 R2 B R2 D' L' F
D R2 B L' R' F' R'
D' R2 B' L' R2 F B2
D' R2 B' L' R2 B2 F
D' R2 B' L' F R2 B2
D' R2 B' L' F B2 R2
D' R2 B' L' B2 R2 F
D' R2 B' L' B2 F R2
D R2 B R' L' F' R'
B R2 B R2 D' L' F
D R2 B R2 D2 L' F
D' R2 B' R2 L' F B2
D' R2 B' R2 L' B2 F
D' R2 B' R2 B2 L' F
L' D R2 B R' F' R'
D' R2 B2 R2 B' L' F
F U L' D R2 B' U'
F U L' D B' R2 U'
F U L' D2 B' U' B'
F U L' B' U F2 U2
F U L' B' U' D2 B2
F U L' B' D R2 U'
F U L' B' D2 U' B2
U2 D R U2 L' F' B'
U2 D R U2 L' B' F'
D' U R2 U' L' F B
D' U R2 U' L' B F
D' U R2 U' B L' F
F U D L' R2 B' U'
F U D L' B' R2 U'
F U D R2 L' B' U'
L2 D' L U2 F' B' U2
L2 D' L U2 B' F' U2
L' D' L' F L D2 B2
L' D' L' F D2 L B2
U2 D F2 R F U2 F2
F U D2 L' B' U' B'
R2 D' L' D F B R2
R2 D' L' D B R2 F
R2 D' L' D B F R2
L2 D' L' F L2 D2 B2
L2 D' L' F2 L2 F' B'
L2 D' L' F2 L2 B' F'
R D' L' R F B R2
R D' L' R B R2 F
R D' L' R B F R2
R2 D' L' B D R2 F
R2 D' L' B D F R2
R D' L' R' F D2 B2
R D' L' F R B R2
R D' R L' F B R2
R D' R L' B R2 F
R D' R L' B F R2
R D' R B L' R2 F
R D' R B L' F R2
R D' R B R2 L' F
R D' R' L' F D2 B2
U2 D' L' F D2 B2 R'
U2 D' R U2 L' F B'
U2 D' R U2 L' B' F
L2 D' F L' F L2 B'
R D' U2 L' R' F B'
R D' U2 L' R' B' F
R D' U2 L' F R' B'
R D' U2 R' L' F B'
R D' U2 R' L' B' F
U' D' R2 U L' F B
U' D' R2 U L' B F
D' U' R2 U L' F B
D' U' R2 U L' B F
U' D' R2 U B L' F
D' U' R2 U B L' F
U2 D' R2 U2 L' F B
U2 D' R2 U2 L' B F
U2 D' R2 U2 B L' F
U D' R2 U' L' F B
U D' R2 U' L' B F
U D' R2 U' B L' F
R2 D' B L' D R2 F
R2 D' B L' D F R2
U2 D' F' U2 L' F L'
U2 D' F' U2 F L' F
D' U2 L' F D2 B2 R'
D' U2 R U2 L' F B'
D' U2 R U2 L' B' F
D U2 R U2 L' F' B'
D U2 R U2 L' B' F'
D' U2 R2 U2 L' F B
D' U2 R2 U2 L' B F
D' U2 R2 U2 B L' F
D' U2 F' U2 L' F L'
D' U2 F' U2 F L' F
D U2 F2 R F U2 F2
L2 F L D F2 D B2
L2 F L D2 B2 D' F2
L' F U L' U F2 U2
L' F U L' U' D2 B2
L' F U L' D R2 U'
L' F U L' D2 U' B2
L' F U D L' R2 U'
L' F U D R2 L' U'
L' F U D2 L' U' B2
L' F U2 F2 U R U
L' F D U L' R2 U'
L' F D U R2 L' U'
L2 F D L D F2 B2
L2 F D L D B2 F2
L' F D2 U L' U' B2
L2 F D2 L B2 D F2
L' F D2 B2 U L' U'
D F D2 F' L' F B2
D F D2 F' L' B2 F
D F D2 F' B2 L' F
D F D2 B2 F' L' F
F D U L' R2 B' U'
F D U L' B' R2 U'
F D U R2 L' B' U'
U2 F' U R F U L'
U2 F' U D R F' U
L' F' U' R U2 R' U'
B' D' L F2 L2 F B'
B' D' L F2 L2 B' F
B' D' L' R2 F B R2
B' D' L' R2 B R2 F
B' D' L' R2 B F R2
B2 D' L F2 L2 F B'
B2 D' L F2 L2 B' F
B' D' L' U2 F' U2 F2
B' D' L' D F D2 B2
B' D' L' D' F D2 B2
B' D' L' D2 F D2 B2
B2 D' L' R2 F B R2
B' D' L' F U2 F2 U2
B2 D' L' R2 B R2 F
B2 D' L' R2 B F R2
B' D' L' F D2 B2 D
B' D' L' F D2 B2 D'
B' D' L' F D2 B2 D2
B' D' L' F B D2 B2
B' D' L' F B' D2 B2
B' D' L' F B2 D2 B2
B2 D' L' U2 F' U2 F2
B' D' L' B F D2 B2
B2 D' L' D F D2 B2
U2 F' U2 F D' L' F
B' D' L' B' F D2 B2
B2 D' L' D' F D2 B2
B' D' L' B2 F D2 B2
B2 D' L' D2 F D2 B2
B2 D' L' F U2 F2 U2
B2 D' L' F D2 B2 D
B2 D' L' F D2 B2 D'
B2 D' L' F D2 B2 D2
B2 D' L' F B D2 B2
B2 D' L' F B' D2 B2
B2 D' L' F B2 D2 B2
B D' L F2 L2 F B'
B D' L F2 L2 B' F
B2 D' L' B F D2 B2
B2 D' L' B' F D2 B2
B2 D' L' B2 F D2 B2
B D' L' R2 F B R2
B D' L' R2 B R2 F
B D' L' R2 B F R2
U2 F' D U R F' U
B D' L' U2 F' U2 F2
B D' L' D F D2 B2
B D' L' D' F D2 B2
B D' L' D2 F D2 B2
B D' L' F U2 F2 U2
B D' L' F D2 B2 D
B D' L' F D2 B2 D'
B D' L' F D2 B2 D2
B D' L' F B D2 B2
B D' L' F B' D2 B2
B D' L' F B2 D2 B2
B D' L' B F D2 B2
B D' L' B' F D2 B2
B D' L' B2 F D2 B2
B' D' R2 L' F B R2
B' D' R2 L' B R2 F
B' D' R2 L' B F R2
B2 D' R2 L' F B R2
B2 D' R2 L' B R2 F
B2 D' R2 L' B F R2
B' D' R2 B L' R2 F
B' D' R2 B L' F R2
B' D' R2 B R2 L' F
B2 D' R2 B L' R2 F
B2 D' R2 B L' F R2
B2 D' R2 B R2 L' F
B D' R2 L' F B R2
B D' R2 L' B R2 F
B D' R2 L' B F R2
B D' R2 B L' R2 F
B D' R2 B L' F R2
B D' R2 B R2 L' F
D' F2 L' F2 L' F' B'
D' F2 L' F2 L' B' F'
U2 F2 R F U R U
B' D' B L' F D2 B2
F D' F' D' L' F B2
F D' F' D' L' B2 F
B2 D' B L' F D2 B2
D F2 R F U2 R' F2
D F2 R F U2 F2 R'
F D' F' D' B2 L' F
B' D' B' L' F D2 B2
B D' B L' F D2 B2
B2 D' B' L' F D2 B2
B' D' B2 L' F D2 B2
U' F2 U' R F B U2
U' F2 U' R B F U2
B D' B' L' F D2 B2
B2 D' B2 L' F D2 B2
B D' B2 L' F D2 B2
D F2 U2 R F U2 F2
D' B L F2 L2 F B'
D' B L F2 L2 B' F
F D2 U L' B' U' B'
D' B L' R2 F B R2
D' B L' R2 B R2 F
D' B L' R2 B F R2
D' B L' U2 F' U2 F2
D' B L' D F D2 B2
D' B L' D' F D2 B2
D' B L' D2 F D2 B2
D' B L' F U2 F2 U2
D' B L' F D2 B2 D
D' B L' F D2 B2 D'
D' B L' F D2 B2 D2
D' B L' F B D2 B2
D' B L' F B' D2 B2
D' B L' F B2 D2 B2
D' B L' B F D2 B2
D' B L' B' F D2 B2
D' B L' B2 F D2 B2
R2 B L' R D R F'
R2 B R L' D R F'
R2 B R D L' R F'
R2 B R D R L' F'
R2 B R D' L' R F
R2 B R D' R L' F
D' B R2 L' F B R2
D' B R2 L' B R2 F
D' B R2 L' B F R2
F D2 F' B2 D' L' F
R2 B R' D' L' R' F
R2 B R' D' L' F R'
R2 B R' D' R' L' F
D' B R2 B L' R2 F
D' B R2 B L' F R2
D' B R2 B R2 L' F
R2 B R2 D' L' D F
R2 B R2 D' L' D' F
R2 B R2 D' L' D2 F
R2 B R2 D' L' F D
R2 B R2 D' L' F D'
R2 B R2 D' L' F D2
F D2 B2 U L' B' U'
L' B U2 F' U R U
F D2 B2 F' D' L' F
R2 B D' L' D R2 F
R2 B D' L' D F R2
D B D2 L' F D2 B2
D' B' L F2 L2 F B'
D' B' L F2 L2 B' F
D' B' L' R2 F B R2
D' B' L' R2 B R2 F
D' B' L' R2 B F R2
D' B' L' U2 F' U2 F2
D' B' L' D F D2 B2
D' B' L' D' F D2 B2
D' B' L' D2 F D2 B2
D' B' L' F U2 F2 U2
D' B' L' F D2 B2 D
D' B' L' F D2 B2 D'
D' B' L' F D2 B2 D2
D' B' L' F B D2 B2
D' B' L' F B' D2 B2
D' B' L' F B2 D2 B2
D' B' L' B F D2 B2
D' B' L' B' F D2 B2
D' B' L' B2 F D2 B2
D' B' R2 L' F B R2
D' B' R2 L' B R2 F
D' B' R2 L' B F R2
D' B' R2 B L' R2 F
D' B' R2 B L' F R2
D' B' R2 B R2 L' F
R2 B' R2 B2 D' L' F
L' B' U2 F' U R U
D B' D2 L' F D2 B2
D' B2 L F2 L2 F B'
D' B2 L F2 L2 B' F
D' B2 L' R2 F B R2
D' B2 L' R2 B R2 F
D' B2 L' R2 B F R2
D' B2 L' U2 F' U2 F2
D' B2 L' D F D2 B2
D' B2 L' D' F D2 B2
D' B2 L' D2 F D2 B2
D' B2 L' F U2 F2 U2
D' B2 L' F D2 B2 D
D' B2 L' F D2 B2 D'
D' B2 L' F D2 B2 D2
D' B2 L' F B D2 B2
D' B2 L' F B' D2 B2
D' B2 L' F B2 D2 B2
D' B2 L' B F D2 B2
D' B2 L' B' F D2 B2
D' B2 L' B2 F D2 B2
D' B2 R2 L' F B R2
D' B2 R2 L' B R2 F
D' B2 R2 L' B F R2
D' B2 R2 B L' R2 F
D' B2 R2 B L' F R2
D' B2 R2 B R2 L' F
R2 B2 R2 D' B' L' F
R2 B2 R2 B' D' L' F
L' B2 U2 F' U R U
U' B2 D' L' R2 F B
U' B2 D' L' R2 B F
U' B2 D' R2 L' F B
U' B2 D' R2 L' B F
U' B2 D' R2 B L' F
D B2 D2 L' F D2 B2
