F' L2 U' B L
L2 F' U' B L
F' L2 U' L B L
F' L2 U' L' B L
F' L2 U' L2 B L
F' L2 U' D B L
F' L2 U' D' B L
F' L2 U' D2 B L
F' L2 U' B L D
F' L2 U' B L D'
F' L2 U' B L D2
F' L2 U' B D L
F' L2 U' B D' L
F' L2 U' B D2 L
F' L2 D U' B L
F' L2 D' U' B L
F' L2 D2 U' B L
U L2 F' U' L' B
U L2 F' U' B L'
F L2 F2 U' B L
L2 D F' U' B L
B U L2 F' U' L'
B U F' L2 U' L
L2 D' F' U' B L
F' U' D F2 B L
F' U' D B L F2
F' U' D B F2 L
F' U' B D L F2
F' U' B D F2 L
L2 D2 F' U' B L
F' D U' F2 B L
F' D U' B L F2
F' D U' B F2 L
L F' L U' B L
U F' L2 U' L B
L2 F' U' L B L
L2 F' U' L' B L
L2 F' U' L2 B L
L2 F' U' D B L
L2 F' U' D' B L
L2 F' U' D2 B L
L2 F' U' D2 B L
L2 F' U' B L D
L2 F' U' B L D'
L2 F' U' B L D'
L2 F' U' B L D2
L2 F' U' B D L
L2 F' U' B D' L
L2 F' U' B D2 L
D F' U' F' B L
D F' U' B L F'
D F' U' B F' L
L2 F' D U' B L
L2 F' D' U' B L
L2 F' D2 U' B L
F U' D F2 B L R2
F U' D F2 B R2 L
F U' D B L R2 F2
F U' D B L F2 R2
F U' D B R2 L F2
F U' D B R2 F2 L
F U' D B F2 L R2
F U' D B F2 R2 L
F' U' D2 B L D' F2
F' U' D2 B D' L F2
F' U' D2 B D' F2 L
L' D2 L' F' U' B L
B U' D2 R2 B U L
L D2 L F' U' B L
F' U' F D F2 B L
F' U' F D B L F2
F' U' F D B F2 L
F' U' F B D L F2
F' U' F B D F2 L
F' U' F' D F2 B L
F' U' F' D B L F2
F' U' F' D B F2 L
F' U' F' B D L F2
F' U' F' B D F2 L
F' U' F2 D F2 B L
F' U' F2 D B L F2
F' U' F2 D B F2 L
F' U' F2 B D L F2
F' U' F2 B D F2 L
F' U' B L U L U'
F' U' B U L2 U' L'
F' U' B D L F2 D
F' U' B D L F2 D'
F' U' B D L F2 D2
F' U' B D L' F2 L2
F' U' B D F' L F'
F' U' B D F2 L D
F' U' B D F2 L D'
F' U' B D F2 L D2
F' U' B D F2 D L
F' U' B D F2 D' L
F' U' B D F2 D2 L
F' U' B D' L D2 F2
F' U' B D2 L D' F2
F' U' B F D L F2
F' U' B F D F2 L
F' U' B F' D L F2
F' U' B F' D F2 L
F' U' B F2 D L F2
F' U' B F2 D F2 L
F U' B D L R2 F2
F U' B D L F2 R2
F U' B D R2 L F2
F U' B D R2 F2 L
F U' B D F2 L R2
F U' B D F2 R2 L
L2 D2 F' U' L B L
L2 D2 F' U' L' B L
L2 D2 F' U' L2 B L
L2 D2 F' U' D B L
L2 D2 F' U' D' B L
L2 D2 F' U' D2 B L
L2 D2 F' U' B L D
L2 D2 F' U' B L D'
L2 D2 F' U' B L D2
L2 D2 F' U' B D L
L2 D2 F' U' B D' L
L2 D2 F' U' B D2 L
L2 D2 F' D U' B L
L2 D2 F' D' U' B L
L2 D2 F' D2 U' B L
D U2 F' U' F' L' B
D U2 F' U' F' B L'
D U2 F' U' B F' L'
L D2 F' L U' B L
L F L F2 U' B L
U F L2 F2 U' L' B
U F L2 F2 U' B L'
F' D L U' F2 B L
F' D L U' B L F2
F' D L U' B F2 L
L2 F U' D B L R2
L2 F U' D B R2 L
L2 F U' B L D R2
L2 F U' B D L R2
L2 F U' B D R2 L
F' D L' U' F2 B L
F' D L' U' B L F2
F' D L' U' B F2 L
U' F D F2 B L R2
U' F D F2 B R2 L
U' F D B L R2 F2
U' F D B L F2 R2
U' F D B R2 L F2
U' F D B R2 F2 L
U' F D B F2 L R2
U' F D B F2 R2 L
F' D L2 U' F2 B L
F' D L2 U' B L F2
F' D L2 U' B F2 L
L2 F D U' B L R2
L2 F D U' B R2 L
U F D F2 L' B R2
U F D F2 B L' R2
U F D F2 B R2 L'
U F D B F2 L' R2
U F D B F2 R2 L'
U' F B D L R2 F2
U' F B D L F2 R2
U' F B D R2 L F2
U' F B D R2 F2 L
U' F B D F2 L R2
U' F B D F2 R2 L
U F B D F2 L' R2
U F B D F2 R2 L'
F' D U' L F2 B L
F' D U' L B L F2
F' D U' L B F2 L
F' D U' L' F2 B L
F' D U' L' B L F2
F' D U' L' B F2 L
F' D U' L2 F2 B L
F' D U' L2 B L F2
F' D U' L2 B F2 L
F' D U' F' B L F'
F' D U' F2 L B L
F' D U' F2 L' B L
F' D U' F2 L2 B L
F' D U' F2 D B L
F' D U' F2 D' B L
F' D U' F2 D2 B L
F' D U' F2 B L D
F' D U' F2 B L D'
F' D U' F2 B L D2
F' D U' F2 B D L
F' D U' F2 B D' L
F' D U' F2 B D2 L
F' D U' B L F2 D
F' D U' B L F2 D'
F' D U' B L F2 D2
F' D U' B L' F2 L2
F' D U' B F' L F'
F' D U' B F2 L D
F' D U' B F2 L D'
F' D U' B F2 L D2
F' D U' B F2 D L
F' D U' B F2 D' L
F' D U' B F2 D2 L
B D U F' U' L' F'
D F' L U' F' B L
D F' L U' B L F'
D F' L U' B F' L
F D U' F2 B L R2
F D U' F2 B R2 L
L F' L U' L B L
F D U' B L R2 F2
F D U' B L F2 R2
L F' L U' L' B L
L F' L U' L2 B L
F D U' B R2 L F2
F D U' B R2 F2 L
L F' L U' D B L
L F' L U' D' B L
L F' L U' D2 B L
L F' L U' B L D
L F' L U' B L D'
L F' L U' B L D2
L F' L U' B D L
L F' L U' B D' L
L F' L U' B D2 L
F D U' B F2 L R2
F D U' B F2 R2 L
L F' L D U' B L
L F' L D' U' B L
L F' L D2 U' B L
F2 D F U' F B L
F2 D F U' B F L
U2 F' L' B' L' U' B2
D F' L' U' F' B L
D F' L' U' B L F'
U' F' L2 B' U' B2 L
D F' L' U' B F' L
U' F' L2 B2 U' B' L
D F' L2 U' F' B L
D F' L2 U' B L F'
D F' L2 U' B F' L
U F' L2 U' L D B
U F' L2 U' L D' B
U F' L2 U' L D2 B
U F' L2 U' L B D
U F' L2 U' L B D'
U F' L2 U' L B D2
U F' L2 U' L' B L2
U F' L2 U' L2 B L'
U F' L2 U' D L B
U F' L2 U' D' L B
U F' L2 U' D2 L B
L2 F' R D B R' U'
U F' L2 D U' L B
U F' L2 D' U' L B
U F' L2 D2 U' L B
L2 F' R B R' U' B
L2 F' U R2 F' U2 L'
L2 F' U F' U2 L' B
L2 F' U F' U2 B L'
D2 F' U' D' F2 B L
D2 F' U' D' B L F2
D2 F' U' D' B F2 L
D' F' U' D2 F2 B L
D' F' U' D2 B L F2
D' F' U' D2 B F2 L
D2 F' U' B L D' F2
L2 F' U' L D B L
L2 F' U' L D' B L
L2 F' U' L D2 B L
L2 F' U' L B L D
L2 F' U' L B L D'
L2 F' U' L B L D2
D2 F' U' B D' L F2
L2 F' U' L B D L
L2 F' U' L B D' L
L2 F' U' L B D2 L
D2 F' U' B D' F2 L
L2 F' U' L' D B L
L2 F' U' L' D' B L
L2 F' U' L' D2 B L
L2 F' U' L' B L D
L2 F' U' L' B L D'
L2 F' U' L' B L D2
L2 F' U' L' B D L
L2 F' U' L' B D' L
L2 F' U' L' B D2 L
L2 F' U' L2 D B L
L2 F' U' L2 D' B L
L2 F' U' L2 D2 B L
L2 F' U' L2 B L D
L2 F' U' L2 B L D'
L2 F' U' L2 B L D2
L2 F' U' L2 B D L
L2 F' U' L2 B D' L
L2 F' U' L2 B D2 L
L2 F' U' D L B L
L2 F' U' D L' B L
L2 F' U' D L2 B L
L2 F' U' D B L D
L2 F' U' D B L D'
L2 F' U' D B L D2
L2 F' U' D B D L
L2 F' U' D B D' L
L2 F' U' D B D2 L
L2 F' U' D' L B L
L2 F' U' D' L' B L
L2 F' U' D' L2 B L
L2 F' U' D' B L D
L2 F' U' D' B L D'
L2 F' U' D' B L D2
L2 F' U' D' B D L
L2 F' U' D' B D' L
L2 F' U' D' B D2 L
L2 F' U' D2 L B L
L2 F' U' D2 L' B L
L2 F' U' D2 L2 B L
L2 F' U' D2 B L D
L2 F' U' D2 B L D'
L2 F' U' D2 B L D2
L2 F' U' D2 B D L
L2 F' U' D2 B D' L
L2 F' U' D2 B D2 L
L2 F' U' F B L F'
D F' U' L F' B L
D F' U' L B L F'
D F' U' L B F' L
D F' U' L' F' B L
D F' U' L' B L F'
D F' U' L' B F' L
L2 F' U' F2 B L F2
L2 F' U' B L2 D L'
L2 F' U' B L2 D' L'
L2 F' U' B L2 D2 L'
D F' U' L2 F' B L
D F' U' L2 B L F'
D F' U' L2 B F' L
L2 F' U' B D L D
L2 F' U' B D L D'
L2 F' U' B D L D2
L2 F' U' B D' L D
L2 F' U' B D' L D'
L2 F' U' B D' L D2
L2 F' U' B D2 L D
L2 F' U' B D2 L D'
L2 F' U' B D2 L D2
L2 F' U' B F L F'
L2 F' U' B F2 L F2
L2 F' U' B' L B2 L
L2 F' U' B' L' B2 L
L2 F' U' B' L2 B2 L
L2 F' U2 L F U B
D F' U' D F' B L
D F' U' D B L F'
D F' U' D B F' L
D F' U' D' F' B L
D F' U' D' B L F'
D F' U' D' B F' L
D F' U' D2 F' B L
D F' U' D2 B L F'
D F' U' D2 B F' L
D F' U' F B L F2
D F' U' F' L B L
D F' U' F' L' B L
D F' U' F' L2 B L
D F' U' F' D B L
D F' U' F' D' B L
D F' U' F' D2 B L
D F' U' F' B L D
D F' U' F' B L D'
D F' U' F' B L D2
D F' U' F' B D L
D F' U' F' B D' L
D F' U' F' B D2 L
D' F' D L2 U' B L
D F' U' B L D F'
D F' U' B L D' F'
D F' U' B L D2 F'
D F' U' B L F' D
D F' U' B L F' D'
D F' U' B L F' D2
D F' U' B L' F' L2
D F' U' B D L F'
D F' U' B D F' L
D F' U' B D' L F'
D F' U' B D' F' L
D F' U' B D2 L F'
D F' U' B D2 F' L
D F' U' B F L F2
D F' U' B F' L D
D F' U' B F' L D'
D F' U' B F' L D2
D F' U' B F' D L
D F' U' B F' D' L
D F' U' B F' D2 L
U F' U' D L' F2 B
U F' U' D L' B F2
U F' U' D B L' F2
L2 F' U2 F U B L
L2 F' U2 F' U B L
L2 F' U2 F2 U B L
U F' U' B D L' F2
L2 F' D U' L B L
L2 F' D U' L' B L
L2 F' D U' L2 B L
L2 F' D U' B L D
L2 F' D U' B L D'
L2 F' D U' B L D2
L2 F' D U' B D L
L2 F' D U' B D' L
L2 F' D U' B D2 L
D2 F' D' U' F2 B L
D2 F' D' U' B L F2
D2 F' D' U' B F2 L
D F' D U' F' B L
D F' D U' B L F'
D F' D U' B F' L
L F' D L U' B L
D2 F' D2 L2 U' B L
L2 F' D' U' L B L
L2 F' D' U' L' B L
L2 F' D' U' L2 B L
L2 F' D' U' B L D
L2 F' D' U' B L D'
L2 F' D' U' B L D2
L2 F' D' U' B D L
L2 F' D' U' B D' L
L2 F' D' U' B D2 L
U F' D U' L' F2 B
U F' D U' L' B F2
U F' D U' B L' F2
D' F' D2 U' F2 B L
D' F' D2 U' B L F2
D' F' D2 U' B F2 L
D F' D' U' F' B L
D F' D' U' B L F'
D F' D' U' B F' L
L F' D' L U' B L
L2 F' D2 U' L B L
L2 F' D2 U' L' B L
L2 F' D2 U' L2 B L
L2 F' D2 U' B L D
L2 F' D2 U' B L D'
L2 F' D2 U' B L D2
L2 F' D2 U' B D L
L2 F' D2 U' B D' L
L2 F' D2 U' B D2 L
U' F' B' L2 U' B2 L
D F' D2 U' F' B L
D F' D2 U' B L F'
D F' D2 U' B F' L
L F' D2 L U' B L
L2 F' B R B U' B'
L2 F' B' R B U' B
L2 F' B' U' B L B
L2 F' B2 R B U' B2
U F' B' L2 U' L B2
L2 F' B2 U' B L B2
L2 F2 D F U' B L
L2 F2 D' F U' B L
L2 F2 D2 F U' B L
U' B L U L F' U'
U' B L U F' L U'
F' D2 U' B L D' F2
F' D2 U' B D' L F2
F' D2 U' B D' F2 L
B D2 U' R2 B U L
R B L2 R' F' U' B
L2 B R B U' B' R'
R B L2 U' B' R' B
L' B U L' F' U' L'
U' B U F' L2 U' L'
R B R' L2 F' U' B
R B R' F' L2 U' B
D2 B U' R2 B U L
D B U F' U' L' F'
F' B L2 R B U' B'
F' B L2 B' U' B L
F' B R L2 B U' B'
U' B F D L R2 F2
U' B F D L F2 R2
U' B F D R2 L F2
U' B F D R2 F2 L
U' B F D F2 L R2
U' B F D F2 R2 L
L2 B F' R B U' B'
U B F D F2 L' R2
U B F D F2 R2 L'
U' B' L2 F' U' B2 L
U B' L2 F' U' L' B2
U B' L2 F' U' B2 L'
B' F' L2 R B U' B
B' F' L2 U' B L B
F' B' L2 R B U' B
F' B' L2 U' B L B
B' F' L2 B U' B L
B2 F' L2 U F R U2
B' F' R L2 B U' B
F' B' L2 B U' B L
F' B' R L2 B U' B
B F' L2 R B U' B'
B' F' R B L2 U' B
F' B' R B L2 U' B
B2 F' R B L2 U' B2
B F' L2 B' U' B L
B F' R L2 B U' B'
U' B' F' L2 U' B2 L
L2 B' F' R B U' B
L2 B' F' U' B L B
U B' F' L2 U' L B2
F' B2 L2 U F R U2
F' B2 R B L2 U' B2
L2 B2 F' R B U' B2
L2 B2 F' U' B L B2
