U L' U L' U2 B
D2 L' U' L B R2
D L' F2 U' L B
U L' F2 U' B R
U2 L2 U' L U' B
L' U L' U2 L2 B
L' U L' U2 B L2
L' U' L D2 B R2
L' U' L B D2 R2
L2 U' L U' L B
D2 U L' U' B R2
B U L' U L' U2
U D L' F2 U' B
B U L' F2 U' R
D U L' F2 U' B
B U D L' F2 U'
B U D2 L' U' R2
U D2 L' U' B R2
B U2 L2 U' L U'
B D U L' F2 U'
L' F2 U' L B R
B D2 R2 U L' U'
B D2 U L' U' R2
D2 B R2 U L' U'
D2 B U L' U' R2
D B U L' F2 U'
U2 L2 U' L U' B D2
U2 L2 U' L D U' B
U2 L2 U' L D' U' B
U2 L2 U' L D2 U' B
U L2 U' L U' L' B
U L2 U' L U' B L'
U2 L2 U' D L U' B
U2 L2 U' D' L U' B
U2 L2 U' D2 L U' B
U2 L2 D U' L U' B
U2 L2 D' U' L U' B
R' U L' U L' U2 B'
L' U L' R2 F' U2 L2
U2 L2 D2 U' L U' B
L' U L' U2 L' B L'
L' U L' U2 L2 D B
L' U L' U2 L2 D' B
L' U L' U2 L2 D2 B
L' U L' U2 L2 B D
L' U L' U2 L2 B D'
L' U L' U2 L2 B D2
L' U L' U2 B L2 D
L' U L' U2 B L2 D'
L' U L' U2 B L2 D2
L' U L' U2 B' L2 B2
L' U L' D2 R2 F' U2
L' U L' F U2 L2 B
L' U L' F U2 B L2
R2 U L' U L' F' U2
L' U L' F' U2 L2 B
L' U L' F' U2 B L2
L' U L' F2 U2 L2 B
L' U L' F2 U2 B L2
U2 L2 F U' L U' B
B2 L2 F U' L U' L
U2 L2 F' U' L U' B
D L2 F2 L U' L B
U2 L2 F2 U' L U' B
L' U R2 L' F' U2 L2
L' U D L' U2 L2 B
L' U D L' U2 B L2
D' L2 B2 R' U B' L2
L' U D' L' U2 L2 B
L' U D' L' U2 B L2
U2 L2 B2 U R' U B'
L' U D2 L' U2 L2 B
L' U D2 L' U2 B L2
R2 U D2 L' U' R2 B
B R U L' U L' U2
B R U L' F2 U' R
B R U D L' F2 U'
B R U D2 L' U' R2
L' U F2 U2 L B R
B R U2 L2 U' L U'
B R D U L' F2 U'
L' U' L R2 D2 R2 B
L' U' L U2 L2 U2 B
L' U' L D B D R2
L' U' L D2 B R2 D
L' U' L D2 B R2 D'
L' U' L D2 B R2 D2
L' U' L D2 B' R2 B2
L2 U' L U' L D B
L2 U' L U' L D' B
L2 U' L U' L D2 B
L2 U' L U' L B D
L2 U' L U' L B D'
L2 U' L U' L B D2
L' U' L D2 B2 R2 B'
L2 U' L U' L' B L2
L2 U' L U' L2 B L'
L2 U' L U' D L B
L2 U' L U' D' L B
L2 U' L U' D2 L B
L2 U' L D U' L B
L' U' L B R D2 R2
L' U' L B R' D2 R2
L2 U' L D' U' L B
L' U' L B R2 D2 R2
L' U' L B U2 L2 U2
L' U' L B D2 R2 D
L' U' L B D2 R2 D'
L' U' L B D2 R2 D2
L2 U' L D2 U' L B
L' U' L B2 D2 R2 B'
L' U' L B2 D2 B' R2
B R D2 R2 U L' U'
L' U' L' U2 B L2 F
B R D2 U L' U' R2
L' U' L' B L2 D2 R2
L' U' L2 B2 R' B' L'
L' U' R2 L D2 R2 B
L' U' D L D2 B R2
L' U' D L B D2 R2
L' U' D' L D2 B R2
L' U' D' L B D2 R2
L2 U' D' L B2 U' B'
L' U' D2 L D2 B R2
L' U' D2 L B D2 R2
L' U' F2 L B R F2
B R' U L' U L' U2
B R' U L' F2 U' R
B R' U D L' F2 U'
B R' U D2 L' U' R2
B R' U2 L2 U' L U'
B R' D U L' F2 U'
B R' D2 R2 U L' U'
B R' D2 U L' U' R2
L2 U2 L' D L' F2 B
L2 U2 L' D L' B F2
L2 U2 L' D B L' F2
R' U2 L2 U' L U' B'
L2 U2 L' B D L' F2
L2 U2 L2 U L' U' B
L2 U2 L2 B U L' U'
R2 U2 L2 F' U' L U'
U R2 L' U L' F' U2
D2 R2 U L' R2 U' B
D2 R2 U L' U F' U2
D2 R2 U R2 L' U' B
B R2 U L' U L' U2
B R2 U L' F2 U' R
L' U2 F2 U L B R
B R2 U D L' F2 U'
B R2 U D2 L' U' R2
L2 U2 B L' D L' F
B R2 U2 L2 U' L U'
B R2 D U L' F2 U'
L D L U2 L2 F2 B
L D L U2 L2 B F2
L D L U2 F2 L2 B
L D L U2 F2 B L2
L D L U2 B L2 F2
L D L U2 B F2 L2
B R2 D2 R2 U L' U'
B R2 D2 U L' U' R2
U R2 D2 L' U' R2 B
L D L' D2 B R2 F'
L D L' F2 D2 B R2
L D L' F2 B D2 R2
L D L' B F2 D2 R2
L D L2 F2 L B R
L' D U L' U2 L2 B
L' D U L' U2 B L2
L' D U' L D2 B R2
L' D U' L B D2 R2
D' U L' U' D' B R2
B' U L' U L' U2 B2
D2 U L' U' B R2 D
D2 U L' U' B R2 D'
D2 U L' U' B R2 D2
D2 U L' U' B' R2 B2
D2 U L' U' B2 R2 B'
D' U L' U2 B2 U B'
D' U L' D' U' B R2
B2 U L' U L' F U2
D2 U L' D' F2 U' B
D' U L' D2 F2 U' B
D2 U L' F U' B R2
D U L F2 L2 U' B
D2 U L' F' U' B R2
D2 U L' F2 U' B R2
B' U L' F2 U' R B2
B' U L' F2 U' B2 R
U D L F2 L2 U' B
B U L' U L' U2 D
B U L' U L' U2 D'
B U L' U L' U2 D2
B U L' U L' D U2
B U L' U L' D' U2
B U L' U L' D2 U2
B U L' U D L' U2
B U L' U D' L' U2
B U L' U D2 L' U2
D U L' U' D B R2
B U L' U' F2 R F2
D U L' U' B D R2
B U L' D U L' U2
D U L' D U' B R2
B U L' D F2 U' R
B U L' D' U L' U2
B U L' D' F2 U' R
B U L' D2 U L' U2
B U L' D2 F2 U' R
U D L' U' D B R2
U D L' U' B D R2
B U L' F2 U' R D
B U L' F2 U' R D'
B U L' F2 U' R D2
B U L' F2 U' D R
B U L' F2 U' D' R
B U L' F2 U' D2 R
B U L' F2 D U' R
D U L' F2 U' D B
D U L' F2 U' D' B
D U L' F2 U' D2 B
D U L' F2 U' B D
D U L' F2 U' B D'
D U L' F2 U' B D2
B U L' F2 D' U' R
B U L' F2 D2 U' R
D U L' F2 D U' B
D U L' F2 D' U' B
D U L' F2 D2 U' B
U D L' D U' B R2
U D L' F2 U' D B
U D L' F2 U' D' B
U D L' F2 U' D2 B
U D L' F2 U' B D
U D L' F2 U' B D'
U D L' F2 U' B D2
U D L' F2 D U' B
U D L' F2 D' U' B
U D L' F2 D2 U' B
L' D F2 U' L B R
D U L2 F2 L U' B
U D L2 F2 L U' B
B' U D L' F2 R U'
F2 U D F2 L' U' B
B U D L F2 L2 U'
B U D L' U' D R2
B U D L' D U' R2
B U D L' F2 U' D
B U D L' F2 U' D'
B U D L' F2 U' D2
B U D L' F2 D U'
B U D L' F2 D' U'
B U D L' F2 D2 U'
B U D L2 F2 L U'
B U D F2 U2 R U
L D B2 R' B' L' F2
B U D' L' U' D' R2
B U D' L' U2 B2 U
B U D' L' D' U' R2
B U D' L' D2 F2 U'
B U D2 L' U' R2 D
B U D2 L' U' R2 D'
B U D2 L' U' R2 D2
B U D2 L' D' F2 U'
B U D2 L' F U' R2
B U D2 L' F' U' R2
B U D2 L' F2 U' R2
L D' L B2 U2 B' L2
L D' L' D2 F2 B R2
L D' L' D2 B R2 F2
L D' L' D2 B F2 R2
L D' L' B D2 R2 F'
B U F2 D F2 L' U'
L' D' U L' U2 L2 B
L' D' U L' U2 B L2
L' D' U' L D2 B R2
L' D' U' L B D2 R2
L2 D' U' L B2 U' B'
U D' L' U' D' B R2
U D' L' U2 B2 U B'
U' D' L2 B2 R' U B'
D' U' L2 B2 R' U B'
U D' L' D' U' B R2
U D' L' D2 F2 U' B
L' D' F2 U' L B R
F2 U' D' B2 R U B'
L D' B2 U2 R' B' L'
B U' D' B2 U2 L' U'
R2 D2 L' U' L R2 B
R2 D2 L' U' R2 L B
U D2 L' U' B R2 D
U D2 L' U' B R2 D'
U D2 L' U' B R2 D2
U D2 L' U' B' R2 B2
U D2 L' U' B2 R2 B'
U D2 L' D' F2 U' B
U D2 L' F U' B R2
U D2 L' F' U' B R2
U D2 L' F2 U' B R2
R2 D2 R2 U L' U' B
L' D2 U L' U2 L2 B
L' D2 U L' U2 B L2
L2 D2 R2 F' U' L U'
R2 D2 R2 B U L' U'
L' D2 U' L D2 B R2
L' D2 U' L B D2 R2
R2 D2 U L' U' R2 B
B U2 L D L U2 F2
B U2 L D' L B2 U2
B U2 L D' B2 U2 R'
B' U2 L2 U' L U' B2
B2 U2 L2 F U' L U'
B U2 L2 U' L U' D
B U2 L2 U' L U' D'
B U2 L2 U' L U' D2
B U2 L2 U' L D U'
B U2 L2 U' L D' U'
B U2 L2 U' L D2 U'
B U2 L2 U' D L U'
B U2 L2 U' D' L U'
B U2 L2 U' D2 L U'
L' D2 F2 U' L B R
B U2 L2 D U' L U'
B U2 L2 D' U' L U'
B U2 L2 D2 U' L U'
B U2 L2 B2 U R' U
B U2 B L2 U' L U'
B U2 B' L2 U' L U'
L2 F U' L U' L B
B U2 B2 L2 U' L U'
B D L D L' R2 F2
B D L D L' F2 R2
B D L D R2 L' F2
B' D L' F2 R U' L
B2 D L' F2 U' L B'
B D R U L' F2 U'
B D R' U L' F2 U'
B' D U L' F2 R U'
B D R2 U L' F2 U'
F2 D U F2 L' U' B
B D U L F2 L2 U'
B D U L' U' D R2
B D U L' D U' R2
B D U L' F2 U' D
B D U L' F2 U' D'
B D U L' F2 U' D2
B D U L' F2 D U'
B D U L' F2 D' U'
B D U L' F2 D2 U'
B D U L2 F2 L U'
B D U F2 U2 R U
F2 D F2 L' U' L B
F' D B R D F' R2
F' D B R' D R2 F'
B D F2 U' R U R'
F2 D B U F2 L' U'
B2 D B' U L' F2 U'
L' F' U' L D2 B R'
L' F' U' D2 L B R'
L2 F' U' L U' L B
B D' L D L' F2 R
L' F' D2 U' L B R'
D2 F' B R D R F'
B D' U L' U' D' R2
B D' U L' U2 B2 U
B D' U L' D' U' R2
B D' U L' D2 F2 U'
F2 D' U' B2 R U B'
B D' U' B2 U2 L' U'
B D' F2 R' D' R2 F2
B D' F2 R' D' F2 R2
B D' F2 U' R B2 U
B D' F2 U' B2 R U
F2 D' B U' B R U
L' F2 U' L D B R
L' F2 U' L D' B R
L' F2 U' L D2 B R
L' F2 U' L B R D
L' F2 U' L B R D'
L' F2 U' L B R D2
L' F2 U' L B D R
L' F2 U' L B D' R
L' F2 U' L B D2 R
L' F2 U' L B' R B2
L' F2 U' L B2 R B'
L' F2 U' L' B L2 R
L' F2 U' L' B R L2
L' F2 U' L2 B L' R
L' F2 U' L2 B R L'
L' F2 U' R D2 L B'
L' F2 U' D L B R
L' F2 U' D' L B R
L' F2 U' D2 L B R
L2 F2 U' L U' L B
D' F2 U' B2 R U B'
D F2 U' R U R' B
B D2 L R2 D L' F2
B2 D2 L' U' L R2 B'
B2 D2 L' U' L B' R2
B2 D2 L' U' R2 L B'
L' F2 D U' L B R
L' F2 D' U' L B R
L' F2 D2 U' L B R
U F2 D F2 L' U' B
B D2 R U L' U' R
D2 F2 B R' D' R' F2
D2 F2 B R' D' F2 R'
D2 F2 B R2 U' R' U
D2 F2 B U' R U R
D' F2 B U' B R U
B D2 R' U L' U' R'
B D2 R' F2 R' D' F2
B2 D2 R2 B' U L' U'
B D2 R2 L D L' F2
D F2 B U' R U R'
B D2 R2 U L' U' D
B D2 R2 U L' U' D'
B D2 R2 U L' U' D2
B D2 R2 U L' D U'
B D2 R2 U L' D' U'
B D2 R2 U L' D2 U'
B D2 R2 U D L' U'
B D2 R2 U D' L' U'
B D2 R2 U D2 L' U'
B D2 R2 D U L' U'
B D2 R2 D' U L' U'
B D2 R2 D2 U L' U'
D2 B L R2 D L' F2
B D2 R2 F2 U' R U
B D2 U L' U' R2 D
B D2 U L' U' R2 D'
B D2 U L' U' R2 D2
B D2 U L' D' F2 U'
B D2 U L' F U' R2
B D2 U L' F' U' R2
B D2 U L' F2 U' R2
D B L D L' R2 F2
D B L D L' F2 R2
D B L D R2 L' F2
D2 B R U L' U' R
B D2 F' R D R F'
D2 B R' U L' U' R'
D B R U L' F2 U'
D2 B R' F2 R' D' F2
F' D2 B R D' R F2
D2 B R2 L D L' F2
F' D2 B R2 U' R U
D2 B R2 U L' U' D
D2 B R2 U L' U' D'
D2 B R2 U L' U' D2
D2 B R2 U L' D U'
D2 B R2 U L' D' U'
D2 B R2 U L' D2 U'
D2 B R2 U D L' U'
D2 B R2 U D' L' U'
D2 B R2 U D2 L' U'
F' D2 B U' R' U R'
B D2 F2 R' D' R' F2
B D2 F2 R' D' F2 R'
D' B R2 U L' F' U'
B D2 F2 R2 U' R' U
D2 B R2 D U L' U'
F2 D2 B R' D' R' F2
F2 D2 B R' D' F2 R'
B D2 F2 U' R U R
F2 D2 B R2 U' R' U
D2 B R2 D' U L' U'
D2 B R2 D2 U L' U'
F2 D2 B U' R U R
D B R' U L' F2 U'
D2 B R2 F2 U' R U
D2 B U L' U' R2 D
D2 B U L' U' R2 D'
D2 B U L' U' R2 D2
D2 B U L' D' F2 U'
D2 B U L' F U' R2
D2 B U L' F' U' R2
D2 B U L' F2 U' R2
D' B U L' U2 B U
B2 D2 B' R2 U L' U'
B2 D2 B' U L' U' R2
D2 B U D' L' F2 U'
D B R2 U L' F2 U'
D B U L F2 L2 U'
D B U L' U' D R2
D B U L' D U' R2
D B U L' F2 U' D
D B U L' F2 U' D'
D B U L' F2 U' D2
D B U L' F2 D U'
D B U L' F2 D' U'
D B U L' F2 D2 U'
D B U L2 F2 L U'
D' B U' B U2 L' U'
D B U D L' U' R2
D B U F2 U2 R U
D2 B D' U L' F2 U'
D B D R2 U L' U'
D B D U L' U' R2
F2 B R D2 R2 D' F2
F2 B R' D' F2 D' R2
F2 B R' D2 R2 D F2
D2 B F' R D R F'
D2 B F2 R' D' R' F2
D2 B F2 R' D' F2 R'
D2 B F2 R2 U' R' U
D2 B F2 U' R U R
D' B F2 U' B R U
F2 B U D F2 L' U'
F2 B U' R U D2 R2
F2 B U' R U' L2 U2
F2 B U' R D' B2 U
F2 B U' R D2 U R2
F2 B U' D' R B2 U
F2 B U' D' B2 R U
F2 B U' D2 R U R
D B F2 U' R U R'
D2 B' L' U' L R2 B2
D2 B' L' U' L B2 R2
D2 B' L' U' R2 L B2
F2 B U2 L2 U R U
F' B D R D F' R2
F' B D R' D R2 F'
F2 B D U F2 L' U'
U2 B' L2 U' L U' B2
D B' L' F2 U' L B2
F2 B D' R' D' R2 F2
F2 B D' R' D' F2 R2
F2 B D' U' R B2 U
F2 B D' U' B2 R U
F' B D2 R D' R F'
F2 B D2 R' D' R' F2
F2 B D2 R' D' F2 R'
F2 B D2 R2 U' R' U
F2 B D2 U' R U R
D2 B' R2 U L' U' B2
D2 B' R2 B2 U L' U'
D2 B' U L' U' R2 B2
D2 B' U L' U' B2 R2
D B' U L' F2 U' B2
D2 B2 L' U' L R2 B'
D2 B2 L' U' L B' R2
D2 B2 L' U' R2 L B'
B F' D R D F' R2
B F' D R' D R2 F'
B F' D2 R D' R F'
D B2 L' F2 U' L B'
U2 B2 L2 F U' L U'
D2 B2 R2 B' U L' U'
L B2 R' D B' L' F2
L2 B2 U R' U B' L2
L B2 R' B' D L' F2
B F2 R D2 R2 D' F2
B F2 R' D' F2 D' R2
B F2 R' D2 R2 D F2
B F2 U D F2 L' U'
B F2 U' R U D2 R2
B F2 U' R U' L2 U2
B F2 U' R D' B2 U
B F2 U' R D2 U R2
B F2 U' D' R B2 U
B F2 U' D' B2 R U
B F2 U' D2 R U R
L B2 D R' B' L' F2
B F2 U2 L2 U R U
B F2 D U F2 L' U'
B F2 D' R' D' R2 F2
B F2 D' R' D' F2 R2
B F2 D' U' R B2 U
B F2 D' U' B2 R U
B F2 D2 R' D' R' F2
B F2 D2 R' D' F2 R'
B F2 D2 R2 U' R' U
B F2 D2 U' R U R
