F L' R U R' U2
F L' R B2 U' L
F R L' U R' U2
F R L' B2 U' L
U' R F L' U' B
F R B2 L' U' L2
F U' L' R U' R'
F U' R L' U' R'
F' U' F2 L' R U'
F' U' F2 R L' U'
U' F L' R U' B
U' F R L' U' B
U F L' U2 F' U B'
U' F R D L' U' B
U' F R D' L' U' B
U' F R D2 L' U' B
F' U2 F2 L' R U' L
U' F R' L' U F' U2
R F L' B2 R U' L
F' U2 F2 R L' U' L
D2 F R B2 U' L F
R2 F R L' U R U2
R F R L' U R2 U2
R F R L' U' D2 L2
R F R L' D B2 U'
R F R L' D2 U' L2
F U2 F2 L' R U L
D F R B2 U' L F'
D F R B2 U' F' L
F U2 F2 R L' U L
R F R D L' B2 U'
R F R D B2 L' U'
R F R D2 L' U' L'
U F R2 L' B U' B2
U F R2 B L' U' B'
D F U' R U' F' R'
U' F D L' R U' B
L F U' L' R F U'
U' F D R L' U' B
L F U' R L' F U'
U' F D' L' R U' B
U' F D' R L' U' B
R2 F D L' R B2 U'
F D L' R U R' U2
R2 F D L' B2 R U'
F D L' R B2 U' L
R2 F D R L' B2 U'
R2 F D R B2 L' U'
U' F D2 L' R U' B
U' F D2 R L' U' B
R2 F D B2 L' R U'
R2 F D B2 R L' U'
R2 F D2 L' R U' L'
F D R L' U R' U2
R2 F D2 R L' U' L'
F D R L' B2 U' L
F D R B2 L' U' L2
U2 F B' L' R' U' L
F' D U L' R U R
U2 F B' R' L' U' L
F' D U R L' U R
R F B2 L' R U' L2
R F B2 R L' U' L2
F D U' L' R U' R'
F D U' R L' U' R'
L2 F' U R B' L' U
L2 F' U B' L' R U
L2 F' U B' R L' U
D F' U' F2 R U' F'
F' D' L2 U L R U
F' D' L2 U R L U
F D' L' R U R' U2
F D' L' R B2 U' L
F D' R L' U R' U2
F D' R L' B2 U' L
F D' R B2 L' U' L2
F D' U' L' R U' R'
F D' U' R L' U' R'
F' D2 L' R B2 U L
D F2 U' F' R U' F'
F D2 L' R U R' U2
F D2 L' R B2 U' L
F' D2 R L' B2 U L
F' D2 R B2 L' U L2
F D2 R L' U R' U2
F D2 R L' B2 U' L
F D2 R B2 L' U' L2
F' D2 U L' R B2 U
F' D2 U L' B2 R U
F' D2 U R L' B2 U
F' D2 U R B2 L' U
F' D2 U B2 L' R U
F' D2 U B2 R L' U
F D2 U' L' R U' R'
F D2 U' R L' U' R'
B' F L' R U R' U2
B' F L' R B2 U' L
B2 F L' R U R' U2
B2 F L' R B2 U' L
B F L' R U R' U2
B F L' R B2 U' L
F B L' R U R' U2
B' F R L' U R' U2
F B L' R B2 U' L
B' F R L' B2 U' L
B2 F R L' U R' U2
B2 F R L' B2 U' L
B' F R B2 L' U' L2
B2 F R B2 L' U' L2
B F R L' U R' U2
B F R L' B2 U' L
F B R L' U R' U2
F B R L' B2 U' L
B F R B2 L' U' L2
F B R B2 L' U' L2
B' F U' L' R U' R'
B' F U' R L' U' R'
B2 F U' L' R U' R'
B2 F U' R L' U' R'
F' B U' F2 L' R U'
F' B U' F2 R L' U'
B F U' L' R U' R'
B F U' R L' U' R'
F B U' L' R U' R'
F B U' R L' U' R'
U2 B' R' F L' U' L
U2 B' U R' F L' U'
U2 B' U F L' R' U'
U2 B' U F R' L' U'
F B' L' R U R' U2
F B' L' R B2 U' L
F B' R L' U R' U2
F B' R L' B2 U' L
F B' R B2 L' U' L2
B' F' U' F2 L' R U'
B' F' U' F2 R L' U'
U2 B' F L' R' U' L
F' B' U' F2 L' R U'
F' B' U' F2 R L' U'
U2 B' F R' L' U' L
B2 F' U' F2 L' R U'
B2 F' U' F2 R L' U'
F B' U' L' R U' R'
B F' U' F2 L' R U'
B F' U' F2 R L' U'
F B' U' R L' U' R'
F B2 L' R U R' U2
F B2 L' R B2 U' L
F B2 R L' U R' U2
F B2 R L' B2 U' L
F B2 R B2 L' U' L2
F' B2 U' F2 L' R U'
F' B2 U' F2 R L' U'
F B2 U' L' R U' R'
F B2 U' R L' U' R'
R B2 F L' R U' L2
R B2 F R L' U' L2
