U' B R U B
B L R U L' B'
U' L B R U B
U' L' B R U B
U' L2 B R U B
B R L U L' B'
U' R U D B R'
U' R D U B R'
B R F' L' U L
U' D B R U B
B2 U' R B' U B2
B' U' R B2 U B'
U' D' B R U B
D2 U' B R U B
D' U' B R U B
D U' B R U B
B2 U' B' R U B
B' U' B2 R U B
U' D2 B R U B
U' B L R U B
U' B L' R U B
U' B L2 R U B
U' B R L U B
U' B R L' U B
U' B R L2 U B
U' B R U D B
U' B R U D' B
U' B R U D2 B
U' B R U B D
U' B R U B D'
U' B R U B D2
U' B R D U B
U' B R D' U B
U' B R D2 U B
L B R U L' B'
F' B L' U L F
U' B D R U B
U' B D R U B
U' B D' R U B
U' B D2 R U B
U' B' R B2 U B'
B F' L' U L F
U' B2 R B' U B2
F' B L' R' U L F
U' B D L2 R U B
F' B L' R2 U L F
F' B L' U L D F
F' B L' U L D' F
F' B L' U L D2 F
F' B L' U L F D
F' B L' U L F D'
F' B L' U L F D2
U' B D R L U B
U' B D R L' U B
U' B D R L2 U B
U' B D R U D B
U' B D R U D' B
U' B D R U D2 B
U' B D R U B D
U' B D R U B D'
U' B D R U B D2
F' B L' U D L F
F' B L' U D' L F
F' B L' U D2 L F
U' B D R D U B
F' B L' U F L F
U' B D R D' U B
F' B L' U F' L F
U' B D R D2 U B
F' B L' U F2 L F
F' B L' D U L F
F' B L' D' U L F
F' B L' D2 U L F
F' B L' F R U L
U' B D' L R U B
U' B D' L' R U B
U' B D' L2 R U B
U' B D' R L U B
U' B D' R L' U B
U' B D' R L2 U B
U' B D' R U D B
U' B D' R U D' B
U' B D' R U D2 B
U' B D' R U B D
U' B D' R U B D'
U' B D' R U B D2
U' B D' R D U B
U' B D' R D' U B
U' B D' R D2 U B
L' B D' R F' L' U
U' B D2 L R U B
U' B D2 L' R U B
F' B R L' U L F
U' B D2 L2 R U B
U' B D2 R L U B
U' B D2 R L' U B
U' B D2 R L2 U B
U' B D2 R U D B
U' B D2 R U D' B
U' B D2 R U D2 B
U' B D2 R U B D
U' B D2 R U B D'
U' B D2 R U B D2
U' B D2 R D U B
U' B D2 R D' U B
U' B D2 R D2 U B
L B D R U L' B'
F' B R' L' U L F
L B D' R U L' B'
F' B R2 L' U L F
D2 B F' L' U L F
D' B F' L' U L F
L B D2 R U L' B'
U' B' L R B2 U B'
D B F' L' U L F
U' B' L B2 R U B
U' B' L' R B2 U B'
U' B' L' B2 R U B
U' B' L2 R B2 U B'
F' B D L' U L F
U' B' L2 B2 R U B
U' B' R L B2 U B'
U' B' R L' B2 U B'
U' B' R L2 B2 U B'
U' B' R U D' B R2
U' B' R D' U B R2
F' B D' L' U L F
U' B' R B2 U D B'
U' B' R B2 U D' B'
U' B' R B2 U D2 B'
U' B' R B2 U B' D
U' B' R B2 U B' D'
U' B' R B2 U B' D2
U' B' R B2 D U B'
U' B' R B2 D' U B'
U' B' R B2 D2 U B'
F' B D2 L' U L F
U' B' R' B2 R2 U B
L B' R B2 U L' B'
D2 B' U' R B2 U B'
D' B' U' R B2 U B'
B F' L' R U L F
B F' L' R' U L F
B F' L' R2 U L F
B F' L' U L D F
B F' L' U L D' F
B F' L' U L D2 F
B F' L' U L F D
B F' L' U L F D'
B F' L' U L F D2
B F' L' U D L F
B F' L' U D' L F
B F' L' U D2 L F
B F' L' U F L F
B F' L' U F' L F
B F' L' U F2 L F
U2 B' U B2 L R U
U2 B' U B2 R L U
B F' L' D U L F
D2 B' U' B2 R U B
B F' L' D' U L F
B F' L' D2 U L F
D' B' U' B2 R U B
B F' L' F R U L
D B' U' R B2 U B'
D B' U' B2 R U B
B F' R L' U L F
U' B' D' R U B R
B F' R' L' U L F
B F' R2 L' U L F
B F' D L' U L F
B F' D' L' U L F
U' B2 R U B D' R2
U' B2 R D B' U B2
B F' D2 L' U L F
U' B2 R D' B' U B2
U' B2 R D2 B' U B2
U' B2 R B' L U B2
U' B2 R B' L' U B2
U' B2 R B' L2 U B2
U' B2 R B' U B2 D
U' B2 R B' U B2 D'
U' B2 R B' U B2 D2
U' B2 R B' D L2 U
U' B2 R' B' R2 U B
L B2 R B' U L' B'
U2 B2 U R B' L U
D2 B2 U' R B' U B2
D' B2 U' R B' U B2
U2 B2 U B' L R U
U2 B2 U B' R L U
D2 B2 U' B' R U B
D' B2 U' B' R U B
U' B2 D R B' U B2
D B2 U' R B' U B2
U' B2 D B' R U B
D B2 U' B' R U B
U' B2 D' R B' U B2
U' B2 D' B' R U B
U' B2 D2 R B' U B2
U' B2 D2 B' R U B
