B' L' R U L2 U2
B' L' R U' D2 R2
B' L' R D F2 U'
B' L' R D2 U' R2
B L' R B2 U' R2
B' L' D R F2 U'
B' L' D2 R U' R
B' R L' U L2 U2
B' R L' U' D2 R2
B' R L' D F2 U'
B' R L' D2 U' R2
B R L' B2 U' R2
D' R B' L' F' U'
D R B' L' F U'
B R B2 L' U' R2
R D B' L' F U'
D' B' L' R F' U'
D B' L' R F U'
D' B' R L' F' U'
D B' R L' F U'
R B' L' U L2 U2
R B' L' U' D2 R2
R B' L' D F2 U'
R B' L' D2 U' R2
B' R L' F2 U L2 U2
B' R L' F2 U' D2 R2
B' R L' F2 D F2 U'
B' R L' F2 D2 U' R2
D R L' D F U' L'
B R L' F B2 U' R2
B R L' F' B2 U' R2
B R L' F2 B2 U' R2
B R L' B2 U' R2 D
B R L' B2 U' R2 D'
B R L' B2 U' R2 D2
B R L' B2 D' F2 U'
B R L' B2 F U' R2
B R L' B2 F' U' R2
B R L' B2 F2 U' R2
B' R L2 F2 L U' R
B' R U L U' L2 U'
B' R U L U2 D F2
B' R U L D U2 F2
B' R U L D' B2 U2
B' R D L' U L2 U2
B' R D L' U' D2 R2
B' R D L' D F2 U'
B' R D L' D2 U' R2
D' R D B' L' F' U'
U' R D B' L' F U'
B' R D' L' U L2 U2
B' R D' L' U' D2 R2
B' R D' L' D F2 U'
B' R D' L' D2 U' R2
U2 R D B' L' F U'
U R D B' L' F U'
D2 R D' B' L' F U'
D' R D' B' L' F' U'
B' R D2 L' U L2 U2
B' R D2 L' U' D2 R2
B' R D2 L' D F2 U'
B' R D2 L' D2 U' R2
D' R D2 B' L' F' U'
B' R F U L U2 F
D' R F' D2 B' L U'
D' R B L' F' B2 U'
D' R B L' B2 F' U'
D R B L' F B2 U'
D R B L' B2 F U'
B R B L' B U' R2
D' R B' L F' L2 U'
D' R B' L' D F' U'
D' R B' L' D' F' U'
D' R B' L' D2 F' U'
D' R B' L' F' U' D
D' R B' L' F' U' D'
D' R B' L' F' U' D2
D' R B' L' F' D U'
D' R B' L' F' D' U'
D' R B' L' F' D2 U'
D2 R B' L' F' U' R
D' R B' L2 F' L U'
U' R B' L' U L2 U2
U' R B' L' U' D2 R2
U' R B' L' D F2 U'
U' R B' L' D2 U' R2
U2 R B' L' U L2 U2
U2 R B' L' U' D2 R2
U2 R B' L' D F2 U'
U2 R B' L' D2 U' R2
D R B' L' D F U'
D R B' L' D' F U'
D R B' L' D2 F U'
D' R B' D L' F' U'
D R B' L' F U' D
D R B' L' F U' D'
D R B' L' F U' D2
D R B' L' F D U'
D R B' L' F D' U'
D R B' L' F D2 U'
D2 R B' D' L' F U'
D' R B' D' L' F' U'
D' R B' D2 L' F' U'
U R B' L' U L2 U2
U R B' L' U' D2 R2
U R B' L' D F2 U'
U R B' L' D2 U' R2
D' R B2 L' F' B U'
D' R B2 L' B F' U'
D R B2 L' F B U'
D R B2 L' B F U'
B R B2 L' U' R2 D
B R B2 L' U' R2 D'
B R B2 L' U' R2 D2
B R B2 L' D' F2 U'
B R B2 L' F U' R2
B R B2 L' F' U' R2
B R B2 L' F2 U' R2
B R B2 D' L' F2 U'
B R' L D L2 F2 B2
B R' L D L2 B2 F2
B R' L D F2 L2 B2
B R' L D F2 B2 L2
B R' L D B2 L2 F2
B R' L D B2 F2 L2
B' R' L' D F2 U' B2
B R' L' B2 R2 U' R2
B R' U L' R2 B2 U'
B R' U L' B2 R2 U'
B R' U R2 L' B2 U'
B R' U R2 B2 L' U'
B R' U B2 L' R2 U'
B R' U B2 R2 L' U'
L U2 L2 R B U' R'
L U2 R L2 B U' R'
L U2 R B L2 U' R'
D R' B' L' R2 F U'
D R' B' L' F R2 U'
D R' B' R2 L' F U'
B R' B2 L' R2 U' R2
B R' B2 R2 L' U' R2
B' R2 L' D R' F2 U'
B' R2 L' D F2 R' U'
B' R2 L' D2 R' U' R'
R D L' D F U' L'
R2 D R' B' L' F U'
B' U L U' L2 R U'
B' U L U' R L2 U'
B U L' R B2 U' R2
D' U R B' L' F' U'
U' D R B' L' F U'
B U R L' B2 U' R2
U2 D R B' L' F U'
D U R B' L' F U'
B U R B2 L' U' R2
U D R B' L' F U'
R D B L' F B2 U'
R D B L' B2 F U'
R D B' L' D F U'
R D B' L' D' F U'
R D B' L' D2 F U'
R D B' L' F U' D
R D B' L' F U' D'
R D B' L' F U' D2
R D B' L' F D U'
R D B' L' F D' U'
R D B' L' F D2 U'
R D B2 L' F B U'
R D B2 L' B F U'
D' U B' L' R F' U'
U' D B' L' R F U'
D' U B' R L' F' U'
U' D B' R L' F U'
U2 D B' L' R F U'
L' D' R F' B' U' L
U2 D B' R L' F U'
L' D' R B' F' U' L
D U B' L' R F U'
D U B' R L' F U'
U D B' L' R F U'
U D B' R L' F U'
U' D' R B' L' F' U'
D' U' R B' L' F' U'
U2 D' R B' L' F' U'
B U' L' R B2 U' R2
D U' R B' L' F U'
U D' R B' L' F' U'
B U' R L' B2 U' R2
B U' R B2 L' U' R2
L' D' B' R F' U' L
U' D' B' L' R F' U'
D' U' B' L' R F' U'
R D' B' D2 L' F U'
U' D' B' R L' F' U'
D' U' B' R L' F' U'
U2 D' B' L' R F' U'
U2 D' B' R L' F' U'
D U' B' L' R F U'
D U' B' R L' F U'
U D' B' L' R F' U'
U D' B' R L' F' U'
L' D2 R U2 F' U R
D' U2 R B' L' F' U'
D U2 R B' L' F U'
B U2 L' R B2 U' R2
B U2 R L' B2 U' R2
D' U2 B' L' R F' U'
D' U2 B' R L' F' U'
B U2 R B2 L' U' R2
D U2 B' L' R F U'
D U2 B' R L' F U'
R D2 B' L' F' U' R
R D2 B' D' L' F U'
B' D L' R U L2 U2
B' D L' R U' D2 R2
B' D L' R D F2 U'
B' D L' R D2 U' R2
B' D L' D R F2 U'
B' D L' D2 R U' R
B D L' R U' L' R2
B D L' R U' R2 L'
B' D R L' U L2 U2
B' D R L' U' D2 R2
B' D R L' D F2 U'
B' D R L' D2 U' R2
B D R L' U' L' R2
B D R L' U' R2 L'
R F B' U L U2 F
B' D' L' R U L2 U2
B' D' L' R U' D2 R2
B' D' L' R D F2 U'
B' D' L' R D2 U' R2
B' D' L' D R F2 U'
B' D' L' D2 R U' R
B' D' R L' U L2 U2
B' D' R L' U' D2 R2
B' D' R L' D F2 U'
B' D' R L' D2 U' R2
B' D2 L' R U L2 U2
B' D2 L' R U' D2 R2
B' D2 L' R D F2 U'
B' D2 L' R D2 U' R2
B' D2 L' D R F2 U'
B' D2 L' D2 R U' R
B' D2 R L' U L2 U2
B' D2 R L' U' D2 R2
B' D2 R L' D F2 U'
B' D2 R L' D2 U' R2
U' B L' R B2 U' R2
D' B L' R F' B2 U'
R' B L' R2 B2 U' R
D' B L' R B2 F' U'
U2 B L' R B2 U' R2
D' B L' B2 R F' U'
D B L' R F B2 U'
D B L' R B2 F U'
U' B R L' B2 U' R2
D' B R L' F' B2 U'
U B L' R B2 U' R2
D' B R L' B2 F' U'
D B L' B2 R F U'
U' B R B2 L' U' R2
R B L' U' R' D L2
R B L' U' D L2 R'
R B L' U' D R' L2
U2 B R L' B2 U' R2
R B L' D U' L2 R'
R B L' D U' R' L2
D' B R B2 L' F' U'
R B L' B2 U L U2
D B R L' F B2 U'
D B R L' B2 F U'
U2 B R B2 L' U' R2
B D2 F2 L' R U R2
R' B R2 L' B2 U' R
B D2 F2 R L' U R2
U B R L' B2 U' R2
D B R B2 L' F U'
R' B R2 B2 L' U' R
U B R B2 L' U' R2
R B D L' U' L' R'
R B D L' U' R' L'
D' B' L R F' L2 U'
U' B' L' R U L2 U2
U' B' L' R U' D2 R2
U' B' L' R D F2 U'
U' B' L' R D2 U' R2
D2 B' L' R F' U' R
R' B' L' R2 U L2 U2
D' B' L' R D F' U'
R' B' L' R2 U' D2 R2
D' B' L' R D' F' U'
U' B' L' D R F2 U'
D' B' L' R D2 F' U'
R' B' L' R2 D F2 U'
D' B' L' R F' U' D
D' B' L' R F' U' D'
D' B' L' R F' U' D2
D' B' L' R F' D U'
D' B' L' R F' D' U'
D' B' L' R F' D2 U'
R' B' L' R2 D2 U' R2
U' B' L' D2 R U' R
D2 B' L' D R F' U'
R' B' L' D F2 U' B2
D2 B' L' F' U' R B
U2 B' L' R U L2 U2
U2 B' L' R U' D2 R2
U2 B' L' R D F2 U'
U2 B' L' R D2 U' R2
D' B' L2 R F' L U'
U2 B' L' D R F2 U'
U2 B' L' D2 R U' R
D B' L' R D F U'
D B' L' R D' F U'
D B' L' R D2 F U'
D B' L' R F U' D
D B' L' R F U' D'
D B' L' R F U' D2
D B' L' R F D U'
D B' L' R F D' U'
D B' L' R F D2 U'
D B' L' R' F R2 U'
D B' L' R2 F R' U'
U' B' R L' U L2 U2
U' B' R L' U' D2 R2
U' B' R L' D F2 U'
U' B' R L' D2 U' R2
D B' L' D R F U'
D B' L' D' R F U'
D2 B' R L' F' U' R
D B' L' D2 R F U'
D' B' R L F' L2 U'
D' B' R L' D F' U'
D' B' R L' D' F' U'
D' B' R L' D2 F' U'
D' B' R L' F' U' D
D' B' R L' F' U' D'
D' B' R L' F' U' D2
D' B' R L' F' D U'
D' B' R L' F' D' U'
D' B' R L' F' D2 U'
U B' L' R U L2 U2
U B' L' R U' D2 R2
U B' L' R D F2 U'
D' B' R L2 F' L U'
U B' L' R D2 U' R2
D2 B' R D' L' F U'
D' B' R D L' F' U'
D' B' R D' L' F' U'
U B' L' D R F2 U'
D' B' R D2 L' F' U'
U B' L' D2 R U' R
R B' L' U L2 U2 D
R B' L' U L2 U2 D'
R B' L' U L2 U2 D2
R B' L' U L2 D U2
R B' L' U L2 D' U2
R B' L' U L2 D2 U2
U2 B' R L' U L2 U2
U2 B' R L' U' D2 R2
U2 B' R L' D F2 U'
U2 B' R L' D2 U' R2
R B' L' U' R D2 R2
R B' L' U' R' D2 R2
R B' L' U' R2 D2 R2
R B' L' U' D2 R2 D
R B' L' U' D2 R2 D'
R B' L' U' D2 R2 D2
R B' L' U2 D' B2 U
R B' L' D F2 U' D
R B' L' D F2 U' D'
R B' L' D F2 U' D2
R B' L' D F2 D U'
R B' L' D F2 D' U'
R B' L' D F2 D2 U'
R B' L' D' U2 B2 U
R B' L' D2 U' R2 D
R B' L' D2 U' R2 D'
R B' L' D2 U' R2 D2
R B' L' D2 F U' R2
R B' L' D2 F' U' R2
R B' L' D2 F2 U' R2
R B' L' F U L2 U2
R B' L' F U' D2 R2
R B' L' F D F2 U'
R B' L' F D2 U' R2
R B' L' F' U L2 U2
R B' L' F' U' D2 R2
R B' L' F' D F2 U'
R B' L' F' D2 U' R2
R B' L' F2 U L2 U2
R B' L' F2 U' D2 R2
R B' L' F2 D F2 U'
R B' L' F2 D2 U' R2
D B' R L' D F U'
D B' R L' D' F U'
D B' R L' D2 F U'
D B' R L' F U' D
D B' R L' F U' D'
D B' R L' F U' D2
D B' R L' F D U'
D B' R L' F D' U'
D B' R L' F D2 U'
R' B' R2 L' U L2 U2
R' B' R2 L' U' D2 R2
R' B' R2 L' D F2 U'
R' B' R2 L' D2 U' R2
U B' R L' U L2 U2
U B' R L' U' D2 R2
U B' R L' D F2 U'
U B' R L' D2 U' R2
R B' L2 F2 L U' R
D B' R' L' F R2 U'
D B' R2 L' F R' U'
R B' U L U' L2 U'
R B' U L U2 D F2
R B' U L D U2 F2
R B' U L D' B2 U2
D2 B' D L' R F' U'
D2 B' D R L' F' U'
D2 B' D' L' R F U'
D2 B' D' R L' F U'
D' B' D2 L' R F U'
D' B' D2 R L' F U'
R B' D L' U L2 U2
R B' D L' U' D2 R2
R B' D L' D F2 U'
R B' D L' D2 U' R2
D B' D2 L' R F' U'
D B' D2 R L' F' U'
R B' D' L' U L2 U2
R B' D' L' U' D2 R2
R B' D' L' D F2 U'
R B' D' L' D2 U' R2
R B' D2 L' U L2 U2
R B' D2 L' U' D2 R2
R B' D2 L' D F2 U'
R B' D2 L' D2 U' R2
R B' F U L U2 F
D' B2 L' B R F' U'
D B2 L' B R F U'
R B2 L' B U L U2
