D2 L U' F L B
D L B2 U' F B'
D L B2 U' B' F
L' U R2 F' B' U2
L' U R2 B' F' U2
L U R2 F' U2 F2
L' U B' R2 U2 B2
L' U' D2 L2 F B
L' U' D2 L2 B F
L U' D2 F L2 B
L U' D2 F B L2
L U' D2 B F L2
L U' F D2 L2 B
L U' F D2 B L2
L U' F B D2 L2
L' U' B D2 L2 F2
L' U' B D2 F2 L2
L U' B D2 F L2
L U' B F D2 L2
L D B2 U' F B'
L D B2 U' B' F
L' D2 U' L2 F B
L' D2 U' L2 B F
L D2 U' F L2 B
L D2 U' F B L2
L D2 U' B F L2
L U' F L' D2 B L2
L U' F L' B D2 L2
L U' F L2 D2 L2 B
L U' F L2 D2 B L2
L U' F L2 B D2 L2
L U' F U2 R2 F' U2
L U' F D' B D' L2
L U' F D2 L' B L'
L U' F D2 L2 D B
L U' F D2 L2 D' B
L U' F D2 L2 D2 B
L U' F D2 L2 B D
L U' F D2 L2 B D'
L U' F D2 L2 B D2
L U' F D2 B L2 D
L U' F D2 B L2 D'
L U' F D2 B L2 D2
L U' F D2 B' L2 B2
L U' F B L D2 L2
L U' F B L' D2 L2
L U' F B L2 D2 L2
L U' F B U2 R2 U2
L U' F B D2 L2 D
L U' F B D2 L2 D'
L U' F B D2 L2 D2
L' U' F' D2 L2 F B
L' U' F' D2 L2 B F
L U' F B2 D2 B' L2
L' U' F' B D2 L2 F2
L' U' F' B D2 F2 L2
L' U' F2 D2 L2 F B
L' U' F2 D2 L2 B F
L' U' F2 B D2 L2 F2
L' U' F2 B D2 F2 L2
L' U' B L D2 L2 F2
L' U' B L D2 F2 L2
L' U' B L' D2 L2 F2
L' U' B L' D2 F2 L2
L' U' B L2 D2 L2 F2
L' U' B L2 D2 F2 L2
L2 U' B L D2 L2 F
L2 U' B L' D2 F L2
L2 U' B L' F D2 L2
L' U' B U2 R2 B2 U2
L U' F2 D2 L2 F' B
L U' F2 D2 L2 B F'
L' U' B U2 B2 R2 U2
L U' F2 D2 F' L2 B
L U' F2 D2 F' B L2
L U' F2 D2 B L2 F'
L U' F2 D2 B F' L2
L U' F2 B D2 L2 F'
L U' F2 B D2 F' L2
L' U' B D2 L F2 L
L' U' B D2 L2 F2 D
L' U' B D2 L2 F2 D'
L' U' B D2 L2 F2 D2
L' U' B D2 F' L2 F'
L' U' B D2 F2 L2 D
L' U' B D2 F2 L2 D'
L' U' B D2 F2 L2 D2
L' U' B F D2 L2 F2
L' U' B F D2 F2 L2
L' U' B F' D2 L2 F2
L' U' B F' D2 F2 L2
L' U' B F2 D2 L2 F2
L' U' B F2 D2 F2 L2
L U' B L2 D2 L2 F
L' U' B' R2 U2 R2 B2
L' U' B' R2 U2 B2 R2
L U' B U2 R2 U2 F
L U' B D F D L2
L U' B D2 F L2 D
L U' B D2 F L2 D'
L U' B D2 F L2 D2
L U' B D2 F' L2 F2
L U' B D2 F2 L2 F'
L U' B F L D2 L2
L U' B F L' D2 L2
L U' B F L2 D2 L2
L U' B F U2 R2 U2
L U' B F D2 L2 D
L U' B F D2 L2 D'
L U' B F D2 L2 D2
L U' B F2 D2 L2 F'
L U' B F2 D2 F' L2
L U' B' D2 F L2 B'
L U' B2 D2 F B' L2
L U' B2 D2 B' F L2
L U' B2 F D2 B' L2
L U2 D' F2 U F' B
L U2 D' F2 U B F'
L' D L2 B2 U' F B'
L' D L2 B2 U' B' F
U' R2 F' U' L' U' R2
F2 R2 F' U' F' L' U'
U R2 F' U R' U F'
U R2 F' U' L U' F
U R2 F' B U' L U'
U R2 F' B' U R' U
U R2 B F' U' L U'
U R2 B' F' U R' U
L D U' F D L2 B
L D U' F D B L2
L' D B2 R2 U' F' B'
L' D B2 R2 U' B' F'
L' D B2 U B U2 B2
L' D B2 U' B' D2 F2
L D B2 R U' F B'
L D B2 R U' B' F
L D B2 R' U' F B'
L D B2 R' U' B' F
L D B2 R2 U' F B'
L D B2 R2 U' B' F
L D B2 U' D F B'
L D B2 U' D B' F
L D B2 U' D' F B'
L D B2 U' D' B' F
L D B2 U' D2 F B'
L D B2 U' D2 B' F
L D B2 U' F D B'
L D B2 U' F D' B'
L D B2 U' F D2 B'
L D B2 U' F B' D
L D B2 U' F B' D'
L D B2 U' F B' D2
L D B2 U' B' D F
L D B2 U' B' D' F
L D B2 U' B' D2 F
L D B2 U' B' F D
L D B2 U' B' F D'
L D B2 U' B' F D2
L D B2 D U' F B'
L D B2 D U' B' F
L D B2 D' U' F B'
L D B2 D' U' B' F
L D B2 D2 U' F B'
L D B2 D2 U' B' F
L D' U' B D' F L2
L D' U2 F2 U F' B
L D' U2 F2 U B F'
L' D2 L' U' L' F B
L' D2 L' U' L' B F
L' D2 L' U' B L' F
L' D2 U B' U2 L2 B2
L' D2 U B' U2 B2 L2
L' D2 U' L' B L' F
L' D2 U' L2 D F B
L' D2 U' L2 D B F
L' D2 U' L2 D' F B
L' D2 U' L2 D' B F
L' D2 U' L2 D2 F B
L' D2 U' L2 D2 B F
L' D2 U' L2 F D B
L' D2 U' L2 F D' B
L' D2 U' L2 F D2 B
L' D2 U' L2 F B D
L' D2 U' L2 F B D'
L' D2 U' L2 F B D2
L' D2 U' L2 B D F
L' D2 U' L2 B D' F
L' D2 U' L2 B D2 F
L' D2 U' L2 B F D
L' D2 U' L2 B F D'
L' D2 U' L2 B F D2
L' D2 U' F L2 F B
L' D2 U' F L2 B F
L' D2 U' F' L2 F B
L' D2 U' F' L2 B F
L' D2 U' F2 L2 F B
L' D2 U' F2 L2 B F
L' D2 U' B L2 D2 F2
L D2 U' L2 B D2 F2
L D2 U' F L' B L'
L D2 U' F L2 D B
L D2 U' F L2 D' B
L D2 U' F L2 D2 B
L D2 U' F L2 B D
L D2 U' F L2 B D'
L D2 U' F L2 B D2
L D2 U' F B L2 D
L D2 U' F B L2 D'
L D2 U' F B L2 D2
L D2 U' F B' L2 B2
L D2 U' F' L2 F2 B
L D2 U' F' L2 B F2
L D2 U' F' B L2 F2
L D2 U' F2 L2 F' B
L D2 U' F2 L2 B F'
L D2 U' F2 B L2 F'
L D2 U' B F L2 D
L D2 U' B F L2 D'
L D2 U' B F L2 D2
L D2 U' B F' L2 F2
L D2 U' B F2 L2 F'
L D2 U' B' F L2 B2
B' U2 R' U F' B2 L
B' U2 R' U B2 L F'
B' U2 R' U B2 F' L
L D2 B' U' F L2 B2
L D2 B' U' F B2 L2
L D2 B' U' B2 F L2
L D2 B2 U' F B' L2
L D2 B2 U' B' F L2
B' D L B2 R' U' F
B D L B2 U' F B2
B D L B2 U' B2 F
B2 D B2 L U' F B
B2 D B2 L U' B F
B D B2 L U' F B2
B D B2 L U' B2 F
R2 F' U' F U2 R U
R2 F' U' F' L' F2 U'
R2 F' U2 R' F' D R2
D B L B U' F B'
D B L B U' B' F
L' B D L2 B2 U' B2
L' B D B2 L2 U' B2
L' B D2 L2 F2 D R2
L' B D2 F2 L2 D R2
L B D B2 U' F B2
L B D B2 U' B2 F
D2 B' L U' F L B2
L' B' R2 U2 B2 D' R2
L B' R' U' F B2 L
L B' R' U' B2 F L
U B' R2 U R U B2
U B' U R' U B2 L
L B' U R2 U2 F B2
L B' U R2 U2 B2 F
L B' U' D2 F L2 B'
L B' U' F B2 D2 L2
L B' U' B2 D2 F L2
L B' U' B2 F D2 L2
L B' D2 U' F L2 B'
L' B2 U R2 U2 F' B'
L' B2 U R2 U2 B' F'
L' B2 U B R2 U2 B2
L' B2 U' B' D2 L2 F2
L' B2 U' B' D2 F2 L2
L B2 U R2 U2 F B'
L B2 U R2 U2 B' F
L B2 U' D2 F B' L2
L B2 U' D2 B' F L2
D B2 U2 R' U F' B'
D B2 U2 R' U B' F'
L B2 U' F D2 B' L2
L B2 U' F B' D2 L2
L B2 U' B' D2 F L2
L B2 U' B' F D2 L2
L B2 D B2 U' F B
L B2 D B2 U' B F
L B2 D2 U' F B' L2
L B2 D2 U' B' F L2
