R F' R D B2
F' L U' L' R F'
F' L U' R L' F'
F' L' U' L R F'
F' L' U' R L F'
F' L' U' R F' L
D' L' F L' U' L2
F' L2 U' L2 R F'
F' L2 U' R L2 F'
F' L2 U' R F' L2
L' U' L R F' R
L' U' L F' R F'
L U' L' R F' R
L' U' R L F' R
L U' L' F' R F'
L2 U' L2 R F' R
L' U' R F' L R
L' U' R F' R L
F' R F' U R' U'
B' R F' R D B2
L2 U' L2 F' R F'
B2 R F' R D B2
L2 U' R L2 F' R
B R F' R D B2
L U' R L' F' R
L2 U' R F' L2 R
L2 U' R F' R L2
L' U' F' L R F'
L' U' F' R L F'
L' U' F' R F' L
L2 U' F' L2 R F'
L2 U' F' R L2 F'
L2 U' F' R F' L2
F' R2 D R' F' B2
F' R2 D R' B2 F'
D' F L' F U' L
U' F' R F' D' L2
L' F' U' L R F'
L' F' U' R L F'
L' F' U' R F' L
R F' R U R2 U'
R F' R D B2 D
R F' R D B2 D'
R F' R D B2 D2
R F' R B D B2
R F' R B' D B2
R F' R B2 D B2
L2 F' U' L2 R F'
L2 F' U' R L2 F'
L2 F' U' R F' L2
L2 F' U' R F' L2
R F' U R' U' R2
R F' D R D B2
R F' D' R D B2
R F' D2 R D B2
L' U' R F' D2 L R
L' U' R F' D2 R L
B R F' D' R D B2
L U' R L F' L2 R
L U' R L F' R L2
L U' R L' F' R D
L U' R L' F' R D'
L U' R L' F' R D2
L U' R L' F' D R
L U' R L' F' D' R
L U' R L' F' D2 R
B R F' D2 R D B2
L U' R L2 F' L R
L U' R L2 F' R L
F' R F2 U R' U' F
L2 U' R F' L2 R D
L2 U' R F' L2 R D'
L2 U' R F' L2 R D2
L2 U' R F' L2 D R
L2 U' R F' L2 D' R
L2 U' R F' L2 D2 R
L2 U' R F' R L2 D
L2 U' R F' R L2 D'
L2 U' R F' R L2 D2
U' R F2 D' F L2 R
U' R F2 D' F R L2
F R F2 R D F B2
F R F2 R D B2 F
F R F2 R F D B2
U' R B U F' R B'
U' R B U F' B' R
U' R B U B' F' R
U' R B' U F' B R
U' R B' U B F' R
U' R B2 U F' R B2
U' R B2 U F' B2 R
U' R B2 U B2 F' R
F' R B2 U' L U F'
U2 R B2 U L F' R
U2 R B2 U F' L R
U2 R B2 U F' R L
F' R B2 F' U' L U
L' U' F' L R D F'
L' U' F' L R D' F'
L' U' F' L R D2 F'
L' U' F' L R F' D
L' U' F' L R F' D'
L' U' F' L R F' D2
L' U' F' L' R F' L2
L' U' F' R L D F'
L' U' F' R L D' F'
L' U' F' R L D2 F'
L' U' F' R L F' D
L' U' F' R L F' D'
L' U' F' R L F' D2
L' U' F' R L' F' L2
L' U' F' R D L F'
L' U' F' R D F' L
L' U' F' R D' L F'
L' U' F' R D' F' L
L' U' F' R D2 L F'
L' U' F' R D2 F' L
L' U' F' R F L F2
L' U' F' R F' L D
L' U' F' R F' L D'
L' U' F' R F' L D2
L' U' F' R F' D L
L' U' F' R F' D' L
L' U' F' R F' D2 L
L2 U' F' L R F' L
L2 U' F' L2 R D F'
L2 U' F' L2 R D' F'
L2 U' F' L2 R D2 F'
L2 U' F' L2 R F' D
L2 U' F' L2 R F' D'
L2 U' F' L2 R F' D2
L2 U' F' R L F' L
L2 U' F' R L2 D F'
L2 U' F' R L2 D' F'
L2 U' F' R L2 D2 F'
L2 U' F' R L2 F' D
L2 U' F' R L2 F' D'
L2 U' F' R L2 F' D2
L2 U' F' R F L2 F2
L2 U' F' R F' L2 D
L2 U' F' R F' L2 D'
L2 U' F' R F' L2 D2
F' R' U R U' R F'
L' U' F2 L F R F'
L U' F' R F L' F2
L2 U' F2 L2 F R F'
R U' B U F' R B
R U' B2 L U F' R
L' U2 R U L F' R
L' U2 R U F' L R
L' U2 R U F' R L
L2 U2 R U L2 F' R
L2 U2 R U F' L2 R
L2 U2 R U F' R L2
L U2 R U L' F' R
L' U2 F' U L R F'
L' U2 F' U R L F'
L' U2 F' U R F' L
L2 U2 F' U L2 R F'
L2 U2 F' U R L2 F'
L2 U2 F' U R F' L2
R U2 F' R D B2 L
D' R2 D R F' R B2
D' R2 D R F' B2 R
D' R2 D R B2 F' R
F' R2 D R' F' B2 D
F' R2 D R' F' B2 D'
F' R2 D R' F' B2 D2
F' R2 D R' B2 D F'
F' R2 D R' B2 D' F'
F' R2 D R' B2 D2 F'
F' R2 D R' B2 F' D
F' R2 D R' B2 F' D'
F' R2 D R' B2 F' D2
F' R2 D R2 B2 R F'
D' R2 D F' R F' B2
D' R2 D F' R B2 F'
F' R2 D F R' F' B2
F' R2 D F R' B2 F'
D' R2 D F' B2 R F'
F' R2 D F' R' F' B2
F' R2 D F' R' B2 F'
F' R2 D F2 R' F' B2
F' R2 D F2 R' B2 F'
D' R2 D B2 R F' R
D' R2 D B2 F' R F'
F' R2 D' R' D2 F' B2
F' R2 D' R' D2 B2 F'
F' R2 D2 R' D' F' B2
F' R2 D2 R' D' B2 F'
F' R2 D2 R' F' D' B2
F' R2 F D R' F' B2
F' R2 F D R' B2 F'
F' R2 F' D R' F' B2
F' R2 F' D R' B2 F'
F' R2 F2 D R' F' B2
F' R2 F2 D R' B2 F'
F' R2 B2 D B2 R' F'
U' D R' B R' U B'
R2 D B D B R' F'
R2 D B2 D' R' F' R
L' D' L' F L' U' L'
L2 D' L' F L' B2 U'
U' D B R' B U B2
L2 D' L' F B2 L' U'
L2 D' L' B2 F L' U'
L D' L' F L' U' L
L' D' F L' F U' L2
L2 D' F L' F B2 U'
L2 D' F L' B2 F U'
L2 D' F B2 L' F U'
D U' R' B R' U B'
F' U' R F' U' F U
F' U' R F2 D' F L2
F2 U' R B U F' B'
F2 U' R B U B' F'
L2 D' B2 L' F L' U'
L2 D' B2 F L' F U'
D U' B R' B U B2
B' U' F' R F' D' L2
B2 U' F' R F' D' L2
B U' F' R F' D' L2
F' U' B U R F' B'
F' U' B U R B' F'
F' U' B U B' R F'
F U' F2 R D' L2 F'
F U' F2 R D' F' L2
F' U' B' U B R F'
F' U' B2 U R F' B2
F' U' B2 U R B2 F'
F' U' B2 U B2 R F'
R2 D2 B R' D' F' B2
R2 D2 B R' D' B2 F'
R2 D2 B R' F' D' B2
R2 D2 B D' R' F' B2
R2 D2 B D' R' B2 F'
L D2 B U' L' R' F
L D2 B U' L' F R'
L D2 B U' R' L' F
R2 D2 B' D' B2 R' F'
D' F L' D F U' L
D' F L' D' F U' L
D' F L' D2 F U' L
D' F L' F U' L D
D' F L' F U' L D'
D' F L' F U' L D2
D' F L' F U' D L
D' F L' F U' D' L
D' F L' F U' D2 L
D' F L' F D U' L
D' F L' F D' U' L
D' F L' F D2 U' L
R F R F2 D R B2
R F R F2 D B2 R
L' F U' F2 L R F'
L' F U' F2 R L F'
L' F U' F2 R F' L
R F U R' U' F2 R
L2 F U' F2 L2 R F'
L2 F U' F2 R L2 F'
L2 F U' F2 R F' L2
D' F B L' F U' L
D' F B' L' F U' L
D' F B2 L' F U' L
L2 F' L U' L R F'
L2 F' L U' R L F'
L2 F' L U' R F' L
L' F' L' U' L2 R F'
L' F' L' U' R L2 F'
L' F' L' U' R F' L2
L2 F' L' U' L' R F'
L2 F' L' U' R L' F'
R F' L R D L' B2
R F' L R D B2 L'
L' F' L2 U' L' R F'
L' F' L2 U' R L' F'
U' F' R U' F U F2
R F' L' R D L B2
U' F' R D F' D' L2
U' F' R D' F' D' L2
U' F' R D2 F' D' L2
U' F' R F' L D' L2
U' F' R F' L' D' L2
U' F' R F' L2 D' L2
U' F' R F' U' F2 U
U' F' R F' D' L2 D
U' F' R F' D' L2 D'
U' F' R F' D' L2 D2
U F' L2 U' R F' B'
U F' L2 U' R B' F'
U F' L2 U' B' R F'
R F' R L D L' B2
R F' R L D B2 L'
R F' R L' D L B2
R F' R U R2 U' D
R F' R U R2 U' D'
R F' R U R2 U' D2
R F' R U R2 D U'
R F' R U R2 D' U'
R F' R U R2 D2 U'
R F' R U' D2 L2 U
R F' R U2 D' F2 U2
R F' R D L B2 L'
R F' R D L2 B2 L2
R F' R D R' B2 R
R F' R D R2 B2 R2
R F' R D B D B
R F' R D B D' B
R F' R D B D2 B
R F' R D B' D B'
R F' R D B' D' B'
R F' R D B' D2 B'
R F' R D' U2 F2 U2
R F' R D' B D2 B2
R F' R D' B' D2 B2
R F' R D' B2 D2 B2
R F' R D2 U' L2 U
R F' R D2 B D' B2
R F' R D2 B' D' B2
R F' R D2 B2 D' B2
F' D B' L U' L' R
F' D B' L U' R L'
R F' R F D F' B2
R F' R F D B2 F'
R F' R F' D F B2
R F' R F' D B2 F
R F' R B U R2 U'
R F' R B D B2 D
R F' R B D B2 D'
R F' R B D B2 D2
R F' R B' U R2 U'
R F' R B' D B2 D
R F' R B' D B2 D'
R F' R B' D B2 D2
R F' R B2 U R2 U'
R F' R B2 D B2 D
R F' R B2 D B2 D'
R F' R B2 D B2 D2
R F' R' B R2 D B2
L2 F' U R F' L2 B'
R F' R' B' R2 D B2
R F' R' B2 R2 D B2
L' F' U' L R D F'
L' F' U' L R D' F'
L' F' U' L R D2 F'
L' F' U' L R F' D
L' F' U' L R F' D'
L' F' U' L R F' D2
L' F' U' L' R F' L2
R F' R2 U R U' R2
L' F' U' R L D F'
L' F' U' R L D' F'
L' F' U' R L D2 F'
L' F' U' R L F' D
L' F' U' R L F' D'
L' F' U' R L F' D2
L' F' U' R L' F' L2
L' F' U' R D L F'
L' F' U' R D F' L
L' F' U' R D' L F'
L' F' U' R D' F' L
L' F' U' R D2 L F'
L' F' U' R D2 F' L
L' F' U' R F L F2
L' F' U' R F' L D
L' F' U' R F' L D'
L' F' U' R F' L D2
L' F' U' R F' D L
L' F' U' R F' D' L
L' F' U' R F' D2 L
R2 F' U R2 U' R' F'
R F' R2 D R' D B2
R F' R2 D' R' D B2
R F' R2 D2 R' D B2
L2 F' U' L R F' L
L2 F' U' L2 R D F'
L2 F' U' L2 R D' F'
L2 F' U' L2 R D2 F'
L2 F' U' L2 R F' D
L2 F' U' L2 R F' D'
L2 F' U' L2 R F' D2
L2 F' U' R L F' L
L2 F' U' R L2 D F'
L2 F' U' R L2 D' F'
L2 F' U' R L2 D2 F'
L2 F' U' R L2 F' D
L2 F' U' R L2 F' D'
L2 F' U' R L2 F' D2
L2 F' U' R F L2 F2
L2 F' U' R F' L2 D
L2 F' U' R F' L2 D'
L2 F' U' R F' L2 D2
R F' U R' U' R2 D
R F' U R' U' R2 D'
R F' U R' U' R2 D2
R F' U R' D' F2 U'
R F' U R' F U' R2
R F' U R' F' U' R2
R F' U R' F2 U' R2
R F' U D R' U' R2
R F' U D' R' U' R2
R F' U D2 R' U' R2
B' D' L' F L' U' L2
U F' U' R F' D2 B2
L F' U' R F L' F2
B2 D' L' F L' U' L2
R F' U' B U R B
R F' U' B2 L U R
R2 F' D R' F' R2 B2
R2 F' D R' F' B2 R2
B D' L' F L' U' L2
R2 F' D R' B2 F' R2
R2 F' D B2 R' F' R2
R F' D R U R2 U'
R F' D R D B2 D
R F' D R D B2 D'
R F' D R D B2 D2
R2 F' D' R' F' R2 B
R F' D R B D B2
R F' D R B' D B2
R F' D R B2 D B2
R F' D U R' U' R2
R F' D' R U R2 U'
R F' D' R D B2 D
R F' D' R D B2 D'
R F' D' R D B2 D2
R F' D' R B D B2
R F' D' R B' D B2
R F' D' R B2 D B2
R F' D' U R' U' R2
L2 F' B U' L2 R F'
L2 F' B U' R L2 F'
L2 F' B U' R F' L2
R F' D2 R U R2 U'
R F' D2 R D B2 D
R F' D2 R D B2 D'
R F' D2 R D B2 D2
R F' D2 R B D B2
R F' D2 R B' D B2
R F' D2 R B2 D B2
R F' D2 U R' U' R2
L2 F' B' U' L2 R F'
L2 F' B' U' R L2 F'
L2 F' B' U' R F' L2
L2 F' B2 U' L2 R F'
L2 F' B2 U' R L2 F'
L2 F' B2 U' R F' L2
R F' B' R2 D' R' B
R F' B' D' R' B R2
B' D' F L' F U' L
R F' B2 R U' L U
R F' B2 U' L U R
B2 D' F L' F U' L
F2 D' F L' U' L R
F2 D' F L' U' R L
B D' F L' F U' L
R F2 R D F R B2
R F2 R D F B2 R
R F2 R D B2 F R
R F2 R F D R B2
R F2 R F D B2 R
R F2 U R' U' F R
F' D2 L' U' R F L
R F2 D F R D B2
R F2 D' F R D B2
R F2 D2 F R D B2
D2 B L' U' R' F L
D2 B L' U' F L R'
D2 B L' U' F R' L
D' B L' F L' U' L2
U' B R U F' R B'
U' B R U F' B' R
U' B R U B' F' R
R2 B R' F' R D B2
U' B U R F' R B'
U' B U R F' R B'
U' B U R F' B' R
U' B U R B' F' R
U' B U F' R F' B'
U' B U F' R B' F'
U' B U F' B' R F'
U' B U B' R F' R
U' B U B' F' R F'
F' B L U' L' R F'
F' B L U' R L' F'
L2 B U' L2 R F' R
L2 B U' L2 F' R F'
L2 B U' R L2 F' R
L2 B U' R F' L2 R
L2 B U' R F' R L2
L2 B U' F' L2 R F'
L2 B U' F' R L2 F'
L2 B U' F' R F' L2
D B U' R' B U B'
F' B L' U' L R F'
F' B L' U' R L F'
F' B L' U' R F' L
L B U' L' R F' R
L B U' L' F' R F'
L B U' R L' F' R
F' B L2 U' L2 R F'
F' B L2 U' R L2 F'
F' B L2 U' R F' L2
F' B R F' U R' U'
D' B F L' F U' L
F' B R2 D R' F' B2
F' B R2 D R' B2 F'
L2 B F' U' L2 R F'
L2 B F' U' R L2 F'
L2 B F' U' R F' L2
D' B' L' F L' U' L2
B' F' L U' L' R F'
B' F' L U' R L' F'
F' B' L U' L' R F'
F' B' L U' R L' F'
B2 F' L U' L' R F'
B2 F' L U' R L' F'
R2 B' R' F' R D B2
B' F' L' U' L R F'
B' F' L' U' R L F'
B' F' L' U' R F' L
U' B' U F' B R F'
U' B' U B R F' R
U' B' U B F' R F'
F' B' L' U' L R F'
F' B' L' U' R L F'
F' B' L' U' R F' L
B F' L U' L' R F'
B F' L U' R L' F'
B2 F' L' U' L R F'
B2 F' L' U' R L F'
B2 F' L' U' R F' L
B' F' L2 U' L2 R F'
B' F' L2 U' R L2 F'
B' F' L2 U' R F' L2
F' B' L2 U' L2 R F'
F' B' L2 U' R L2 F'
F' B' L2 U' R F' L2
B F' L' U' L R F'
B F' L' U' R L F'
B F' L' U' R F' L
B2 F' L2 U' L2 R F'
B2 F' L2 U' R L2 F'
B2 F' L2 U' R F' L2
L2 B' U' L2 R F' R
L2 B' U' L2 F' R F'
L2 B' U' R L2 F' R
L2 B' U' R F' L2 R
L2 B' U' R F' R L2
L2 B' U' F' L2 R F'
L2 B' U' F' R L2 F'
L2 B' U' F' R F' L2
B' F' R F' U R' U'
B F' L2 U' L2 R F'
B F' L2 U' R L2 F'
B F' L2 U' R F' L2
F' B' R F' U R' U'
B2 F' R F' U R' U'
L B' U' L' R F' R
L B' U' L' F' R F'
L B' U' R L' F' R
B F' R F' U R' U'
B' F' R2 D R' F' B2
B' F' R2 D R' B2 F'
F' B' R2 D R' F' B2
F' B' R2 D R' B2 F'
B2 F' R2 D R' F' B2
B2 F' R2 D R' B2 F'
B F' R2 D R' F' B2
B F' R2 D R' B2 F'
D' B' F L' F U' L
L2 B' F' U' L2 R F'
L2 B' F' U' R L2 F'
L2 B' F' U' R F' L2
R B' F' R2 D' R' B
D' B2 L' F L' U' L2
R B' F' D' R' B R2
U' B2 R U F' R B2
U' B2 R U F' B2 R
U' B2 R U B2 F' R
R B2 L U L' F' R
F' B2 L U' L' R F'
F' B2 L U' R L' F'
F' B2 L' U' L R F'
F' B2 L' U' R L F'
F' B2 L' U' R F' L
F' B2 L2 U' L2 R F'
F' B2 L2 U' R L2 F'
F' B2 L2 U' R F' L2
U' B2 U R F' R B2
U' B2 U R F' B2 R
U' B2 U R B2 F' R
R2 B2 R' F' R D B2
U' B2 U F' R F' B2
U' B2 U F' R B2 F'
U' B2 U F' B2 R F'
F' B2 R F' U R' U'
U' B2 U B2 R F' R
U' B2 U B2 F' R F'
L2 B2 U' L2 R F' R
L2 B2 U' L2 F' R F'
L2 B2 U' R L2 F' R
L2 B2 U' R F' L2 R
L2 B2 U' R F' R L2
F' B2 R2 D R' F' B2
F' B2 R2 D R' B2 F'
L2 B2 U' F' L2 R F'
L2 B2 U' F' R L2 F'
L2 B2 U' F' R F' L2
L B2 U' L' R F' R
L B2 U' L' F' R F'
L B2 U' R L' F' R
R B2 U' L U F' R
D' B2 F L' F U' L
L2 B2 F' U' L2 R F'
L2 B2 F' U' R L2 F'
L2 B2 F' U' R F' L2
R B2 F' R U' L U
R B2 F' U' L U R
