L R U' F B U
L R U' B F U
R L U' F B U
R L U' B F U
R' L' U F' B' U'
L' R' U F' B' U'
R' L' U B' F' U'
L' R' U B' F' U'
L' U F B' U' R
R' U F' B U' L
R' U B F' U' L
L' U B' F U' R
L U' F B' U R'
R U' F' B U L'
R U' B F' U L'
L U' B' F U R'
U F B U' L R
U F B U' R L
U' F' B' U L' R'
U' F' B' U R' L'
U B F U' L R
U B F U' R L
U' B' F' U L' R'
U' B' F' U R' L'
R U' B F' D U L'
R U' B F' D' U L'
R U' B F' D2 U L'
L U' B' D F U R'
L' U' B2 U2 B U' R'
L U' B' D' F U R'
L U' B' D2 F U R'
L U' B' F U R' D
L U' B' F U R' D'
L U' B' F U R' D2
L U' B' F U D R'
L U' B' F U D' R'
L U' B' F U D2 R'
L U' B' F D U R'
L U' B' F D' U R'
L U' B' F D2 U R'
L2 U2 L U' F B' U'
L2 U2 L U' B' F U'
L2 U2 L' U F B' U
L2 U2 L' U B' F U
R2 U2 R U' F' B U'
R2 U2 R U' B F' U'
R2 U2 R' U F' B U
R2 U2 R' U B F' U
R' D L' U F' B' U'
R' D L' U B' F' U'
R D L U' F B U
R D L U' B F U
L' D R' U F' B' U'
L' D R' U B' F' U'
L D R U' F B U
L D R U' B F U
R' D U F' B U' L
R' D U B F' U' L
L' D U F B' U' R
L' D U B' F U' R
L2 D U F U' L' R
L2 D U F U' R L'
R2 D U B U' L R'
R2 D U B U' R' L
L D U' F B' U R'
R D U' F' B U L'
L D U' B' F U R'
R D U' B F' U L'
D' U F B U' L R
D' U F B U' R L
D2 U F B U' L R
D2 U F B U' R L
D U F B U' L R
D U F B U' R L
U' D F' B' U L' R'
U' D F' B' U R' L'
R' D' L' U F' B' U'
R' D' L' U B' F' U'
U D F B U' L R
U D F B U' R L
R D' L U' F B U
R D' L U' B F U
D' U B F U' L R
D' U B F U' R L
D2 U B F U' L R
D2 U B F U' R L
D U B F U' L R
D U B F U' R L
U' D B' F' U L' R'
U' D B' F' U R' L'
U D B F U' L R
U D B F U' R L
L' D' R' U F' B' U'
L' D' R' U B' F' U'
L D' R U' F B U
L D' R U' B F U
R' D' U F' B U' L
R' D' U B F' U' L
L' D' U F B' U' R
L' D' U B' F U' R
R2 D' U' F' U L' R
R2 D' U' F' U R L'
L2 D' U' B' U L R'
L2 D' U' B' U R' L
L D' U' F B' U R'
R D' U' F' B U L'
L D' U' B' F U R'
R D' U' B F' U L'
U' D' F' B' U L' R'
U' D' F' B' U R' L'
D' U' F' B' U L' R'
D' U' F' B' U R' L'
D2 U' F' B' U L' R'
D2 U' F' B' U R' L'
U D' F B U' L R
U D' F B U' R L
D U' F' B' U L' R'
D U' F' B' U R' L'
R' D2 L' U F' B' U'
R' D2 L' U B' F' U'
R2 D2 L U' F B' U
R2 D2 L U' B' F U
U' D' B' F' U L' R'
U' D' B' F' U R' L'
D' U' B' F' U L' R'
D' U' B' F' U R' L'
D2 U' B' F' U L' R'
D2 U' B' F' U R' L'
U D' B F U' L R
U D' B F U' R L
R D2 L U' F B U
R D2 L U' B F U
R2 D2 L' U F B' U'
R2 D2 L' U B' F U'
D U' B' F' U L' R'
D U' B' F' U R' L'
L2 D2 R U' F' B U
L2 D2 R U' B F' U
L' D2 R' U F' B' U'
L' D2 R' U B' F' U'
L2 D2 R' U F' B U'
L2 D2 R' U B F' U'
L D2 R U' F B U
L D2 R U' B F U
R' D2 U F' B U' L
R' D2 U B F' U' L
L' D2 U F B' U' R
L' D2 U B' F U' R
L D2 U' F B' U R'
R D2 U' F' B U L'
L D2 U' B' F U R'
R D2 U' B F' U L'
U' D2 F' B' U L' R'
U' D2 F' B' U R' L'
U D2 F B U' L R
U D2 F B U' R L
U' D2 B' F' U L' R'
U' D2 B' F' U R' L'
U D2 B F U' L R
U D2 B F U' R L
U F D B U' L R
U F D B U' R L
U' F B U' L R U2
U' F B U' R L U2
U F D' B U' L R
U F D' B U' R L
U' F B' U R' D2 L2
U' F B' U' R U2 R2
U F D2 B U' L R
U F D2 B U' R L
U F B U' L R D
U F B U' L R D'
U F B U' L R D2
U F B U' L D R
U F B U' L D' R
U F B U' L D2 R
U F B U' R L D
U F B U' R L D'
U F B U' R L D2
U F B U' R D L
U F B U' R D' L
U F B U' R D2 L
U F B U' D L R
U F B U' D R L
U F B U' D' L R
U F B U' D' R L
U F B U' D2 L R
U F B U' D2 R L
U F B D U' L R
U F B D U' R L
U F B D' U' L R
U F B D' U' R L
U F B D2 U' L R
U F B D2 U' R L
U F B' U R' U2 R2
U F B' U' R D2 L2
U' F' D B' U L' R'
U' F' D B' U R' L'
U' F' D' B' U L' R'
U' F' D' B' U R' L'
U' F' D2 B' U L' R'
U' F' D2 B' U R' L'
U' F' B U L' D2 R2
U' F' B U' L U2 L2
U' F' B' U L' R' D
U' F' B' U L' R' D'
U' F' B' U L' R' D2
U' F' B' U L' D R'
U' F' B' U L' D' R'
U' F' B' U L' D2 R'
U' F' B' U R' L' D
U' F' B' U R' L' D'
U' F' B' U R' L' D2
U' F' B' U R' D L'
U' F' B' U R' D' L'
U' F' B' U R' D2 L'
U' F' B' U D L' R'
U' F' B' U D R' L'
U' F' B' U D' L' R'
U' F' B' U D' R' L'
U' F' B' U D2 L' R'
U' F' B' U D2 R' L'
U' F' B' D U L' R'
U' F' B' D U R' L'
U' F' B' D' U L' R'
U' F' B' D' U R' L'
U' F' B' D2 U L' R'
U' F' B' D2 U R' L'
U F' B U L' U2 L2
U F' B U' L D2 R2
U F' B' U L' R' U2
U F' B' U R' L' U2
U' F2 U2 F U' L' R
U' F2 U2 F U' R L'
U F2 U2 F' U L' R
U F2 U2 F' U R L'
U' F2 D2 B' U L R'
U' F2 D2 B' U R' L
U F2 D2 B U' L R'
U F2 D2 B U' R' L
U B D F U' L R
U B D F U' R L
U' B F U' L R U2
U' B F U' R L U2
U B D' F U' L R
U B D' F U' R L
U' B F' U L' D2 R2
U' B F' U' L U2 L2
U B D2 F U' L R
U B D2 F U' R L
U B F U' L R D
U B F U' L R D'
U B F U' L R D2
U B F U' L D R
U B F U' L D' R
U B F U' L D2 R
U B F U' R L D
U B F U' R L D'
U B F U' R L D2
U B F U' R D L
U B F U' R D' L
U B F U' R D2 L
U B F U' D L R
U B F U' D R L
U B F U' D' L R
U B F U' D' R L
U B F U' D2 L R
U B F U' D2 R L
U B F D U' L R
U B F D U' R L
U B F D' U' L R
U B F D' U' R L
U B F D2 U' L R
U B F D2 U' R L
U B F' U L' U2 L2
U B F' U' L D2 R2
B F U' F' B' L' R'
B F U' F' B' R' L'
B F U' B' F' L' R'
B F U' B' F' R' L'
F B U' F' B' L' R'
F B U' F' B' R' L'
F B U' B' F' L' R'
F B U' B' F' R' L'
U' B' D F' U L' R'
U' B' D F' U R' L'
U' B' D' F' U L' R'
U' B' D' F' U R' L'
U' B' D2 F' U L' R'
U' B' D2 F' U R' L'
B' F' U F B L R
B' F' U F B R L
B' F' U B F L R
B' F' U B F R L
F' B' U F B L R
F' B' U F B R L
U' B' F U R' D2 L2
U' B' F U' R U2 R2
F' B' U B F L R
F' B' U B F R L
U' B' F' U L' R' D
U' B' F' U L' R' D'
U' B' F' U L' R' D2
U' B' F' U L' D R'
U' B' F' U L' D' R'
U' B' F' U L' D2 R'
U' B' F' U R' L' D
U' B' F' U R' L' D'
U' B' F' U R' L' D2
U' B' F' U R' D L'
U' B' F' U R' D' L'
U' B' F' U R' D2 L'
U' B' F' U D L' R'
U' B' F' U D R' L'
U' B' F' U D' L' R'
U' B' F' U D' R' L'
U' B' F' U D2 L' R'
U' B' F' U D2 R' L'
U' B' F' D U L' R'
U' B' F' D U R' L'
U' B' F' D' U L' R'
U' B' F' D' U R' L'
U' B' F' D2 U L' R'
U' B' F' D2 U R' L'
U B' F U R' U2 R2
U B' F U' R D2 L2
U B' F' U L' R' U2
U B' F' U R' L' U2
U' B2 U2 B U' L R'
U' B2 U2 B U' R' L
U B2 U2 B' U L R'
U B2 U2 B' U R' L
U' B2 D2 F' U L' R
U' B2 D2 F' U R L'
U B2 D2 F U' L' R
U B2 D2 F U' R L'
