B' L U' R' B2
B' L R U' R2 B2
B' L R U' B2 R2
B' L R2 U' R B2
B' L R2 U' B2 R
B' L U' R B2 R2
B' L U' R' B2 D
B' L U' R' B2 D'
B' L U' R' B2 D2
B' L U' R2 B2 R
B' L D' R2 U' R
B' L F U' R' B2
B' L F' U' R' B2
B' L F2 U' R' B2
B' R L U' R2 B2
B' R L U' B2 R2
B' R2 L U' R B2
B' R2 L U' B2 R
B U B2 L U' R'
B' D' L R2 U' R
B' D' R2 L U' R
B' F L U' R' B2
U' B' L F U' B2
R B' L U' R' B
F' B' L U' R' B2
B' F' L U' R' B2
F2 B' L U' R' B2
F B' L U' R' B2
B' F2 L U' R' B2
B' D' R2 L U' R D
B' D' R2 L U' R D'
B' D' R2 L U' R D2
B' D' R2 L U' D R
B' D' R2 L U' D' R
B' D' R2 L U' D2 R
B' D' R2 L D U' R
B' D' R2 L D' U' R
B' D' R2 L D2 U' R
U' F' B' L F U' B2
B' D' R2 D L U' R
B' D' R2 D' L U' R
B' D' R2 D2 L U' R
R F' B' L U' R' B
B' D' F L R2 U' R
B' D' F R2 L U' R
B' D' F' L R2 U' R
B' D' F' R2 L U' R
B' D' F2 L R2 U' R
B' D' F2 R2 L U' R
B' D2 L U F2 U2 R'
B' D2 L U' R' D2 B2
B' D2 L U' D2 R' B2
B' D2 L D R2 U' R
B' D2 L D2 U' R' B2
B D2 R D' L2 F2 R
U' F2 B' L F U' B2
D2 F2 B' U' R' F' B2
D2 F2 B' U' R' B2 F'
R F2 B' L U' R' B
B' F L R U' R2 B2
B' F L R U' B2 R2
B' F L R2 U' R B2
B' F L R2 U' B2 R
B' F L U' R B2 R2
B' F L U' R' B2 D
B' F L U' R' B2 D'
B' F L U' R' B2 D2
B' F L U' R2 B2 R
U2 B U B2 L F U'
B' F L D' R2 U' R
B' F L F U' R' B2
B' F L F' U' R' B2
B' F L F2 U' R' B2
D2 B D L2 F2 R F'
B' F R L U' R2 B2
B' F R L U' B2 R2
B' F R2 L U' R B2
B' F R2 L U' B2 R
U' B' L R F U' B2
U' B' L R' F U' B2
U' B' L R2 F U' B2
R' B' L R U' B R2
U' B' L D' R2 F U'
U' B' L D' F R2 U'
F' B U B2 L U' R'
U' B' L F R U' B2
U' B' L F R' U' B2
U' B' L F R2 U' B2
U' B' L F U' B2 D
U' B' L F U' B2 D'
U' B' L F U' B2 D2
U' B' L F D' R2 U'
F2 B U B2 L U' R'
B F U B2 L U' R'
R2 B' L R2 U' B R
U2 B' L F U' R B2
U2 B' L F U' B2 R
R2 B' L U F' U2 R'
R2 B' L U' R2 B R
F B U B2 L U' R'
U B' L R' F' U' B2
U B' L U' B' R' B'
U' B' R L F U' B2
R B' L R U' R2 B
D B' L' U' R' F B2
D B' L' U' R' B2 F
D B' L' U' F R' B2
B' F D' L R2 U' R
R B' L U' R' D B
R B' L U' R' D' B
R B' L U' R' D2 B
R B' L U' R' B D
R B' L U' R' B D'
R B' L U' R' B D2
R' B' R L U' B R2
B' F D' R2 L U' R
R B' L F U' R' B
D' B' R U' F' R2 B2
D' B' R U' F' B2 R2
D' B' R U' B2 F' R2
R B' L F' U' R' B
R B' L F2 U' R' B
U' B' R' L F U' B2
U' B' R2 L F U' B2
B' F' L R U' R2 B2
B' F' L R U' B2 R2
B' F' L R2 U' R B2
B' F' L R2 U' B2 R
D' B' R' B2 D L2 F
B' F' L U' R B2 R2
B' F' L U' R' B2 D
B' F' L U' R' B2 D'
B' F' L U' R' B2 D2
B' F' L U' R2 B2 R
F' B' L R U' R2 B2
F' B' L R U' B2 R2
B' F' L D' R2 U' R
F' B' L R2 U' R B2
F' B' L R2 U' B2 R
B' F' L F U' R' B2
F' B' L U' R B2 R2
F' B' L U' R' B2 D
F' B' L U' R' B2 D'
F' B' L U' R' B2 D2
F' B' L U' R2 B2 R
B' F' L F' U' R' B2
F2 B' L R U' R2 B2
F2 B' L R U' B2 R2
B' F' L F2 U' R' B2
R B' R L U' R2 B
F2 B' L R2 U' R B2
F2 B' L R2 U' B2 R
F' B' L D' R2 U' R
F2 B' L U' R B2 R2
F2 B' L U' R' B2 D
F2 B' L U' R' B2 D'
F2 B' L U' R' B2 D2
F2 B' L U' R2 B2 R
F' B' L F U' R' B2
F' B' L F' U' R' B2
F' B' L F2 U' R' B2
F2 B' L D' R2 U' R
F2 B' L F U' R' B2
U B' R' L F' U' B2
F2 B' L F' U' R' B2
F2 B' L F2 U' R' B2
R2 B' R2 L U' B R
U B' R' F' L U' B2
F B' L R U' R2 B2
F B' L R U' B2 R2
F B' L R2 U' R B2
F B' L R2 U' B2 R
F B' L U' R B2 R2
F B' L U' R' B2 D
F B' L U' R' B2 D'
F B' L U' R' B2 D2
F B' L U' R2 B2 R
D' B' U' R F' R2 B2
D' B' U' R F' B2 R2
D' B' U' R B2 F' R2
F B' L D' R2 U' R
F B' L F U' R' B2
F B' L F' U' R' B2
F B' L F2 U' R' B2
B' F' R L U' R2 B2
B' F' R L U' B2 R2
F' B' R L U' R2 B2
F' B' R L U' B2 R2
F2 B' R L U' R2 B2
F2 B' R L U' B2 R2
U' B' D' L R2 F U'
U' B' D' L F R2 U'
B' F' R2 L U' R B2
B' F' R2 L U' B2 R
U' B' D' R2 L F U'
F B' R L U' R2 B2
F B' R L U' B2 R2
F' B' R2 L U' R B2
F' B' R2 L U' B2 R
F2 B' R2 L U' R B2
F2 B' R2 L U' B2 R
U' B' F L F U' B2
D2 B' F L' U' R' B2
F B' R2 L U' R B2
F B' R2 L U' B2 R
U' B' F' L F U' B2
U2 B' F L U' R B2
U2 B' F L U' B2 R
U' B' F2 L F U' B2
B F' U B2 L U' R'
R B' D2 L U' R' B'
D2 B' F2 U' R' F' B2
D2 B' F2 U' R' B2 F'
R B' F L U' R' B
B' F' D' L R2 U' R
B' F' D' R2 L U' R
F' B' D' L R2 U' R
F' B' D' R2 L U' R
R B' F' L U' R' B
F2 B' D' L R2 U' R
F2 B' D' R2 L U' R
R B' F2 L U' R' B
B' F2 L R U' R2 B2
B' F2 L R U' B2 R2
B' F2 L R2 U' R B2
B' F2 L R2 U' B2 R
B' F2 L U' R B2 R2
B' F2 L U' R' B2 D
B' F2 L U' R' B2 D'
B' F2 L U' R' B2 D2
B' F2 L U' R2 B2 R
F B' D' L R2 U' R
B' F2 L D' R2 U' R
B' F2 L F U' R' B2
F B' D' R2 L U' R
B' F2 L F' U' R' B2
B' F2 L F2 U' R' B2
B' F2 R L U' R2 B2
B' F2 R L U' B2 R2
B' F2 R2 L U' R B2
B' F2 R2 L U' B2 R
B F2 U B2 L U' R'
B' F2 D' L R2 U' R
B' F2 D' R2 L U' R
