B' R2 U' R' F2
B' R2 U' F2 R'
B' L R2 U' R' F2
B' L R2 U' F2 R'
B' L' R2 U' R' F2
B' L' R2 U' F2 R'
B' L2 R2 U' R' F2
B' L2 R2 U' F2 R'
R U R B' U' F2
R U B' R U' F2
B' R2 L U' R' F2
B' R2 L U' F2 R'
B' R2 L U' F2 R'
B' R2 L' U' R' F2
B' R2 L' U' F2 R'
B' R2 L2 U' R' F2
B' R2 L2 U' F2 R'
B' R2 U' R F2 R2
B' R2 U' R' F2 D
B' R2 U' R' F2 D'
B' R2 U' R' F2 D2
B' R2 U' F R' F
B' R2 U' F2 R' D
B' R2 U' F2 R' D'
B' R2 U' F2 R' D2
B' R2 U' F2 D R'
B' R2 U' F2 D' R'
B' R2 U' F2 D2 R'
B' R2 D' L2 U' R'
B' R2 F U' R' F
B' R2 F U' F R'
B' R2 F' U' F' R'
F2 B D L2 B2 R'
U' B' R2 U' R' F2
U' B' R2 U' F2 R'
U2 B' R2 U' R' F2
U2 B' R2 U' F2 R'
R B' R U' R' F2
R B' R U' F2 R'
U B' R2 U' R' F2
U B' R2 U' F2 R'
B F2 D L2 B2 R'
B' R2 F U' F R' D
B' R2 F U' F R' D'
B' R2 F U' F R' D2
B' R2 F U' F D R'
B' R2 F U' F D' R'
B' R2 F U' F D2 R'
B' R2 F U' F' R' F2
B' R2 F D U' R' F
B' R2 F D U' F R'
B' R2 F D' U' R' F
B' R2 F D' U' F R'
B' R2 F D2 U' R' F
B' R2 F D2 U' F R'
B' R2 F' L U' F' R'
B' R2 F' L' U' F' R'
B' R2 F' L2 U' F' R'
B' R2 F' U' D F' R'
B' R2 F' U' D' F' R'
B' R2 F' U' D2 F' R'
B' R2 F' U' F R' F2
B' R2 F' U' F' R' D
B' R2 F' U' F' R' D'
B' R2 F' U' F' R' D2
B' R2 F' U' F' D R'
B' R2 F' U' F' D' R'
B' R2 F' U' F' D2 R'
B' R2 F' U' F2 R' F
B' R2 F' D U' F' R'
B' R2 F' D' U' F' R'
B' R2 F' D2 U' F' R'
F R2 F' B' U' R F2
F2 R2 F2 B' U' R F2
L2 D R2 F U R' B2
F2 R2 B' F2 U' R F2
F R2 B' U' F' R F2
B R2 B2 L2 U' F2 R
F R2 B' F' U' R F2
B R2 B2 U L U2 F2
R' D B2 L R2 F' U
F2 U R2 F2 B' U' R
R' D B2 R2 L F' U
R' D B2 R2 F' L U
F2 U R2 B' U L' U2
F2 U R2 B' F2 U' R
R2 D' L2 U2 F U R'
R' D' R' F2 B' L2 U'
R' D' R' B' L2 F2 U'
R' D' R' B' F2 L2 U'
F2 U F2 B' R2 U' R'
B U F2 D L2 B2 R'
B2 U B R2 U' R' F2
B2 U B R2 U' F2 R'
F2 U B' R2 U L' U2
F2 U B' R2 F2 U' R
F2 U B' F2 R2 U' R'
R D' U R B' L2 U'
B U B2 R2 U' R' F2
B U B2 R2 U' F2 R'
R D' U B' L2 R U'
R D' U B' R L2 U'
R' D' F2 R' B' L2 U'
B' U' R U R U' F2
B' U' R F2 U' L' U
R D' B' L2 R U' R'
B' U' D B2 D' R F2
R D' B' R L2 U' R'
B2 U' B R2 U' R' F2
B2 U' B R2 U' F2 R'
B U' F2 D L2 B2 R'
B U' B2 R2 U' R' F2
B U' B2 R2 U' F2 R'
B' U2 R2 U' R' F2 L'
B' U2 D R2 U R' B2
R2 D2 B' U B' L U2
B2 U2 B R2 U' R' F2
B2 U2 B R2 U' F2 R'
B U2 F2 D L2 B2 R'
B U2 B2 R2 U' R' F2
B U2 B2 R2 U' F2 R'
B D L2 B2 D' R F2
B2 D R2 F' U R' B2
B D R2 U L2 R' B2
B D R2 U R' L2 B2
B D R2 U R' B2 L2
B' D U' B2 D' R F2
B' D U2 R2 U R' B2
R2 F' L U' F' L' R'
R2 F' L U' F' R' L'
B' D B2 D' R F2 L'
B D B2 L2 D' R F2
B' D' L2 U F2 L' U2
B' D' L2 U' R D2 B2
B' D' L2 U' D2 R B2
B' D' L2 U' D2 B2 R
B' D' L2 D R2 U' R'
B' D' L2 D2 U' R B2
B' D' L2 D2 U' B2 R
R2 F' B' U' D2 F' R
R2 F' B' D2 U' F' R
R F2 L2 U' F L U
R' F2 R2 U R B' U'
R' F2 R2 U B' R U'
R2 F2 R' U R B' U'
R2 F2 R' U B' R U'
R F2 U B' U2 L' U
R F2 U' L2 F L U
F' D2 L2 F U R F2
U' F2 B D L2 B2 R'
U2 F2 B D L2 B2 R'
U F2 B D L2 B2 R'
R F2 B' U' L' U L
R B U R B2 U' F2
R B U B2 R U' F2
F2 B L2 D B2 L2 R'
F2 B L2 D B2 R' L2
D B D' B R F2 L'
B' F R2 U' F' R F2
B' F R2 F' U' R F2
U' B F2 D L2 B2 R'
U' B' L R2 U' R' F2
U' B' L R2 U' F2 R'
U2 B F2 D L2 B2 R'
U' B' L' R2 U' R' F2
U' B' L' R2 U' F2 R'
U2 B' L R2 U' R' F2
U2 B' L R2 U' F2 R'
U' B' L2 R2 U' R' F2
U' B' L2 R2 U' F2 R'
U2 B' L' R2 U' R' F2
U B F2 D L2 B2 R'
U2 B' L' R2 U' F2 R'
D' B' L2 U F2 L' U2
U B' L R2 U' R' F2
U B' L R2 U' F2 R'
D' B' L2 U' R D2 B2
D' B' L2 U' D2 R B2
D' B' L2 U' D2 B2 R
D' B' L2 D R2 U' R'
D' B' L2 D2 U' R B2
D' B' L2 D2 U' B2 R
R B' L R U' R' F2
R B' L R U' F2 R'
F2 B D L2 R B2 R'
F2 B D L2 R' B2 R'
F2 B D L2 R2 B2 R'
F2 B D L2 B2 R' D
F2 B D L2 B2 R' D'
F2 B D L2 B2 R' D2
F2 B D L2 B2 D R'
F2 B D L2 B2 D' R'
F2 B D L2 B2 D2 R'
F2 B D R L2 B2 R'
F2 B D R' L2 B2 R'
F' B D F' L2 B2 R'
F2 B D R2 L2 B2 R'
U2 B' L2 R2 U' R' F2
U2 B' L2 R2 U' F2 R'
U B' L' R2 U' R' F2
U B' L' R2 U' F2 R'
R B' L' R U' R' F2
R B' L' R U' F2 R'
U B' L2 R2 U' R' F2
U B' L2 R2 U' F2 R'
U' B' R2 L U' R' F2
U' B' R2 L U' F2 R'
R B' L2 R U' R' F2
R B' L2 R U' F2 R'
U' B' R2 L' U' R' F2
U' B' R2 L' U' F2 R'
U' B' R2 L2 U' R' F2
U' B' R2 L2 U' F2 R'
U' B' R2 U' R F2 R2
U' B' R2 U' R' F2 D
U' B' R2 U' R' F2 D'
U' B' R2 U' R' F2 D2
U' B' R2 U' F R' F
U' B' R2 U' F2 R' D
U' B' R2 U' F2 R' D'
U' B' R2 U' F2 R' D2
U' B' R2 U' F2 D R'
U' B' R2 U' F2 D' R'
U' B' R2 U' F2 D2 R'
U' B' R2 D' L2 U' R'
U' B' R2 F U' R' F
U' B' R2 F U' F R'
U' B' R2 F' U' F' R'
R B' R L U' R' F2
R B' R L U' F2 R'
R B' R L' U' R' F2
R B' R L' U' F2 R'
R B' R L2 U' R' F2
R B' R L2 U' F2 R'
U2 B' R2 L U' R' F2
U2 B' R2 L U' F2 R'
U2 B' R2 L' U' R' F2
U2 B' R2 L' U' F2 R'
R B' R U' R F2 R2
R B' R U' R' F2 D
R B' R U' R' F2 D'
R B' R U' R' F2 D2
U2 B' R2 L2 U' R' F2
U2 B' R2 L2 U' F2 R'
R B' R U' F R' F
R B' R U' F2 R' D
R B' R U' F2 R' D'
R B' R U' F2 R' D2
R B' R U' F2 D R'
R B' R U' F2 D' R'
R B' R U' F2 D2 R'
U2 B' R2 U' R F2 R2
U2 B' R2 U' R' F2 D
U2 B' R2 U' R' F2 D'
U2 B' R2 U' R' F2 D2
U2 B' R2 U' F R' F
U2 B' R2 U' F2 R' D
U2 B' R2 U' F2 R' D'
U2 B' R2 U' F2 R' D2
U2 B' R2 U' F2 D R'
U2 B' R2 U' F2 D' R'
U2 B' R2 U' F2 D2 R'
R B' R D' L2 U' R'
U2 B' R2 D' L2 U' R'
R B' R F U' R' F
R B' R F U' F R'
R B' R F' U' F' R'
U2 B' R2 F U' R' F
U2 B' R2 F U' F R'
U2 B' R2 F' U' F' R'
U B' R2 L U' R' F2
U B' R2 L U' F2 R'
U B' R2 L' U' R' F2
U B' R2 L' U' F2 R'
U B' R2 L2 U' R' F2
U B' R2 L2 U' F2 R'
U B' R2 U' R F2 R2
U B' R2 U' R' F2 D
U B' R2 U' R' F2 D'
U B' R2 U' R' F2 D2
U B' R2 U' F R' F
U B' R2 U' F2 R' D
U B' R2 U' F2 R' D'
U B' R2 U' F2 R' D2
U B' R2 U' F2 D R'
U B' R2 U' F2 D' R'
U B' R2 U' F2 D2 R'
U B' R2 D' L2 U' R'
U B' R2 F U' R' F
U B' R2 F U' F R'
U B' R2 F' U' F' R'
D2 B' U2 L2 U R F
R2 B' U B U2 R' F2
R2 B' U B U2 F2 R'
R2 B' U B' L U2 F2
D B' U' D' R F2 B'
D B' U' D' R B' F2
D B' U' D' B' R F2
R2 B' U' F' D2 F' R
R2 B' U' F2 B R' B'
R2 B' U' B R' F2 B'
R2 B' U' B R' B' F2
R2 B' U' B F2 R' B'
D' B' D R2 U' R' F2
D' B' D R2 U' F2 R'
D B' U' B' D' R F2
D B' U2 R2 U R' B'
R2 B' U2 B U R' F2
R2 B' U2 B U F2 R'
F2 B' R2 F2 U' R F2
D B' D' U' R F2 B'
D B' D' U' R B' F2
D B' D' U' B' R F2
F B' R2 U' F' R F2
F B' R2 F' U' R F2
R B' D' L2 R U' R'
R B' D' R L2 U' R'
R2 B' F' U' D2 F' R
R2 B' F' D2 U' F' R
B F' D F' L2 B2 R'
R B' F2 U' L' U L
R2 B2 L2 B U' F2 R
D B2 R U' R F' U
B F2 L2 D B2 L2 R'
B F2 L2 D B2 R' L2
B' F2 R2 F2 U' R F2
D B2 U' R2 F' U R'
R B2 U B R U' F2
B F2 D L2 R B2 R'
B F2 D L2 R' B2 R'
B F2 D L2 R2 B2 R'
B F2 D L2 B2 R' D
B F2 D L2 B2 R' D'
B F2 D L2 B2 R' D2
B F2 D L2 B2 D R'
B F2 D L2 B2 D' R'
B F2 D L2 B2 D2 R'
B F2 D R L2 B2 R'
B F2 D R' L2 B2 R'
B F2 D R2 L2 B2 R'
