D' L U2 L F
R' L U F2 U F
D L R B R U2
D' L R' U2 L F'
D' L R' U2 F' L
R' L U2 D' L2 F'
R' L U2 D' F' L2
R' L D R2 B U2
L R D R2 U2 F'
R L D R2 U2 F'
L R D B R2 U2
R' L D' U2 L2 F'
R' L D' U2 F' L2
R L D B R2 U2
D' L U2 L D F
D' L U2 L D' F
D' L U2 L D2 F
D' L U2 L F D
D' L U2 L F D'
D' L U2 L F D'
D' L U2 L F D2
L R D' B U2 L2
D' L U2 D L F
D' L U2 D' L F
D' L U2 D2 L F
D' L U2 F L F
D' L U2 F' L F
D' L U2 F2 L F
R L D' B U2 L2
D' L D U2 L F
D' L D' U2 L F
D' L D2 U2 L F
L R B U F2 U
L R B U2 D' L2
L R B D R2 U2
R L B U F2 U
L R B D' U2 L2
R L B U2 D' L2
R L B U2 D' L2
R L B D R2 U2
R L B D' U2 L2
L R' U F2 U F
D' L B2 R' U2 F'
L R' U2 D' L2 F'
L R' U2 D' F' L2
L R' D R2 B U2
L R' D' U2 L2 F'
L R' D' U2 F' L2
D R L B R U2
L U F R F U
D' R' L U2 L F'
D' R' L U2 F' L
B2 R' D' F' L2 B'
L U2 L D' F L2
L U2 L' D' L2 F
L U2 D' L F L
R' D L R2 B U2
R D L R2 U2 F'
D R2 D2 L B' U2
R D L B R2 U2
R' D R2 L B U2
L D R B R U2
R D R2 L U2 F'
R' D' L U2 L F'
R' D' L U2 F' L
L D' R B U2 L2
L D' R' U2 L2 F'
L D' R' U2 F' L2
L D' U2 L F L
B2 D R2 U2 R F'
B2 D' R' F' L2 B'
D' B2 R' F' L2 B'
D B2 R2 U2 R F'
R' L D' U2 L2 F' D2
R' L D' U2 F L2 F2
R' L D' U2 F' L2 D
R' L D' U2 F' L2 D'
R' L D' U2 F' L2 D2
D' L U2 L R F R'
D' L U2 L R2 F R2
D2 L U2 L D F L2
D' L U2 L D F D
D' L U2 L D F D'
D' L U2 L D F D2
D' L U2 L D' F D
D' L U2 L D' F D'
D' L U2 L D' F D2
D' L U2 L D2 F D
D' L U2 L D2 F D'
D' L U2 L D2 F D2
D2 L U2 L F D L2
D' L U2 L F2 D F'
D' L U2 L F2 D' F'
D' L U2 L F2 D2 F'
D2 L U2 L' D L2 F
D' L U2 L' F L2 F
R L D' R2 U2 L2 F'
R L D' R2 U2 F' L2
D' L U2 L' F' L2 F
D' L U2 L' F2 L2 F
D L U2 L D2 F L2
D L U2 L F D2 L2
D' L U2 R L F R'
D L U2 L' D2 L2 F
R' L D' B U2 L2 F'
R' L D' B U2 F' L2
R' L D' B' U2 L2 F'
R' L D' B' U2 F' L2
D' L U2 R2 L F R2
R' L D' B2 U2 L2 F'
R' L D' B2 U2 F' L2
L2 R D' B L' U2 L'
L R D' B R U2 L2
L R D' B R' U2 L2
L R D' B R2 U2 L2
D2 L U2 D L F L
L R D' B U2 L2 D
L R D' B U2 L2 D'
L R D' B U2 L2 D2
D' L U2 D L D F
D' L U2 D L D' F
D' L U2 D L D2 F
D' L U2 D L F D
D' L U2 D L F D'
D' L U2 D L F D2
L R D' B D2 R2 U2
D' L U2 D F L F
D' L U2 D F' L F
D' L U2 D F2 L F
D' L U2 D' L D F
D' L U2 D' L D' F
D' L U2 D' L D2 F
D' L U2 D' L F D
D' L U2 D' L F D'
D' L U2 D' L F D2
D' L U2 D' F L F
D' L U2 D' F' L F
D' L U2 D' F2 L F
D' L U2 D2 L D F
D' L U2 D2 L D' F
D' L U2 D2 L D2 F
D' L U2 D2 L F D
D' L U2 D2 L F D'
D' L U2 D2 L F D2
R L D' B R U2 L2
D' L U2 D2 F L F
R L D' B R' U2 L2
D' L U2 D2 F' L F
L R D' B2 U2 L2 F
D' L U2 D2 F2 L F
R L D' B R2 U2 L2
R L D' B U2 L2 D
R L D' B U2 L2 D'
R L D' B U2 L2 D2
D' L U2 F L D F
D' L U2 F L D' F
D' L U2 F L D2 F
D' L U2 F L F D
D' L U2 F L F D'
D' L U2 F L F D2
R L D' B D2 R2 U2
D' L U2 F D L F
D' L U2 F D' L F
D' L U2 F D2 L F
D' L U2 F' L D F
D' L U2 F' L D' F
D' L U2 F' L D2 F
D' L U2 F' L F D
D' L U2 F' L F D'
D' L U2 F' L F D2
D L U2 D2 L F L
D' L U2 F' D L F
D' L U2 F' D' L F
D' L U2 F' D2 L F
R L D' B2 U2 L2 F
D' L U2 F2 L D F
D' L U2 F2 L D' F
D' L U2 F2 L D2 F
D' L U2 F2 L F D
D' L U2 F2 L F D'
D' L U2 F2 L F D2
D' L U2 F2 D L F
D' L U2 F2 D' L F
D' L U2 F2 D2 L F
R' L D2 U' B2 U' F'
R' L D2 U2 F' D L2
D2 L D R B U2 L2
D2 L D R' U2 L2 F'
D2 L D R' U2 F' L2
D' L D R' U2 L F'
D' L D R' U2 F' L
L R D2 B U' B U'
B2 L D R2 U2 R F'
D2 L D U2 L F L
D' L D U2 L D F
D' L D U2 L D' F
D' L D U2 L D2 F
D' L D U2 L F D
D' L D U2 L F D'
D' L D U2 L F D2
D' L D U2 F L F
D' L D U2 F' L F
R L D2 B U' B U'
D' L D U2 F2 L F
F L D F' R B U2
D' L D B2 R' U2 F'
D2 L D' R B R U2
D' L D' R' U2 L F'
D' L D' R' U2 F' L
B2 L D' R' F' L2 B'
D' L D' U2 L D F
D' L D' U2 L D' F
D' L D' U2 L D2 F
D' L D' U2 L F D
D' L D' U2 L F D'
D' L D' U2 L F D2
D' L D' U2 F L F
D' L D' U2 F' L F
D' L D' U2 F2 L F
U2 L D' F L2 D2 R2
D' L D' B2 R' U2 F'
D' L D2 R' U2 L F'
D' L D2 R' U2 F' L
D' L D2 R' U2 F' L
D L D2 R B U2 L2
D L D2 R' U2 L2 F'
D L D2 R' U2 F' L2
D L D2 R' U2 F' L2
D' L D2 U2 L D F
D' L D2 U2 L D' F
D' L D2 U2 L D2 F
D' L D2 U2 L F D
D' L D2 U2 L F D'
D' L D2 U2 L F D2
D' L D2 U2 F L F
D' L D2 U2 F' L F
D' L D2 U2 F2 L F
D L D2 U2 L F L
D' L D2 B2 R' U2 F'
L' R B L2 U F2 U
L' R B L2 U2 D' L2
L' R B L2 D R2 U2
L' R B L2 D' U2 L2
L2 R B L' U F2 U
L2 R B L' U2 D' L2
L2 R B L' D R2 U2
L2 R B L' D' U2 L2
L R B R U F2 U
L R B R U2 D' L2
L R B R D R2 U2
L R B R D' U2 L2
L R B R' U F2 U
R' L B U F2 U F
R L B R U F2 U
L R B R' U2 D' L2
L R B R' D R2 U2
R L B R U2 D' L2
L R B R' D' U2 L2
R L B R D R2 U2
R L B R D' U2 L2
L R B R2 U F2 U
L R B R2 U2 D' L2
L R B R2 D R2 U2
R L B R' U F2 U
L R B R2 D' U2 L2
R L B R' U2 D' L2
R L B R' D R2 U2
R L B R' D' U2 L2
R' L B U2 D' L2 F'
R' L B U2 D' F' L2
R L B R2 U F2 U
R L B R2 U2 D' L2
R L B R2 D R2 U2
R L B R2 D' U2 L2
L R B U F2 U D
L R B U F2 U D'
L R B U F2 U D2
L R B U F2 D U
L R B U F2 D' U
L R B U F2 D2 U
R' L B D R2 B U2
L2 R B U F2 U R
L R B U' D2 B2 U'
R L B U F2 U D
R L B U F2 U D'
R L B U F2 U D2
R L B U F2 D U
R L B U F2 D' U
R L B U F2 D2 U
R' L B D' U2 L2 F'
R' L B D' U2 F' L2
L R B U2 L D' L2
L R B U2 L' D' L2
L R B U2 L2 D' L2
L R B U2 D' L2 D
L R B U2 D' L2 D'
L R B U2 D' L2 D2
R L B U' D2 B2 U'
R L B U2 L D' L2
L2 R B D L' R2 U2
R L B U2 L' D' L2
R L B U2 L2 D' L2
L R B D R2 U2 D
L R B D R2 U2 D'
L R B D R2 U2 D2
L R B D R2 D U2
L R B D R2 D' U2
L R B D R2 D2 U2
L2 R B D R2 L' U2
R L B U2 D' L2 D
R L B U2 D' L2 D'
R L B U2 D' L2 D2
L2 R B D' L' U2 L'
L R B D' R U2 L2
L R B D' R' U2 L2
L R B D' R2 U2 L2
R L B D R2 U2 D
R L B D R2 U2 D'
R L B D R2 U2 D2
R L B D R2 D U2
R L B D R2 D' U2
R L B D R2 D2 U2
L R B D' U2 L2 D
L R B D' U2 L2 D'
L R B D' U2 L2 D2
R L B D' R U2 L2
R L B D' R' U2 L2
R L B D' R2 U2 L2
L R B D2 U' B2 U'
R L B D' U2 L2 D
R L B D' U2 L2 D'
R L B D' U2 L2 D2
R L B D2 U' B2 U'
R' L B' U F2 U F
R' L B' U2 D' L2 F'
R' L B' U2 D' F' L2
R' L B' D R2 B U2
R' L B' D' U2 L2 F'
R' L B' D' U2 F' L2
R' L B2 U F2 U F
R' L B2 U2 D' L2 F'
R' L B2 U2 D' F' L2
R' L B2 D R2 B U2
R' L B2 D' U2 L2 F'
R' L B2 D' U2 F' L2
L R B2 U2 D' L2 F
L R B2 D R2 B' U2
D' L B R B R' U2
R L B2 U2 D' L2 F
L R B2 D B' R2 U2
L R B2 D' U2 L2 F
R L B2 D R2 B' U2
L R B2 D' B' U2 L2
R L B2 D B' R2 U2
D L B R B R U2
R L B2 D' U2 L2 F
R L B2 D' B' U2 L2
D2 L B U' B L U'
D' L B' R B U2 L
D' L B' R' U2 F' L'
L R' U F2 R U F
L R' U F2 R' U F
L R' U F2 R2 U F
L R' U F2 U D F
L R' U F2 U D' F
L R' U F2 U D2 F
L R' U F2 U F D
L R' U F2 U F D'
L R' U F2 U F D2
L R' U F2 D U F
L2 R' U F2 U R F
L R' U F2 D' U F
L R' U F2 D2 U F
D L B' R B R U2
L R' U' D2 B2 U' F'
D' L B2 R B R2 U2
D' L B2 R' U2 D F'
D' L B2 R' U2 D' F'
D' L B2 R' U2 D2 F'
D' L B2 R' U2 F' D
D' L B2 R' U2 F' D'
D' L B2 R' U2 F' D2
D' L B2 R' D U2 F'
D' L B2 R' D' U2 F'
D' L B2 R' D2 U2 F'
D' L B2 R' B U2 F'
D' L B2 R' B' U2 F'
D' L B2 R' B2 U2 F'
D L B2 R B R U2
L R' U2 L D' L2 F'
L R' U2 L D' F' L2
D' L B2 D R' U2 F'
L R' U2 L' D' L2 F'
L R' U2 L' D' F' L2
D' L B2 D' R' U2 F'
L R' U2 L2 D' L2 F'
L R' U2 L2 D' F' L2
D' L B2 D2 R' U2 F'
L R' U2 D F' D2 L2
L R' U2 D' L F' L
L R' U2 D' L2 D F'
L R' U2 D' L2 D' F'
L R' U2 D' L2 D2 F'
L R' U2 D' L2 F' D
L R' U2 D' L2 F' D'
L R' U2 D' L2 F' D2
L R' U2 D' F L2 F2
L R' U2 D' F' L2 D
L R' U2 D' F' L2 D'
L R' U2 D' F' L2 D2
L R' U2 D2 F' D L2
L R' U2 F' U' F' U
D' L' R B L2 U2 L
L2 R' D L' R2 B U2
D L' R B L2 R U2
D L' R B R L2 U2
L2 R' D R2 L' B U2
L R' D R2 D B U2
L R' D R2 D' B U2
L R' D R2 D2 B U2
L R' D R2 B U2 D
L R' D R2 B U2 D'
L R' D R2 B U2 D2
L R' D R2 B D U2
L R' D R2 B D' U2
L R' D R2 B D2 U2
L2 R' D R2 B L' U2
L R' D U2 F' D2 L2
B2 L' R' D' F' L2 B'
L R' D B R2 B U2
L R' D B' R2 B U2
L R' D B2 R2 B U2
L2 R' D' L' U2 L' F'
L R' D' R2 B U2 L2
L R' D' U2 L F' L
L R' D' U2 L2 D F'
L R' D' U2 L2 D' F'
L R' D' U2 L2 D2 F'
L R' D' U2 L2 F' D
L R' D' U2 L2 F' D'
L R' D' U2 L2 F' D2
L R' D' U2 F L2 F2
L R' D' U2 F' L2 D
L R' D' U2 F' L2 D'
L R' D' U2 F' L2 D2
L R' D' B U2 L2 F'
L R' D' B U2 F' L2
L R' D' B' U2 L2 F'
L R' D' B' U2 F' L2
L R' D' B2 U2 L2 F'
L R' D' B2 U2 F' L2
L R' D2 U' B2 U' F'
L R' D2 U2 F' D L2
B2 L' D R2 U2 R F'
U2 L' D' L2 D' R2 F
U2 L' D' L2 D' F R2
U2 L' D' L2 F D' R2
R L' B L2 U F2 U
R L' B L2 U2 D' L2
R L' B L2 D R2 U2
R L' B L2 D' U2 L2
B2 L' D' R' F' L2 B'
L R' B U F2 U F
L R' B U2 D' L2 F'
L R' B U2 D' F' L2
L R' B D R2 B U2
L R' B D' U2 L2 F'
L R' B D' U2 F' L2
U2 L' D2 R2 D L2 F
L R' B' U F2 U F
L R' B' U2 D' L2 F'
L R' B' U2 D' F' L2
L R' B' D R2 B U2
L R' B' D' U2 L2 F'
L R' B' D' U2 F' L2
L R' B2 U F2 U F
L R' B2 U2 D' L2 F'
L R' B2 U2 D' F' L2
L R' B2 D R2 B U2
L R' B2 D' U2 L2 F'
L R' B2 D' U2 F' L2
L R2 U R F2 U F
R' L2 U F2 U R F
L2 R2 U F2 U R F'
R2 L2 U F2 U R F'
L R2 U F2 R U F'
D' L' B L2 U2 L F
R' L2 D L' R2 B U2
D' L' B' L2 U2 L F
R' L2 D R2 L' B U2
R' L2 D R2 B L' U2
R L2 D L' R2 U2 F'
R L2 D L' B R2 U2
R L2 D R2 L' U2 F'
R' L2 D' L' U2 L' F'
D' L' B2 L2 U2 L F
R L2 D B L' R2 U2
R L2 D B R2 L' U2
R L2 D' L' B U2 L'
R L2 D' B L' U2 L'
D' L2 R B L' U2 L
D L2 R B L' R U2
D L2 R B R L' U2
B2 L2 R' D' F' L2 B'
D L2 R2 U2 F2 R F'
D L2 R2 D2 L' U2 F
D' L2 U2 L' B' U2 B
R L2 B L' U F2 U
R L2 B L' U2 D' L2
R L2 B L' D R2 U2
R L2 B L' D' U2 L2
R L2 B U F2 U R
R L2 B D L' R2 U2
R L2 B D R2 L' U2
R L2 B D' L' U2 L'
D' L2 D L' U2 L F
B2 L2 D R2 U2 R F'
D' L2 D' L' U2 L F
B2 L2 D' R' F' L2 B'
D' L2 D2 L' U2 L F
D' L2 F2 R' F' R2 B
L U R F R F U
D' L2 B L' U2 L F
L U R' F R F U
D' L2 B' L' U2 L F
L U R2 F R F U
D' L2 B2 L' U2 L F
D2 R L D B U2 L2
D2 R L D' R2 U2 F'
D2 R L D' B R2 U2
L U D' F R U L2
D2 R L B U' B U'
D R L D B R U2
D R L D' B R U2
D' R L B2 R' B' U2
D R L D2 B R U2
D R L B R U2 D
D R L B R U2 D'
D R L B R U2 D2
D R L B R D U2
D R L B R D' U2
D R L B R D2 U2
D R L B D R U2
D R L B D' R U2
D R L B D2 R U2
D R L B' R B2 U2
D R L B2 R B' U2
D' R L' B L2 U2 L
L2 U F R F U R
L U F R D F U
L U F R D' F U
L U F R D2 F U
L U F R F U D
L U F R F U D'
L U F R F U D2
L U F R F D U
L U F R F D' U
L U F R F D2 U
D R L' B L2 R U2
D R L' B R L2 U2
L U F R' F R2 U
L U F R2 F R' U
L U F D R F U
D' R L2 B L' U2 L
L U F D' R F U
L U F D2 R F U
D R L2 B L' R U2
D R L2 B R L' U2
B2 R U F2 U R2 F'
L2 U F2 U D R F'
F2 R U' L F2 B U2
F2 R U' L B F2 U2
R' U F2 B2 U R' F
R' U F2 B2 U F R'
L2 U F2 D U R F'
R U F2 U' L B U2
L U F2 D R U F'
F2 R U' F2 L B U2
B2 R U2 R2 D' L2 F'
B2 R U2 R2 D' F' L2
D R D L B R U2
B' R D B L R2 U2
B' R D B R2 L U2
D2 R D' L R2 U2 F'
D2 R D' L B R2 U2
D2 R D' R2 L U2 F'
R' U B2 F2 U R' F
R' U B2 F2 U F R'
D R D' L B R U2
B' R D' B L U2 L
D' R D2 L R2 U2 F'
D' R D2 L B R2 U2
D' R D2 R2 L U2 F'
D R D2 L B R U2
B' R B L U F2 U
B' R B L U2 D' L2
B' R B L D R2 U2
B' R B L D' U2 L2
D2 R B U' B U' R'
B' R B D L R2 U2
B' R B D R2 L U2
B2 R B U F2 U R2
B' R B D' L U2 L
B2 R B U2 R2 D' L2
B R B U F2 U R'
B R B U2 R' D' L2
B R B U2 D' L2 R'
B R B U2 D' R' L2
B R B D R2 U2 R
B R B D' U2 L2 R'
B R B D' U2 R' L2
D' R B2 U2 L2 R' F
D' R B2 U2 L2 F R'
D' R B2 U2 R' L2 F
D R B2 R B' U2 R2
D2 R' L U' B2 U' F'
L U' D' L U' L F
D2 R' L U2 D L2 F'
D2 R' L U2 D F' L2
D' R' L U2 L D F'
D' R' L U2 L D' F'
D' R' L U2 L D2 F'
D' R' L U2 L F' D
D' R' L U2 L F' D'
D' R' L U2 L F' D2
D' R' L U2 L' F' L2
D2 R' L U2 F' D L2
D' R' L U2 D L F'
D' R' L U2 D F' L
D' R' L U2 D' L F'
D' R' L U2 D' F' L
D' R' L U2 D2 L F'
D' R' L U2 D2 F' L
D' R' L U2 F L F2
D' R' L U2 F' L D
D' R' L U2 F' L D'
D' R' L U2 F' L D2
D' R' L U2 F' D L
D' R' L U2 F' D' L
D' R' L U2 F' D2 L
D2 R' L D U2 L2 F'
D2 R' L D U2 F' L2
D' R' L D U2 L F'
D' R' L D U2 F' L
D2 R' L D' R2 B U2
D' R' L D' U2 L F'
D' R' L D' U2 F' L
D' R' L D2 U2 L F'
D' R' L D2 U2 F' L
B2 R' L D' F' L2 B'
L U' D' B L U' L
D' R' L B' U2 F' L'
R' U' D2 B2 U' F' R'
D R' L B U2 F' L'
D R' L B2 U2 L F'
D R' L B2 U2 F' L
B2 R' L' D' F' L2 B'
L U' D2 B L B U'
B2 R' L2 D' F' L2 B'
B' R' U F2 U F R
F2 R' U D2 F' B2 R'
F2 R' U D2 B2 F' R'
F2 R' U' L F2 U2 F
D2 R' U' B2 U' F' R'
D' R' U2 L2 F2 R F
L U' B L U' D' L2
L U' B L U2 F2 U
L U' B L D' U' L2
L U' B L D2 B2 U'
D' R' U2 F L2 F2 R
D2 R' D L U2 L F'
D2 R' D L U2 F' L
L U' B D' L U' L
L U' B D2 L B2 U'
B' R' D R2 B L U2
B2 R' D R2 U2 R2 F'
B2 R' D R2 B U2 R2
L U' B' U2 R' F2 U
L U' B' U2 F2 R' U
D2 R' D' L R2 B U2
B2 R' D F' D2 L2 B'
L U' B' D2 B2 L U'
D2 R' D' R2 L B U2
B' R' D' F' L2 B' R'
D' R' D2 L R2 B U2
B2 R' D' F' L2 D B'
B2 R' D' F' L2 D' B'
B2 R' D' F' L2 D2 B'
B2 R' D' F' L2 B' D
B2 R' D' F' L2 B' D'
B2 R' D' F' L2 B' D2
B2 R' D' F' B L2 B'
B2 R' D' F' B' L2 B'
B2 R' D' F' B2 L2 B'
B2 R' D' B F' L2 B'
B2 R' D' B' F' L2 B'
D' R' D2 R2 L B U2
B2 R' D' B2 F' L2 B'
L U2 L U' F2 U F'
L U2 L D F D2 L2
F2 R' D2 U F' B2 R'
F2 R' D2 U B2 F' R'
L U2 L D' F L2 D
L U2 L D' F L2 D'
L U2 L D' F L2 D2
L U2 L D' F' L2 F2
L U2 L D' F2 L2 F'
L U2 L D2 F D L2
B2 R' D2 F' D L2 B'
L U2 L F U' F U
L U2 L' D' L2 D F
L U2 L' D' L2 D' F
L U2 L' D' L2 D2 F
L U2 L' D' L2 F D
L U2 L' D' L2 F D'
L U2 L' D' L2 F D2
L U2 L' D' F L2 F
L U2 L' D' F' L2 F
L U2 L' D' F2 L2 F
D' R' F' B' L2 B' R'
D' R' F' B2 L2 R' B'
D' R' F' B2 R' L2 B'
B2 R' B D' F' L2 B'
D' R' B' F' L2 B' R'
B2 R' B' D' F' L2 B'
R' U2 D' L2 F2 R F
L U2 D L D2 F L2
L U2 D L F D2 L2
R' U2 D' F L2 F2 R
D' R' B2 U2 L2 F' R'
D' R' B2 U2 F' L2 R'
D' R' B2 U2 F' R' L2
L U2 D L' D2 L2 F
D' R' B2 F' L2 R' B'
D' R' B2 F' R' L2 B'
B2 R' B2 D' F' L2 B'
D R' B2 U2 L F' R'
D R' B2 U2 F' L R'
D R' B2 U2 F' R' L
L U2 D' L D F L
L U2 D' L D' F L
L U2 D' L D2 F L
L U2 D' L F L D
L U2 D' L F L D'
L U2 D' L F L D2
L U2 D' L F D L
L U2 D' L F D' L
L U2 D' L F D2 L
L U2 D' L F' L F2
L U2 D' L F2 L F'
D R2 L U R U F'
L U2 D' F L F L
D' R2 L B2 R' B U2
L U2 D' F' L F L
D R2 L U2 R F' R'
L U2 D' F2 L F L
L U2 D2 L D F L2
L U2 D2 L F D L2
L U2 D2 L' D L2 F
L U2 F L D F L'
L U2 F U' F R U
D R2 L2 U2 F2 R F'
D R2 L2 D2 L' U2 F
L U2 F' L F D' L2
D' R2 U2 L2 F2 R F'
B2 R2 U2 R D' L2 F'
B2 R2 U2 R D' F' L2
R' D L R2 D B U2
R' D L R2 D' B U2
R' D L R2 D2 B U2
R' D L R2 B U2 D
R' D L R2 B U2 D'
R' D L R2 B U2 D2
R' D L R2 B D U2
R' D L R2 B D' U2
R' D L R2 B D2 U2
R' D L U2 D2 L2 F'
R' D L U2 D2 F' L2
R' D L U2 F' D2 L2
R' D L D2 U2 L2 F'
R' D L D2 U2 F' L2
D' R2 D2 L R2 B' U2
D' R2 D2 L B' R2 U2
R' D L B R2 B U2
R' D L B' R2 B U2
R' D L B2 R2 B U2
D' R2 D2 R2 L B' U2
R' D L' R2 B L2 U2
D R2 D2 L D B' U2
D R2 D2 L D' B' U2
D R2 D2 L D2 B' U2
D R2 D2 L B' U2 D
