U' L' U' B' U'
B U L D2 R2
B' U' L' R' U2
B U' L' U2 L2
B' U' R' L' U2
F2 B U L R
F2 B U R L
B F2 U L R
B F2 U R L
F2 B U D' L R
F2 B U D' R L
F2 B U D2 L R
F2 B U D2 R L
D B F2 U L R
D B F2 U R L
F2 B D U L R
F2 B D U R L
F2 B D' U L R
F2 B D' U R L
F2 B D2 U L R
F2 B D2 U R L
D2 B' U' L' R' U2
D2 B' U' R' L' U2
D' B' U' L' R' U2
D' B' U' R' L' U2
D B' U' L' R' U2
D B' U' R' L' U2
F2 B' U R D2 L2
F2 B' U' R' U2 R2
B' F2 U R D2 L2
B' F2 U' R' U2 R2
B F2 U L R D
B F2 U L R D'
B F2 U L R D2
B F2 U L D R
B F2 U L D' R
B F2 U L D2 R
B F2 U R L D
B F2 U R L D'
B F2 U R L D2
B F2 U R D L
B F2 U R D' L
B F2 U R D2 L
B F2 U D L R
B F2 U D L R
B F2 U D R L
B F2 U D' L R
B F2 U D' R L
B F2 U D2 L R
B F2 U D2 R L
L' R U L R' F' U
B F2 D U L R
B F2 D U R L
B F2 D' U L R
B F2 D' U R L
B F2 D2 U L R
B F2 D2 U R L
L' R U R' L F' U
L' R U R' F' L U
U' L U D' F B2 U
U' L U D' B2 F U
U' L U D2 F U R2
U' L U F U D2 R2
U' L U F U' L2 U2
U' L U F D' B2 U
U' L U F D2 U R2
B' L D' L' B2 U L
U' L D' U F B2 U
U' L D' U B2 F U
B' L D' B2 L' U L2
B L D' B2 L' U L
B L D2 L' U L R2
B L D2 L' U R2 L
U' L D2 U F U R2
F2 L B L' U L2 R
F2 L B L' U R L2
R L' U L R' F' U
R L' U R' L F' U
R L' U R' F' L U
U' L' R U' D B' U'
U' L' R U' D' B' U'
U' L' R U' D2 B' U'
U' L' R U' B' U' D
U' L' R U' B' U' D'
U' L' R U' B' U' D2
U' L' R U' B' D U'
U' L' R U' B' D' U'
U' L' R U' B' D2 U'
U' L' R D U' B' U'
U' L' R D' U' B' U'
U' L' R D2 U' B' U'
B' L' R' U L R U
B' L' R' U R L U
U' L' R' U' D B' U'
U' L' R' U' D' B' U'
U' L' R' U' D2 B' U'
U' L' R' U' B' U' D
U' L' R' U' B' U' D'
U' L' R' U' B' U' D2
U' L' R' U' B' D U'
U' L' R' U' B' D' U'
U' L' R' U' B' D2 U'
U' L' R' D U' B' U'
U' L' R' D' U' B' U'
U' L' R' D2 U' B' U'
U' L' R2 U' D B' U'
U' L' R2 U' D' B' U'
U' L' R2 U' D2 B' U'
U' L' R2 U' B' U' D
U' L' R2 U' B' U' D'
U' L' R2 U' B' U' D2
U' L' R2 U' B' D U'
U' L' R2 U' B' D' U'
U' L' R2 U' B' D2 U'
U' L' R2 D U' B' U'
U' L' R2 D' U' B' U'
U' L' R2 D2 U' B' U'
U' L' U L2 F L2 U
U' L' U F U2 B' U'
U' L' U F' U2 B' U'
U' L' U F2 U2 B' U'
U' L' U' R' B' R U'
U' L' U' R2 B' R2 U'
U' L' U' D B' U' D
U' L' U' D B' U' D'
U' L' U' D B' U' D2
U' L' U' D B' D U'
U' L' U' D B' D' U'
U' L' U' D B' D2 U'
U' L' U' D' B' U' D
U' L' U' D' B' U' D'
U' L' U' D' B' U' D2
U' L' U' D' B' D U'
U' L' U' D' B' D' U'
U' L' U' D' B' D2 U'
U' L' U' D2 B' U' D
U' L' U' D2 B' U' D'
U' L' U' D2 B' U' D2
U' L' U' D2 B' D U'
U' L' U' D2 B' D' U'
U' L' U' D2 B' D2 U'
U' L' U' B U' D L2
U' L' U' B D U' L2
U' L' U' B2 D B U'
U' L' U' B2 D' B U'
U' L' U' B2 D2 B U'
U' L' U2 L2 U' F U
U' L' U2 B D B' L2
U' L' D R U' B' U'
B L' D L F2 U R
U' L' D R' U' B' U'
U' L' D R2 U' B' U'
U' L' D R2 U' B' U'
U' L' D U' B' U' D
U' L' D U' B' U' D'
U' L' D U' B' U' D2
U' L' D U' B' D U'
U' L' D U' B' D' U'
U' L' D U' B' D2 U'
U' L' D' R U' B' U'
U' L' D' R' U' B' U'
U' L' D' R2 U' B' U'
U' L' D' U' B' U' D
U' L' D' U' B' U' D'
U' L' D' U' B' U' D2
U' L' D' U' B' D U'
U' L' D' U' B' D' U'
U' L' D' U' B' D2 U'
U' L' D2 R U' B' U'
U' L' D2 R' U' B' U'
U' L' D2 R2 U' B' U'
U' L' D2 U' B' U' D
U' L' D2 U' B' U' D'
U' L' D2 U' B' U' D2
U' L' D2 U' B' D U'
U' L' D2 U' B' D' U'
U' L' D2 U' B' D2 U'
U' L' B U2 D L2 F
U' L' B D U2 L2 F
U' L' B D B' U2 L2
U' L' B D' R2 B' U2
U' L' B D' B' R2 U2
B' L2 U D' B2 L R'
B' L2 U D' B2 R' L
B L2 U D' B2 L' R'
B L2 U D' B2 R' L'
U L2 U2 L U F U
B' L2 D' U B2 L R'
B' L2 D' U B2 R' L
L' U L R' F' U F
B L2 D' U B2 L' R'
B L2 D' U B2 R' L'
L' U L F U F' L'
L' U R' L F' U F
F2 L2 B L2 U L' R
F2 L2 B L2 U R L'
B' L2 B2 L2 U L' R'
B' L2 B2 L2 U R' L'
B L2 B2 L2 U L R'
B L2 B2 L2 U R' L
L' U F L U F' L'
U' R L' U' D B' U'
U' R L' U' D' B' U'
U' R L' U' D2 B' U'
U' R L' U' B' U' D
U' R L' U' B' U' D'
U' R L' U' B' U' D2
U' R L' U' B' D U'
U' R L' U' B' D' U'
U' R L' U' B' D2 U'
U' R L' D U' B' U'
U' R L' D' U' B' U'
U' R L' D2 U' B' U'
U R U F2 B U' R
U R U B U L' U2
U R U B F2 U' R
U R U2 L' U' B U'
U' R D L' U' B' U'
F' R D R' B U L
U' R D' L' U' B' U'
B' R D' R' F2 U R
B' R D' F2 R' U R2
L2 U' L U F L U
U' R D2 L' U' B' U'
B R F2 R' U L R2
B R F2 R' U R2 L
B' R' L' U L R U
B' R' L' U R L U
U' R' L' U' D B' U'
U' R' L' U' D' B' U'
U' R' L' U' D2 B' U'
U' R' L' U' B' U' D
U' R' L' U' B' U' D'
U' R' L' U' B' U' D2
U' R' L' U' B' D U'
U' R' L' U' B' D' U'
U' R' L' U' B' D2 U'
U' R' L' D U' B' U'
U' R' L' D' U' B' U'
U' R' L' D2 U' B' U'
U R' U2 L' U F' U
U' R' D L' U' B' U'
U' R' D' L' U' B' U'
U' R' D2 L' U' B' U'
F2 R' B R U L R
F2 R' B R U R L
U' R2 L' U' D B' U'
U' R2 L' U' D' B' U'
U' R2 L' U' D2 B' U'
U' R2 L' U' B' U' D
U' R2 L' U' B' U' D'
U' R2 L' U' B' U' D2
U' R2 L' U' B' D U'
U' R2 L' U' B' D' U'
U' R2 L' U' B' D2 U'
U' R2 L' D U' B' U'
U' R2 L' D' U' B' U'
U' R2 L' D2 U' B' U'
B' R2 U D' F2 L' R
B' R2 U D' F2 R L'
B R2 U D' F2 L R
B R2 U D' F2 R L
U' R2 D L' U' B' U'
U' R2 D' L' U' B' U'
B' R2 D' U F2 L' R
B' R2 D' U F2 R L'
U' R2 D2 L' U' B' U'
B R2 D' U F2 L R
B R2 D' U F2 R L
B' R2 F2 R2 U L' R'
B' R2 F2 R2 U R' L'
B R2 F2 R2 U L R'
B R2 F2 R2 U R' L
B' U L R D2 L2 R2
B' U L R D2 R2 L2
B' U L U2 L2 R' U2
B' U L U2 R' L2 U2
F2 U L R U B U'
B U L R U2 L2 U2
B U L R D2 R2 D
B U L R D2 R2 D'
B U L R D2 R2 D2
B U L R' U2 L2 U2
B U L R' D2 R2 D
B U L R' D2 R2 D'
B U L R' D2 R2 D2
B U L R2 U2 L2 U2
B U L R2 D2 R2 D
B U L R2 D2 R2 D'
B U L R2 D2 R2 D2
B' U L B2 L B2 R'
U' D L' R U' B' U'
B U L U D F2 U'
U' D L' R' U' B' U'
B U L U' D' B2 U
U' D L' R2 U' B' U'
B U L U2 L2 U2 D
B U L U2 L2 U2 D'
B U L U2 L2 U2 D2
B U L U2 L2 D U2
B U L U2 L2 D' U2
B U L U2 L2 D2 U2
B U L D R D R2
B U L D R' D R2
B U L D R2 D R2
B U L D U F2 U'
U' D L' U' D B' U'
U' D L' U' D' B' U'
U' D L' U' D2 B' U'
U' D L' U' B' U' D
U' D L' U' B' U' D'
U' D L' U' B' U' D2
U' D L' U' B' D U'
U' D L' U' B' D' U'
U' D L' U' B' D2 U'
B U L D' R D' R2
B U L D' R' D' R2
B U L D' R2 D' R2
B U L D' U' B2 U
F2 U L' R U B U'
B' U L' U2 R' U2 R
B U L D2 R D R
B U L D2 R D' R
B U L D2 R D2 R
B U L D2 R' D R'
B U L D2 R' D' R'
B U L D2 R' D2 R'
B U L D2 F' R2 F
B U L D2 F2 R2 F2
U' D L' D U' B' U'
B U L D2 B R2 B'
B U L D2 B2 R2 B2
U' D L' D' U' B' U'
B U L F D2 F' R2
U' D L' D2 U' B' U'
B U L F' D2 R2 F
B U L F' D2 F R2
B U L B D2 R2 B'
B U L B D2 B' R2
B U L B' D2 B R2
B' U L2 U2 L R' U2
F2 U L2 R U B U'
B' U L2 U2 R' L U2
B' U L2 B2 L R' B2
B' U L2 B2 R' L B2
B' U R L D2 L2 R2
B' U R L D2 R2 L2
U' D R L' U' B' U'
B U L2 U2 L U2 L2
B U L2 D L' D2 R2
B U L2 D' L' D2 R2
F2 U R L U B U'
B' U R U2 L' R2 U2
B' U R U2 R2 L' U2
B U L2 D2 L' D2 R2
F2 U R L' U B U'
F2 U R L2 U B U'
F2 U R U D B U'
F2 U R U D' B U'
F2 U R U D2 B U'
F2 U R U B U' D
F2 U R U B U' D'
F2 U R U B U' D2
F2 U R U B D U'
F2 U R U B D' U'
F2 U R U B D2 U'
F2 U R D U B U'
B' U R F2 R F2 L'
B U L2 B2 L' R' B2
F2 U R D' U B U'
B U L2 B2 R' L' B2
B U L2 B2 R' B2 L'
B U R L U2 L2 U2
F2 U R D2 U B U'
B U R L D2 R2 D
B U R L D2 R2 D'
B U R L D2 R2 D2
U' D R' L' U' B' U'
B U R U2 L' U2 L2
B U R D L D2 R2
F2 U R B' D L2 B
F2 U R B' D B L2
B U R D' L D2 R2
F' U R' U' F' U R
B' U R' U2 L' U2 L
B U R D2 L D2 R2
B U R F2 L R F2
B U R F2 R L F2
B U R F2 R F2 L
F2 U R' U' F' U R2
B U R' L U2 L2 U2
B U R' L D2 R2 D
B U R' L D2 R2 D'
B U R' L D2 R2 D2
U' D R2 L' U' B' U'
B U R' U2 L' U2 L2
B U R' D L D2 R2
B U R' D' L D2 R2
B' U R2 U2 L' R U2
B' U R2 U2 R L' U2
B U R' D2 L D2 R2
B U R' F2 L R F2
B U R' F2 R L F2
B U R' F2 R F2 L
B' U R2 F2 L' R F2
B' U R2 F2 R L' F2
B U R2 L U2 L2 U2
B U R2 L D2 R2 D
B U R2 L D2 R2 D'
B U R2 L D2 R2 D2
B U R2 U2 L' U2 L2
B U R2 D L D2 R2
B U R2 D' L D2 R2
B U R2 D2 L D2 R2
F2 U D R U B U'
B U R2 F2 L R F2
B U R2 F2 R L F2
B U R2 F2 R F2 L
B U D L R D2 R2
B U D L R' D2 R2
B U D L R2 D2 R2
B U D L U2 L2 U2
B U D L D2 R2 D
B U D L D2 R2 D'
B U D L D2 R2 D2
B U D R L D2 R2
B U D R' L D2 R2
B U D R2 L D2 R2
F2 U D' R U B U'
B U D F2 L R F2
B U D F2 R L F2
B U D F2 R F2 L
B U D' L R D2 R2
B U D' L R' D2 R2
B U D' L R2 D2 R2
B U D' L U2 L2 U2
B U D' L D2 R2 D
B U D' L D2 R2 D'
B U D' L D2 R2 D2
B U D' R L D2 R2
B U D' R' L D2 R2
B U D' R2 L D2 R2
F2 U D2 R U B U'
B U D' F2 L R F2
B U D' F2 R L F2
B U D' F2 R F2 L
B U D2 L R D2 R2
B U D2 L R' D2 R2
B U D2 L R2 D2 R2
B U D2 L U2 L2 U2
B U D2 L D2 R2 D
B U D2 L D2 R2 D'
B U D2 L D2 R2 D2
B U D2 R L D2 R2
B U D2 R' L D2 R2
B U D2 R2 L D2 R2
B U D2 F2 L R F2
B U D2 F2 R L F2
B U D2 F2 R F2 L
B U F L F R F2
B' U F2 R F2 D2 L2
B' U F2 R2 F2 L' R'
B' U F2 R2 F2 R' L'
B U F2 L R F2 D
B U F2 L R F2 D'
B U F2 L R F2 D2
B U F2 L R' F2 R2
B U F2 L R2 F2 R'
B U F2 L' R F2 L2
B U F2 R L F2 D
B U F2 R L F2 D'
B U F2 R L F2 D2
B U F2 R L' F2 L2
B U F2 R F' L F'
B U F2 R F2 L D
B U F2 R F2 L D'
B U F2 R F2 L D2
B U F2 R F2 D L
B U F2 R F2 D' L
B U F2 R F2 D2 L
B U F2 R' L F2 R2
B U F2 R' F2 L R2
B U F2 R' F2 R2 L
B U F2 R2 L F2 R'
B U F2 R2 F2 L R'
B U F2 R2 F2 R' L
F2 U B R B' D L2
B2 U B' L D2 B R2
B2 U B' L B D2 R2
D' U' L' R U' B' U'
U' D' L' R U' B' U'
U' D' L' R' U' B' U'
D' U' L' R' U' B' U'
D2 U' L' R U' B' U'
U' D' L' R2 U' B' U'
D' U' L' R2 U' B' U'
D2 U' L' R' U' B' U'
D2 U' L' R2 U' B' U'
U' D' L' U' D B' U'
D' U' L' U' D B' U'
U' D' L' U' D' B' U'
D' U' L' U' D' B' U'
U' D' L' U' D2 B' U'
D' U' L' U' D2 B' U'
U' D' L' U' B' U' D
U' D' L' U' B' U' D'
U' D' L' U' B' U' D2
U' D' L' U' B' D U'
U' D' L' U' B' D' U'
U' D' L' U' B' D2 U'
D' U' L' U' B' U' D
D' U' L' U' B' U' D'
D' U' L' U' B' U' D2
D' U' L' U' B' D U'
D' U' L' U' B' D' U'
D' U' L' U' B' D2 U'
D2 U' L' U' D B' U'
D2 U' L' U' D' B' U'
D2 U' L' U' D2 B' U'
D2 U' L' U' B' U' D
D2 U' L' U' B' U' D'
D2 U' L' U' B' U' D2
D2 U' L' U' B' D U'
D2 U' L' U' B' D' U'
D2 U' L' U' B' D2 U'
U' D' L' D U' B' U'
D' U' L' D U' B' U'
U' D' L' D' U' B' U'
D' U' L' D' U' B' U'
D2 U' L' D U' B' U'
U' D' L' D2 U' B' U'
D' U' L' D2 U' B' U'
D2 U' L' D' U' B' U'
D2 U' L' D2 U' B' U'
B' U B2 L B2 D2 R2
B' U B2 L2 B2 L' R'
B' U B2 L2 B2 R' L'
D U' L' R U' B' U'
D U' L' R' U' B' U'
D U' L' R2 U' B' U'
D U' L' U' D B' U'
D U' L' U' D' B' U'
D U' L' U' D2 B' U'
D U' L' U' B' U' D
D U' L' U' B' U' D'
D U' L' U' B' U' D2
D U' L' U' B' D U'
D U' L' U' B' D' U'
D U' L' U' B' D2 U'
D U' L' D U' B' U'
D U' L' D' U' B' U'
B' U' L R' U2 D2 R2
D U' L' D2 U' B' U'
B' U' L R' D2 U2 R2
B U B2 L2 B2 L R'
B U B2 L2 B2 R' L
U' D' R L' U' B' U'
D' U' R L' U' B' U'
B' U' L D2 R' U2 R'
D2 U' R L' U' B' U'
B' U' L' R U2 D2 L2
B' U' L' R D2 U2 L2
B' U' L' R2 D R U2
B' U' L' R2 D' R U2
B' U' L' R2 D2 R U2
B' U' L' U' B2 U' L
B' U' L' U2 B2 L B2
B' U' L' D R' U2 D
B' U' L' D R' U2 D'
B' U' L' D R' U2 D2
B' U' L' D R' D U2
B' U' L' D R' D' U2
B' U' L' D R' D2 U2
U' D' R' L' U' B' U'
D' U' R' L' U' B' U'
B' U' L' D' R' U2 D
B' U' L' D' R' U2 D'
B' U' L' D' R' U2 D2
B' U' L' D' R' D U2
B' U' L' D' R' D' U2
B' U' L' D' R' D2 U2
B' U' L' D2 R' U2 D
B' U' L' D2 R' U2 D'
B' U' L' D2 R' U2 D2
B' U' L' D2 R' D U2
B' U' L' D2 R' D' U2
B' U' L' D2 R' D2 U2
D2 U' R' L' U' B' U'
D U' R L' U' B' U'
B2 U' L' U' B' U' L
F U' L U F U R
B2 U' L' U2 B' L B
B' U' L' F' R' F U2
F2 U' L' U' B' U' R
B' U' L' F2 R' F2 U2
B' U' L2 R' D L U2
B' U' L2 R' D' L U2
B' U' L2 R' D2 L U2
B2 U' L' B R' B' U2
B U' L' R U2 L2 D
B U' L' R U2 L2 D'
B U' L' R U2 L2 D2
B U' L' R D2 R2 U2
B U' L' R' U2 L2 D
B U' L' R' U2 L2 D'
B U' L' R' U2 L2 D2
B U' L' R' D2 R2 U2
B U' L' R2 U2 L2 D
B U' L' R2 U2 L2 D'
B U' L' R2 U2 L2 D2
B U' L' R2 D2 R2 U2
B U' L' U D F2 U
B U' L' U F U L2
B U' L' U F' U L2
B U' L' U F2 U L2
B U' L' U' D' B2 U'
U' D' R2 L' U' B' U'
D' U' R2 L' U' B' U'
B U' L' U' B U' L2
B' U' L2 D L R' U2
B U' L' U' B' U' L2
B U' L' U' B2 U' L2
B U' L' U2 L D L
B U' L' U2 L D' L
B U' L' U2 L D2 L
B U' L' U2 L' D L'
B U' L' U2 L' D' L'
B U' L' U2 L' D2 L'
B' U' L2 D R' L U2
B U' L' U2 F L2 F'
B U' L' U2 F2 L2 F2
B U' L' U2 B' L2 B
B' U' L2 D' L R' U2
B U' L' U2 B2 L2 B2
B' U' L2 D' R' L U2
B U' L' D U F2 U
D2 U' R2 L' U' B' U'
B' U' L2 D2 L R' U2
B' U' L2 D2 R' L U2
B U' L' D' U' B2 U'
D U' R' L' U' B' U'
B U' L' D2 R2 U2 D
B U' L' D2 R2 U2 D'
B U' L' D2 R2 U2 D2
B U' L' D2 R2 D U2
B U' L' D2 R2 D' U2
B U' L' D2 R2 D2 U2
B U' L' F' U2 L2 B'
F U' L' U' B' U' R'
B U' L' B U2 L2 F
B' U' R L' U2 D2 L2
B' U' R L' D2 U2 L2
B U' L2 U2 L' D2 R2
B U' L2 D L U2 L2
B U' L2 D' L U2 L2
B' U' R D2 L' U2 L'
D U' R2 L' U' B' U'
B U' L2 D2 L U2 L2
B' U' R' L U2 D2 R2
B' U' R' L D2 U2 R2
B' U' R' L2 D L U2
B U' R L' U2 L2 D
B U' R L' U2 L2 D'
B U' R L' U2 L2 D2
B' U' R' L2 D' L U2
B' U' R' L2 D2 L U2
B U' R L' D2 R2 U2
B' U' R' U' F2 U' R
B' U' R' U2 F2 R F2
B U' R U2 L D2 R2
B' U' R' D L' U2 D
B' U' R' D L' U2 D'
B' U' R' D L' U2 D2
B' U' R' D L' D U2
B' U' R' D L' D' U2
B' U' R' D L' D2 U2
B' U' R' D' L' U2 D
B' U' R' D' L' U2 D'
B' U' R' D' L' U2 D2
B' U' R' D' L' D U2
B' U' R' D' L' D' U2
B' U' R' D' L' D2 U2
B U' R D L' U2 L2
B' U' R' D2 L' U2 D
B' U' R' D2 L' U2 D'
B' U' R' D2 L' U2 D2
B' U' R' D2 L' D U2
B' U' R' D2 L' D' U2
B' U' R' D2 L' D2 U2
B U' R D' L' U2 L2
B U' R D2 L' U2 L2
F U' R U B U L
B' U' R' B' L' B U2
B' U' R' B2 L' B2 U2
L2 D' B U L B R'
B' U' R2 L' D R U2
B' U' R2 L' D' R U2
B' U' R2 L' D2 R U2
B U' R' L' U2 L2 D
B U' R' L' U2 L2 D'
B U' R' L' U2 L2 D2
B U' R' L' D2 R2 U2
R2 D' B U F2 L R
R2 D' B U F2 R L
B' U' R2 D L' R U2
B' U' R2 D R L' U2
B U' R' U2 L D2 R2
B' U' R2 D' L' R U2
B' U' R2 D' R L' U2
B U' R' D L' U2 L2
B' U' R2 D2 L' R U2
B' U' R2 D2 R L' U2
B U' R' D' L' U2 L2
L D' B L' B U L2
B U' R' D2 L' U2 L2
F U' R' U' F' U' L'
B' U' D L' R' U2 D
B' U' D L' R' U2 D'
B' U' D L' R' U2 D2
B' U' D L' R' D U2
B' U' D L' R' D' U2
B' U' D L' R' D2 U2
B' U' D L' D R' U2
B' U' D L' D' R' U2
B' U' D L' D2 R' U2
B U' R2 L' U2 L2 D
B U' R2 L' U2 L2 D'
B U' R2 L' U2 L2 D2
B U' R2 L' D2 R2 U2
B' U' D R' L' U2 D
B' U' D R' L' U2 D'
B' U' D R' L' U2 D2
B' U' D R' L' D U2
B' U' D R' L' D' U2
B' U' D R' L' D2 U2
B' U' D R' D L' U2
B' U' D R' D' L' U2
B' U' D R' D2 L' U2
B2 U' D L' U F U
B U' R2 U2 L D2 R2
B U' R2 D L' U2 L2
B U' R2 D' L' U2 L2
B U' R2 D2 L' U2 L2
B' U' D' L' R' U2 D
B' U' D' L' R' U2 D'
B' U' D' L' R' U2 D2
B' U' D' L' R' D U2
B' U' D' L' R' D' U2
B' U' D' L' R' D2 U2
B' U' D' L' D R' U2
B' U' D' L' D' R' U2
B' U' D' L' D2 R' U2
B' U' D' R' L' U2 D
B' U' D' R' L' U2 D'
B' U' D' R' L' U2 D2
B' U' D' R' L' D U2
B' U' D' R' L' D' U2
B' U' D' R' L' D2 U2
B' U' D' R' D L' U2
B' U' D' R' D' L' U2
B' U' D' R' D2 L' U2
B U' D L' R U2 L2
B U' D L' R' U2 L2
B U' D L' R2 U2 L2
B U' D L' U2 L2 D
B U' D L' U2 L2 D'
B U' D L' U2 L2 D2
B U' D L' D2 R2 U2
B U' D R L' U2 L2
B U' D R' L' U2 L2
B U' D R2 L' U2 L2
B' U' D2 L' R' U2 D
B' U' D2 L' R' U2 D'
B' U' D2 L' R' U2 D2
B' U' D2 L' R' D U2
B' U' D2 L' R' D' U2
B' U' D2 L' R' D2 U2
B' U' D2 L' D R' U2
B' U' D2 L' D' R' U2
B' U' D2 L' D2 R' U2
B' U' D2 R' L' U2 D
B' U' D2 R' L' U2 D'
B' U' D2 R' L' U2 D2
B' U' D2 R' L' D U2
B' U' D2 R' L' D' U2
B' U' D2 R' L' D2 U2
B' U' D2 R' D L' U2
B' U' D2 R' D' L' U2
B' U' D2 R' D2 L' U2
B U' D' L' R U2 L2
B U' D' L' R' U2 L2
B U' D' L' R2 U2 L2
B U' D' L' U2 L2 D
B U' D' L' U2 L2 D'
B U' D' L' U2 L2 D2
B U' D' L' D2 R2 U2
B U' D' R L' U2 L2
L D' B2 D L' F U
B U' D' R' L' U2 L2
B U' D' R2 L' U2 L2
B U' D2 L' R U2 L2
B U' D2 L' R' U2 L2
B U' D2 L' R2 U2 L2
B U' D2 L' U2 L2 D
B U' D2 L' U2 L2 D'
B U' D2 L' U2 L2 D2
B U' D2 L' D2 R2 U2
B U' D2 R L' U2 L2
B U' D2 R' L' U2 L2
B U' D2 R2 L' U2 L2
B' U' F' R' F L' U2
U' D2 L' R U' B' U'
U' D2 L' R' U' B' U'
U' D2 L' R2 U' B' U'
L D2 L' B U L R2
L D2 L' B U R2 L
U' D2 L' U' D B' U'
U' D2 L' U' D' B' U'
U' D2 L' U' D2 B' U'
U' D2 L' U' B' U' D
U' D2 L' U' B' U' D'
U' D2 L' U' B' U' D2
U' D2 L' U' B' D U'
U' D2 L' U' B' D' U'
U' D2 L' U' B' D2 U'
U' D2 L' D U' B' U'
U' D2 L' D' U' B' U'
U' D2 L' D2 U' B' U'
B' U' F2 R' F2 U2 R2
B2 U' B R' B' L' U2
U' D2 R L' U' B' U'
B' U' B' L' B R' U2
B2 U' B' L' B U2 L2
U' D2 R' L' U' B' U'
B' U' B2 L' B2 U2 L2
B U' B' L' B U2 L
U' D2 R2 L' U' B' U'
B U' B2 L' R' B2 U2
B U' B2 L' B2 U2 L
B U' B2 R' L' B2 U2
B U' B2 R' B2 L' U2
L D2 B L' U L2 R2
L D2 B L' U R2 L2
B U2 D F2 U' L R
B U2 D F2 U' R L
B U2 D' F2 U' L R
B U2 D' F2 U' R L
F' U2 F U L' R U2
F' U2 F U R L' U2
B U2 D2 F2 U' L R
B U2 D2 F2 U' R L
F' U2 F' U' L' R D
F' U2 F' U' L' R D'
F' U2 F' U' L' R D2
F' U2 F' U' L' D R
F' U2 F' U' L' D' R
F' U2 F' U' L' D2 R
F' U2 F' U' R L' D
F' U2 F' U' R L' D'
F' U2 F' U' R L' D2
F' U2 F' U' R D L'
F' U2 F' U' R D' L'
F' U2 F' U' R D2 L'
F' U2 F' U' D L' R
F' U2 F' U' D R L'
F' U2 F' U' D' L' R
F' U2 F' U' D' R L'
F' U2 F' U' D2 L' R
F' U2 F' U' D2 R L'
