F' U' L F'
F' U' F' L
F' L' U' L2 F'
F' L' U' F' L2
F' L2 U' L' F'
F' U' L D F'
F' U' L D' F'
F' U' L D2 F'
F' U' L F' D
F' U' L F' D'
F' U' L F' D2
F' U' L' F' L2
F' U' D L F'
F' U' D F' L
F' U' D' L F'
F' U' D' F' L
F' U' D2 L F'
F' U' D2 F' L
F' U' F L F2
F' U' F' L D
F' U' F' L D'
F' U' F' L D2
F' U' F' D L
F' U' F' D' L
F' U' F' D2 L
F' D U' L F'
F' D U' F' L
D' F' L2 U' L'
L' F' U' L2 F'
L' F' U' F' L2
F' D' U' L F'
F' D' U' F' L
F' D2 U' L F'
F' D2 U' F' L
U' L F2 U F U' D'
U' L F2 U F U' D2
U' L F2 U F D U'
U' L F2 U F D' U'
U' L F2 U F D2 U'
U' L F2 D U F U'
U' L F2 D' U F U'
U' L F2 D2 U F U'
F' L B L U' L' F'
F' L B L' U' L F'
F' L B L' U' F' L
F' L B L2 U' L2 F'
F' L B L2 U' F' L2
L R' U R F' U' F'
F' L B' L U' L' F'
B' L B F' U' L F'
B' L B F' U' F' L
F' L B' L' U' L F'
F' L B' L' U' F' L
F' L B' L2 U' L2 F'
F' L B' L2 U' F' L2
F' L B2 L U' L' F'
F' L B2 L' U' L F'
F' L B2 L' U' F' L
F' L B2 L2 U' L2 F'
F' L B2 L2 U' F' L2
B L B' F' U' L F'
B L B' F' U' F' L
B2 L B2 F' U' L F'
B2 L B2 F' U' F' L
F' L' U R2 B U2 L2
F' L' U D2 R2 B U2
U' L' U F' U' L2 F'
U' L' U F' U' F' L2
F' L' U B U2 L2 F'
F' L' U B U2 F' L2
F' L' U B' U2 L2 F'
F' L' U B' U2 F' L2
F' L' U B2 U2 L2 F'
F' L' U B2 U2 F' L2
F' L' U' L D L F'
F' L' U' L D F' L
F' L' U' L D' L F'
F' L' U' L D' F' L
F' L' U' L D2 L F'
F' L' U' L D2 F' L
F' L' U' L F L F2
F' L' U' L F' L D
F' L' U' L F' L D'
F' L' U' L F' L D2
F' L' U' L F' D L
F' L' U' L F' D' L
F' L' U' L F' D2 L
F' L' U' L' D L' F'
F' L' U' L' D' L' F'
F' L' U' L' D2 L' F'
F' L' U' L2 D F' D
F' L' U' L2 D F' D'
F' L' U' L2 D F' D2
F' L' U' L2 D' F' D
F' L' U' L2 D' F' D'
F' L' U' L2 D' F' D2
F' L' U' L2 D2 F' D
F' L' U' L2 D2 F' D'
F' L' U' L2 D2 F' D2
F' L' U' L2 F2 D F
F' L' U' L2 F2 D' F
F' L' U' L2 F2 D2 F
F' L' U' D' F' D L2
F' L' U' D2 F' D2 L2
F' L' U' F L F2 L
F' L' U' F L2 F2 D
F' L' U' F L2 F2 D'
F' L' U' F L2 F2 D2
F' L' U' F' L D L
F' L' U' F' L D' L
F' L' U' F' L D2 L
F' L' U' F' L' D L'
F' L' U' F' L' D' L'
F' L' U' F' L' D2 L'
F' L' U' F' B' L2 B
F' L' U' F' B2 L2 B2
F' L' U' B' L2 F' B
F' L' U' B' L2 B F'
F' L' U' B' F' L2 B
F' L' U' B2 L2 F' B2
F' L' U' B2 L2 B2 F'
F' L' U' B2 F' L2 B2
U L' U' F' U' L2 F'
U L' U' F' U' F' L2
F' L' U2 D F2 U F
D L' U2 R2 B U L2
F' L' U2 F U L2 F2
F' L' U2 F U F2 L2
F' L' U2 F2 U F L2
F' L' D U2 F2 U F
F' L' D' L B2 U' F'
D' L' D' L' F' B2 U'
D' L' D' L' B2 F' U'
F' L' D' L' B2 U' F'
F' L' D' L2 B2 U' F'
F' L' D' U' F' D L2
D' L' D' B2 L' F' U'
F' L' D' B2 L U' F'
F' L' D' B2 L' U' F'
F' L' D' B2 L2 U' F'
F' L' D' B2 U' D F'
F' L' D' B2 U' D' F'
F' L' D' B2 U' D2 F'
F' L' D' B2 U' F' D
F' L' D' B2 U' F' D'
F' L' D' B2 U' F' D2
D L' D' F' B2 U' F'
F' L' D' B2 D U' F'
F' L' D' B2 D' U' F'
F' L' D' B2 D2 U' F'
D L' D' B2 F' U' F'
F' L' D2 U R2 B U2
F' L' D2 U' F' D2 L2
D2 L' F' U B2 U2 L2
D2 L' F' U' L2 D2 F2
L R2 U R2 F' U' F'
F2 L' F' U' F L2 R
F2 L' F' U' F R L2
D L' F' U' L2 D' F2
D L' F' U2 R2 U L2
D2 L' F' B' U' L2 F
B' L' F' B U' L F'
B' L' F' B U' F' L
U L' F' U' L2 F' B'
U L' F' U' L2 B' F'
D L' F' D' B2 U' F2
B2 L' F' B2 U' L F'
B2 L' F' B2 U' F' L
B L' F' B' U' L F'
B L' F' B' U' F' L
U' L' F2 L2 U' B' U
F L' F2 L U' F L
U' L' F2 U F U' L2
F' L' B L U' L F'
F' L' B L U' F' L
F' L' B L' U' L' F'
F' L' B U' L F' L
F' L' B U' L2 D F'
F' L' B U' L2 D' F'
F' L' B U' L2 D2 F'
F' L' B U' L2 F' D
F' L' B U' L2 F' D'
F' L' B U' L2 F' D2
F' L' B U' F L2 F2
F' L' B U' F' L2 D
F' L' B U' F' L2 D'
F' L' B U' F' L2 D2
F' L' B D' B2 U' F'
B' L' B F' U' L F'
B' L' B F' U' F' L
F' L' B' L U' L F'
F' L' B' L U' F' L
F' L' B' L' U' L' F'
F' L' B' U' L F' L
F' L' B' U' L2 D F'
F' L' B' U' L2 D' F'
F' L' B' U' L2 D2 F'
F' L' B' U' L2 F' D
F' L' B' U' L2 F' D'
F' L' B' U' L2 F' D2
F' L' B' U' F L2 F2
F' L' B' U' F' L2 D
F' L' B' U' F' L2 D'
F' L' B' U' F' L2 D2
F' L' B' D' B2 U' F'
D2 L' B' F' U' L2 F
F' L' B2 L U' L F'
F' L' B2 L U' F' L
F' L' B2 L' U' L' F'
B L' B' F' U' L F'
B L' B' F' U' F' L
F' L' B2 U' L F' L
F' L' B2 U' L2 D F'
F' L' B2 U' L2 D' F'
F' L' B2 U' L2 D2 F'
F' L' B2 U' L2 F' D
F' L' B2 U' L2 F' D'
F' L' B2 U' L2 F' D2
F' L' B2 U' F L2 F2
F' L' B2 U' F' L2 D
F' L' B2 U' F' L2 D'
F' L' B2 U' F' L2 D2
F' L' B2 D' B2 U' F'
B2 L' B2 F' U' L F'
B2 L' B2 F' U' F' L
F' L2 U R2 B U2 L'
F' L2 U B U2 L' F'
F' L2 U B' U2 L' F'
F' L2 U B2 U2 L' F'
F' L2 U' L F L2 F2
D' L2 U' L' U F' U'
F' L2 U' L F' L2 D
F' L2 U' L F' L2 D'
F' L2 U' L F' L2 D2
F' L2 U' L' D F' D
F' L2 U' L' D F' D'
F' L2 U' L' D F' D2
F' L2 U' L' D' F' D
F' L2 U' L' D' F' D'
F' L2 U' L' D' F' D2
F' L2 U' L' D2 F' D
F' L2 U' L' D2 F' D'
F' L2 U' L' D2 F' D2
F' L2 U' L' F2 D F
F' L2 U' L' F2 D' F
F' L2 U' L' F2 D2 F
F' L2 U' L2 D L F'
F' L2 U' L2 D F' L
F' L2 U' L2 D' L F'
F' L2 U' L2 D' F' L
F' L2 U' L2 D2 L F'
F' L2 U' L2 D2 F' L
F' L2 U' L2 F L F2
F' L2 U' L2 F' L D
F' L2 U' L2 F' L D'
F' L2 U' L2 F' L D2
F' L2 U' L2 F' D L
F' L2 U' L2 F' D' L
F' L2 U' L2 F' D2 L
L R2 F2 U R2 F' U'
F' L2 U' D L F' L2
F' L2 U' D L' D F'
F' L2 U' D L' D' F'
F' L2 U' D L' D2 F'
F' L2 U' D L' F' D
F' L2 U' D L' F' D'
F' L2 U' D L' F' D2
F' L2 U' D L2 F' L
F' L2 U' D' L F' L2
F' L2 U' D' L' D F'
F' L2 U' D' L' D' F'
F' L2 U' D' L' D2 F'
F' L2 U' D' L' F' D
F' L2 U' D' L' F' D'
F' L2 U' D' L' F' D2
F' L2 U' D' L2 F' L
F' L2 U' D2 L F' L2
F' L2 U' D2 L' D F'
F' L2 U' D2 L' D' F'
F' L2 U' D2 L' D2 F'
F' L2 U' D2 L' F' D
F' L2 U' D2 L' F' D'
F' L2 U' D2 L' F' D2
F' L2 U' D2 L2 F' L
F' L2 U' B' L' F' B
F' L2 U' B' L' B F'
F' L2 U' B2 L' F' B2
F' L2 U' B2 L' B2 F'
F2 L2 U' B' U L' B
F2 L2 U' B' U B L'
D L2 U2 R2 B U L'
F' L2 D L U' L2 F'
F' L2 D L U' F' L2
D2 L2 D L2 F' U' L
F' L2 D L2 U' L F'
F' L2 D L2 U' F' L
F' L2 D U' L F' L2
F' L2 D U' L' D F'
F' L2 D U' L' D' F'
F' L2 D U' L' D2 F'
F' L2 D U' L' F' D
F' L2 D U' L' F' D'
F' L2 D U' L' F' D2
F' L2 D U' L2 F' L
F' L2 D B U' L' F'
F' L2 D B' U' L' F'
F' L2 D B2 U' L' F'
F' L2 D' L U' L2 F'
F' L2 D' L U' F' L2
F' L2 D' L2 U' L F'
F' L2 D' L2 U' F' L
F' L2 D' U' L F' L2
F' L2 D' U' L' D F'
F' L2 D' U' L' D' F'
F' L2 D' U' L' D2 F'
F' L2 D' U' L' F' D
F' L2 D' U' L' F' D'
F' L2 D' U' L' F' D2
F' L2 D' U' L2 F' L
F' L2 D' B U' L' F'
F' L2 D' B' U' L' F'
F' L2 D' B2 U' L' F'
F' L2 D2 L U' L2 F'
F' L2 D2 L U' F' L2
F' L2 D2 L2 U' L F'
F' L2 D2 L2 U' F' L
F' L2 D2 U' L F' L2
F' L2 D2 U' L' D F'
F' L2 D2 U' L' D' F'
F' L2 D2 U' L' D2 F'
F' L2 D2 U' L' F' D
F' L2 D2 U' L' F' D'
F' L2 D2 U' L' F' D2
D L2 D2 L2 F' U' L
F' L2 D2 U' L2 F' L
F' L2 D2 B U' L' F'
F' L2 D2 B' U' L' F'
F' L2 D2 B2 U' L' F'
D' L2 F' U' F L' F'
D' L2 F' U2 F U L'
D' L2 F' D2 B' U' L
B' L2 F' B U' L F'
B' L2 F' B U' F' L
R' U R F' U' L F'
R' U R F' U' F' L
B2 L2 F' B2 U' L F'
B2 L2 F' B2 U' F' L
B L2 F' B' U' L F'
B L2 F' B' U' F' L
F L2 F2 U R B' U2
F L2 F2 U B' R U2
F' L2 B L U' L2 F'
F' L2 B L U' F' L2
F' L2 B L2 U' L F'
F' L2 B L2 U' F' L
F' L2 B U' L F' L2
F' L2 B U' L' D F'
F' L2 B U' L' D' F'
F' L2 B U' L' D2 F'
F' L2 B U' L' F' D
F' L2 B U' L' F' D'
F' L2 B U' L' F' D2
F' L2 B U' L2 F' L
F' L2 B U' D L' F'
F' L2 B U' D' L' F'
F' L2 B U' D2 L' F'
F' L2 B D U' L' F'
F' L2 B D' U' L' F'
F' L2 B D2 U' L' F'
B' L2 B F' U' L F'
B' L2 B F' U' F' L
F' L2 B' L U' L2 F'
F' L2 B' L U' F' L2
F' L2 B' L2 U' L F'
F' L2 B' L2 U' F' L
F' L2 B' U' L F' L2
F' L2 B' U' L' D F'
F' L2 B' U' L' D' F'
F' L2 B' U' L' D2 F'
F' L2 B' U' L' F' D
F' L2 B' U' L' F' D'
F' L2 B' U' L' F' D2
F' L2 B' U' L2 F' L
F' L2 B' U' D L' F'
F' L2 B' U' D' L' F'
F' L2 B' U' D2 L' F'
R2 U R2 F' U' L F'
R2 U R2 F' U' F' L
F' L2 B' D U' L' F'
F' L2 B' D' U' L' F'
F' L2 B' D2 U' L' F'
F' L2 B2 L U' L2 F'
F' L2 B2 L U' F' L2
F' L2 B2 L2 U' L F'
F' L2 B2 L2 U' F' L
B L2 B' F' U' L F'
B L2 B' F' U' F' L
F' L2 B2 U' L F' L2
F' L2 B2 U' L' D F'
F' L2 B2 U' L' D' F'
F' L2 B2 U' L' D2 F'
F' L2 B2 U' L' F' D
F' L2 B2 U' L' F' D'
F' L2 B2 U' L' F' D2
F' L2 B2 U' L2 F' L
F' L2 B2 U' D L' F'
F' L2 B2 U' D' L' F'
F' L2 B2 U' D2 L' F'
F' L2 B2 D U' L' F'
F' L2 B2 D' U' L' F'
F' L2 B2 D2 U' L' F'
B2 L2 B2 F' U' L F'
B2 L2 B2 F' U' F' L
L U D' F' L2 U' B'
L' U F' U' L2 F' B'
L' U F' U' L2 B' F'
U2 R U L F R F
L U F' L2 U' F' B'
L U F' L2 U' B' F'
F2 R U R' F U' L
L U F' U F U2 F2
L U F' U' F' D2 B2
F2 R U F R' U' L
U2 R U F R F L
F' R D R' U' L F'
F' R D R' U' F' L
F' R D' R' U' L F'
F' R D' R' U' F' L
F' R D2 R' U' L F'
F' R D2 R' U' F' L
L2 U' L' U F' U' F'
L2 U' L' F D R2 F
L2 U' L' F D F R2
L2 U' L' F2 U F U'
L' U' L2 U F' U' F'
U2 R F U F L R
U2 R F U F R L
L' U' L2 F D R2 F
L' U' L2 F D F R2
L' U' L2 F2 U F U'
R' U' R F' U' L F'
R' U' R F' U' F' L
R2 U' R2 F' U' L F'
R2 U' R2 F' U' F' L
L U' R2 B U F2 B'
L U' R2 B U B' F2
L U' D R2 B U B'
U' R' L F' D' F' R
F2 R' U R F U' L
L' U' F2 L2 U' B' U
L' U' F2 U F U' L2
B2 R' U' R F' U' F'
U' R' F' L D' F' R
U' R' F' D' L F' R
U' R' F' D' F' L R
U' R' F' D' F' R L
R' U2 R F' U' L F'
R' U2 R F' U' F' L
L' U2 R2 B U L2 F2
L' U2 R2 B U F2 L2
L2 U2 R2 B U L' F2
R2 U2 R2 F' U' L F'
R2 U2 R2 F' U' F' L
L' U2 D R2 F2 B U
L' U2 D R2 B F2 U
L2 U2 D R2 B U L'
U' R2 L U' B U F2
U' R2 L F2 U' B U
L' U2 F' U' F' L2 B'
F2 R2 U R2 F U' L
F2 R2 U F R2 U' L
D R2 U2 R2 F' U' L
F R2 D R2 F L B2
F R2 D F L R2 B2
F R2 D F L B2 R2
F R2 D F R2 L B2
D R2 D2 L2 B U L'
U' R2 F2 L U' B U
U' R2 B U F2 B' L
U' R2 B U B' L F2
U' R2 B U B' F2 L
U' D L U' R2 B U
L' D U2 R2 F2 B U
L' D U2 R2 B F2 U
L D U' R2 B U B'
L2 D U2 R2 B U L'
L' D F' U2 F' R2 U
F' U R U2 L D F
F' U R U2 L D' F
F' U R U2 L D2 F
F' U R U2 L F D
F' U R U2 L F D'
F' U R U2 L F D2
F' U R U2 D L F
F' U R U2 D' L F
F' U R U2 D2 L F
F' U R U2 F L F
F' U R U2 F' L F
F' U R U2 F2 L F
F' U R D U2 L F
F' U R D' U2 L F
F' U R D2 U2 L F
F' U R B2 R' U2 F'
L D F' D2 L2 U' L2
F' U R' B2 R' B U2
U' D R2 B U B' L
F' U R2 B2 R' B' U2
F' U D R U2 L F
F' U D B' U2 F' L'
D' U F' L2 U' B' L'
F' U D' R U2 L F
F' U D' B' U2 F' L'
F U D F L R2 B
F U D F R2 L B
L' D' L F' L B2 U'
F' U D2 R U2 L F
F U D' L2 B' U2 L'
L2 D' L F' L U' L
F' U D2 B' U2 F' L'
L' D' L' B2 L' F' U'
F2 U F R2 U' L B
F2 U F U F' U2 L
L' D' L2 D F' U' L2
L' D' L2 F' U' D L2
L' D' L2 F' D U' L2
L' D' L2 F' B2 U' D
L' D' L2 F' B2 U' D'
L' D' L2 F' B2 U' D2
L' D' L2 F' B2 D U'
L' D' L2 F' B2 D' U'
L' D' L2 F' B2 D2 U'
L' D' L2 B2 D F' U'
L' D' L2 B2 D' F' U'
L' D' L2 B2 D2 F' U'
L' D' L2 B2 F' U' D
L' D' L2 B2 F' U' D'
L' D' L2 B2 F' U' D2
L' D' L2 B2 F' D U'
L' D' L2 B2 F' D' U'
L' D' L2 B2 F' D2 U'
L2 D' L2 D F' U' L
L2 D' L2 D' F' U' L
L2 D' L2 D2 F' U' L
L2 D' L2 F' U' L D
L2 D' L2 F' U' L D'
L2 D' L2 F' U' L D2
L2 D' L2 F' U' D L
L2 D' L2 F' U' D' L
L2 D' L2 F' U' D2 L
L2 D' L2 F' D U' L
L2 D' L2 F' D' U' L
L2 D' L2 F' D2 U' L
L D' L2 D' F' B2 U'
L D' L2 D' B2 F' U'
U2 D B' R2 B U L
L D' L2 F' U' L2 D
L D' L2 F' U' L2 D'
L D' L2 F' U' L2 D2
L D' L2 F' D' B2 U'
L D' L2 F' B U' L2
L D' L2 F' B' U' L2
L D' L2 F' B2 U' L2
L D' L2 B F' U' L2
L D' L2 B' F' U' L2
L D' L2 B2 F' U' L2
F' U B R2 B R' U2
D' U' L U L F' U'
U' D' L U L F' U'
D' U' L U F' L U'
U' D' L U F' L U'
F' U B' R2 B U2 L
F' U B' U2 L F' L'
F' U B' U2 L' F' L'
F' U B' U2 L2 F' L'
F' U B' U2 D F' L'
F' U B' U2 D' F' L'
F' U B' U2 D2 F' L'
F' U B' U2 F' L' D
F' U B' U2 F' L' D'
F' U B' U2 F' L' D2
F' U B' U2 F' D L'
F' U B' U2 F' D' L'
F' U B' U2 F' D2 L'
R D' R' F' L2 U' L'
F' U B' D U2 F' L'
D U' L U' R2 B U
F' U B' D' U2 F' L'
F' U B' D2 U2 F' L'
F' U B2 R2 B R U2
F' U' L R D R' F'
F' U' L R D' R' F'
F' U' L R D2 R' F'
F' U' L R F R' F'
F' U' L R F' R' F'
F' U' L R F2 R' F'
F' U' L R2 F R2 F'
F' U' L R2 F' R2 F'
F' U' L R2 F2 R2 F'
F' U' L U L U' F'
F' U' L U L' U' F'
F' U' L U L2 U' F'
L D' U F' L2 U' B'
F' U' L U2 B U2 F'
F' U' L U2 B' U2 F'
F' U' L U2 B2 U2 F'
F' U' L D L' F' L
F' U' L D L2 F' L2
F' U' L D F2 D F
