F2 R F' B' D L2
F2 R B' D L2 F'
F2 R B' D F' L2
F2 R B' F' D L2
F2 U R F' B' L'
F2 U R B' F' L'
F2 U B' R F' L'
U' B F2 L R B2 F'
U' B F2 L B2 R F'
U' B F2 R L F' B2
U' B F2 R L B2 F'
U' B F2 R F' L B2
F2 B U R F' L' B2
F2 B U R F' B2 L'
F2 B U R B2 F' L'
F2 B U B2 R F' L'
U' B' L' R' B U2 B'
R B F2 U' R F B2
R B F2 U' R B2 F
R B F2 U' B2 R F
U' B' R' L' B U2 B'
U B' R F2 R F L'
U' B' U2 L' R' B U2
U' B' U2 R' L' B U2
U' B' U2 R' B L' U2
F2 B' R U B U' F'
F2 B' R F' U B U'
R B' D F2 R F L2
U' B' F2 R D2 L2 F'
U' B' F2 R D2 F' L2
U' B' F2 R F' D2 L2
U B' F' L' R F' R
U B' F' L' F' R F'
U B' F' R L' F' R
U B' F2 R F L' F2
R B' F2 R D F L2
R B' F2 R F D L2
R B' F2 D R F L2
B' F2 R U B U' F'
B' F2 R F' U B U'
B2 F2 U B R F' L'
F2 B2 U B R F' L'
B F2 U R F' L' B2
B F2 U R F' B2 L'
B F2 U R B2 F' L'
B2 F2 U' B L R F'
B2 F2 U' B R L F'
B2 F2 U' B R F' L
B F2 U B2 R F' L'
F2 B2 U' B L R F'
F2 B2 U' B R L F'
F2 B2 U' B R F' L
