F L2 U F R U'
B' R U F L2 B
B' R U F B L2
B' R U B F L2
F R B L2 D' R2
R F B L2 D' R2
R B F L2 D' R2
R B' U F L2 B2
R B' U F B2 L2
R B' U B2 F L2
R B F L2 U' B2 U
R B F L2 D' R2 D
R B F L2 D' R2 D'
R B F L2 D' R2 D2
R B F R L2 D' R2
R B F R' L2 D' R2
R B F R2 L2 D' R2
R B F U' B2 U L2
R B F D' R2 D L2
R B F' L2 F2 D' R2
B2 F U' B L U L
R B F2 L2 D' F' R2
R B F2 L2 F' D' R2
R' B' R2 U F L2 B
R' B' R2 U F B L2
R' B' R2 U B F L2
D B' R F2 U F' B
D B' R F2 U B F'
R2 B' R' U F L2 B
R2 B' R' U F B L2
R2 B' R' U B F L2
R B' L2 B2 D' R2 F'
R B' R U F L2 B2
R B' R U F B2 L2
R B' R U B2 F L2
R' B' U F L2 D2 B2
R' B' U F2 L2 F' B'
R' B' U F2 L2 B' F'
R B' R' U F L2 B2
R B' R' U F B2 L2
R B' R' U B2 F L2
R' B' U' F' U2 L2 F2
R' B' U' F' U2 F2 L2
R B' R2 U F L2 B2
R B' R2 U F B2 L2
U' B' U2 R' U' F L2
R B' R2 U B2 F L2
B' F' R U L2 F2 B
B' F' R U L2 B F2
B' F' R U F2 L2 B
B' F' R U F2 B L2
B' F' R U B L2 F2
B' F' R U B F2 L2
F' B' R U L2 F2 B
F' B' R U L2 B F2
F' B' R U F2 L2 B
F' B' R U F2 B L2
F' B' R U B L2 F2
F' B' R U B F2 L2
U B' U F L' B' L'
B' F' R' U F2 L2 B'
R B' U F L' B2 L'
R B' U F L2 B2 D
R B' U F L2 B2 D'
R B' U F L2 B2 D2
R B' U F B L2 B
R B' U F B2 L2 D
R B' U F B2 L2 D'
R B' U F B2 L2 D2
R B' U F' L2 F2 B2
R B' U F' L2 B2 F2
R B' U F' B2 L2 F2
R B' U F2 L2 F' B2
R B' U F2 L2 B2 F'
F' B' R' U F2 L2 B'
R B' U F2 B2 L2 F'
R B' U B F L2 B
R B' U B2 F L2 D
R B' U B2 F L2 D'
R B' U B2 F L2 D2
R B' U B2 F' L2 F2
R B' U B2 F2 L2 F'
R B' D F2 L2 U F'
R' B' F2 U L2 F' B'
R' B' F2 U L2 B' F'
R B' F L2 B2 D' R2
U B' F' L' U L' F2
R B' F' U L2 F2 B2
R B' F' U L2 B2 F2
R B' F' U F2 L2 B2
R B' F' U F2 B2 L2
R B' F' U B2 L2 F2
R B' F' U B2 F2 L2
R B' F2 U L2 F' B2
R B' F2 U L2 B2 F'
R B' F2 U F' L2 B2
R B' F2 U F' B2 L2
R B' F2 U B2 L2 F'
R B' F2 U B2 F' L2
F B2 L2 R D B R'
F B2 L2 U' B L U
F B2 R L2 D B R'
F B2 U' B L U L
