R' L U B U B2
R' L U2 B' D' R2
R' L U2 B' D' R2
L R' U B U B2
L2 R' U B L U
L R' U2 B' D' R2
L' R' F U B U
R' L' F U B U
R' L2 U B L U
R' U L B U B2
R' U B L U B'
D2 R' U2 D' B R'
D2 R' D' U2 B R'
L' D' R' F L' U2
L' D' F L' R' U2
L' D' F R' L' U2
L' F R' U B U
R' U L U B' D' R2
R' U L D B U B2
R' U L D' B U B2
R' U L D2 B U B2
R' U L B L U B2
R' U L B L' U B2
R' U L B L2 U B2
R' U L B U B2 D
R' U L B U B2 D'
R' U L B U B2 D2
R' U L B D L2 U
R' U L' B L2 U B'
R' U L' B U' F U2
R' U L2 B L' U B'
R' U D' B U2 R' U'
R' U D' B' L B2 U
R' U B L U D B'
R' U B L U D' B'
R' U B L U D2 B'
R' U B L U B' D
R' U B L U B' D'
R' U B L U B' D2
R' U B L D U B'
R' U B L D' U B'
R' U B L D2 U B'
R' U B L' U' F U2
R' U B U L B' L'
R' U B' L B2 U B
R' U B2 L U B' R'
U' R D F' R B2 U'
U' R D F' B2 R U'
U' R D B2 F' R U'
R' U B2 D' B' L U
R' U' R2 D F' R U'
R' U' D R2 F' R U'
R U' D F' R B2 U'
R U' D F' B2 R U'
D2 R' L U B' U B2
D2 R' L U2 B D' R2
F' R' L U B U B2
R U' D B2 F' R U'
F' R' L U2 B' D' R2
F2 R' L U B U B2
F2 R' L U2 B' D' R2
D2 R' L' U' F U' B
F R' L U B U B2
F R' L U2 B' D' R2
F' R' L' F U B U
F2 R' L' F U B U
F' R' L2 U B L U
F2 R' L2 U B L U
F R' L' F U B U
D2 R' U L B' U B2
F R' L2 U B L U
F' R' U L B U B2
F2 R' U L B U B2
F' R' U B L U B'
F R' U L B U B2
F2 R' U B L U B'
F R' U B L U B'
D2 R' U2 D' B R' D
D2 R' U2 D' B R' D'
D2 R' U2 D' B R' D2
D2 R' U2 D' B D R'
D2 R' U2 D' B D' R'
D2 R' U2 D' B D2 R'
D R' U2 B D R' B
D2 R' D F L' U2 B
D2 R' D F' U2 B R
D2 R' D' L U2 B R'
D2 R' D' L' U2 B R'
D2 R' D' L2 U2 B R'
D2 R' D' U2 B R' D
D2 R' D' U2 B R' D'
D2 R' D' U2 B R' D2
D2 R' D' U2 B D R'
D2 R' D' U2 B D' R'
D2 R' D' U2 B D2 R'
D2 R' D' F U2 B R'
D2 R' D' F' U2 B R'
D2 R' D' F2 U2 B R'
R' U2 L B' L' D' R2
R' U2 L B' D' L' R2
R' U2 L B' D' R2 L'
D2 R' F U2 D' B R'
D' R' F D L' F U2
D2 R' F D' U2 B R'
D2 R' F' U2 D' B R'
D2 R' F' D' U2 B R'
D2 R' F2 U2 D' B R'
D2 R' F2 D' U2 B R'
D2 R2 D' R U2 B R'
L U2 B2 L D B R'
L U2 B2 D L B R'
L' D R' D2 F L' U2
L2 D R' U2 R B R'
L D R' U2 B R' B2
R' D U' R2 F' R U'
R' D F U L' B U
R D U' F' R B2 U'
R' D F U B L' U
R D U' F' B2 R U'
R D U' B2 F' R U'
L2 D' L R' F L' U2
L2 D' L F L' R' U2
L2 D' L F R' L' U2
U2 D B D R' B L
L D' L2 R' F L' U2
L' D' R F L' R2 U2
L' D' R F R2 L' U2
L D' L2 F L' R' U2
L D' L2 F R' L' U2
L' D' R' F L' U2 D
L' D' R' F L' U2 D'
L' D' R' F L' U2 D2
L' D' R' F L' D U2
L' D' R' F L' D' U2
L' D' R' F L' D2 U2
L' D' R' F D L' U2
L2 D' R' L F L' U2
L' D' R' F D' L' U2
L' D' R' F D2 L' U2
L2 D' R' F L' U2 B'
U2 D B2 D' L B' R'
L2 D' R' F' U2 R B
L D' R' L2 F L' U2
L D' R' F' U2 R B'
L D' R' F' U2 B' R
L D' R' F2 U2 B' R'
R' D' U B U2 R' U'
R' D' U B' L B2 U
L' D' F L' R' U2 D
L' D' F L' R' U2 D'
L' D' F L' R' U2 D2
L' D' F L' R' D U2
L' D' F L' R' D' U2
L' D' F L' R' D2 U2
L' D' F L' D R' U2
L' D' F L' D' R' U2
L' D' F L' D2 R' U2
L' D' F R' L' U2 D
L' D' F R' L' U2 D'
L' D' F R' L' U2 D2
L' D' F R' L' D U2
L' D' F R' L' D' U2
L' D' F R' L' D2 U2
L' D' F R' D L' U2
L' D' F R' D' L' U2
L' D' F R' D2 L' U2
L' D' F D L' R' U2
L2 D' F L' R' U2 B'
L' D' F D R' L' U2
L' D' F D' L' R' U2
L' D' F D' R' L' U2
L' D' F D2 L' R' U2
L' D' F D2 R' L' U2
L2 D' F R' L' U2 B'
L' D' F' R' F2 U2 R2
L D' F' R' U2 R2 B'
L D' F' R' U2 B' R2
L D' F2 R' U2 B' R'
L' D2 R' D F L' U2
R2 D2 R F' U B U
D U2 B D R' B L
R' F L U B U B2
L' F L R' U B U
R' F L U2 B' D' R2
D U2 B2 D' L B' R'
L' F L' R' U B U
D' F L' D' R' U2 B
R' F L' F U B U
R' F L2 U B L U
L' F L2 R' U B U
L' F R' L U B U
L' F R' L' U B U
L' F R' L2 U B U
D' F R' D L' F U2
D2 F R' U2 D' B R'
L' F R' U D B U
L' F R' U D' B U
L' F R' U D2 B U
L' F R' U B U D
L' F R' U B U D'
L' F R' U B U D2
L' F R' U B D U
L' F R' U B D' U
L' F R' U B D2 U
D2 F R' D' U2 B R'
L' F R' D U B U
L' F R' D' U B U
L' F R' D2 U B U
L2 F R' U B L U
R' F U L B U B2
L F R' U B U B2
L F R' U2 B' D' R2
R' F U B L U B'
D' F D L' R' F U2
D' F D L' F R' U2
D' F D R' L' F U2
D' F D' L' R' U2 B
D' F D' R' L' U2 B
R' F' L U B U B2
R' F' L U2 B' D' R2
R' F' L' F U B U
R' F' L2 U B L U
D2 F' R' U2 D' B R'
D2 F' R' D' U2 B R'
L' F' R' F2 U B U
L2 F' R' U B L U
R' F' U L B U B2
L F' R' U B U B2
L F' R' U2 B' D' R2
R' F' U B L U B'
D' F' D' R' U2 B R2
R' F2 L U B U B2
R' F2 L U2 B' D' R2
R' F2 L' F U B U
R' F2 L2 U B L U
D2 F2 R' U2 D' B R'
D2 F2 R' D' U2 B R'
L2 F2 R' U B L U
R' F2 U L B U B2
L F2 R' U B U B2
L F2 R' U2 B' D' R2
R' F2 U B L U B'
L' F2 D' F' R' U2 R2
F' D2 R' U2 D' B R'
F' D2 R' D' U2 B R'
F2 D2 R' U2 D' B R'
F2 D2 R' D' U2 B R'
F D2 R' U2 D' B R'
F D2 R' D' U2 B R'
U2 B2 L R' B' D' R2
U2 B2 L D B R' B2
U2 B2 L B2 D B R'
U' B2 R F' U' L B'
U' B2 R2 U' L B' R'
U2 B2 R' L B' D' R2
