U' L R' F L U'
U' L F L R' U'
U' L F R' L U'
L U' L R' F U'
L U' L F R' U'
L U' R' L F U'
U' R' L F L U'
U R' F' L2 B' U'
U2 F R D F2 B2
U2 F R D B2 F2
U' L2 R2 D2 R F' U'
R' L2 F2 B' U' L' R'
R' L2 F2 B' U' R' L'
R' L2 B U L R U2
R' L2 B U R L U2
R' L2 B' U R U2 R2
R' L2 B' U' R' D2 L2
U' L2 U2 B2 L B' U
R' L2 B' F2 U' L' R'
R' L2 B' F2 U' R' L'
U' L2 D R' F' U' R
U' L2 D F' R' U' R2
U' L2 D2 R F' R2 U'
U' L2 D2 R' U2 B U
U2 L2 F R' U' L2 R2
U2 L2 F R' U' R2 L2
U' R L F L R2 U'
U' R L F R2 L U'
U R U2 L2 R2 F' U'
U R U2 R2 L2 F' U'
U R U2 R2 F' L2 U'
U2 R D F R F B2
U2 R D F R B2 F
U2 R D F B2 R F
U2 R D B2 F R F
L' U' L R' F L2 U'
U R D B U F2 B
U R D B U B F2
L2 U' L R' F U' F'
L' U' L F L2 R' U'
L' U' L F R' L2 U'
L U' L R F R2 U'
L U' L R' D F U'
L U' L R' D' F U'
L U' L R' D2 F U'
L U' L R' F U' D
L U' L R' F U' D'
L U' L R' F U' D2
L U' L R' F D U'
L U' L R' F D' U'
L U' L R' F D2 U'
L' U' L' R' U2 B' U
L U' L D R' F U'
L U' L D F R' U'
L U' L D' R' F U'
L U' L D' F R' U'
L U' L D2 R' F U'
L U' L D2 F R' U'
L U' L F R' U' D
L U' L F R' U' D'
L U' L F R' U' D2
L U' L F R' D U'
L U' L F R' D' U'
L U' L F R' D2 U'
L U' L F D R' U'
L U' L F D' R' U'
L U' L F D2 R' U'
L U' L F' R' F2 U'
U R D2 L2 B R2 U
U R D2 B L2 R2 U
U R D2 B R2 L2 U
U2 R F D R F2 B2
U2 R F D R B2 F2
U2 R F D B2 R F2
U2 R F' D F2 R B2
U2 R F' D F2 B2 R
U2 R F' D B2 F2 R
L U' R L F R2 U'
L' U' R' L F L2 U'
L' U' R' L' U2 B' U
L2 U' R' L F U' F'
L U' R' L D F U'
L U' R' L D' F U'
L U' R' L D2 F U'
L U' R' L F U' D
L U' R' L F U' D'
L U' R' L F U' D2
L U' R' L F D U'
L U' R' L F D' U'
L U' R' L F D2 U'
L2 U' R' F' U' F R
L U' R' D L F U'
L U' R' D' L F U'
L U' R' D2 L F U'
L U' R' F L F U'
L U' R' F' L F U'
L U' R' F2 L F U'
U R B U D F2 B2
U R B U D B2 F2
U R B U2 L2 R2 U'
U R B U2 R2 L2 U'
U R B D U F2 B2
U R B D U B2 F2
U R B D2 L2 R2 U
U R B D2 R2 L2 U
L U' D L R' F U'
L U' D L F R' U'
L U' D R' L F U'
L U' D' L R' F U'
L U' D' L F R' U'
U' R' L D F L U'
L U' D' R' L F U'
U' R' L D' F L U'
U' R' L D2 F L U'
U' R' L F L U' D
U' R' L F L U' D'
U' R' L F L U' D2
U' R' L F L D U'
U' R' L F L D' U'
U' R' L F L D2 U'
U' R' L F D L U'
U' R' L F D' L U'
U' R' L F D2 L U'
U' R' L F' L F2 U'
U' R' L F2 L F' U'
L U' D2 L R' F U'
L U' D2 L F R' U'
L U' D2 R' L F U'
L U' F L R' F U'
L U' F L F R' U'
U' R' L2 D F' U' R
L U' F R' L F U'
U2 R' L2 F U' L2 R
U2 R' L2 F U' R L2
L2 U' F' R' U' F R
L U' F' L R' F U'
L U' F' L F R' U'
L U' F' R' L F U'
U R' L2 F' U2 F U
L U' F2 L R' F U'
L U' F2 L F R' U'
U' R' U' D F R F
L U' F2 R' L F U'
U' R' U' F R D F2
U' R' U' F D R F2
U' R' U' F' D F2 R
B' R' D L F2 B' L'
U' R' D L F U' F
B' R' D L B' F2 L'
B' R' D L2 F2 L' B'
U' R' D U' F R F
U' R' D F U' F R
B' R' D F2 L B' L2
U' R' F L F L U'
U2 R' F L2 U' L2 R
U2 R' F L2 U' R L2
U' R' F' L F L U'
U' R' F2 L F L U'
U R' F' L2 D B' U'
U R' F' L2 D' B' U'
U R' F' L2 D2 B' U'
U R' F' L2 B' U' D
U R' F' L2 B' U' D'
U R' F' L2 B' U' D2
U R' F' L2 B' D U'
U R' F' L2 B' D' U'
U R' F' L2 B' D2 U'
U R' F' B L2 B' U'
U R' F' B' L2 B' U'
U R' F' B2 L2 B' U'
U R' B F' L2 B' U'
D R' B' U' F2 L' R'
D R' B' U' F2 R' L'
U R' B' F' L2 B' U'
U R' B2 F' L2 B' U'
U' R2 L2 D2 R F' U'
U R2 U2 L2 R F' U'
U R2 U2 R L2 F' U'
U R2 U2 R F' L2 U'
U' D L R' F U' F
U' D L F R' U' F
L D U' L R' F U'
L D U' L F R' U'
L D U' R' L F U'
U' D R' L F U' F
U' D R' U' F R F
U' D R' F U' F R
F' U R' F' L2 B' U'
F2 U R' F' L2 B' U'
D2 U R2 U2 R F' U'
R' D B' U' F2 L' R'
R' D B' U' F2 R' L'
R D F2 B' R' B' L
F U R' F' L2 B' U'
U' D F R' U' F R
B2 U D L B' U F2
U2 D F R D F B2
U2 D F R D B2 F
U2 D F R F D B2
R D B' R' F2 B' L
R D B' R' B' L F2
R D B' R' B' F2 L
R D B' F2 R' B' L
D U' L R' F U' F
D U' L F R' U' F
F' U' L R' F L U'
F2 U' L R' F L U'
F' U' L F L R' U'
F' U' L F R' L U'
L D' U' L R' F U'
L D' U' L F R' U'
F2 U' L F L R' U'
F2 U' L F R' L U'
L D' U' R' L F U'
F U' L R' F L U'
F U' L F L R' U'
F U' L F R' L U'
B' U' L2 U' D' R' B
B' U' L2 D' U' R' B
D U' R' L F U' F
D U' R' U' F R F
D U' R' F U' F R
B U' L2 U L' F U2
F' U' R' L F L U'
F2 U' R' L F L U'
D U' F R' U' F R
F U' R' L F L U'
L D2 U' L R' F U'
L D2 U' L F R' U'
L D2 U' R' L F U'
U D2 R2 U2 R F' U'
D U2 F R D F B2
D U2 F R D B2 F
D U2 F R F D B2
B' U2 D F2 D2 R' B
U' F L R' F L U'
B' U2 D' R' D2 F2 B
B' U2 D' R' D2 B F2
U' F L F L R' U'
U' F L F R' L U'
F' U2 F R D F2 B2
F' U2 F R D B2 F2
F2 U2 F R D F2 B2
F2 U2 F R D B2 F2
U2 F L2 R' U' L2 R2
U2 F L2 R' U' R2 L2
F U2 F R D F2 B2
F U2 F R D B2 F2
U' F R' L F L U'
U2 F R U L2 R2 U'
U2 F R U R2 L2 U'
U2 F R D F2 B2 D
U2 F R D F2 B2 D'
U2 F R D F2 B2 D2
U2 F R D B2 F2 D
U2 F R D B2 F2 D'
U2 F R D B2 F2 D2
U2 F R F D F2 B2
U2 F R F D B2 F2
U2 F R F' D F2 B2
U2 F R F' D B2 F2
U2 F R F2 D F2 B2
U2 F R F2 D B2 F2
U2 F R B D F2 B2
U2 F R B D B2 F2
U2 F R B' D F2 B2
U2 F R B' D B2 F2
U2 F R B2 D F2 B2
U2 F R B2 D B2 F2
U2 F R' L2 U' L2 R2
U2 F R' L2 U' R2 L2
U2 F U L2 R' U' R2
U2 F U R' L2 U' R2
B' D L R' F2 B' L'
B' D L R' B' F2 L'
B' D L U2 R' F2 B'
B' D L U2 R' B' F2
B' D L U2 F2 R' B'
D F U' R' U' F R
L F U' L R' F U'
L F U' L F R' U'
B' D L' F U2 R' F
B' D L' F U2 F R'
L F U' R' L F U'
B' D L2 R' F2 L' B'
D F U2 F R D B2
U2 F D R F2 D B2
B' D R' L F2 B' L'
B' D R' L B' F2 L'
B' D R' L2 F2 L' B'
B' D R' F2 L B' L2
B2 D U L B' U F2
U' F' L R' F L U'
U' F' L F L R' U'
U' F' L F R' L U'
B' D U2 F2 D2 R' B
U' F' R' L F L U'
U F' L2 R' F' B' U'
U F' L2 R' B' F' U'
U2 F' R D F2 R B2
U2 F' R D F2 B2 R
U2 F' R D B2 F2 R
U F' R' L2 F' B' U'
U F' R' L2 B' F' U'
B' D B2 L U2 F2 B'
B' D B2 L U2 B' F2
L F' U' L R' F U'
L F' U' L F R' U'
L F' U' R' L F U'
U2 F' D F2 R D B2
B' D' R' D2 F2 L' B
B' D' R' D2 F2 B L'
B' D' R' D2 B F2 L'
U' F2 L R' F L U'
U' F2 L F L R' U'
U' F2 L F R' L U'
B' D' U2 R' D2 F2 B
B' D' U2 R' D2 B F2
U' F2 R' L F L U'
B' D' B2 U2 B2 R' B
B' D' B2 D2 L U2 B'
B D' B2 U2 D' R' B
B D' B2 D' U2 R' B
L F2 U' L R' F U'
L F2 U' L F R' U'
L F2 U' R' L F U'
R' F2 B' L2 U' L R'
R' F2 B' L2 U' R' L
D' B L B U L U
L2 B L U' L' U' B'
R' B L2 U L' R U2
R' B L2 U R L' U2
R' B L2 F2 U' L' R
R' B L2 F2 U' R L'
R' B' L2 U R U2 R2
R' B' L2 U' R' D2 L2
R' B' L2 F2 U' L' R'
R' B' L2 F2 U' R' L'
R2 B' R' D F2 B2 L
R2 B' R' D B2 L F2
R2 B' R' D B2 F2 L
R' B' U' D F2 L' R'
R' B' U' D F2 R' L'
D2 B' U2 D' R' F2 B
D2 B' U2 D' R' B F2
D2 B' U2 D' F2 R' B
R' B' D U' F2 L' R'
R' B' D U' F2 R' L'
D2 B' D B2 L U2 B'
D2 B' D' R' F2 L' B
D2 B' D' R' F2 B L'
D2 B' D' R' B F2 L'
D B' U2 F2 D' R' B
D2 B' D' U2 R' F2 B
D2 B' D' U2 R' B F2
D2 B' D' U2 F2 R' B
R' B' F2 L2 U' L R'
R' B' F2 L2 U' R' L
U B2 L U2 L F U'
D' B2 U L B U R'
D' B2 U D L B' U
D' B2 U2 B D' R' B
D' B2 D U L B' U
