U2 R' F' B' U'
U2 R' B' F' U'
B2 L U2 F B U'
B2 L U2 B F U'
U2 R' D F' B' U'
U2 R' D B' F' U'
U2 R' D' F' B' U'
U2 R' D' B' F' U'
U2 R' D2 F' B' U'
U2 R' D2 B' F' U'
U2 R' F' D B' U'
U2 R' F' D' B' U'
U2 R' F' D2 B' U'
U2 R' F' B' U' D
U2 R' F' B' U' D'
U2 R' F' B' U' D2
U2 R' F' B' D U'
U2 R' F' B' D' U'
U2 R' F' B' D2 U'
U2 R' B' D F' U'
U2 R' B' D' F' U'
U2 R' B' D2 F' U'
U2 R' B' F' U' D
U2 R' B' F' U' D'
U2 R' B' F' U' D2
U2 R' B' F' D U'
U2 R' B' F' D' U'
U2 R' B' F' D2 U'
U2 R2 B' R F' U'
U2 D R' F' B' U'
U2 D R' B' F' U'
U2 D' R' F' B' U'
U2 D' R' B' F' U'
D2 U2 R' F' B' U'
U2 D2 R' F' B' U'
D' U2 R' F' B' U'
D2 U2 R' B' F' U'
U2 D2 R' B' F' U'
D' U2 R' B' F' U'
D U2 R' F' B' U'
D U2 R' B' F' U'
F' U2 R' F' B' U'
F' U2 R' B' F' U'
F2 U2 R' F' B' U'
F2 U2 R' B' F' U'
F U2 R' F' B' U'
F U2 R' B' F' U'
U2 F R' F' B' U'
U2 F R' B' F' U'
L2 F B2 L B' U
U2 F' R' F' B' U'
U2 F' R' B' F' U'
U2 F2 R' F' B' U'
U2 F2 R' B' F' U'
R' B' U2 R B U
L2 B2 F L B' U
D2 U2 F2 R' B' F' U'
D U2 F' R' F' B' U'
D U2 F' R' B' F' U'
U2 D2 F2 R' F' B' U'
U2 D2 F2 R' B' F' U'
D U2 F2 R' F' B' U'
D U2 F2 R' B' F' U'
F' U2 R' D F' B' U'
F' U2 R' D B' F' U'
F' U2 R' D' F' B' U'
F' U2 R' D' B' F' U'
F' U2 R' D2 F' B' U'
F' U2 R' D2 B' F' U'
F' U2 R' F' D B' U'
F2 U2 R' D F' B' U'
F' U2 R' F' D' B' U'
F' U2 R' F' D2 B' U'
F' U2 R' F' B' U' D
F' U2 R' F' B' U' D'
F' U2 R' F' B' U' D2
F' U2 R' F' B' D U'
F' U2 R' F' B' D' U'
F' U2 R' F' B' D2 U'
F2 U2 R' D B' F' U'
F2 U2 R' D' F' B' U'
F2 U2 R' D' B' F' U'
F2 U2 R' D2 F' B' U'
F2 U2 R' D2 B' F' U'
F' U2 R' B' D F' U'
F' U2 R' B' D' F' U'
F' U2 R' B' D2 F' U'
F' U2 R' B' F' U' D
F' U2 R' B' F' U' D'
F' U2 R' B' F' U' D2
F' U2 R' B' F' D U'
F' U2 R' B' F' D' U'
F' U2 R' B' F' D2 U'
F2 U2 R' F' D B' U'
F2 U2 R' F' D' B' U'
F2 U2 R' F' D2 B' U'
F2 U2 R' F' B' U' D
F2 U2 R' F' B' U' D'
F2 U2 R' F' B' U' D2
F2 U2 R' F' B' D U'
F2 U2 R' F' B' D' U'
F2 U2 R' F' B' D2 U'
F2 U2 R' B' D F' U'
F2 U2 R' B' D' F' U'
F2 U2 R' B' D2 F' U'
F2 U2 R' B' F' U' D
F2 U2 R' B' F' U' D'
F2 U2 R' B' F' U' D2
F2 U2 R' B' F' D U'
F2 U2 R' B' F' D' U'
F2 U2 R' B' F' D2 U'
R' D2 B' U2 R B U
F U2 R' D F' B' U'
F U2 R' D B' F' U'
F' U2 R2 B' R F' U'
F U2 R' D' F' B' U'
F U2 R' D' B' F' U'
F U2 R' D2 F' B' U'
F U2 R' D2 B' F' U'
F U2 R' F' D B' U'
F U2 R' F' D' B' U'
F U2 R' F' D2 B' U'
F U2 R' F' B' U' D
F U2 R' F' B' U' D'
F U2 R' F' B' U' D2
F U2 R' F' B' D U'
F U2 R' F' B' D' U'
F U2 R' F' B' D2 U'
F2 U2 R2 B' R F' U'
F U2 R' B' D F' U'
F U2 R' B' D' F' U'
F U2 R' B' D2 F' U'
F U2 R' B' F' U' D
F U2 R' B' F' U' D'
F U2 R' B' F' U' D2
F U2 R' B' F' D U'
F U2 R' B' F' D' U'
F U2 R' B' F' D2 U'
F' U2 D R' F' B' U'
F' U2 D R' B' F' U'
F2 U2 D R' F' B' U'
F2 U2 D R' B' F' U'
F' U2 D' R' F' B' U'
F' U2 D' R' B' F' U'
R' F L F L' B' U'
F U2 R2 B' R F' U'
F2 U2 D' R' F' B' U'
F2 U2 D' R' B' F' U'
F U2 D R' F' B' U'
F U2 D R' B' F' U'
F' U2 D2 R' F' B' U'
F' U2 D2 R' B' F' U'
F2 U2 D2 R' F' B' U'
F2 U2 D2 R' B' F' U'
L2 F L B2 L B U
F U2 D' R' F' B' U'
F U2 D' R' B' F' U'
L2 F L' U2 R' F U'
F' U2 F R' F' B' U'
L2 F L' U2 F R' U'
F' U2 F R' B' F' U'
F2 U2 F R' F' B' U'
F2 U2 F R' B' F' U'
F U2 D2 R' F' B' U'
F U2 D2 R' B' F' U'
L2 F L2 U2 R' F' U'
F' U2 F' R' F' B' U'
F' U2 F' R' B' F' U'
F2 U2 F' R' F' B' U'
F2 U2 F' R' B' F' U'
F U2 F R' F' B' U'
F U2 F R' B' F' U'
F' U2 F2 R' F' B' U'
F' U2 F2 R' B' F' U'
F2 U2 F2 R' F' B' U'
F2 U2 F2 R' B' F' U'
F U2 F' R' F' B' U'
F U2 F' R' B' F' U'
U' F R' B' U' R2 F'
U2 F R' D F' B' U'
U2 F R' D B' F' U'
U2 F R' D' F' B' U'
U2 F R' D' B' F' U'
U2 F R' D2 F' B' U'
U2 F R' D2 B' F' U'
U2 F R' F' D B' U'
U2 F R' F' D' B' U'
U2 F R' F' D2 B' U'
U2 F R' F' B' U' D
U2 F R' F' B' U' D'
U2 F R' F' B' U' D2
U2 F R' F' B' D U'
U2 F R' F' B' D' U'
U2 F R' F' B' D2 U'
F U2 F2 R' F' B' U'
F U2 F2 R' B' F' U'
U2 F R' B' D F' U'
U2 F R' B' D' F' U'
U2 F R' B' D2 F' U'
U2 F R' B' F' U' D
U2 F R' B' F' U' D'
U2 F R' B' F' U' D2
U2 F R' B' F' D U'
U2 F R' B' F' D' U'
U2 F R' B' F' D2 U'
U2 F R2 B' R F' U'
U' F U' R' B' U' R2
B2 U2 B2 R' F' B' U'
B2 U2 B2 R' B' F' U'
B2 D L U2 F B U'
B2 D L U2 B F U'
D' F U2 R' F' B' U'
D' F U2 R' B' F' U'
D2 F U2 R' F' B' U'
D2 F U2 R' B' F' U'
D F U2 R' F' B' U'
D F U2 R' B' F' U'
U2 F D R' F' B' U'
U2 F D R' B' F' U'
U2 F D' R' F' B' U'
U2 F D' R' B' F' U'
R' F D2 B' L F U'
U2 F D2 R' F' B' U'
U2 F D2 R' B' F' U'
R' F B' L F L' U'
L2 F B' L B' L U
L2 F B2 L D B' U
L2 F B2 L D' B' U
L2 F B2 L D2 B' U
L2 F B2 L B' U D
L2 F B2 L B' U D'
L2 F B2 L B' U D2
L2 F B2 L B' D U
L2 F B2 L B' D' U
L2 F B2 L B' D2 U
F' D U2 R' F' B' U'
F' D U2 R' B' F' U'
F2 D U2 R' F' B' U'
F2 D U2 R' B' F' U'
F D U2 R' F' B' U'
F D U2 R' B' F' U'
U2 F' R' D F' B' U'
U2 F' R' D B' F' U'
U2 F' R' D' F' B' U'
U2 F' R' D' B' F' U'
U2 F' R' D2 F' B' U'
U2 F' R' D2 B' F' U'
U2 F' R' F' D B' U'
U2 F' R' F' D' B' U'
U2 F' R' F' D2 B' U'
U2 F' R' F' B' U' D
U2 F' R' F' B' U' D'
U2 F' R' F' B' U' D2
U2 F' R' F' B' D U'
U2 F' R' F' B' D' U'
U2 F' R' F' B' D2 U'
U2 F' R' B' D F' U'
U2 F' R' B' D' F' U'
U2 F' R' B' D2 F' U'
U2 F' R' B' F' U' D
U2 F' R' B' F' U' D'
U2 F' R' B' F' U' D2
U2 F' R' B' F' D U'
U2 F' R' B' F' D' U'
U2 F' R' B' F' D2 U'
U2 F' R2 B' R F' U'
L F' R' F2 L' B' U'
U F' R' B' U' R' F
U F' R' B' U' F R'
B2 D' L U2 F B U'
B2 D' L U2 B F U'
D2 F' U2 R' F' B' U'
D2 F' U2 R' B' F' U'
D' F' U2 R' F' B' U'
D' F' U2 R' B' F' U'
D F' U2 R' F' B' U'
D F' U2 R' B' F' U'
U2 F' D R' F' B' U'
U2 F' D R' B' F' U'
U2 F' D' R' F' B' U'
U2 F' D' R' B' F' U'
U2 F' D2 R' F' B' U'
U2 F' D2 R' B' F' U'
L F' D2 B2 L F U
L2 F' B2 L F2 B' U
L2 F' B2 L B' F2 U
F' D' U2 R' F' B' U'
F' D' U2 R' B' F' U'
F2 D' U2 R' F' B' U'
F2 D' U2 R' B' F' U'
F D' U2 R' F' B' U'
F D' U2 R' B' F' U'
U2 F2 R' D F' B' U'
U2 F2 R' D B' F' U'
U2 F2 R' D' F' B' U'
U2 F2 R' D' B' F' U'
U2 F2 R' D2 F' B' U'
U2 F2 R' D2 B' F' U'
U2 F2 R' F' D B' U'
U2 F2 R' F' D' B' U'
U2 F2 R' F' D2 B' U'
U2 F2 R' F' B' U' D
U2 F2 R' F' B' U' D'
U2 F2 R' F' B' U' D2
U2 F2 R' F' B' D U'
U2 F2 R' F' B' D' U'
U2 F2 R' F' B' D2 U'
U2 F2 R' B' D F' U'
U2 F2 R' B' D' F' U'
U2 F2 R' B' D2 F' U'
U2 F2 R' B' F' U' D
U2 F2 R' B' F' U' D'
U2 F2 R' B' F' U' D2
U2 F2 R' B' F' D U'
U2 F2 R' B' F' D' U'
U2 F2 R' B' F' D2 U'
U2 F2 R2 B' R F' U'
U F2 R' B' U' R' F2
U F2 R' B' U' F2 R'
B2 D2 L U2 F B U'
B2 D2 L U2 B F U'
D2 F2 U2 R' F' B' U'
D2 F2 U2 R' B' F' U'
D' F2 U2 R' F' B' U'
D' F2 U2 R' B' F' U'
D F2 U2 R' F' B' U'
D F2 U2 R' B' F' U'
U2 F2 D R' F' B' U'
U2 F2 D R' B' F' U'
U2 F2 D' R' F' B' U'
U2 F2 D' R' B' F' U'
U2 F2 D2 R' F' B' U'
U2 F2 D2 R' B' F' U'
R' F2 B' L F L2 U'
R' F2 B' L' U2 B' U
L2 F2 B2 L F' B' U
L2 F2 B2 L B' F' U
F' D2 U2 R' F' B' U'
F' D2 U2 R' B' F' U'
F2 D2 U2 R' F' B' U'
F2 D2 U2 R' B' F' U'
F D2 U2 R' F' B' U'
F D2 U2 R' B' F' U'
B2 F L U2 F B U'
B2 F L U2 B F U'
L B U2 F R B U'
R' B' L F2 L' F' U'
R' B' L' U2 R B' U
R' B' L' U2 B' R U
L' B' L' D2 F L' U
R' B' L2 F2 L' F U'
R2 B' R U2 R B U
U2 B' R' D2 F' R U'
B2 F' L U2 F B U'
B2 F' L U2 B F U'
R' B' U' F D R F'
R' B' U2 R D B U
R' B' U2 R D' B U
R' B' U2 R D2 B U
R' B' U2 R B U D
R' B' U2 R B U D'
R' B' U2 R B U D2
R' B' U2 R B D U
R' B' U2 R B D' U
R' B' U2 R B D2 U
R' B' U2 D R B U
U2 B' U' D' B' R' B
R' B' U2 D' R B U
R' B' U2 D2 R B U
R' B' U2 B R B U
R' B' U2 B' R B U
R' B' U2 B2 R B U
U2 B' U2 L' B' L U
R' B' D U2 R B U
R' B' D' U2 R B U
U2 B' D' R' F' U' B
U2 B' D' U' B' R' B
R' B' D2 U2 R B U
R' B' F L F L' U'
U2 B' D2 R' F' R U'
L2 B' F L B' L U
R' B' F2 L F L2 U'
R' B' F2 L' U2 B' U
D2 B2 L U2 F B U'
D2 B2 L U2 B F U'
D' B2 L U2 F B U'
D' B2 L U2 B F U'
L' B2 L B U D L2
L' B2 L B U2 B2 U'
L' B2 L B D U L2
L' B2 L B D2 F2 U
L2 B2 L D' B' U L
L' B2 L' F L2 B U
L' B2 L' F B L2 U
D B2 L U2 F B U'
D B2 L U2 B F U'
L' B2 L' B F L2 U
F' B2 L U2 F B U'
F' B2 L U2 B F U'
B2 F2 L U2 F B U'
B2 F2 L U2 B F U'
R B2 L F B R2 U'
F2 B2 L U2 F B U'
F2 B2 L U2 B F U'
R B2 L B R2 F U'
R B2 L B F R2 U'
F B2 L U2 F B U'
F B2 L U2 B F U'
L B2 L2 B' L' F U
L2 B2 F L D B' U
L2 B2 F L D' B' U
L2 B2 F L D2 B' U
L2 B2 F L B' U D
L2 B2 F L B' U D'
L2 B2 F L B' U D2
L2 B2 F L B' D U
L2 B2 F L B' D' U
L2 B2 F L B' D2 U
L2 B2 F' L F2 B' U
L2 B2 F' L B' F2 U
L2 B2 F2 L F' B' U
L2 B2 F2 L B' F' U
