D' L B' L U2 B2
D' L B' L U2 B2
D' L B' U2 B2 R'
D' L' U2 F B R'
D' L' U2 B R' F
D' L' U2 B F R'
U' L' F L' U' B
D' L2 U2 B R' F'
L' U' F L' U' B
U2 D F' B R F'
U2 D B R F' R
U2 D B F' R F'
F U' L' F U' B
D U2 F' B R F'
D U2 B R F' R
D U2 B F' R F'
U' F L' F U' B
D F' U2 B R F'
D' B R' F2 L' F
U2 B D R F' R
U2 B D F' R F'
D' B' L B' U2 B'
D' F' L' U2 B R' F
D' F' L' U2 B F R'
B2 D U2 F' R F' B'
B2 D U2 F' R B' F'
B2 D U2 F' B' R F'
D F' L U2 B R F'
B2 D U2 B' R F' R
B2 D U2 B' F' R F'
D' F' L2 U2 B R' F'
D F' L' U2 B R F'
B2 D F' U2 R F' B'
B2 D F' U2 R B' F'
B2 D F' U2 B' R F'
D F' L2 U2 B R F'
L' F' U' F2 L' U' B
B2 D' L B' L F U2
L F' U B' R U B2
B D' L B' L U2 B
D F' U2 B R D F'
D F' U2 B R D' F'
D F' U2 B R D2 F'
D F' U2 B R F' D
D F' U2 B R F' D'
D F' U2 B R F' D2
D F' U2 B' R F' B2
D F' U2 B' R B2 F'
D F' U2 B2 R F' B'
D F' U2 B2 R B' F'
U2 F' D' B R' D' F2
D' F' B R' F2 L' F
D' F' B' L B' U2 B'
D F' B' R F' B2 L
D F' B' R B2 L F'
D F' B' R B2 F' L
D F' B' U2 R F' B2
D F' B' U2 R B2 F'
D F' B' U2 B2 R F'
L F' B' R U B2 L
D' F2 L B' L U2 B2
D' F2 L B' U2 B2 R'
D F' B2 U2 R F' B'
D F' B2 U2 R B' F'
D F' B2 U2 B' R F'
D' F2 L' U2 F B R'
D' F2 L' U2 B R' F
D' F2 L' U2 B F R'
F' D' U2 B R' D' F2
F D' U' L' U' B R'
D' F2 L2 U2 B R' F'
F' D' B R' D' F2 L'
B2 D' B' L B' U2 B
B D' B' L B' U2 B2
U' F2 U' D' B R' F'
U' F2 D' U' B R' F'
D' F2 B R' F2 L' F
D' F2 B' L B' U2 B'
D' B L B' U2 B R'
D' B L' R' F2 L' F'
D' B L' F' R' F2 L'
D' B R' L' F2 L' F'
U2 B R D R F' R
U2 B R D F' R F'
D' B R' F L' F L'
D' B R' F2 L' D F
D' B R' F2 L' D' F
D' B R' F2 L' D2 F
D' B R' F2 L' F D
D' B R' F2 L' F D'
D' B R' F2 L' F D2
D B R F' R D2 L2
U2 B R' D R F' R
U2 B R' D F' R F'
D' B R2 D2 L2 R F'
D' B R2 D2 R L2 F'
D' B R2 D2 R F' L2
U2 B R2 D R F' R
U2 B R2 D F' R F'
U2 B U L' F L' U'
U2 B U F L' F U'
U2 B D R F' R D
U2 B D R F' R D'
U2 B D R F' R D2
U2 B D R F' D R
U2 B D R F' D' R
U2 B D R F' D2 R
U2 B D F' R D F'
U2 B D F' R D' F'
U2 B D F' R D2 F'
U2 B D F' R F' D
U2 B D F' R F' D'
U2 B D F' R F' D2
D' B F R' F2 L' F
D' B F' R' F2 L' F
U2 B F U L' F U'
D' B F2 R' F2 L' F
B' F U' L' F U' B2
D' B' L D2 F2 B' U2
D' B' L D2 B' F2 U2
D' B' L F B' U2 B'
D' B' L F' B' U2 B'
D' B' L F2 B' U2 B'
D' B' L B' U2 D B'
D' B' L B' U2 D' B'
D' B' L B' U2 D2 B'
D' B' L B' U2 B' D
D' B' L B' U2 B' D'
D' B' L B' U2 B' D2
D' B' L B' D U2 B'
D' B' L B' D' U2 B'
D' B' L B' D2 U2 B'
D' B' L B' F U2 B'
D' B' L B' F' U2 B'
D' B' L B' F2 U2 B'
D B' R F' B2 L R
D B' R F' B2 R L
D B' R B2 L F' R
D B' R B2 F' L R
D B' R B2 F' R L
L' B' U' F L' U' B2
D B' U2 R F' R B2
D B' U2 R F' B2 R
D B' U2 R B2 F' R
D B' U2 F' R F' B2
D B' U2 F' R B2 F'
D B' U2 F' B2 R F'
D B' U2 B2 R F' R
D B' U2 B2 F' R F'
D' B' F L B' U2 B'
D' B' F' L B' U2 B'
D' B' F2 L B' U2 B'
F B' U' L' F U' B2
D B' F' R F' B2 L
D B' F' R B2 L F'
D B' F' R B2 F' L
D B' F' U2 R F' B2
D B' F' U2 R B2 F'
D B' F' U2 B2 R F'
L B' F' R U B2 L
D B2 U2 R F' R B'
D B2 U2 R F' B' R
D B2 U2 R B' F' R
U2 B2 D R F' R B'
U2 B2 D R F' B' R
U2 B2 D R B' F' R
D B2 U2 F' R F' B'
D B2 U2 F' R B' F'
D B2 U2 F' B' R F'
D B2 U2 B' R F' R
U2 B2 D F' R F' B'
U2 B2 D F' R B' F'
D B2 U2 B' F' R F'
U2 B2 D F' B' R F'
U2 B2 D B' R F' R
U2 B2 D B' F' R F'
D B2 F' U2 R F' B'
D B2 F' U2 R B' F'
D B2 F' U2 B' R F'
