U' L2 R F U'
U' R L2 F U'
L2 R F U R' U2
L2 R F B2 U' L
L2 R B2 F U' L
U' L2 R D F U'
U' L2 R D' F U'
U' L2 R D2 F U'
U' L2 R F U' D
U' L2 R F U' D'
U' L2 R F U' D2
U' L2 R F D U'
U' L2 R F D' U'
U' L2 R F D2 U'
U2 L2 R F U' L2
U' L2 R' F R2 U'
U' L2 R2 F R' U'
R L2 F U R' U2
R L2 F B2 U' L
U' L2 D R F U'
U' L2 D' R F U'
R L2 B2 F U' L
U' L2 D2 R F U'
U' R L2 D F U'
U' R L2 D' F U'
U' R L2 D2 F U'
U' R L2 F U' D
U' R L2 F U' D'
U' R L2 F U' D2
U' R L2 F D U'
U' R L2 F D' U'
U' R L2 F D2 U'
U2 R L2 F U' L2
L' U' L' R F U'
U' R F L2 F U'
L' U' R L' F U'
U' R F' L2 F U'
U' R F2 L2 F U'
L2 U' R F U' F'
U' R' L2 F R2 U'
U' R2 L2 F R' U'
B' U2 L2 R U' L2
B' U2 R L2 U' L2
U' F' L2 F R U'
U B' U2 L2 R U'
U B' U2 R L2 U'
R' F2 R2 L2 F U' L
R F2 L2 B2 F U' L
D2 F2 U R2 B' L' U
D2 F2 U B' L' R2 U
D2 F2 U B' R2 L' U
F2 D' B2 U L' B U
F2 D' B2 U B L' U
B D' B2 U' R U' R
D' F2 B2 U L' B U
D' F2 B2 U B L' U
F2 D2 U R2 B' L' U
F2 D2 U B' L' R2 U
F2 D2 U B' R2 L' U
U F2 B' L' F2 R U
F D2 U R2 B' L U
B D2 U' R F2 L' U'
F D2 U B' L R2 U
F D2 U B' R2 L U
U' B R B' L2 F U'
L2 B R F U R' U2
L2 B R F B2 U' L
L2 B R B2 F U' L
D2 B U R2 B2 L U
L' B U' L' R F U'
L' B U' R L' F U'
L2 B U' R F U' F'
U B' L U2 L R U'
U B' L U2 R L U'
U B' L' U2 L' R U'
U B' L' U2 R L' U'
L2 B' R F U R' U2
L2 B' R F B2 U' L
L2 B' R B2 F U' L
R' B' U D F2 L' B2
R' B' U D F2 B2 L'
R' B' U D B2 F2 L'
U B' R' U D F2 B2
U B' R' U D B2 F2
U B' R' U2 L2 R2 U'
U B' R' U2 R2 L2 U'
U B' R' D U F2 B2
U B' R' D U B2 F2
U B' R' D2 L2 R2 U
U B' R' D2 R2 L2 U
F2 B' L' U2 L' U' L
U2 B' U L2 R U' R'
U2 B' U R L2 U' R'
L' B' U' L' R F U'
L' B' U' R L' F U'
U B' R2 U2 L2 R' U'
U B' R2 U2 R' L2 U'
U' B' U2 L2 B R U'
L2 B' U' R F U' F'
U' B' U2 B L2 R U'
U' B' U2 B R L2 U'
R' B' D U F2 L' B2
R' B' D U F2 B2 L'
R' B' D U B2 F2 L'
U B' U2 L2 R U' D
U B' U2 L2 R U' D'
U B' U2 L2 R U' D2
U B' U2 L2 R D U'
U B' U2 L2 R D' U'
U B' U2 L2 R D2 U'
U B' U2 L2 D R U'
U B' U2 L2 D' R U'
U B' U2 L2 D2 R U'
U B' U2 R L2 U' D
U B' U2 R L2 U' D'
U B' U2 R L2 U' D2
U B' U2 R L2 D U'
U B' U2 R L2 D' U'
U B' U2 R L2 D2 U'
U B' U2 R U' D F2
U B' U2 R D U' F2
U B' U2 D R U' F2
U B' D U2 R U' F2
U B' D2 R2 U2 R' U'
U B' F2 L' F2 R U
B' F2 L' U2 L' U' L
L2 B2 R F U R' U2
L2 B2 R F B2 U' L
L2 B2 R B2 F U' L
R B2 L2 U2 B U L'
D' B2 U B U2 R U'
L' B2 U' L' R F U'
L' B2 U' R L' F U'
D' B2 U' R2 F' R' U'
L2 B2 U' R F U' F'
D' B2 F2 U L' B U
D' B2 F2 U B L' U
