L2 R U F2 B R
L2 R U B F2 R
R L2 U F2 B R
R L2 U B F2 R
B2 R U F2 B R2
B2 R U B R2 F2
B2 R U B F2 R2
B R U F2 B R'
B R U B R' F2
B R U B F2 R'
R2 U F2 B2 R' B
R U F2 B2 R' B'
R2 U B2 R' F2 B
R2 U B2 R' B F2
R' U' L F' U2 F'
R U B2 R' F2 B'
R U B2 R' B' F2
R2 U B2 F2 R' B
R U B2 F2 R' B'
R U' L U2 F2 B
R U' L U2 B F2
R' U' F' L U2 F'
B2 R' F2 D' L2 B'
D R2 U B2 R' B
D R2 B2 U R' B
B2 U F2 D R' B
L2 F2 R D' L2 B
L2 F2 R D' B L2
L2 F2 R B D' L2
L2 F2 D' L2 R B
L2 F2 D' R L2 B
L2 F2 D' R B L2
U F2 D B2 R' B
U F2 B2 D R' B
R2 B2 U R' F2 B
R2 B2 U R' B F2
R2 B2 U F2 R' B
R B2 U R' F2 B'
R B2 U R' B' F2
R B2 U F2 R' B'
L R' F' U2 F' D' L2
L2 R' F2 R D' L2 B'
L2 R' F2 D' L2 R B'
L2 R' F2 D' L2 B' R
L2 R' F2 D' R L2 B'
R' L2 U R F2 R B
R' L2 U R2 F2 B R
R' L2 U R2 B F2 R
L2 R2 U R' F2 B R
R2 L2 U R' F2 B R
L2 R2 U R' B F2 R
R2 L2 U R' B F2 R
R2 L2 U R2 F2 R B
L2 R2 U R2 F2 R B
R L2 U R' F2 R B
L2 R2 U F2 R' B R2
R2 L2 U F2 R' B R2
R' L2 U' L' F' U2 F'
R L2 U F2 D B R
R L2 U F2 D' B R
R L2 U F2 D2 B R
R L2 U F2 B R D
R L2 U F2 B R D'
R L2 U F2 B R D2
R L2 U F2 B D R
R L2 U F2 B D' R
R L2 U F2 B D2 R
R L2 U F2 B' R B2
R L2 U F2 B2 R B'
R L2 U B R F2 R
R L2 U B R' F2 R
R L2 U B R2 F2 R
R L2 U B F2 R D
R L2 U B F2 R D'
R L2 U B F2 R D2
R L2 U B F2 D R
R L2 U B F2 D' R
R L2 U B F2 D2 R
R L2 U B' F2 R B2
R L2 U B2 F2 R B'
R L2 U' L' U2 F2 B
R L2 U' L' U2 B F2
R' L2 U' F' U2 F' R
B2 L2 R U F2 B R2
B2 L2 R U B R2 F2
B2 L2 R U B F2 R2
B L2 R U F2 B R'
B L2 R U B R' F2
B L2 R U B F2 R'
B2 L2 R' F2 D' L2 B'
U2 L2 U L' F U2 F
R' L2 F2 R D' L2 B'
B2 L2 U F2 D R' B
R' L2 F2 D' L2 R B'
R' L2 F2 D' L2 B' R
R' L2 F2 D' R L2 B'
R L2 F2 D' L2 B R
R L2 F2 D' B L2 R
R L2 F2 D' B R L2
R L2 F2 B R D' L2
F2 L2 U' F2 U R B
R L2 F2 B D' L2 R
R L2 F2 B D' R L2
U L2 U' F2 L2 R B
U L2 U' F2 R L2 B
U L2 U' F2 R B L2
R L2 B F2 R D' L2
R L2 B F2 D' L2 R
R L2 B F2 D' R L2
R L2 B' U F2 R B2
R L2 B' U F2 B2 R
R L2 B' U B2 F2 R
R L2 B2 U F2 R B'
R L2 B2 U F2 B' R
R L2 B2 U B' F2 R
L U L U L' F2 B'
L U L U L' B' F2
R U L U2 L' F2 B
R U L U2 L' B F2
R U L U2 B L' F2
R' U L2 F2 L2 R B'
R' U L2 F2 L2 B' R
R' U L2 F2 R L2 B'
R U L2 F2 L2 B R
R U L2 F2 B L2 R
R U L2 F2 B R L2
R U L2 B F2 L2 R
R U L2 B F2 R L2
R U R F2 B2 R' B
R U R B2 R' F2 B
R U R B2 R' B F2
R' U R' F2 B2 R' B
R U R B2 F2 R' B
R' U R' B2 R' F2 B
R' U R' B2 R' B F2
R' U R' B2 F2 R' B
R2 U R' F2 B2 R' B'
R2 U R' B2 R' F2 B'
R2 U R' B2 R' B' F2
R2 U R' B2 F2 R' B'
R' U R2 F2 B2 R' B'
R' U R2 B2 R' F2 B'
R' U R2 B2 R' B' F2
R' U R2 B2 F2 R' B'
B2 R L U F2 B R2
B2 R L U B R2 F2
B2 R L U B F2 R2
B R L U F2 B R'
B R L U B R' F2
B R L U B F2 R'
B2 R L' U F2 B R2
B2 R L' U B R2 F2
B2 R L' U B F2 R2
B R L' U F2 B R'
B R L' U B R' F2
B R L' U B F2 R'
R' U F D2 F B2 R'
R' U F D2 B2 R' F
R' U F D2 B2 F R'
R' U F' L U2 L' F'
B2 R L2 U F2 B R2
B2 R L2 U B R2 F2
B2 R L2 U B F2 R2
B R L2 U F2 B R'
B R L2 U B R' F2
B R L2 U B F2 R'
R2 U F B2 R' F B
R2 U F B2 R' B F
L U F' L' U L F'
L U F' L' U F' L
R U F B2 R' F B'
R U F B2 R' B' F
B2 R U F B R2 F
D2 R U' L B2 U2 B'
B2 R U F2 B R2 D
B2 R U F2 B R2 D'
B2 R U F2 B R2 D2
B2 R U F2 B' R2 B2
R' U F2 U2 F L U2
B2 R U F2 B2 R2 B'
B2 R U B R' F2 R'
B2 R U B R2 F2 D
B2 R U B R2 F2 D'
B2 R U B R2 F2 D2
B2 R U B F R2 F
B2 R U B F2 R2 D
B2 R U B F2 R2 D'
B2 R U B F2 R2 D2
B2 R U B' R2 F2 B2
B2 R U B' R2 B2 F2
B R U F B R' F
B2 R U B' F2 R2 B2
B2 R U B2 R2 F2 B'
B2 R U B2 R2 B' F2
R U F' B D2 F' R
B2 R U B2 F2 R2 B'
L2 U F2 R2 D R' B
B R U F2 B R' D
B R U F2 B R' D'
B R U F2 B R' D2
B R U F2 B D R'
B R U F2 B D' R'
B R U F2 B D2 R'
B R U B R F2 R2
B R U B R' F2 D
B R U B R' F2 D'
B R U B R' F2 D2
B R U B F R' F
B R U B F2 R' D
B R U B F2 R' D'
B R U B F2 R' D2
B R U B F2 D R'
B R U B F2 D' R'
R2 U F2 R' B2 R' B'
B R U B F2 D2 R'
L2 U F2 D R' B R2
R U F2 R B2 R' B
R' U B R2 F2 B R'
R' U B R2 B R' F2
R' U B R2 B F2 R'
R U F2 U2 L U2 B
R2 U F2 B R' B R'
D2 R U' B2 U2 R' B'
R2 U F2 B2 R' D B
R2 U F2 B2 R' D' B
R2 U F2 B2 R' D2 B
R2 U F2 B2 R' B D
R2 U F2 B2 R' B D'
R2 U F2 B2 R' B D2
R U F2 D B2 R' B'
R U F2 D' B2 R' B'
R U F2 D2 B2 R' B'
R U F2 B2 R B' R2
R U F2 B2 R' D B'
R U F2 B2 R' D' B'
R U F2 B2 R' D2 B'
R U F2 B2 R' B' D
R U F2 B2 R' B' D'
R U F2 B2 R' B' D2
R U F2 B2 R2 B' R
R U F2 B2 D R' B'
R U F2 B2 D' R' B'
R U F2 B2 D2 R' B'
B R U' B R' F2 L'
R2 U B R' F2 B R'
R2 U B R' B R' F2
R2 U B R' B F2 R'
R2 U B F2 R' B R'
R U B F' D2 F' R
R' U B2 R2 B R F2
B2 R D B2 R2 U B'
R2 U B2 R' F2 D B
R2 U B2 R' F2 D' B
R2 U B2 R' F2 D2 B
R2 U B2 R' F2 B D
R2 U B2 R' F2 B D'
R2 U B2 R' F2 B D2
R2 U B2 R' B F2 D
R2 U B2 R' B F2 D'
R2 U B2 R' B F2 D2
R U B2 R F2 R2 B'
R U B2 R F2 B' R2
R U B2 R B' R2 F2
R U B2 R B' F2 R2
R U B2 R' F2 D B'
R U B2 R' F2 D' B'
R U B2 R' F2 D2 B'
R U B2 R' F2 B' D
R U B2 R' F2 B' D'
R U B2 R' F2 B' D2
R U B2 R' B' F2 D
R U B2 R' B' F2 D'
R U B2 R' B' F2 D2
R U B2 R2 B' R F2
R2 U B2 F R' F B
R2 U B2 F R' B F
R' U' L D2 F' B2 U2
R' U' L D2 B2 F' U2
R2 U B2 F2 R' D B
R2 U B2 F2 R' D' B
R2 U B2 F2 R' D2 B
R2 U B2 F2 R' B D
R2 U B2 F2 R' B D'
R2 U B2 F2 R' B D2
R' U' L F' U2 D F'
R' U' L F' U2 D' F'
R' U' L F' U2 D2 F'
R' U' L F' U2 F' D
R' U' L F' U2 F' D'
R' U' L F' U2 F' D2
R' U' L F' D U2 F'
R' U' L F' D' U2 F'
R' U' L F' D2 U2 F'
R' U' L F' B U2 F'
R' U' L F' B' U2 F'
R' U' L F' B2 U2 F'
R U B2 F R' F B'
R U B2 F R' B' F
F2 R D' B2 R' B' L2
R' U' L B F' U2 F'
R U B2 F2 R B' R2
R U B2 F2 R' D B'
R U B2 F2 R' D' B'
R U B2 F2 R' D2 B'
R U B2 F2 R' B' D
R U B2 F2 R' B' D'
R U B2 F2 R' B' D2
R U B2 F2 R2 B' R
R U B2 F2 D R' B'
R U B2 F2 D' R' B'
R U B2 F2 D2 R' B'
R' U' L B' F' U2 F'
R' U' L B2 F' U2 F'
R U' L U2 F2 D B
R U' L U2 F2 D' B
R U' L U2 F2 D2 B
R U' L U2 F2 B D
R U' L U2 F2 B D'
R U' L U2 F2 B D2
R U' L U2 B F2 D
R U' L U2 B F2 D'
R U' L U2 B F2 D2
R U' L D2 B2 U2 B'
R U' L F U2 F B
R U' L F U2 B F
R U' L F' U2 F' B
R U' L F' U2 B F'
R' U' L' F' L2 U2 F'
R U' L B' U2 F2 B2
R U' L B' U2 B2 F2
R U' L B2 U2 F2 B'
R U' L B2 U2 B' F2
R' U' L2 F' U2 F' R
R U' L2 U2 F2 B R
R U' L2 U2 B F2 R
B2 R F2 B R2 D' L2
B R F2 B R' D' L2
B R F2 B D' L2 R'
B R F2 B D' R' L2
L U' R' U' F2 L' B'
U R F2 D B2 R' B
B2 R B R2 F2 D' L2
U R F2 B2 D R' B
B R B R' F2 D' L2
B2 R B F2 R2 D' L2
B' R B' U R' F2 B2
B' R B' U R' B2 F2
B' R B' U F2 R' B2
B R B F2 R' D' L2
B R B F2 D' L2 R'
B R B F2 D' R' L2
B2 R B' U R2 F2 B2
B2 R B' U R2 B2 F2
B2 R B' U F2 R2 B2
B2 R B' U F2 B2 R2
B2 R B' U B2 R2 F2
B2 R B' U B2 F2 R2
B R B' U F2 B2 R'
B R B' U B2 R' F2
B R B' U B2 F2 R'
F2 R B2 R' D' B' L2
F2 R B2 R' B' D' L2
B2 R B2 U R2 F2 B'
B2 R B2 U R2 B' F2
B2 R B2 U F2 R2 B'
B2 R B2 U F2 B' R2
B2 R B2 U B' R2 F2
D R B2 R U R2 B'
B2 R B2 U B' F2 R2
D R B2 R U B' R2
R' U' D2 L F' B2 U2
F2 R B2 D' R' B' L2
R' U' D2 L B2 F' U2
R' U' D2 F' L B2 U2
R' U' D2 F' B2 U2 R'
R2 U' D2 L B2 U2 B
R' U' D2 B2 F' U2 R'
B2 R' L F2 D' L2 B'
U R B2 F2 D R' B
R U' D2 L B2 U2 B'
B2 R' L' F2 D' L2 B'
R' U' F' L U2 D F'
R' U' F' L U2 D' F'
R' U' F' L U2 D2 F'
R' U' F' L U2 F' D
R' U' F' L U2 F' D'
R' U' F' L U2 F' D2
R U' D2 B2 U2 R' B'
R' U' F' L D U2 F'
R' U' F' L D' U2 F'
R' U' F' L D2 U2 F'
R' U' F' L B U2 F'
R' U' F' L B' U2 F'
R' U' F' L B2 U2 F'
R' U' F' D L U2 F'
B2 R' L2 F2 D' L2 B'
R' U' F' D' L U2 F'
R' U' F' D2 L U2 F'
R' U' F' B2 U2 F' R'
R U' F' L U2 F' B
R U' F' L U2 B F'
D2 R' U' L F' B2 U2
B R' U R2 F2 B R'
B R' U R2 B R' F2
B R' U R2 B F2 R'
D2 R' U' L B2 F' U2
D2 R' U' F' L B2 U2
D2 R' U' F' B2 U2 R'
D2 R' U' B2 F' U2 R'
B2 R' D R2 U B R2
L U' B' R' U' F2 L'
R' U' B2 F' U2 F' R'
R2 U' B2 R' F2 L' B
R2 U' B2 R' F2 B L'
R2 U' B2 R' B F2 L'
R2 U' B2 U2 R' F2 B
R2 U' B2 U2 R' B F2
R2 U' B2 U2 F2 R' B
R U' B2 R' F2 B' L'
R U' B2 R' B' F2 L'
R U' B2 U2 R' F2 B'
R U' B2 U2 R' B' F2
R U' B2 U2 F2 R' B'
L' U2 L' U' F2 R B'
L' U2 L' U' F2 B' R
L' U2 L' U' B' F2 R
R U2 L2 U' F2 B R
R U2 L2 U' B F2 R
B2 R' F2 L2 D' B' L2
B2 R' F2 L2 B' D' L2
B' R' F2 D' L2 B' R'
B2 R' F2 D' L2 D B'
B2 R' F2 D' L2 D' B'
B2 R' F2 D' L2 D2 B'
B2 R' F2 D' L2 B' D
B2 R' F2 D' L2 B' D'
B2 R' F2 D' L2 B' D2
B2 R' F2 D' B L2 B'
B2 R' F2 D' B' L2 B'
B2 R' F2 D' B2 L2 B'
B2 R' F2 B D' L2 B'
B2 R' F2 B' D' L2 B'
B2 R' F2 B2 D' L2 B'
U R' F2 D B2 R' B
U R' F2 B2 D R' B
B2 R' B F2 D' L2 B'
B2 R' B' F2 D' L2 B'
B2 R' B2 F2 D' L2 B'
U R' B2 F2 D R' B
B2 R2 U R' F2 B R2
B2 R2 U R' B R2 F2
B2 R2 U R' B F2 R2
B R2 U R' F2 B R'
B R2 U R' B R' F2
B R2 U R' B F2 R'
D R2 U R' B2 R' B'
B R2 U F2 R' B R'
B R2 U F2 B R' B
B R2 U B R' F2 B
D R2 U B R' B R'
B R2 U B R' B F2
B R2 U B F2 R' B
D R2 U B2 R' D B
D R2 U B2 R' D' B
D R2 U B2 R' D2 B
D R2 U B2 R' B D
D R2 U B2 R' B D'
D R2 U B2 R' B D2
D2 R2 U' B2 U2 R' B
D R2 U' D2 L U2 B'
D R2 D2 U' L U2 B'
R' D R2 U B2 R' B'
R' D R2 U' L U2 B
U R2 F2 D B2 R' B
U R2 F2 B2 D R' B
B R2 B U R' F2 B
B R2 B U R' B F2
D R2 B U R' B R'
R' D R2 B2 U R' B'
B R2 B U F2 R' B
D R2 B U B R' B
B' R2 B' U R' F2 B
B' R2 B' U R' B F2
B' R2 B' U F2 R' B
R D R2 U' L F' U2
R D R2 U' F' L U2
F2 R2 B2 R' D' L2 B
F2 R2 B2 R' D' B L2
F2 R2 B2 R' B D' L2
D R2 B2 L U R' B
D R2 B2 L' U R' B
D R2 B2 L2 U R' B
D R2 B2 U R' D B
D R2 B2 U R' D' B
D R2 B2 U R' D2 B
D R2 B2 U R' B D
D R2 B2 U R' B D'
D R2 B2 U R' B D2
U R2 B2 F2 D R' B
R' D B R2 U B R'
R' D B2 R2 U B R
R2 D B2 R2 U R B
R D B2 R2 U R B'
R D B2 R2 U B' R
B2 U F R' D F B2
B2 U F R' D B2 F
B2 U F R' F D B2
B2 U F2 D R' D B
B2 U F2 D R' D' B
B2 U F2 D R' D2 B
B2 U F2 D R' B D
B2 U F2 D R' B D'
B2 U F2 D R' B D2
B U F2 B D R' B
B U B F2 D R' B
U2 D' L2 U L' F U2
F2 U' L2 F2 U R B
D2 U' B2 U2 D' R' B
D2 U' B2 D' U2 R' B
F2 U' F2 U' L F U2
D' U2 L2 U L' F U2
R' D2 U' L F' B2 U2
R' D2 U' L B2 F' U2
R' D2 U' F' L B2 U2
R' D2 U' F' B2 U2 R'
R' D2 U' B2 F' U2 R'
R2 D2 U' L B2 U2 B
F2 U2 L U2 D' L2 B'
F2 U2 L D R2 F U2
F2 U2 L D F R2 U2
F2 U2 L D' U2 L2 B'
F2 U2 L D' F U2 L2
F2 U2 L F U F U
R D2 U' L B2 U2 B'
B2 U2 L' U' R' F2 B'
B2 U2 L' U' R' B' F2
B2 U2 L' U' F2 R' B'
R D2 U' B2 U2 R' B'
U' D2 B2 U2 D' R' B
F2 U2 D L R2 F U2
F2 U2 D L F R2 U2
U' D2 B2 D' U2 R' B
F2 U2 D R2 L F U2
F2 U2 D' L F U2 L
U F R' D F B2 R'
U F R' D B2 R' F
U F R' D B2 F R'
U F R' F D B2 R'
L F U F' L' U F2
B2 D R2 U R' B R2
B' D R2 B' U R' B
F2 D U2 L R2 F U2
F2 D U2 L F R2 U2
U F B2 R' D F B2
U F B2 R' D B2 F
U F B2 R' F D B2
F2 D U2 R2 L F U2
F2 D' L2 U2 L' U2 B'
F2 D' L2 F2 R F2 B
F2 D' L2 F2 R B F2
F2 D' R B2 R' B' L2
F2 D' R2 B2 L2 R' B
F2 D' R2 B2 R' L2 B
F2 D' R2 B2 R' B L2
L2 F2 L R D' L2 B
L2 F2 L R D' B L2
L2 F2 L R B D' L2
L2 F2 L D' L2 R B
L2 F2 L D' R L2 B
L2 F2 L D' R B L2
F2 D' U2 L F U2 L
L2 F2 L' R D' L2 B
L2 F2 L' R D' B L2
L2 F2 L' R B D' L2
L2 F2 L' D' L2 R B
L2 F2 L' D' R L2 B
L2 F2 L' D' R B L2
L2 F2 L2 R D' L2 B
L2 F2 L2 R D' B L2
L2 F2 L2 R B D' L2
L2 F2 L2 D' L2 R B
L2 F2 L2 D' R L2 B
L2 F2 L2 D' R B L2
L2 F2 R L D' L2 B
L2 F2 R L D' B L2
L2 F2 R L B D' L2
L2 F2 R L' D' L2 B
L2 F2 R L' D' B L2
L2 F2 R L' B D' L2
L2 F2 R L2 D' L2 B
L2 F2 R L2 D' B L2
L2 F2 R L2 B D' L2
L2 F2 R U' F2 U B
L2 F2 R D B D2 L2
L2 F2 R D' L' B L'
L2 F2 R D' L2 D B
L2 F2 R D' L2 D' B
L2 F2 R D' L2 D2 B
L2 F2 R D' L2 B D
L2 F2 R D' L2 B D'
L2 F2 R D' L2 B D2
F2 D' F2 L2 F2 R B
L2 F2 R D' B L2 D
L2 F2 R D' B L2 D'
L2 F2 R D' B L2 D2
L2 F2 R D' B' L2 B2
L2 F2 R B L D' L2
L2 F2 R B L' D' L2
L2 F2 R B L2 D' L2
L2 F2 R B U' F2 U
L2 F2 R B D' L2 D
L2 F2 R B D' L2 D'
L2 F2 R B D' L2 D2
L2 F2 R B2 D' B' L2
F2 D' B L2 R B R'
F2 D' B R L2 B R'
F2 D' B R B L2 R'
F2 D' B R B R' L2
U F2 R D B2 R' B
U F2 R B2 D R' B
U F2 R' D B2 R' B
U F2 R' B2 D R' B
F2 D' B2 L2 R B R2
F2 D' B2 R L2 B R2
F2 D' B2 R B L2 R2
F2 D' B2 R B R2 L2
U F2 R2 D B2 R' B
U F2 R2 B2 D R' B
U F2 U2 D' L U2 B'
R' F2 D' B' L2 B' R'
R' F2 D' B2 L2 R' B'
R' F2 D' B2 R' L2 B'
L2 F2 D' L' R B L'
L2 F2 D' L2 R D B
L2 F2 D' L2 R D B
L2 F2 D' L2 R D' B
L2 F2 D' L2 R D2 B
L2 F2 D' L2 R B D
L2 F2 D' L2 R B D'
L2 F2 D' L2 R B D2
L2 F2 D' L2 D R B
L2 F2 D' L2 D' R B
L2 F2 D' L2 D2 R B
L2 F2 D' L2 B R B
L2 F2 D' L2 B' R B
L2 F2 D' L2 B2 R B
L2 F2 D' R L' B L'
L2 F2 D' R L2 D B
L2 F2 D' R L2 D' B
L2 F2 D' R L2 D2 B
L2 F2 D' R L2 B D
L2 F2 D' R L2 B D'
L2 F2 D' R L2 B D2
L2 F2 D' R B L2 D
L2 F2 D' R B L2 D'
L2 F2 D' R B L2 D2
L2 F2 D' R B' L2 B2
B2 D2 R U B R2 F'
U F2 D R' B2 R' B'
L2 F2 D' B L2 R B
L2 F2 D' B R L2 B
L2 F2 D' B R B L2
D F2 D' L2 F2 R B
L2 F2 D' B' L2 R B
L2 F2 D' B' R L2 B
L2 F2 D' B' R B L2
L2 F2 D' B2 L2 R B
L2 F2 D' B2 R L2 B
L2 F2 D' B2 R B L2
U F2 D B R' B R'
U F2 D B2 R' D B
U F2 D B2 R' D' B
U F2 D B2 R' D2 B
U F2 D B2 R' B D
U F2 D B2 R' B D'
U F2 D B2 R' B D2
L2 F2 D2 R D L2 B
L2 F2 D2 R D B L2
U F2 D' U2 L U2 B'
U F2 D' B2 D2 R' B
L2 F2 B R D' L2 B
L2 F2 B R D' B L2
L2 F2 B R B D' L2
R F2 D' B2 R' B' L2
R' F2 B' D' L2 B' R'
L2 F2 B D' L2 R B
L2 F2 B D' R L2 B
L2 F2 B D' R B L2
L2 F2 B' R D' L2 B
R' F2 B2 R' D' L2 B'
L2 F2 B' R D' B L2
L2 F2 B' R B D' L2
R' F2 B2 D' L2 R' B'
R' F2 B2 D' R' L2 B'
L2 F2 B' D' L2 R B
L2 F2 B' D' R L2 B
L2 F2 B' D' R B L2
L2 F2 B2 R D' L2 B
L2 F2 B2 R D' B L2
L2 F2 B2 R B D' L2
L2 F2 B2 D' L2 R B
L2 F2 B2 D' R L2 B
L2 F2 B2 D' R B L2
R2 F2 B2 R' D' L2 B
R2 F2 B2 R' D' B L2
R2 F2 B2 R' B D' L2
U F2 B' D B' R' B
U F2 B2 D R' D B
U F2 B2 D R' D' B
U F2 B2 D R' D2 B
U F2 B2 D R' B D
U F2 B2 D R' B D'
U F2 B2 D R' B D2
R F2 B2 R' D' B' L2
R F2 B2 R' B' D' L2
R F2 B2 D' R' B' L2
L2 B R U F2 B R
L2 B R U B F2 R
R' B R2 U F2 B R'
R' B R2 U B R' F2
R' B R2 U B F2 R'
R2 B R' U F2 B R'
R2 B R' U B R' F2
R2 B R' U B F2 R'
R' B U R2 F2 B R'
R' B U R2 B R' F2
R' B U R2 B F2 R'
D B R2 U R' B R'
D B R2 U B R' B
D B R2 B U R' B
R2 B U R' F2 B R'
R2 B U R' B R' F2
R2 B U R' B F2 R'
R2 B U F2 R' B R'
R2 B U F2 B R' B
R2 B U B R' F2 B
R2 B U B R' B F2
R2 B U B F2 R' B
F2 B R B R' D' L2
F2 B R B D' L2 R'
F2 B R B D' R' L2
L2 B F2 R D' L2 B
L2 B F2 R D' B L2
L2 B F2 R B D' L2
L2 B F2 D' L2 R B
L2 B F2 D' R L2 B
L2 B F2 D' R B L2
L2 B' R U F2 B R
L2 B' R U B F2 R
D B' R2 B' U R' B
R' B' F2 D' L2 B' R'
L2 B' F2 R D' L2 B
L2 B' F2 R D' B L2
L2 B' F2 R B D' L2
L2 B' F2 D' L2 R B
L2 B' F2 D' R L2 B
L2 B' F2 D' R B L2
R2 B2 L U R' F2 B
R2 B2 L U R' B F2
R2 B2 L U F2 R' B
U B' F2 D B' R' B
R2 B2 L' U R' F2 B
R2 B2 L' U R' B F2
R2 B2 L' U F2 R' B
R2 B2 L2 U R' F2 B
R2 B2 L2 U R' B F2
R2 B2 L2 U F2 R' B
L2 B2 R U F2 B R
L2 B2 R U B F2 R
R2 B2 R U R2 F2 B
R2 B2 R U R2 B F2
R' B2 R2 U B R F2
R B2 R U R2 F2 B'
R B2 R U R2 B' F2
R B2 R U F2 R2 B'
R B2 R U F2 B' R2
R B2 R U B' R2 F2
R B2 R U B' F2 R2
R2 B2 R' F2 D' L2 B
R2 B2 R' F2 D' B L2
R2 B2 R' F2 B D' L2
R' B2 U R2 B R F2
R2 B2 R' B F2 D' L2
D B2 R2 U R' B R2
B2 F2 R B R2 D' L2
F2 B2 R B R2 D' L2
R' B2 U' F' U2 F' R'
R B2 R' F2 D' B' L2
R B2 R' F2 B' D' L2
R B2 R' B' F2 D' L2
R2 B2 U R' F2 D B
R2 B2 U R' F2 D' B
R2 B2 U R' F2 D2 B
R2 B2 U R' F2 B D
R2 B2 U R' F2 B D'
R2 B2 U R' F2 B D2
R2 B2 U R' B F2 D
R2 B2 U R' B F2 D'
R2 B2 U R' B F2 D2
B F2 R B R' D' L2
B F2 R B D' L2 R'
B F2 R B D' R' L2
R B2 R2 U R F2 B'
R B2 R2 U R B' F2
R2 B2 U F R' F B
R2 B2 U F R' B F
R B2 R2 U B' R F2
R2 B2 U F2 R' D B
R2 B2 U F2 R' D' B
R2 B2 U F2 R' D2 B
R2 B2 U F2 R' B D
R2 B2 U F2 R' B D'
R2 B2 U F2 R' B D2
U' B2 U2 F2 D' R' B
R2 B2 U' R' F2 L' B
R2 B2 U' R' F2 B L'
R2 B2 U' R' B F2 L'
R B2 U R F2 R2 B'
R B2 U R F2 B' R2
R B2 U R B' R2 F2
R B2 U R B' F2 R2
R B2 U R' F2 D B'
R B2 U R' F2 D' B'
R B2 U R' F2 D2 B'
R B2 U R' F2 B' D
