U R U2 B
R2 U R' F' U2
U R U2 D B
U R U2 D' B
U R U2 D2 B
U R U2 B D
U R U2 B D'
U R U2 B D2
U R D U2 B
U R D' U2 B
U R D2 U2 B
U R F U2 B
U R F' U2 B
U R F2 U2 B
B' R' U R2 U2
B' R' U' D2 L2
B' R' D B2 U'
B' R' D2 U' L2
U R' F' R2 U2
U D R U2 B
D U R U2 B
D' U R U2 B
D2 U R U2 B
U D' R U2 B
U D2 R U2 B
U' F2 L' F2 B'
U' F2 L' B' F2
U F2 U2 L' B'
U D' R U2 D2 B
U D' R U2 B D
U D' R U2 B D'
U D' R U2 B D2
U D' R D U2 B
F2 U' L' B' D R2
U D' R D' U2 B
U D' R D2 U2 B
U D' R F U2 B
U D' R F' U2 B
U D' R F2 U2 B
U D' R' F' R2 U2
U' D' F2 L' F2 B'
U' D' F2 L' B' F2
D2 U' F2 L' F2 B'
D2 U' F2 L' B' F2
D' U' F2 L' F2 B'
D' U' F2 L' B' F2
F2 U' D L' R2 B'
F2 U' D L' B' R2
F2 U' D R2 L' B'
D U' F2 L' F2 B'
D U' F2 L' B' F2
U D' F2 U2 L' B'
R' D2 U' L' B' L'
R2 D2 U R' F' U2
U D2 R U2 D B
U D2 R U2 D' B
U D2 R U2 D2 B
U D2 R U2 B D
U D2 R U2 B D
U D2 R U2 B D'
U D2 R U2 B D2
U D2 R D U2 B
U D2 R D' U2 B
U D2 R D2 U2 B
U D2 R F U2 B
U D2 R F' U2 B
U D2 R F2 U2 B
U D2 R' F' R2 U2
B U2 L U' R U2
B U2 L F2 U L'
U' D2 F2 L' F2 B'
U' D2 F2 L' B' F2
R' D2 B' R' U' L2
U D2 F2 U2 L' B'
B U2 F2 L U L2
U F R' F' R U2
B' D R' U R2 U2
B' D R' U' D2 L2
B' D R' D B2 U'
B' D R' D2 U' L2
F2 D U' L' R2 B'
F2 D U' L' B' R2
F2 D U' R2 L' B'
U2 F' L' F' U L'
U F' R U2 B L
U F' R' F' U2 L'
B' D' R' U R2 U2
B' D' R' U' D2 L2
B' D' R' D B2 U'
B' D' R' D2 U' L2
B2 D' U R F' U2
U' F2 L' F2 D B'
U' F2 L' F2 D' B'
U' F2 L' F2 D2 B'
U' F2 L' F2 B' D
U' F2 L' F2 B' D'
U' F2 L' F2 B' D2
U' F2 L' B' F2 D
U' F2 L' B' F2 D'
U' F2 L' B' F2 D2
U' F2 L2 F2 L B'
U F2 R U2 L' B
U F2 R U2 B L'
U F2 U2 L' D B'
U F2 U2 L' D' B'
U F2 U2 L' D2 B'
U F2 U2 L' B' D
U F2 U2 L' B' D'
U F2 U2 L' B' D2
U F2 U2 D L' B'
U F2 U2 D' L' B'
U F2 U2 D2 L' B'
U F2 U2 B L' B'
U F2 U2 B' L' B'
U F2 U2 B2 L' B'
U' F2 B L' F2 B'
U' F2 B L' B' F2
B' D2 R' U R2 U2
B' D2 R' U' D2 L2
U F2 D U2 L' B'
B' D2 R' D B2 U'
B' D2 R' D2 U' L2
U' F2 B' L' F2 B'
U' F2 B' L' B' F2
U F2 D' U2 L' B'
U' F2 B2 L' F2 B'
U' F2 B2 L' B' F2
U F2 D2 U2 L' B'
U B R B' U2 B2
U' B U2 R U2 B
R' B D B2 R' U'
R B U2 L U L'
U' B F2 L' F2 B'
U' B F2 L' B' F2
U' B F2 L' B' F2
R' B' R' U R' U2
R' B' R' B2 U' L
D2 B' R' U R2 U2
D2 B' R' U' D2 L2
D2 B' R' D B2 U'
D2 B' R' D B2 U'
D2 B' R' D2 U' L2
D' B' R' U R2 U2
D' B' R' U' D2 L2
D' B' R' D B2 U'
D' B' R' D B2 U'
D' B' R' D2 U' L2
R2 B' R' B' U' L
D B' R' U R2 U2
D B' R' U' D2 L2
D B' R' D B2 U'
D B' R' D B2 U'
D B' R' D2 U' L2
R B' R' U R U2
U' B' U2 R U2 B
R' B' D R' B2 U'
R' B' D2 R' U' L2
R2 B' D' R' B U'
U' B' F2 L' F2 B'
U' B' F2 L' B' F2
U B2 R B2 U2 B'
U' B2 U2 R U2 B
R2 B2 U' D L B'
R2 B2 D U' L B'
U' B2 F2 L' F2 B'
U' B2 F2 L' B' F2
U L R D L' U2 B
U' L R F U2 F' R'
U L R D' L' U2 B
U L R D2 L' U2 B
U L R F2 U2 B R
B' L R' D L' B2 U'
B' L R' D B2 L' U'
B' L R' D2 L' U' L'
U' L R' D2 L2 R B'
U' L R' D2 L2 B' R
U' L R' D2 R L2 B'
U2 L U F2 L' F2 B'
U2 L U F2 L' B' F2
U2 L U' R U2 D B
U2 L U' R U2 D' B
U2 L U' R U2 D2 B
U2 L U' R U2 B D
U2 L U' R U2 B D'
U2 L U' R U2 B D2
U2 L U' R D U2 B
U2 L U' R D' U2 B
U2 L U' R D2 U2 B
U2 L U' R F U2 B
U2 L U' R F' U2 B
U2 L U' R F2 U2 B
U2 L U' R' F' R2 U2
U2 L U' D R U2 B
U2 L U' D' R U2 B
U2 L U' D2 R U2 B
U2 L U' F2 U2 L' B'
U' L U2 R D F U2
U' L U2 R D' F U2
U' L U2 R D2 F U2
U' L U2 R F U2 D
U' L U2 R F U2 D'
U' L U2 R F U2 D2
U' L U2 R F D U2
U' L U2 R F D' U2
U' L U2 R F D2 U2
U' L U2 R' F R2 U2
U' L U2 R2 F R' U2
U' L U2 D R F U2
R' L D2 L' U' L' B'
U' L U2 D' R F U2
U' L U2 D2 R F U2
U L D L' R U2 B
U L D R L' U2 B
U2 L D U' R U2 B
U' L D U2 R F U2
U L D' L' R U2 B
U L D' R L' U2 B
U2 L D' U' R U2 B
U' L D' U2 R F U2
U L D2 L' R U2 B
U L D2 R L' U2 B
U2 L D2 U' R U2 B
U' L D2 U2 R F U2
U2 L F' L' F' U L'
U' L F2 L F2 L2 B'
U L F2 U2 L' R B'
U L F2 U2 L' B' R
U L F2 U2 R L' B'
U' L B U2 R F U2
U' L B' U2 R F U2
U' L B2 U2 R F U2
U L' R U2 B2 R' B'
U L' R D L U2 B
U L' R D' L U2 B
U L' R D2 L U2 B
U L' R F L U2 B
U L' R F' L U2 B
U L' R F2 L U2 B
B' L' R' D L B2 U'
B' L' R' D2 L U' L
U' L' R' D2 R B' L2
U' L' R' D2 B' L2 R
U' L' R' D2 B' R L2
U' L' R' B' D2 L2 R
U' L' R' B' D2 R L2
U L' R' F' L R2 U2
U L' R' F' R2 L U2
U' L' R2 B2 L B R2
L R' D2 L' U' L' B'
U2 L' U F2 L' F2 B'
U2 L' U F2 L' B' F2
U2 L' U' R U2 D B
U2 L' U' R U2 D' B
U2 L' U' R U2 D2 B
U2 L' U' R U2 B D
U2 L' U' R U2 B D'
U2 L' U' R U2 B D2
U2 L' U' R D U2 B
U2 L' U' R D' U2 B
U2 L' U' R D2 U2 B
U2 L' U' R F U2 B
U2 L' U' R F' U2 B
U2 L' U' R F2 U2 B
U2 L' U' R' F' R2 U2
U2 L' U' D R U2 B
U2 L' U' D' R U2 B
U2 L' U' D2 R U2 B
U' L' U' F2 U B' L'
U2 L' U' F2 U2 L' B'
U' L' U2 R U2 D B'
U' L' U2 R U2 D' B'
U' L' U2 R U2 D2 B'
U' L' U2 R U2 B' D
U' L' U2 R U2 B' D'
U' L' U2 R U2 B' D2
U' L' U2 R D U2 B'
U' L' U2 R D' U2 B'
U' L' U2 R D2 U2 B'
U' L' U2 R F U2 B'
U' L' U2 R F' U2 B'
U' L' U2 R F2 U2 B'
U' L' U2 D R U2 B'
U' L' U2 D' R U2 B'
U' L' U2 D2 R U2 B'
U' L' U2 F2 U2 B' L'
U L' D L R U2 B
U2 L' D U' R U2 B
U' L' D U2 R U2 B'
U L' D R L U2 B
U' L' D F2 B' L' F2
U' L' D B' U2 R U2
U' L' D B' F2 L' F2
U L' D' L R U2 B
U' L' D' U2 R U2 B'
U2 L' D' U' R U2 B
U L' D' R L U2 B
U' L' D' F2 B' L' F2
U' L' D' B' U2 R U2
U' L' D' B' F2 L' F2
U L' D2 L R U2 B
U' L' D2 U2 R U2 B'
U2 L' D2 U' R U2 B
U L' D2 R L U2 B
U' L' D2 F2 B' L' F2
U' L' D2 B' U2 R U2
U' L' D2 B' F2 L' F2
U' L' F D2 F' B' L
U' L' F D2 B' L F'
U' L' F D2 B' F' L
U2 L' F' L' F' U L'
F2 L' F2 L U' L' B'
U' L' F2 B L' F2 B2
U' L' F2 B L' B2 F2
U' L' F2 B' L F2 L2
U' L' F2 B' L' F2 D
U' L' F2 B' L' F2 D'
U' L' F2 B' L' F2 D2
U' L' F2 B' L2 F2 L
U' L' F2 B2 L' F2 B
U' L' F2 B2 L' B F2
U' L' B R2 B2 L R2
U' L' B R2 B2 R2 L
U' L' B U2 R U2 B2
U' L' B F2 L' F2 B2
U' L' B F2 L' B2 F2
U' L' B' L U2 R U2
U' L' B' L F2 L' F2
U' L' B' L' U2 R U2
U' L' B' L' F2 L' F2
U' L' B' L2 U2 R U2
U' L' B' L2 F2 L' F2
U' L' B' R' D2 L2 R
U' L' B' R' D2 R L2
U' L' B' U' F2 U L'
U' L' B' U2 R U2 D
U' L' B' U2 R U2 D'
U' L' B' U2 R U2 D2
U' L' B' U2 R D U2
U' L' B' U2 R D' U2
U' L' B' U2 R D2 U2
U' L' B' U2 D R U2
U' L' B' U2 D' R U2
U' L' B' U2 D2 R U2
U' L' B' D U2 R U2
U' L' B' D F2 L' F2
U' L' B' D' U2 R U2
U' L' B' D' F2 L' F2
U' L' B' D2 U2 R U2
U' L' B' D2 F2 L' F2
U' L' B' F2 L F2 L2
U' L' B' F2 L' F2 D
U' L' B' F2 L' F2 D'
U' L' B' F2 L' F2 D2
U' L' B' F2 L2 F2 L
U' L' B2 F2 L' F2 B
U' L' B2 F2 L' B F2
U L2 R U2 D2 B R2
U L2 R U2 B D2 R2
U L2 R D2 U2 B R2
U L2 R F L2 U2 B
U L2 R F' L2 U2 B
B' L2 R' D B2 U' F2
U L2 R F2 L2 U2 B
U L2 R' F' L2 R2 U2
U L2 R' F' R2 L2 U2
U' L2 R2 B2 L R2 B'
U' L2 R2 B2 L B' R2
U' L2 R2 B2 R2 L B'
U2 L2 U F2 L' F2 B'
U2 L2 U F2 L' B' F2
D2 L2 U' D F2 L' B'
D' L2 U' D F2 L' B'
U2 L2 U' R U2 D B
U2 L2 U' R U2 D' B
U2 L2 U' R U2 D2 B
U2 L2 U' R U2 B D
U2 L2 U' R U2 B D'
U2 L2 U' R U2 B D2
U2 L2 U' R D U2 B
U2 L2 U' R D' U2 B
U2 L2 U' R D2 U2 B
U2 L2 U' R F U2 B
U2 L2 U' R F' U2 B
U2 L2 U' R F2 U2 B
U2 L2 U' R' F' R2 U2
U2 L2 U' D R U2 B
U2 L2 U' D' R U2 B
U2 L2 U' D2 R U2 B
D L2 U' D F2 L' B'
U2 L2 U' F2 U2 L' B'
U' L2 U2 D2 R F' U2
D2 L2 D U' F2 L' B'
D' L2 D U' F2 L' B'
U2 L2 D U' R U2 B
D L2 D U' F2 L' B'
U2 L2 D' U' R U2 B
U' L2 D2 U2 R F' U2
U2 L2 D2 U' R U2 B
U L2 D2 R U2 B R
R2 U L' R' F' L U2
R2 U L2 R' F' L2 U2
U2 L2 F' L' F' U L'
L' U R U' L U' B
L2 U R U' L2 U' B
R' U R F' U2 B L
U' L2 F2 L F2 B' L2
U' L2 F2 L B' L2 F2
U' L2 F2 L B' F2 L2
R' U R F2 U2 L' B
R' U R F2 U2 B L'
L2 U R U2 D F2 B
L2 U R U2 D B F2
L2 U R U2 B D F2
L2 U R D U2 F2 B
L2 U R D U2 B F2
R2 U R U2 D2 L2 B
R2 U R U2 D2 B L2
L U R U' L' U' B
R2 U R U2 B D2 L2
L2 U R D' B2 U2 B'
F2 L2 F2 L2 U' L' B'
R2 U R D2 U2 L2 B
R2 U R D2 U2 B L2
R2 U R F R2 F' U2
R2 U R F' R2 F' U2
R2 U R F2 R2 F' U2
R' U R' D F' R' U2
R' U R' D' F' R' U2
R' U R' D2 F' R' U2
R' U R' F R' F2 U2
R2 U R' L' F' L U2
R' U R' F' R' U2 D
R' U R' F' R' U2 D'
R' U R' F' R' U2 D2
R' U R' F' R' D U2
R' U R' F' R' D' U2
R' U R' F' R' D2 U2
R' U R' F' D R' U2
R' U R' F' D' R' U2
R' U R' F' D2 R' U2
R2 U R' L2 F' L2 U2
R' U R' F2 R' F U2
R2 U R' U' R2 U' B
R2 U R' U2 R2 B R2
R2 U R' D F' U2 D
R2 U R' D F' U2 D'
R2 U R' D F' U2 D2
R2 U R' D F' D U2
R2 U R' D F' D' U2
R2 U R' D F' D2 U2
R2 U R' D' F' U2 D
R2 U R' D' F' U2 D'
R2 U R' D' F' U2 D2
R2 U R' D' F' D U2
R2 U R' D' F' D' U2
R2 U R' D' F' D2 U2
R2 U R' D2 F' U2 D
R2 U R' D2 F' U2 D'
R2 U R' D2 F' U2 D2
R2 U R' D2 F' D U2
R2 U R' D2 F' D' U2
R2 U R' D2 F' D2 U2
R2 U R' F U2 D2 B2
R2 U R' F D2 U2 B2
R' U R2 U' R' U' B
R' U R2 U2 R' B R
R2 U R' F2 D F U2
R2 U R' F2 D' F U2
R2 U R' F2 D2 F U2
R U R' F' U F U
L2 U D R U2 F2 B
L2 U D R U2 B F2
R2 U D R' D F' U2
R2 U D R' D' F' U2
R2 U D R' D2 F' U2
R2 U D R' F' U2 D
R2 U D R' F' U2 D'
R2 U D R' F' U2 D2
R2 U D R' F' D U2
R2 U D R' F' D' U2
R2 U D R' F' D2 U2
R2 U D F R' F' U2
R2 U D F' R' F' U2
R2 U D F2 R' F' U2
L2 U D' R B2 U2 B'
R2 U D' R' D F' U2
R2 U D' R' D' F' U2
R2 U D' R' D2 F' U2
R2 U D' R' F' U2 D
R2 U D' R' F' U2 D'
R2 U D' R' F' U2 D2
R2 U D' R' F' D U2
R2 U D' R' F' D' U2
R2 U D' R' F' D2 U2
R2 U D' F R' F' U2
R' U D2 R U2 L2 B
R' U D2 R U2 B L2
R2 U D' F' R' F' U2
R2 U D' F2 R' F' U2
R' U D2 R' F' U2 L2
L2 U D' B2 R U2 B
U' R L F U2 F' R'
R2 U D2 R' D F' U2
R2 U D2 R' D' F' U2
R2 U D2 R' D2 F' U2
R2 U D2 R' F' U2 D
R2 U D2 R' F' U2 D'
R2 U D2 R' F' U2 D2
R2 U D2 R' F' D U2
R2 U D2 R' F' D' U2
R2 U D2 R' F' D2 U2
U R L D L' U2 B
U R L D' L' U2 B
R2 U D2 F R' F' U2
U R L D2 L' U2 B
R2 U D2 F' R' F' U2
R' U F R' F' R' U2
R2 U D2 F2 R' F' U2
U R L F2 U2 B R
R2 U F R' D F' U2
R2 U F R' D' F' U2
R2 U F R' D2 F' U2
R2 U F R' F' U2 D
R2 U F R' F' U2 D'
R2 U F R' F' U2 D2
R2 U F R' F' D U2
R2 U F R' F' D' U2
R2 U F R' F' D2 U2
U R L' U2 B2 R' B'
U R L' D L U2 B
U R L' D' L U2 B
U R L' D2 L U2 B
U R L' F L U2 B
U R L' F' L U2 B
R2 U F D R' F' U2
U R L' F2 L U2 B
R2 U F D' R' F' U2
R U F U F' L' U
R' U F' R' F' R' U2
R2 U F D2 R' F' U2
U R L2 U2 D2 B R2
U R L2 U2 B D2 R2
R2 U F' R' D F' U2
R2 U F' R' D' F' U2
R2 U F' R' D2 F' U2
R2 U F' R' F' U2 D
R2 U F' R' F' U2 D'
R2 U F' R' F' U2 D2
R2 U F' R' F' D U2
R2 U F' R' F' D' U2
R2 U F' R' F' D2 U2
U R L2 D2 U2 B R2
U R L2 F L2 U2 B
U R L2 F' L2 U2 B
U R L2 F2 L2 U2 B
R2 U F' D R' F' U2
R2 U F' D' R' F' U2
R' U F2 R' F' R' U2
R2 U F' D2 R' F' U2
U R U L U D B
U R U L U D' B
U R U L U D2 B
U R U L U B D
U R U L U B D'
U R U L U B D2
U R U L D U B
U R U L D' U B
U R U L D2 U B
U R U L' U D B
U R U L' U D' B
U R U L' U D2 B
U R U L' U B D
U R U L' U B D'
U R U L' U B D2
U R U L' D U B
U R U L' D' U B
U R U L' D2 U B
U R U L2 U D B
U R U L2 U D' B
U R U L2 U D2 B
U R U L2 U B D
U R U L2 U B D'
U R U L2 U B D2
U R U L2 D U B
U R U L2 D' U B
U R U L2 D2 U B
U R U D L U B
U R U D L' U B
U R U D L2 U B
U R U D' L U B
U R U D' L' U B
U R U D' L2 U B
R2 U F2 R' D F' U2
R2 U F2 R' D' F' U2
U R U D2 L U B
R2 U F2 R' D2 F' U2
U R U D2 L' U B
R2 U F2 R' F' U2 D
R2 U F2 R' F' U2 D'
R2 U F2 R' F' U2 D2
R2 U F2 R' F' D U2
R2 U F2 R' F' D' U2
U R U D2 L2 U B
R2 U F2 R' F' D2 U2
F2 R U' L' D R2 B'
F2 R U' L' D B' R2
F2 R U' L' B' D R2
B' R U' D B2 D L2
R2 U F2 D R' F' U2
F2 R U' D L' R2 B'
F2 R U' D L' B' R2
F2 R U' D R2 L' B'
R2 U F2 D' R' F' U2
R2 U F2 D2 R' F' U2
D2 R U2 L U L' B'
D' R U2 L U L' B'
B' R U' B2 D L2 B2
B' R U' B2 D B2 L2
U R U' R2 U F' U2
D R U2 L U L' B'
B R U2 L U L' D
B R U2 L U L' D'
B R U2 L U L' D2
B R U2 L U D L'
B R U2 L U D' L'
B R U2 L U D2 L'
B R U2 L D U L'
B R U2 L D' U L'
B R U2 L D2 U L'
D2 R U2 F' L' U L
B' R U2 D2 L2 U L2
D' R U2 F' L' U L
U R U2 L D L' B
U R U2 L D B L'
U R U2 L D' L' B
U R U2 L D' B L'
U R U2 L D2 L' B
U R U2 L D2 B L'
U R U2 L B L' D
U R U2 L B L' D'
U R U2 L B L' D2
U R U2 L B D L'
U R U2 L B D' L'
U R U2 L B D2 L'
U R U2 L B' L' B2
U R U2 L' D L B
U R U2 L' D' L B
U R U2 L' D2 L B
B R U2 D L U L'
B R U2 D' L U L'
U R U2 L2 B L2 D
U R U2 L2 B L2 D'
U R U2 L2 B L2 D2
U R U2 L2 B' L2 B2
B R U2 D2 L U L'
D R U2 F' L' U L
B R U2 F L U L'
U R U2 R' D R B
U R U2 R' D' R B
U R U2 R' D2 R B
U R U2 R' B R B
U R U2 R' B' R B
U R U2 R' B2 R B
B R U2 F' L U L'
U R U2 R2 B R2 B
U R U2 R2 B' R2 B
U R U2 R2 B2 R2 B
B R U2 F2 L U L'
U R U2 D L B L'
U R U2 D L2 B L2
B' R D R U' B2 L
U R U2 D B2 D B'
U R U2 D B2 D' B'
U R U2 D B2 D2 B'
U R U2 D' L B L'
U R U2 D' L2 B L2
U R U2 D' B2 D B'
U R U2 D' B2 D' B'
U R U2 D' B2 D2 B'
U R U2 D2 L B L'
U R U2 D2 L2 B L2
U R U2 D2 B2 D B'
U R U2 D2 B2 D' B'
U R U2 D2 B2 D2 B'
U R U2 F D F' B
U R U2 F D B F'
U R U2 F D' F' B
U R U2 F D' B F'
U R U2 F D2 F' B
U R U2 F D2 B F'
U R U2 F B D F'
U R U2 F B D' F'
U R U2 F B D2 F'
U R U2 F' D F B
U R U2 F' D B F
U R U2 F' D' F B
U R U2 F' D' B F
U R U2 F' D2 F B
U R U2 F' D2 B F
U R U2 F' B D F
U R U2 F' B D' F
U R U2 F' B D2 F
B' R D U' B2 D L2
U R U2 B L D L'
U R U2 B L D' L'
U R U2 B L D2 L'
U R U2 B L' D L
U R U2 B L' D' L
U R U2 B L' D2 L
U R U2 B R D R'
U R U2 B R D' R'
U R U2 B R D2 R'
U R U2 B R' D R
U R U2 B R' D' R
U R U2 B R' D2 R
U R U2 B F D F'
U R U2 B F D' F'
U R U2 B F D2 F'
U R U2 B F' D F
U R U2 B F' D' F
U R U2 B F' D2 F
U R U2 B' L B2 L'
U R U2 B' L2 B2 L2
U R U2 B' R' B2 R
U R U2 B' R2 B2 R2
U R U2 B2 R' B' R
F2 R D U' L' R2 B'
U R U2 B2 R2 B' R2
F2 R D U' L' B' R2
F2 R D U' R2 L' B'
U R U2 B2 D B' D
U R U2 B2 D B' D'
U R U2 B2 D B' D2
U R U2 B2 D' B' D
U R U2 B2 D' B' D'
U R U2 B2 D' B' D2
U R U2 B2 D2 B' D
U R U2 B2 D2 B' D'
U R U2 B2 D2 B' D2
B R D U2 L U L'
U R D R2 F' R2 U2
U R D U L U B
U R D U L' U B
U R D U L2 U B
U R D U2 L B L'
U R D U2 L2 B L2
U R D U2 B2 D B'
U R D U2 B2 D' B'
U R D U2 B2 D2 B'
U R D F U2 D B
U R D F U2 D' B
U R D F U2 D2 B
U R D F U2 B D
U R D F U2 B D'
U R D F U2 B D2
U R D F D U2 B
U R D F D' U2 B
U R D F D2 U2 B
U R D F' U2 D B
U R D F' U2 D' B
U R D F' U2 D2 B
U R D F' U2 B D
U R D F' U2 B D'
U R D F' U2 B D2
U R D F' D U2 B
U R D F' D' U2 B
U R D F' D2 U2 B
U R D F2 U2 D B
U R D F2 U2 D' B
U R D F2 U2 D2 B
U R D F2 U2 B D
U R D F2 U2 B D'
U R D F2 U2 B D2
U R D F2 D U2 B
U R D F2 D' U2 B
U R D F2 D2 U2 B
R' U' L U2 R2 F U2
R' U' L U2 F R2 U2
R' U' L D2 L2 D B'
R' U' L D2 L2 D' B'
R' U' L D2 L2 D2 B'
R' U' L D2 L2 B' D
R' U' L D2 L2 B' D'
R' U' L D2 L2 B' D2
R' U' L D2 B L2 B'
R' U' L D2 B' L2 B'
R' U' L D2 B2 L2 B'
B R D' U2 L U L'
U R D' R2 F' R2 U2
U R D' U L U B
U R D' U L' U B
U R D' U L2 U B
R' U' L B D2 L2 B'
R' U' L B' D2 L2 B'
U R D' U2 L B L'
U R D' U2 L2 B L2
R2 U' L U2 R' F U2
R' U' L B2 D2 L2 B'
U R D' U2 B2 D B'
U R D' U2 B2 D' B'
