L' U2 L2 D F2
L' R U R' U L2
R' L' U R U L2
L' R' U R U L2
R2 L' U R2 U L2
R L' U R' U L2
R2 L' U2 L2 D' F2
B2 L' R' U R U
D' L' U2 L2 D F2
D2 L' U2 L2 D F2
U' L' U2 L2 D' B2
D L' U2 L2 D F2
L' R2 U R2 U L2
L' R2 U2 L2 D' F2
U L2 D' B2 L' R'
U L2 D' B2 R' L'
L' U D F2 U F2
L' U F U L2 F'
L' U F U F' L2
L' U F' U F L2
L' U F2 U L2 F2
L' U F2 U F2 L2
B2 R' L' U R U
L' U' B U' L2 F
L' U2 L2 U L2 U'
L' U2 L2 D F2 D
L' U2 L2 D F2 D'
L' U2 L2 D F2 D2
L' U2 L2 F D F2
L' U2 L2 F' D F2
L' U2 L2 F2 D F2
L' U2 F L2 D F2
L' U2 F' L2 D F2
R2 U2 D' F2 L R
R2 U2 D' F2 R L
L' U2 F2 L2 D F2
R2 D L' B2 U2 L2
L' D U F2 U F2
F2 U L R D2 B2
F2 U L D2 R B2
F2 U L D2 B2 R
F2 U R L D2 B2
F2 U R D2 L B2
R2 D B2 L' R' U2
R2 D B2 R' L' U2
F2 U D2 L R B2
F2 U D2 L B2 R
F2 U D2 R L B2
R2 D' L' U2 L2 F2
R2 D' L' U2 F2 L2
R2 D' U2 F2 L R
R2 D' U2 F2 R L
F' U' F L' U2 L2
L' D2 R2 U R2 U
L' D2 R2 U2 D' F2
L' D2 R2 D B2 U2
L' D2 R2 D' U2 F2
F2 U' F2 L' U2 L2
F2 D' L2 U L' R
F2 D' L2 U R L'
U F2 U L R F2
U F2 U R L F2
U F2 U R F2 L
F2 D2 U L R B2
F2 D2 U L B2 R
F2 D2 U R L B2
L' B U2 L2 D F2
L' B' U2 L2 D F2
L' B2 U2 L2 D F2
B2 L' D2 R' U R U
R2 L' B' U R2 U L2
D L' D2 R2 U R2 U
D L' D2 R2 U2 D' F2
D L' D2 R2 D B2 U2
D L' D2 R2 D' U2 F2
R2 L' B' U2 L2 D' F2
R' L' B2 U R U L2
L' R' B2 U R U L2
R2 L' B2 U R2 U L2
U' L' F U2 L2 D' B2
R2 L' B2 U2 L2 D' F2
R L' B2 U' L U' L
L' R2 U R2 U L2 D
L' R2 U R2 U L2 D'
L' R2 U R2 U L2 D2
L' R2 U R2 D F2 U
L' R2 U R2 F U L2
L' R2 U R2 F' U L2
L' R2 U R2 F2 U L2
L' R2 U F R2 U L2
L' R2 U F' R2 U L2
L' R2 U F2 R2 U L2
U' L' F' U2 L2 D' B2
L' R2 U' D' B2 U' F2
U' L' F2 U2 L2 D' B2
L' R2 U2 L D' L F2
L' R2 U2 L D' F2 L
L' R2 U2 L' D' L' F2
L' R2 U2 L2 U' R2 U
L' R2 U2 L2 D' F2 D
L' R2 U2 L2 D' F2 D'
L' R2 U2 L2 D' F2 D2
L' R2 U2 L2 F D' F2
L' R2 U2 L2 F' D' F2
L' R2 U2 L2 F2 D' F2
L' R2 U2 D' F2 D L2
L' R2 U2 F L2 D' F2
L' R2 U2 F' L2 D' F2
D' L' B U2 L2 D F2
D2 L' B U2 L2 D F2
L' R2 U2 F2 L2 D' F2
B L' B R' U R U
D L' B U2 L2 D F2
L2 R2 D L B2 U2 L2
R2 L2 D L B2 U2 L2
B' L' B' R' U R U
D2 L' B' U2 L2 D F2
D' L' B' U2 L2 D F2
L' R2 D B2 U F2 U
L' R2 D B2 U2 D' L2
L' R2 D B2 D R2 U2
L' R2 D B2 D' U2 L2
D L' B' U2 L2 D F2
L2 R2 D B2 U2 L' R'
L2 R2 D B2 U2 R' L'
R2 L2 D B2 U2 L' R'
R2 L2 D B2 U2 R' L'
L2 R2 D' L U2 L2 F2
L2 R2 D' L U2 F2 L2
R2 L2 D' L U2 L2 F2
R2 L2 D' L U2 F2 L2
L' R2 D' U' B2 U' F2
L' R2 D' U2 F2 D L2
D2 L' B2 U2 L2 D F2
D' L' B2 U2 L2 D F2
D L' B2 U2 L2 D F2
L' R2 D2 R2 U' L2 U'
L' R2 D2 R2 U2 D F2
L' R2 D2 R2 D U2 F2
L' R2 D2 R2 D' B2 U2
U L2 R D' B2 L' R'
U L2 R D' B2 R' L'
U L2 R' D' B2 L' R'
U L2 R' D' B2 R' L'
U L2 R2 D' B2 L' R'
U L2 R2 D' B2 R' L'
F2 L2 U L' R D2 B2
F2 L2 U L' D2 R B2
F2 L2 U L' D2 B2 R
F2 L2 U R L' D2 B2
F2 L2 U R D2 L' B2
F2 L2 U R D2 B2 L'
F2 L2 U D2 L' R B2
F2 L2 U D2 L' B2 R
F2 L2 U D2 R L' B2
F2 L2 U D2 R B2 L'
F2 L2 U D2 B2 L' R
F2 L2 U D2 B2 R L'
L' R2 B U R2 U L2
F2 L2 U' F2 L' R U2
F2 L2 U' F2 R L' U2
L' R2 B U2 L2 D' F2
L' R2 B' U R2 U L2
L' R2 B' U2 L2 D' F2
U2 L2 D L' F2 D2 R2
U2 L2 D L2 F2 L R
U2 L2 D L2 F2 R L
U L2 D L' D2 R2 B2
U L2 D L' D2 B2 R2
L' R2 B2 U R2 U L2
L' R2 B2 U2 L2 D' F2
U2 L2 D' L' D2 R2 F2
U2 L2 D' L' D2 F2 R2
F2 L2 D' L2 U L R
F2 L2 D' L2 U R L
U L2 D' L' B2 D2 R2
U L2 D' R B2 L' R'
U L2 D' R B2 R' L'
U L2 D' R' B2 L' R'
U L2 D' R' B2 R' L'
U L2 D' R2 B2 L' R'
U L2 D' R2 B2 R' L'
U L2 D' B L' B R'
U L2 D' B2 L' R' D
U L2 D' B2 L' R' D'
U L2 D' B2 L' R' D2
U L2 D' B2 L' D R'
U L2 D' B2 L' D' R'
U L2 D' B2 L' D2 R'
U L2 D' B2 R' L' D
U L2 D' B2 R' L' D'
U L2 D' B2 R' L' D2
U L2 D' B2 R' D L'
U L2 D' B2 R' D' L'
U L2 D' B2 R' D2 L'
F2 L2 D2 U L' R B2
F2 L2 D2 U L' B2 R
F2 L2 D2 U R L' B2
F2 L2 D2 U R B2 L'
U L2 D' B2 D L' R'
U L2 D' B2 D R' L'
U L2 D' B2 D' L' R'
U L2 D' B2 D' R' L'
U L2 D' B2 D2 L' R'
U L2 D' B2 D2 R' L'
F2 L2 D2 U B2 L' R
F2 L2 D2 U B2 R L'
L' U L2 D' B2 D' R2
L' U L2 B2 D' R2 B2
L' U L2 B2 D' B2 R2
R' U R U L D2 R2
L' U R U L2 D F2
R' U R U' L' U2 L2
L' U R D F2 U F2
L' U R F U L2 F'
L' U R F U F' L2
L' U R F' U F L2
R' U R F2 U L R
R' U R F2 U R L
L' U R F2 U L2 F2
L' U R F2 U F2 L2
L' U R' U L2 D F2
L' U R' D F2 U F2
L' U R' F U L2 F'
L' U R' F U F' L2
L' U R' F' U F L2
L' U R' F2 U L2 F2
L' U R' F2 U F2 L2
R U R' U L D2 R2
R U R' U' L' U2 L2
L' U R2 U L2 D F2
L' U R2 D F2 U F2
R U R' F2 U L R
R U R' F2 U R L
L' U R2 F U L2 F'
L' U R2 F U F' L2
L' U R2 F' U F L2
R2 U R2 U L D2 R2
L' U R2 F2 U L2 F2
L' U R2 F2 U F2 L2
R2 U R2 U' L' U2 L2
L' U D R F2 U F2
R2 U R2 F2 U L R
R2 U R2 F2 U R L
L' U D R' F2 U F2
L' U D R2 F2 U F2
L' U D F2 R U F2
L' U D F2 R' U F2
L' U D F2 R2 U F2
L' U D F2 U F2 D
L' U D F2 U F2 D'
L' U D F2 U F2 D2
L' U D F2 D R2 U
U L2 B2 R' D' L' B2
U L2 B2 R' D' B2 L'
U L2 B2 D' L' R' B2
U L2 B2 D' R' L' B2
U L2 B2 D' R' B2 L'
D2 R L' U R' U L2
D' R L' U R' U L2
B' R L' U R' F' U
U' R L' U' R' U' L2
D R L' U R' U L2
L' U F U L F' L
L' U F U L2 D F'
L' U F U L2 D' F'
L' U F U L2 D2 F'
L' U F U L2 F' D
L' U F U L2 F' D'
L' U F U L2 F' D2
L' U F U F L2 F2
L' U F U F' L2 D
L' U F U F' L2 D'
L' U F U F' L2 D2
L' U F D F2 U F
L' U F' R U F L2
L' U F' R' U F L2
L' U F' R2 U F L2
L' U F' U F L2 D
L' U F' U F L2 D'
L' U F' U F L2 D2
L' U F' U F' L2 F2
L' U F' U F2 L2 F'
L' U F' D F2 U F'
U R L2 D' B2 L' R'
U R L2 D' B2 R' L'
L' U F2 R U L2 F2
L' U F2 R U F2 L2
L' U F2 R' U L2 F2
L' U F2 R' U F2 L2
L' U F2 R2 U L2 F2
L' U F2 R2 U F2 L2
L' U F2 U L F2 L
L' U F2 U L2 F2 D
L' U F2 U L2 F2 D'
L' U F2 U L2 F2 D2
L' U F2 U F' L2 F'
L' U F2 U F2 L2 D
L' U F2 U F2 L2 D'
L' U F2 U F2 L2 D2
L' U F2 D R2 F2 U
L' U F2 D F2 R2 U
R2 U F2 R2 U L R'
R2 U F2 R2 U R' L
R U F2 R' U L R2
R U F2 R' U R2 L
L' U B2 L2 D' R2 B2
L' U B2 L2 D' B2 R2
L2 U' L U2 L2 D' B2
U R F2 U L R F2
U R F2 U R L F2
U R F2 U R F2 L
L' U' D' B2 U B2 U2
L' U' D' B2 U' D2 F2
L' U' D' B2 D L2 U'
L' U' D' B2 D2 U' F2
D2 R' L' U R U L2
D' R' L' U R U L2
U' R' L' U' R U' L2
B2 R' L' U R U D
B2 R' L' U R U D'
B2 R' L' U R U D2
B2 R' L' U R D U
B2 R' L' U R D' U
B2 R' L' U R D2 U
B2 R' L' U D R U
B2 R' L' U D' R U
B2 R' L' U D2 R U
B2 R' L' D U R U
D R' L' U R U L2
B2 R' L' D' U R U
B2 R' L' D2 U R U
B2 R' L' B U R U
B2 R' L' B' U R U
B2 R' L' B2 U R U
R' U' F2 L' U' L2 R
R' U' F2 L' U' R L2
U R' L2 D' B2 L' R'
U R' L2 D' B2 R' L'
B2 R' U R U' L' U2
L' U' B L' U' L' F
L' U' B U B' U2 L2
L' U' B U' L2 D F
L' U' B U' L2 D' F
L' U' B U' L2 D2 F
L' U' B U' L2 F D
L' U' B U' L2 F D'
L' U' B U' L2 F D2
B2 R' U' F2 L' U' R
L' U' B U' F L2 F
L' U' B U' F' L2 F
L' U' B U' F2 L2 F
B2 R' U2 R' D' F2 R
L' U' B' U B U2 L2
B2 R' D L' U R U
L' U' B2 U B2 U2 L2
L' U' B2 U' L2 D2 F2
B2 R' D' L' U R U
L' U2 L U L' U' L2
L' U2 L D L D F2
L' U2 L D' L D F2
L' U2 L D2 L D F2
B2 R' D2 L' U R U
R2 U2 L D' F2 D' R2
R2 U2 L D2 R2 D F2
L' U2 L' U L U' L2
L' U2 L' D L' D F2
L' U2 L' D' L' D F2
L' U2 L' D2 L' D F2
L' U2 L2 R D R' F2
L' U2 L2 R D F2 R'
L' U2 L2 R' D R F2
L' U2 L2 U L2 U' D
L' U2 L2 U L2 U' D'
L' U2 L2 U L2 U' D2
L' U2 L2 U L2 D U'
L' U2 L2 U L2 D' U'
L' U2 L2 U L2 D2 U'
L' U2 L2 U' D2 R2 U
L' U2 L2 U2 D' B2 U2
L' U2 L2 D L' F2 L
L' U2 L2 D L2 F2 L2
L' U2 L2 D R F2 R'
L' U2 L2 D R2 F2 R2
L' U2 L2 D F D F
L' U2 L2 D F D' F
L' U2 L2 D F D2 F
L' U2 L2 D F' D F'
L' U2 L2 D F' D' F'
L' U2 L2 D F' D2 F'
L' U2 L2 D' U2 B2 U2
L' U2 L2 D' F D2 F2
L' U2 L2 D' F' D2 F2
L' U2 L2 D' F2 D2 F2
L' U2 L2 D2 U' R2 U
L' U2 L2 D2 F D' F2
L' U2 L2 D2 F' D' F2
L' U2 L2 D2 F2 D' F2
L' U2 L2 F U L2 U'
L' U2 L2 F D F2 D
L' U2 L2 F D F2 D'
L' U2 L2 F D F2 D2
L' U2 L2 F' U L2 U'
L' U2 L2 F' D F2 D
L' U2 L2 F' D F2 D'
L' U2 L2 F' D F2 D2
L' U2 L2 F2 U L2 U'
L' U2 L2 F2 D F2 D
L' U2 L2 F2 D F2 D'
L' U2 L2 F2 D F2 D2
L2 U2 L2 D F2 L R
L2 U2 L2 D F2 R L
L' U2 L2 B D F2 B'
L' U2 L2 B D B' F2
L' U2 L2 B' D F2 B
L' U2 L2 B' D B F2
L' U2 R L2 D R' F2
L' U2 R L2 D F2 R'
L U2 L2 D' B2 U2 B2
L' U2 R' L2 D R F2
R' U2 R' D' F2 L R
R' U2 R' D' F2 R L
R U2 R D' F2 L R
R U2 R D' F2 R L
B2 R' B L' U R U
U R' F2 U L R F2
U R' F2 U R L F2
U R' F2 U R F2 L
B2 R' B' L' U R U
R2 U2 D L D2 R2 F2
R2 U2 D L D2 F2 R2
B2 R' B2 L' U R U
L' U2 D' L2 D L2 F2
L' U2 D' L2 D F2 L2
R2 U2 D' L F2 D2 R2
R2 U2 D' R F2 L R
R2 U2 D' R F2 R L
R2 U2 D' R' F2 L R
R2 U2 D' R' F2 R L
R2 U2 D' R2 F2 L R
R2 U2 D' R2 F2 R L
R2 U2 D' F' L F' R
R2 U2 D' F2 L R D
R2 U2 D' F2 L R D'
R2 U2 D' F2 L R D2
R2 U2 D' F2 L D R
R2 U2 D' F2 L D' R
R2 U2 D' F2 L D2 R
R2 U2 D' F2 R L D
R2 U2 D' F2 R L D'
R2 U2 D' F2 R L D2
R2 U2 D' F2 R D L
R2 U2 D' F2 R D' L
R2 U2 D' F2 R D2 L
R2 U2 D' F2 D L R
R2 U2 D' F2 D R L
R2 U2 D' F2 D' L R
R2 U2 D' F2 D' R L
R2 U2 D' F2 D2 L R
R2 U2 D' F2 D2 R L
D2 R2 L' U R2 U L2
D' R2 L' U R2 U L2
D2 R2 L' U2 L2 D' F2
D' R2 L' U2 L2 D' F2
U' R2 L' U' R2 U' L2
U' R2 L' U2 L2 D B2
L' U2 F L2 U L2 U'
L' U2 F L2 D F2 D
L' U2 F L2 D F2 D'
L' U2 F L2 D F2 D2
L' U2 F L2 F D F2
L' U2 F L2 F' D F2
L' U2 F L2 F2 D F2
B2 R2 L' U2 D' F2 L'
B2 R2 L' D R B2 U2
B2 R2 L' D B2 R U2
B2 R2 L' D' R U2 F2
B2 R2 L' D' U2 F2 L'
D R2 L' U R2 U L2
D R2 L' U2 L2 D' F2
L' U2 F' L2 U L2 U'
L' U2 F' L2 D F2 D
L' U2 F' L2 D F2 D'
L' U2 F' L2 D F2 D2
L' U2 F' L2 F D F2
L' U2 F' L2 F' D F2
L' U2 F' L2 F2 D F2
R' U2 F2 L R D F2
R' U2 F2 L D R F2
R' U2 F2 R L D F2
U R2 L2 D' B2 L' R'
U R2 L2 D' B2 R' L'
L' U2 F2 L2 U L2 U'
L' U2 F2 L2 D F2 D
L' U2 F2 L2 D F2 D'
L' U2 F2 L2 D F2 D2
L' U2 F2 L2 F D F2
L' U2 F2 L2 F' D F2
L' U2 F2 L2 F2 D F2
R2 U2 F2 L D' R F2
R U2 F2 L R D' F2
R2 U2 F2 D' L R F2
R U2 F2 R L D' F2
R2 U2 F2 D' R L F2
R2 U2 F2 D' R F2 L
R U2 F2 R D' L F2
R U2 F2 R D' F2 L
D2 R2 U2 D' F2 L R
D2 R2 U2 D' F2 R L
D' R2 U2 D' F2 L R
D' R2 U2 D' F2 R L
L' U2 B' L2 D F2 B
L' U2 B' L2 D B F2
L' U2 B' L2 B D F2
B2 R2 U2 D' F2 L' R
B2 R2 U2 D' F2 R L'
D2 R2 D L' B2 U2 L2
D' R2 D L' B2 U2 L2
U' R2 D L' U2 L2 B2
U' R2 D L' U2 B2 L2
D R2 U2 D' F2 L R
D R2 U2 D' F2 R L
B2 R2 D L' R B2 U2
B2 R2 D L' B2 R U2
B2 R2 D R L' B2 U2
B2 R2 D R B2 L' U2
L' U2 B2 L2 B2 D F2
D R2 D L' B2 U2 L2
D2 R2 D B2 L' R' U2
D2 R2 D B2 R' L' U2
D' R2 D B2 L' R' U2
D' R2 D B2 R' L' U2
D2 R2 D' L' U2 L2 F2
D2 R2 D' L' U2 F2 L2
D' R2 D' L' U2 L2 F2
D' R2 D' L' U2 F2 L2
U' R2 D' L' F2 U2 L2
B2 R2 D B2 L' R U2
B2 R2 D B2 R L' U2
B2 R2 D' L' R U2 F2
B2 R2 D' L' U2 F2 L'
L2 U2 B2 U' L' R' B2
L2 U2 B2 U' R' L' B2
L2 U2 B2 U' R' B2 L'
B2 R2 D' R L' U2 F2
B2 R2 D' R U2 F2 R
D2 R2 D' U2 F2 L R
D2 R2 D' U2 F2 R L
D' R2 D' U2 F2 L R
D' R2 D' U2 F2 R L
D R2 D B2 L' R' U2
D R2 D B2 R' L' U2
U' R2 D' F2 U2 L R
U' R2 D' F2 U2 R L
D R2 D' L' U2 L2 F2
D R2 D' L' U2 F2 L2
B2 R2 D' U2 F2 L' R
B2 R2 D' U2 F2 R L'
L2 D L U2 L2 D F2
D R2 D' U2 F2 L R
D R2 D' U2 F2 R L
R' D L' U R U L2
R2 D L B2 L2 U2 L2
R2 D L' R B2 U2 L2
R2 D L' R' B2 U2 L2
R2 D L' R2 B2 U2 L2
R2 D L' U2 L2 D2 F2
R2 D L' D2 R2 U2 F2
R D L' U R' U L2
R2 D L' B' U2 L2 F
R2 D L' B2 R U2 L2
R2 D L' B2 R' U2 L2
R2 D L' B2 R2 U2 L2
R2 D L' B2 U2 L2 D
R2 D L' B2 U2 L2 D'
R2 D L' B2 U2 L2 D2
R2 D L' B2 D2 R2 U2
L' D R U R' F2 U
L' D R U F2 R' U
R2 D L2 B2 U2 L' R'
R2 D L2 B2 U2 R' L'
R2 D R L' B2 U2 L2
L' D R' U R F2 U
R2 D R B2 L' R' U2
R2 D R B2 R' L' U2
R2 D R' L' B2 U2 L2
U R2 F2 U L R F2
U R2 F2 U R L F2
U R2 F2 U R F2 L
L' D R2 U R2 F2 U
L' D R2 U F2 R2 U
L' D R2 U2 D' L2 F2
L' D R2 U2 D' F2 L2
L' D R2 D R2 B2 U2
L' D R2 D B2 R2 U2
L' D R2 D' U2 L2 F2
L' D R2 D' U2 F2 L2
R2 D R' B2 L' R' U2
R2 D R' B2 R' L' U2
R2 D R2 L' B2 U2 L2
L' D U R F2 U F2
L' D U R' F2 U F2
L' D U R2 F2 U F2
L' D U F2 R U F2
R2 D R2 B2 L' R' U2
L' D U F2 R' U F2
L' D U F2 R2 U F2
L' D U F2 U F2 D
L' D U F2 U F2 D'
L' D U F2 U F2 D2
R2 D R2 B2 R' L' U2
L' D U F2 D R2 U
F2 U L R U2 F2 U2
F2 U L R D2 B2 D
F2 U L R D2 B2 D'
F2 U L R D2 B2 D2
F2 U L R B D2 B2
