U' R2 B R' F' U2
U F' B' D2 L B'
U B' D2 L F' B'
U B' D2 L B' F'
U B' D2 F' L B'
U B' F' D2 L B'
U' B F2 R' U2 B F
U B D2 F' B2 L B'
U B D2 B2 L F' B'
U B D2 B2 L B' F'
U B D2 B2 F' L B'
U B F' U2 R' U2 B
U B F' D2 B2 L B'
U B' L R' B R F'
U B' L F' R' B R
U' B' R F' U2 L F
U B' R' L B R F'
U' B' U2 D2 L F' B'
U' B' U2 D2 L B' F'
U' B' U2 D2 F' L B'
U' B' U2 F' D2 L B'
U2 B' U' D2 L F' B'
U2 B' U' D2 L B' F'
U2 B' U' D2 F' L B'
U2 B' U' F' D2 L B'
B2 F' R D' R2 B L
B2 F' R' D' B L R2
B2 F' R' D' B R2 L
U' B' D2 U2 L F' B'
U' B' D2 U2 L B' F'
U' B' D2 U2 F' L B'
U B' D F' D L B'
U2 B' D2 U' L F' B'
U2 B' D2 U' L B' F'
U2 B' D2 U' F' L B'
U B' D2 L D F' B'
U B' D2 L D B' F'
U B' D2 L D' F' B'
U B' D2 L D' B' F'
U B' D2 L D2 F' B'
U B' D2 L D2 B' F'
U B' D2 L F' D B'
U B' D2 L F' D' B'
U B' D2 L F' D2 B'
U B' D2 L F' B' D
U B' D2 L F' B' D'
U B' D2 L F' B' D2
U B' D2 L B' D F'
U B' D2 L B' D' F'
U B' D2 L B' D2 F'
U B' D2 L B' F' D
U B' D2 L B' F' D'
U B' D2 L B' F' D2
U B' D2 F L F2 B'
U B' D2 F L B' F2
U B' D2 F' L D B'
U B' D2 F' L D' B'
U B' D2 F' L D2 B'
U B' D2 F' L B' D
U B' D2 F' L B' D'
U B' D2 F' L B' D2
U B' F' L R' B R
U B' F' R' L B R
U B' F' D2 L D B'
U B' F' D2 L D' B'
U B' F' D2 L D2 B'
U B' F' D2 L B' D
U B' F' D2 L B' D'
U B' F' D2 L B' D2
B' F' D2 L B' D' R2
F' B' D2 L B' D' R2
U B' F2 D2 F L B'
F' B2 R D' R2 B L
U B2 R' B L R F'
U B2 R' B R L F'
U B2 R' B R F' L
F' B2 R' D' B L R2
F' B2 R' D' B R2 L
U B2 D2 F' B L B'
U B2 D2 B L F' B'
U B2 D2 B L B' F'
U B2 D2 B F' L B'
U B2 F' R' B L R
U B2 F' R' B R L
U B2 F' D2 B L B'
