U2 L U' L' B'
U2 L R U' L' B'
U2 L R' U' L' B'
U2 L R2 U' L' B'
U2 L U' L' D B'
U2 L U' L' D' B'
U2 L U' L' D2 B'
U2 L U' L' B' D
U2 L U' L' B' D'
U2 L U' L' B' D2
U2 L U' D L' B'
U2 L U' D' L' B'
U2 L U' D2 L' B'
U2 L U' B L' B'
U2 L U' B' L' B'
U2 L U' B2 L' B'
U2 L D U' L' B'
U2 L D U' L' B'
U2 L D' U' L' B'
U2 L D2 U' L' B'
U2 L B' R' U' L'
F' L' U2 L2 U' L2
U2 R L U' L' B'
U2 R' L U' L' B'
U2 R2 L U' L' B'
U2 D L U' L' B'
U2 D' L U' L' B'
U2 D2 L U' L' B'
D2 U2 L U' L' B'
D' U2 L U' L' B'
D U2 L U' L' B'
F U2 L R U' L'
F U2 R L U' L'
U2 D2 L U' B' L' B'
U2 D2 L U' B2 L' B'
U2 D2 L D U' L' B'
U2 D2 L D' U' L' B'
D U2 L R U' L' B'
U2 D2 L D2 U' L' B'
D U2 L R' U' L' B'
D U2 L R2 U' L' B'
D U2 L U' L' D B'
D U2 L U' L' D' B'
D U2 L U' L' D2 B'
D U2 L U' L' B' D
D U2 L U' L' B' D'
D U2 L U' L' B' D2
D U2 L U' D L' B'
D U2 L U' D' L' B'
D U2 L U' D2 L' B'
D U2 L U' B L' B'
D U2 L U' B' L' B'
D U2 L U' B2 L' B'
U2 D2 L B' R' U' L'
D U2 L D U' L' B'
D U2 L D' U' L' B'
D U2 L D2 U' L' B'
D U2 L B' R' U' L'
D' U2 R L U' L' B'
D2 U2 R L U' L' B'
U2 D2 R L U' L' B'
D' U2 R' L U' L' B'
D2 U2 R' L U' L' B'
D U2 R L U' L' B'
U2 D2 R' L U' L' B'
D' U2 R2 L U' L' B'
D2 U2 R2 L U' L' B'
D U2 R' L U' L' B'
F' U2 L U' D' L' B2
F' U2 L U' D' B2 L'
F' U2 L U2 L2 U L
U2 D2 R2 L U' L' B'
F' U2 L D' U' L' B2
F' U2 L D' U' B2 L'
F' U2 L D2 R2 U' L'
D U2 R2 L U' L' B'
F U2 L R U' L' D
F U2 L R U' L' D'
F U2 L R U' L' D2
F U2 L R U' D L'
F U2 L R U' D' L'
F U2 L R U' D2 L'
F U2 L R D U' L'
F U2 L R D' U' L'
F U2 L R D2 U' L'
F U2 L R B U' L'
F U2 L R B' U' L'
F U2 L R B2 U' L'
F U2 L D R U' L'
F U2 L D' R U' L'
F U2 L D2 R U' L'
F U2 L B R U' L'
F U2 L B' R U' L'
F U2 L B2 R U' L'
F U2 R L U' L' D
F U2 R L U' L' D'
F U2 R L U' L' D2
F U2 R L U' D L'
F U2 R L U' D' L'
F U2 R L U' D2 L'
F U2 R L D U' L'
F U2 R L D' U' L'
F U2 R L D2 U' L'
F U2 R L B U' L'
F U2 R L B' U' L'
F U2 R L B2 U' L'
F U2 R D L U' L'
F U2 R D' L U' L'
F U2 R D2 L U' L'
F2 U2 D' L U' B' L'
F U2 D L R U' L'
F U2 D R L U' L'
F U2 D' L R U' L'
F U2 D' R L U' L'
F U2 D2 L R U' L'
F U2 D2 R L U' L'
L F R U R' U2 R
U' F U' L U' L' B'
D' F U2 L R U' L'
D2 F U2 L R U' L'
D' F U2 R L U' L'
D2 F U2 R L U' L'
L' F U2 L2 R U' L2
L' F U2 R L2 U' L2
F' D L' U2 L2 U' L2
D F U2 L R U' L'
D F U2 R L U' L'
D' F' L' U2 L2 U' L2
D2 F' L' U2 L2 U' L2
L' F' L' U2 L' U' L
F D U2 L R U' L'
F D U2 R L U' L'
R2 F' L' D2 R2 U L2
D F' L' U2 L2 U' L2
L F' L' U2 L U' L'
U' F' U' L U' L' B'
F' D' L' U2 L2 U' L2
F2 D' U2 L U' B' L'
F D' U2 L R U' L'
F D' U2 R L U' L'
U F2 L' D' B' L2 F
U' F2 U' L U' L' B'
F' D2 L' U2 L2 U' L2
F D2 U2 L R U' L'
F D2 U2 R L U' L'
U' B U' B' L R' U'
U' B U' B' R' L U'
U2 B' L' R' U' L F
U2 B' R' L' U' L F
U2 B' R' B L U' L'
L B' U2 B L U L'
B2 F' U L' R' B2 U
B2 F' U R' L' B2 U
B2 F' U R' B2 L' U
U B2 L' R' U R B'
U B2 L' R' U B' R
U B2 R' L' U R B'
U B2 R' L' U B' R
F' B2 U L' R' B2 U
F' B2 U R' L' B2 U
F' B2 U R' B2 L' U
