U' L' R2 F B' U'
U' L' R2 B' F U'
B L' R2 F U' L2
R2 L' F B U' L
R2 L' B F U' L
U' L' F R2 B' U'
U' L' F B' R2 U'
B L' F R2 U' L2
U' L' B' R2 F U'
U' L' B' F R2 U'
L' R2 F B U' L
L' R2 B F U' L
U' R2 L' F B' U'
U' R2 L' B' F U'
B R2 L' F U' L2
L' F R2 B U' L
L' F B R2 U' L
R2 B L' F U' L2
L' B R2 F U' L
L' B F R2 U' L
L' B R2 F D U' L
L' B R2 F D' U' L
L' B R2 F D2 U' L
L' B D F U' L B2
L B D L F2 B2 R'
L B D L B2 R' F2
L B D L B2 F2 R'
L B D F2 L B2 R'
L' B F R2 U' L D
L' B F R2 U' L D'
L' B F R2 U' L D2
L' B F R2 U' D L
L' B F R2 U' D' L
L' B F R2 U' D2 L
L' B F R2 D U' L
L' B F R2 D' U' L
L' B F R2 D2 U' L
L' B F U' L D B2
L' B F U' D L B2
L' B F D U' L B2
L' B F' R2 F2 U' L
U' B' L' R2 F B' U'
U' B' L' R2 B' F U'
U' B' L' F R2 B' U'
U' B' L' F B' R2 U'
U' B' L' B' R2 F U'
U' B' L' B' F R2 U'
R2 B' L' F U R' U2
R2 B' L' F B2 U' L
R2 B' L' B2 F U' L
U' B' R2 L' F B' U'
U' B' R2 L' B' F U'
L B' U D F2 B2 L
L B' U D B2 L F2
L B' U D B2 F2 L
L' B' D F U' B2 L
L B' D U F2 B2 L
L B' D U B2 L F2
L B' D U B2 F2 L
L' B' F R2 U R U2
L' B' F U' D B2 L
L' B' F D U' B2 L
L' B' F' R2 F2 U' L'
U' B2 L' R2 F B' U'
U' B2 L' R2 B' F U'
U' B2 L' F R2 B' U'
U' B2 L' F B' R2 U'
U' B2 L' B' R2 F U'
U' B2 L' B' F R2 U'
R2 B2 L' D2 F U' L'
R2 B2 L' F B' U' L
R2 B2 L' B' F U' L
U' B2 R2 L' F B' U'
U' B2 R2 L' B' F U'
L' B2 R2 D2 F U' L'
L' B2 R2 F B' U' L
L' B2 R2 B' F U' L
L' B2 F R2 B' U' L
