R' U L' D R2 B'
R' U L' D B' R2
R' U L' B' D R2
R' U D L' R2 B'
R' U D L' B' R2
R' U D R2 L' B'
D R' U L' R' B'
D R' U R' L' B'
D2 R' B2 U L' B'
R' D U L' R2 B'
R' D U L' B' R2
R' D U R2 L' B'
R' D2 B2 U L' B'
D2 R' B2 U B' L' B'
D2 R' B2 U B2 L' B'
D2 R' B2 D U L' B'
D2 R' B2 D' U L' B'
D2 R' B2 D2 U L' B'
D R2 L' U' R U B
R' U2 F2 U R U2 B
D R2 U' R U L' B
D R2 U' R U B L'
R2 D R U L' R B'
R2 D R U L' B' R
R2 D R U R L' B'
L' D R2 U' R U B
R' D U L' R B' R
R' D U L' R2 D B'
R' D U L' R2 D' B'
R' D U L' R2 D2 B'
R' D U L' R2 B' D
R' D U L' R2 B' D'
R' D U L' R2 B' D2
R' D U L' B R2 B2
R' D U L' B' R2 D
R' D U L' B' R2 D'
R' D U L' B' R2 D2
R' D U R L' B' R
R' D U R2 L' D B'
R' D U R2 L' D' B'
R' D U R2 L' D2 B'
R' D U R2 L' B' D
R' D U R2 L' B' D'
R' D U R2 L' B' D2
R' D U R2 D L' B'
R' D U R2 D' L' B'
R' D U R2 D2 L' B'
R' D U R2 B L' B'
R' D U R2 B' L' B'
R' D U R2 B2 L' B'
R' D U B L' R2 B'
R' D U B L' B' R2
R' D U B R2 L' B'
R' D U B' L' R2 B'
R' D U B' L' B' R2
R' D U B' R2 L' B'
R' D U B2 L' R2 B'
R' D U B2 L' B' R2
R' D U B2 R2 L' B'
D2 R2 B2 R U L' B'
B2 U L' D R2 F2 B'
B2 U L' D R2 B' F2
B2 U L' D F2 R2 B'
B2 U L' D F2 B' R2
B2 U L' D B' R2 F2
B2 U L' D B' F2 R2
B2 U L' B' D R2 F2
B2 U L' B' D F2 R2
R' D B U L' R2 B'
R' D B U L' B' R2
R' D B U R2 L' B'
R' D B' U L' R2 B'
R' D B' U L' B' R2
R' D B' U R2 L' B'
B' U D L' R2 F B'
B' U D L' R2 B' F
B' U D L' F R2 B'
B' U D L' F B' R2
B' U D L' B' R2 F
B' U D L' B' F R2
R' D B2 U L' R2 B'
R' D B2 U L' B' R2
R' D B2 U R2 L' B'
B' U D R2 L' F B'
B' U D R2 L' B' F
R D' U L' F2 R B'
R D' U L' F2 B' R
R D' U L' B' F2 R
R D' U' L' F2 R B
R2 D2 R B2 U L' B'
R' D2 U L' D' R2 B'
R' D2 U L' D' B' R2
R' D2 B2 U L' D B'
R' D2 B2 U L' D' B'
R' D2 B2 U L' D2 B'
R' D2 B2 U L' B' D
R' D2 B2 U L' B' D'
R' D2 B2 U L' B' D2
R' D2 B2 U D L' B'
R' D2 B2 U D' L' B'
R' D2 B2 U D2 L' B'
R' D2 B2 U B L' B'
R' D2 B2 U B' L' B'
R' D2 B2 U B2 L' B'
R' D2 B2 D U L' B'
R' D2 B2 D' U L' B'
R' D2 B2 D2 U L' B'
R2 D2 B2 R U L' B'
F2 U2 F2 R' U L' B'
B' D U L' R2 F B'
B' D U L' R2 B' F
B' D U L' F R2 B'
B' D U L' F B' R2
B' D U L' B' R2 F
B' D U L' B' F R2
B' D U R2 L' F B'
B' D U R2 L' B' F
L F2 D' B2 L U' B'
R' B U L' D R2 B'
R' B U L' D B' R2
R' B U L' B' D R2
R' B U D L' R2 B'
R' B U D L' B' R2
R' B U D R2 L' B'
B2 D2 B2 R' U L' B'
R' B D U L' R2 B'
R' B D U L' B' R2
R' B D U R2 L' B'
R' B D2 B2 U L' B'
R' B' U L' D R2 B'
R' B' U L' D B' R2
R' B' U L' B' D R2
R' B' U D L' R2 B'
R' B' U D L' B' R2
R' B' U D R2 L' B'
R' B' D U L' R2 B'
R' B' D U L' B' R2
R' B' D U R2 L' B'
U B' D L' R2 F B'
U B' D L' R2 B' F
U B' D L' F R2 B'
U B' D L' F B' R2
U B' D L' B' R2 F
U B' D L' B' F R2
U B' D R2 L' F B'
U B' D R2 L' B' F
R' B' D2 B2 U L' B'
U B2 L' D R2 F2 B'
U B2 L' D R2 B' F2
U B2 L' D F2 R2 B'
U B2 L' D F2 B' R2
U B2 L' D B' R2 F2
U B2 L' D B' F2 R2
U B2 L' B' D R2 F2
U B2 L' B' D F2 R2
R' B2 U L' D R2 B'
R' B2 U L' D B' R2
D2 B2 U L' D F2 B'
D2 B2 U L' D B' F2
R' B2 U L' B' D R2
D2 B2 U L' B' D F2
R' B2 U D L' R2 B'
R' B2 U D L' B' R2
R' B2 U D R2 L' B'
R' B2 D U L' R2 B'
R' B2 D U L' B' R2
R' B2 D U R2 L' B'
R' B2 D2 B2 U L' B'
