L' R F' U' L' R2
L' R F' U' R2 L'
U' L' R B U' R2
U L' R B' U' R2
R L' F' U' L' R2
R L' F' U' R2 L'
R' U L' R2 B' U'
R' U L' B' R2 U'
R' U R2 L' B' U'
U' R L' B U' R2
U R L' B' U' R2
U' R B L' U' R2
R' U L' R2 D' B' U'
R' U L' R2 D2 B' U'
R' U L' R2 B' U' D
R' U L' R2 B' U' D'
R' U L' R2 B' U' D2
R' U L' R2 B' D U'
R' U L' R2 B' D' U'
R' U L' R2 B' D2 U'
R' U L' D B' U' B'
R2 U L' R' B' U' R2
R' U L' B R2 B2 U'
R' U L' B' R2 U' D
R' U L' B' R2 U' D'
R' U L' B' R2 U' D2
R' U L' B' R2 D U'
R' U L' B' R2 D' U'
R' U L' B' R2 D2 U'
R' U L' B' U' D B2
R' U L' B' D U' B2
R' U R L' B' R U'
R2 U R' L' B' U' R2
R' U R2 L' D B' U'
R' U R2 L' D' B' U'
R' U R2 L' D2 B' U'
R' U R2 L' B' U' D
R' U R2 L' B' U' D'
R' U R2 L' B' U' D2
R' U R2 L' B' D U'
R' U R2 L' B' D' U'
R' U R2 L' B' D2 U'
R' U R2 D L' B' U'
R' U R2 D' L' B' U'
R' U R2 D2 L' B' U'
R' U R2 B L' B' U'
R' U R2 B' L' B' U'
R' U R2 B2 L' B' U'
R' U D L' B' U' B'
U' R L B L2 U' R2
U' R L' D' F2 B U'
U' R L' D' B F2 U'
D2 R L' F' U' L' R2
D2 R L' F' U' R2 L'
D' R L' F' U' L' R2
D' R L' F' U' R2 L'
U' R L' F B U' R2
U' R L' F' B U' R2
U' R L' F2 B U' R2
F2 R L' F U L' R2
F2 R L' F U R2 L'
U' R L' B U' R2 D
U' R L' B U' R2 D'
U' R L' B U' R2 D2
U' R L' B D' F2 U'
U' R L' B F U' R2
U' R L' B F' U' R2
U' R L' B F2 U' R2
U2 R L' B U' L R2
U2 R L' B U' R2 L
D R L' F' U' L' R2
D R L' F' U' R2 L'
U R L' D' F2 B' U'
U R L' D' B' F2 U'
U R L' F B' U' R2
U R L' F' B' U' R2
U R L' F2 B' U' R2
U R L' B' U' R2 D
U R L' B' U' R2 D'
U R L' B' U' R2 D2
U R L' B' D' F2 U'
U R L' B' F U' R2
U R L' B' F' U' R2
U R L' B' F2 U' R2
R' U B L' R2 B' U'
R' U B L' B' R2 U'
R' U B R2 L' B' U'
R' U B' L' R2 B' U'
R' U B' L' B' R2 U'
R' U B' R2 L' B' U'
R' U B2 L' R2 B' U'
R' U B2 L' B' R2 U'
R' U B2 R2 L' B' U'
U' R D' L' F2 B U'
U' R D' L' B F2 U'
U' R D' B L' F2 U'
L2 U' L R B U' R2
U R D' L' F2 B' U'
U R D' L' B' F2 U'
F2 R F U L' R2 B'
F2 R F U L' B' R2
F2 R F U R2 L' B'
L U' L2 R B U' R2
L2 U' R L B U' R2
L U' R L2 B U' R2
L' U' R' U R2 B U'
L U' R B L2 U' R2
U' R B L' U' R2 D
U' R B L' U' R2 D'
U' R B L' U' R2 D2
U' R B L' D' F2 U'
U' R B L' F U' R2
U' R B L' F' U' R2
U' R B L' F2 U' R2
U2 R B L' U' L2 R2
U2 R B L' U' R2 L2
U' R B D' L' F2 U'
U R B L' B' U' R2
U' R B' L' B2 U' R2
U R B' L' B' U' R2
U R B2 L' B' U' R2
U R' L' B' R2 U' R2
D2 R' U L' R2 B' U'
D' R' U L' R2 B' U'
D2 R' U L' B' R2 U'
D' R' U L' B' R2 U'
U' R' U L' R2 B U'
D2 R' U R2 L' B' U'
D' R' U R2 L' B' U'
U' R' U R2 L' B U'
U' R' U R2 B L' U'
D R' U L' R2 B' U'
D R' U L' B' R2 U'
D R' U R2 L' B' U'
U2 R' B L D F2 B2
U2 R' B L D B2 F2
L' D R F' U' L' R2
L' D R F' U' R2 L'
R' D U L' B' U' B'
D' U L' R B' U' R2
D2 U L' R B' U' R2
U' D L' R B U' R2
D U L' R B' U' R2
U D L' R B' U' R2
R' D F' B2 D' L' F
D' U R L' B' U' R2
D2 U R L' B' U' R2
U' D R L' B U' R2
U' D R B L' U' R2
D U R L' B' U' R2
U D R L' B' U' R2
F' U R' D' L' F B'
F' U R' D' L' B' F
R' D B2 U L' B' U'
R' D B2 F' D' L' F
F' U D' L' R' F B'
F' U D' L' R' B' F
F' U D' L' F R' B'
F' U D' R' L' F B'
F' U D' R' L' B' F
L' D' R F' U' L' R2
L' D' R F' U' R2 L'
U' D' L' R B U' R2
D' U' L' R B U' R2
D2 U' L' R B U' R2
D U' L' R B U' R2
U D' L' R B' U' R2
U' D' R L' B U' R2
D' U' R L' B U' R2
D2 U' R L' B U' R2
B' U' L' R B U' R'
U' D' R B L' U' R2
D' U' R B L' U' R2
D2 U' R B L' U' R2
D U' R L' B U' R2
U D' R L' B' U' R2
D U' R B L' U' R2
B' U' R L' B U' R'
B' U' R B L' U' R'
U' D2 L' R B U' R2
L' D2 R F' U' L' R2
L' D2 R F' U' R2 L'
U D2 L' R B' U' R2
U' D2 R L' B U' R2
U' D2 R B L' U' R2
U D2 R L' B' U' R2
R' D2 F' D' L' F B2
R' D2 F' D' L' B2 F
R' D2 F' D' B2 L' F
F2 D L' R F' U R2
F2 D R L' F' U R2
L F D F2 L' R' B
L F D F2 R' L' B
L F D F2 R' B L'
L' F' R2 U' L' R B
L' F' R2 U' R L' B
L' F' R2 U' R B L'
L' F' U' L' R B R2
L' F' U' R L' B R2
L' F' U' R B L' R2
L' F' U' R B R2 L'
B' D' L' R F' U' L'
F2 D' L' R F U R2
F' D' L' F R' D B2
R F' U' R2 D' L' F
R' F' D B2 D2 L' F
R' F' D' L' D2 F B2
R' F' D' L' D2 B2 F
B' D' R L' F' U' L'
F2 D' R L' F U R2
F' D' U L' R' F B'
F' D' U L' R' B' F
F' D' U L' F R' B'
F' D' U R' L' F B'
F' D' U R' L' B' F
U B L' R B' U' R'
U B L' B' R U' R2
R B L' F' U' L' R2
R B L' F' U' R2 L'
U B R L' B' U' R'
R' B U L' R2 B' U'
R' B U L' B' R2 U'
R' B U R2 L' B' U'
U' B' L' R B U' R'
U' B' R L' B U' R'
U' B' R B L' U' R'
R B' L' F' U' L' R2
R B' L' F' U' R2 L'
R' B' U L' R2 B' U'
R' B' U L' B' R2 U'
R' B' U R2 L' B' U'
L' B' D' R F' U' L'
R B2 L' F' U' L' R2
R B2 L' F' U' R2 L'
R' B2 U L' R2 B' U'
R' B2 U L' B' R2 U'
R' B2 U R2 L' B' U'
