U L' F L' D R2
U L' F D L' R2
U L' F D R2 L'
U2 L' F' U' F2 L'
R U L' F L' R
R U L' F R L'
R U F L' R F
R U F R L' F
D R F' R B U
F U L' D R2 F
F U L' D F R2
U F L' D R2 F
U F L' D F R2
R F U L' F R
R2 F B U L' F
U2 F' U' F2 L' F
R2 B U L' F L'
R2 B U F L' F
R2 B F U L' F
R F U L' F R D2
R F U L' F D R
R F U L' F D' R
R F U L' F D2 R
R F U R L' F R
R F U R' L' F R
R F U R2 L' F R
L' F D L' R2 D' B2
L' F D R2 L' D' B2
B' D R F' R B U
U F D R2 D' L' F
L' F D2 L' D' R2 B2
L' F D2 L' D' B2 R2
B2 D R F' R B U
R2 F D' B R' U L'
B D R F' R B U
R2 F B R U L' F
R2 F B R' U L' F
R2 F B R2 U L' F
R2 F B U L' D F
R2 F B U L' D' F
R2 F B U L' D2 F
R2 F B U L' F D
R2 F B U L' F D'
R2 F B U L' F D2
R F B U L' F R
R F B' U L' F R
U2 F' L U R B' U2
U2 F' L U B' R U2
F D U R2 D' L' F
R F B2 U L' F R
U2 F' L' U R U2 F
U2 F' L' U' F2 L' F'
D F' R F' U2 F U'
U2 F' U D2 R U2 F'
U2 F' U' L' F2 L' F'
L' F' U' F2 L' D' B2
L' F' U2 L U F2 L'
U2 F' U' F L' F L'
U2 F' U' F2 L' D F
U2 F' U' F2 L' D' F
U2 F' U' F2 L' D2 F
U2 F' U' F2 L' F D
U2 F' U' F2 L' F D'
U2 F' U' F2 L' F D2
U2 F' U2 F2 U L' F
U2 F' D2 U R U2 F'
U2 F' B U' F2 L' F
L' F' B' U' F2 L' B'
R2 F' B U F2 L' F
U2 F' B' U' F2 L' F
U2 F' B2 U' F2 L' F
F D2 R B2 U L' F'
F' D2 U' R U2 F' R'
U2 B L' F' U' F2 L'
R2 B R U L' F L'
R2 B R U F L' F
R2 B R F U L' F
D B R F' R B U
R2 B R' U L' F L'
R2 B R' U F L' F
R2 B R' F U L' F
R2 B R2 U L' F L'
R2 B R2 U F L' F
R2 B R2 F U L' F
R2 B U L' F L' D
R2 B U L' F L' D'
R2 B U L' F L' D2
R2 B U L' F D L'
R2 B U L' F D' L'
R2 B U L' F D2 L'
R2 B U F L' D F
R2 B U F L' D' F
R2 B U F L' D2 F
R2 B U F L' F D
R2 B U F L' F D'
R2 B U F L' F D2
F D2 B2 R U L' F'
R B U L' F L' R
R B U L' F R L'
F D2 B2 U D2 L' F
R B U F L' R F
R B U F R L' F
F D2 B2 D2 U L' F
R2 B U2 L' U' F L'
R2 B D R F' R U
R2 B D F' R F' U
B' F U L' D R2 F
B' F U L' D F R2
R2 B F R U L' F
R2 B F R' U L' F
R2 B F R2 U L' F
R2 B F U L' D F
R2 B F U L' D' F
R2 B F U L' D2 F
R2 B F U L' F D
R2 B F U L' F D'
R2 B F U L' F D2
B2 F U L' D R2 F
B2 F U L' D F R2
U2 B F' U' F2 L' F
R2 B F' U F2 L' F
B F U L' D R2 F
B F U L' D F R2
R B F U L' F R
F B U L' D R2 F
F B U L' D F R2
U2 B' L' F' U' F2 L'
D B' R F' R B U
D' B' U2 L F' B' U'
D' B' U2 L B' F' U'
D' B' U2 F' L B' U'
R B' U L' F L' R
R B' U L' F R L'
R B' U F L' R F
R B' U F R L' F
F B' U L' D R2 F
F B' U L' D F R2
L' B' F' U' F2 L' B'
U2 B' F' U' F2 L' F
R B' F U L' F R
U2 B2 L' F' U' F2 L'
D B2 R F' R B U
R B2 U L' F L' R
R B2 U L' F R L'
R B2 U F L' R F
R B2 U F R L' F
F B2 U L' D R2 F
F B2 U L' D F R2
U2 B2 F' U' F2 L' F
R B2 F U L' F R
