F' R B R2 U
F' R' U2 F' U'
F' R D' B U F2
F2 R F B R2 U
F' R B R2 U D
F' R B R2 U D'
F' R B R2 U D2
F' R B R2 D U
F' R B R2 D' U
F' R B R2 D2 U
F' R B U D' F2
F2 R B R2 F U
B' R B R' F' U
F' R B D' U F2
F2 R B F R2 U
F R F2 B R2 U
F' R B' R2 B2 U
F R B R2 F2 U
F' R B2 R2 B' U
F R B F2 R2 U
F' R' U2 D F' U'
F' R' U2 D' F' U'
F' R' U2 D2 F' U'
F' R' U2 F' U' D
F' R' U2 F' U' D'
F' R' U2 F' U' D2
F' R' U2 F' D U'
F' R' U2 F' D' U'
F' R' U2 F' D2 U'
F' R' D U2 F' U'
F' R' D' U2 F' U'
F' R' D2 U2 F' U'
F2 R' F U D R2
F2 R' F U2 F2 U'
F2 R' F D U R2
F2 R' F D2 B2 U
F' R' B U2 F' U'
F R' F2 U2 F U'
F' R' B' U2 F' U'
F' R' B2 U2 F' U'
F' U F R D' F2
U F R D' L2 F2
U F R D' F2 L2
F' D R B R2 U
F' D R' U2 F' U'
D2 F' R B R2 U
D' F' R B R2 U
D2 F' R' U2 F' U'
D' F' R' U2 F' U'
D F' R B R2 U
D F' R' U2 F' U'
F' D' R B R2 U
F' D' R' U2 F' U'
F' D2 R B R2 U
F' D2 R' U2 F' U'
B' D2 F' R B U
R B R' F' R' U
F' B' R B R' U
B' F' R B R' U
B2 F' U2 L F U'
F' B2 U2 L F U'
F' R B D' R2 U F2
F' R B D' U F2 D
F' R B D' U F2 D'
F' R B D' U F2 D2
B' R B D2 R' F' U
B' R B F R' F' U
F' R B D2 U2 L2 U'
B' R B F' R' F' U
B' R B F2 R' F' U
F' R B F' R2 F U
F2 R B D' F U F
F' R B F2 R2 F2 U
F R B R' F2 R' U
F R B R2 U D' L2
F R B R2 D' U L2
F2 R B F R2 U D
F2 R B F R2 U D'
F2 R B F R2 U D2
F2 R B F R2 D U
F2 R B F R2 D' U
F2 R B F R2 D2 U
F2 R B F U D' F2
F R B R2 F2 U D
F R B R2 F2 U D'
F R B R2 F2 U D2
F R B R2 F2 D U
F R B R2 F2 D' U
F R B R2 F2 D2 U
F2 R B F D' U F2
F2 R B F' R2 F2 U
F R B U D' L2 F2
F R B U D' F2 L2
F' R B' R B2 R U
F' R B' R2 U D' R2
F' R B' R2 D' U R2
F' R B' R2 B2 U D
F' R B' R2 B2 U D'
F' R B' R2 B2 U D2
F' R B' R2 B2 D U
F' R B' R2 B2 D' U
F' R B' R2 B2 D2 U
F R B D' U L2 F2
F R B D' U F2 L2
F' R B' U D' R2 F2
F' R B' U D' F2 R2
F R B F R2 F U
F2 R B' R2 F B2 U
F2 R B' R2 B2 F U
F R B F2 R2 U D
F R B F2 R2 U D'
F R B F2 R2 U D2
F R B F2 R2 D U
F R B F2 R2 D' U
F R B F2 R2 D2 U
F R B F2 U D' F2
F R B F2 D' U F2
F' R B' D' U R2 F2
F' R B' D' U F2 R2
B R B' R' F' B2 U
B R B' R' B2 F' U
F2 R B' F R2 B2 U
F R B' R2 F2 B2 U
F R B' R2 B2 F2 U
F' R B2 R B' R U
F' R B2 R2 D B' U
F' R B2 R2 D' B' U
F' R B2 R2 D2 B' U
F' R B2 R2 B' U D
F' R B2 R2 B' U D'
F' R B2 R2 B' U D2
F' R B2 R2 B' D U
F' R B2 R2 B' D' U
F' R B2 R2 B' D2 U
B2 R B2 R' F' B' U
B2 R B2 R' B' F' U
F2 R B2 R2 F B' U
F2 R B2 R2 B' F U
F R B' F2 R2 B2 U
F' R B2 D' B' U F2
F2 R B2 F R2 B' U
F R B2 R2 F2 B' U
F R B2 R2 B' F2 U
F R B2 F2 R2 B' U
F' R' U R2 U' B U
F R' L2 F2 L2 B' U
F' R' U F D F' R2
F' R' U' L U' F' U'
F' R' U' L' U' F' U'
F' R' U' L2 U' F' U'
F' R' U2 L' F' L U'
F' R' U2 L2 F' L2 U'
F' R' U2 D F' U' D
F' R' U2 D F' U' D'
F' R' U2 D F' U' D2
F' R' U2 D F' D U'
F' R' U2 D F' D' U'
F' R' U2 D F' D2 U'
F' R' U2 D' F' U' D
F' R' U2 D' F' U' D'
F' R' U2 D' F' U' D2
F' R' U2 D' F' D U'
F' R' U2 D' F' D' U'
F' R' U2 D' F' D2 U'
F' R' U2 D2 F' U' D
F' R' U2 D2 F' U' D'
F' R' U2 D2 F' U' D2
F' R' U2 D2 F' D U'
F' R' U2 D2 F' D' U'
F' R' U2 D2 F' D2 U'
F' R' U2 F U' D R2
F' R' U2 F D U' R2
F' R' U2 F2 D F U'
F' R' U2 F2 D' F U'
F' R' U2 F2 D2 F U'
F2 R' U2 F' U' D' L2
F2 R' U2 F' U2 F2 U
F2 R' U2 F' D' U' L2
F2 R' U2 F' D2 B2 U'
F R' U2 D' F' U' L2
F R' U2 D2 F' B2 U'
F R' U2 D2 B2 F' U'
F' R' D R2 B R2 U
F R' U2 F' U2 F' U
F' R' D U2 F' U' D
F' R' D U2 F' U' D'
F' R' D U2 F' U' D2
F' R' D U2 F' D U'
F' R' D U2 F' D' U'
F' R' D U2 F' D2 U'
F' R' D B U2 F' U'
F2 R' D F U D R2
F2 R' D F U2 F2 U'
F2 R' D F D U R2
F' R' D B' U2 F' U'
F2 R' D F D2 B2 U
F' R' D B2 U2 F' U'
F' R' D' R2 B R2 U
F' R' D' U2 F' U' D
F' R' D' U2 F' U' D'
F' R' D' U2 F' U' D2
F' R' D' U2 F' D U'
F' R' D' U2 F' D' U'
F' R' D' U2 F' D2 U'
F' R' D' B U2 F' U'
F' R' D' B' U2 F' U'
F2 R' D' F U D R2
F2 R' D' F U2 F2 U'
F2 R' D' F D U R2
F2 R' D' F D2 B2 U
F' R' D' B2 U2 F' U'
F' R' D2 R2 B R2 U
F R' D' U2 F' U' L2
F' R' D2 U2 F' U' D
F' R' D2 U2 F' U' D'
F' R' D2 U2 F' U' D2
F' R' D2 U2 F' D U'
F' R' D2 U2 F' D' U'
F' R' D2 U2 F' D2 U'
F' R' D2 B U2 F' U'
F' R' D2 B' U2 F' U'
F2 R' D2 F U D R2
F2 R' D2 F U2 F2 U'
F2 R' D2 F D U R2
F2 R' D2 F D2 B2 U
F' R' D2 B2 U2 F' U'
F R' D2 U2 F' B2 U'
F R' D2 U2 B2 F' U'
F' R' F D F' U R2
F2 R' F U R D R2
F2 R' F U R' D R2
F2 R' F U R2 D R2
F2 R' F U D R2 D
F2 R' F U D R2 D'
F2 R' F U D R2 D2
F' R' F D2 F' B2 U
F2 R' F U' D' L2 U2
F' R' F D2 B2 F' U
F2 R' F U2 F2 U' D
F2 R' F U2 F2 U' D'
F2 R' F U2 F2 U' D2
F2 R' F U2 F2 D U'
F2 R' F U2 F2 D' U'
F2 R' F U2 F2 D2 U'
F2 R' F D U R2 D
F2 R' F D U R2 D'
F2 R' F D U R2 D2
F2 R' F D B U R2
L U2 L' F' R' B' U
F2 R' F D B' U R2
F2 R' F D B2 U R2
F2 R' F D' U' L2 U2
F2 R' F D2 B2 U D
F2 R' F D2 B2 U D'
F2 R' F D2 B2 U D2
F2 R' F D2 B2 D U
F2 R' F D2 B2 D' U
F2 R' F D2 B2 D2 U
F2 R' F B U D R2
F2 R' F B U2 F2 U'
F2 R' F B D U R2
F2 R' F B D2 B2 U
F2 R' F B' U D R2
F2 R' F B' U2 F2 U'
F2 R' F B' D U R2
F2 R' F B' D2 B2 U
F2 R' F B2 U D R2
F2 R' F B2 U2 F2 U'
F2 R' F B2 D U R2
F2 R' F B2 D2 B2 U
F R' F D F U R2
F R' F D2 F B2 U
F R' F D2 B2 F U
R' U2 R' B R F' U'
F R' F2 L2 B' L2 U
F' R' B R2 B R2 U
F R' F2 U2 D F U'
F R' F2 U2 D' F U'
F R' F2 U2 D2 F U'
F R' F2 U2 F U' D
F R' F2 U2 F U' D'
F R' F2 U2 F U' D2
F R' F2 U2 F D U'
F R' F2 U2 F D' U'
F R' F2 U2 F D2 U'
F R' F2 D U2 F U'
F' R' B U2 D F' U'
F' R' B U2 D' F' U'
F' R' B U2 D2 F' U'
F' R' B U2 F' U' D
F' R' B U2 F' U' D'
F' R' B U2 F' U' D2
F' R' B U2 F' D U'
F' R' B U2 F' D' U'
F' R' B U2 F' D2 U'
F R' F2 D' U2 F U'
F' R' B D U2 F' U'
F R' F2 D2 U2 F U'
F' R' B D' U2 F' U'
F R' F2 B U2 F U'
F' R' B D2 U2 F' U'
F R' F2 B' U2 F U'
F R' F2 B2 U2 F U'
F2 R' B F U D R2
F2 R' B F U2 F2 U'
F2 R' B F D U R2
F2 R' B F D2 B2 U
F' R' B' R2 B R2 U
F' R' B' U2 D F' U'
F' R' B' U2 D' F' U'
F' R' B' U2 D2 F' U'
F' R' B' U2 F' U' D
F' R' B' U2 F' U' D'
F' R' B' U2 F' U' D2
F' R' B' U2 F' D U'
F' R' B' U2 F' D' U'
F' R' B' U2 F' D2 U'
F' R' B' D U2 F' U'
F' R' B' D' U2 F' U'
R' U2 D F' B' U' L
F' R' B' D2 U2 F' U'
F R' B F2 U2 F U'
R' U2 D B' F' U' L
F2 R' B' F U D R2
F2 R' B' F U2 F2 U'
F2 R' B' F D U R2
F2 R' B' F D2 B2 U
F' R' B2 R2 B R2 U
R' U2 D' F' U R U2
F' R' B2 U2 D F' U'
F' R' B2 U2 D' F' U'
F' R' B2 U2 D2 F' U'
F' R' B2 U2 F' U' D
F' R' B2 U2 F' U' D'
F' R' B2 U2 F' U' D2
F' R' B2 U2 F' D U'
F' R' B2 U2 F' D' U'
F' R' B2 U2 F' D2 U'
F' R' B2 D U2 F' U'
F' R' B2 D' U2 F' U'
F' R' B2 D2 U2 F' U'
F R' B' F2 U2 F U'
F2 R' B2 F U D R2
F2 R' B2 F U2 F2 U'
F2 R' B2 F D U R2
F2 R' B2 F D2 B2 U
F R' B2 F2 U2 F U'
R' U2 F' R' B R U'
R' U2 F' D B' U' L
R' U2 F2 D' F U' L'
F' R2 D R B U R'
F' R2 D B R U R2
F' R2 B R U2 F' U'
F' R2 B R' B R2 U
F' R2 B' R U2 F' U'
F' R2 B' R' B R2 U
F' R2 B2 R U2 F' U'
F' R2 B2 R' B R2 U
R' D U2 F' B' U' L
R' D U2 B' F' U' L
F' U R D' F R F
F' U R F D' R F2
F' U R F' D' F2 R
F' U R2 U' R B U
R' D B' U2 F' U' L
F' U R2 F D R F'
R D B U' B U2 L
D' U F R D' L2 F2
D' U F R D' F2 L2
D2 U F R D' L2 F2
D2 U F R D' F2 L2
R' D B2 U2 F' U' L'
F' U D F R D' F2
D U F R D' L2 F2
D U F R D' F2 L2
F' U D' F R D' F2
U D F R D' L2 F2
U D F R D' F2 L2
F' U D2 F R D' F2
F' U F R U' R2 U
F' U F R D' F2 D
F' U F R D' F2 D'
F' U F R D' F2 D2
F' U F R F D' F2
F' U F R F' D' F2
F' U F R F2 D' F2
F' U F U' R' U R2
F' U F D R D' F2
B' U F D' L2 R F'
B' U F D' R L2 F'
B' U F D' R F' L2
F' U F D' R D' F2
F' U F D2 R D' F2
F' U F' R D' F2 R
R2 D' R2 F' R' U R2
R' D' U2 F' U R U2
R' D' F U L' D R2
R' D' F U D L' R2
R' D' F U D R2 L'
R' D' F D U L' R2
R' D' F D U R2 L'
R' D' F D2 B2 U L'
R' D' F' U' R U2 R'
R D' F' B U F' L'
U D' F R D' L2 F2
U D' F R D' F2 L2
R D' B R' F' U F'
R D' B U F' L' F'
R D' B F' U F' L'
F' U2 L F U2 R' U
B2 U2 L F U' D' L2
B2 U2 L F U2 F2 U
B2 U2 L F D' U' L2
B2 U2 L F D2 B2 U'
F' U2 L' U2 R' B' U
U D2 F R D' L2 F2
U D2 F R D' F2 L2
F U2 R' F2 L' B' U
U F L R D' L2 F2
U F L R D' F2 L2
U F L' R D' L2 F2
U F L' R D' F2 L2
F U2 D2 B2 L F U'
U F L2 R D' L2 F2
U F L2 R D' F2 L2
D' F R F2 B R2 U
D' F R B R2 F2 U
D2 F R F2 B R2 U
D' F R B F2 R2 U
D2 F R B R2 F2 U
D2 F R B F2 R2 U
D' F R' F2 U2 F U'
U F R L D' L2 F2
U F R L D' F2 L2
D2 F R' F2 U2 F U'
U F R L' D' L2 F2
U F R L' D' F2 L2
U F R L2 D' L2 F2
U F R L2 D' F2 L2
U F R U' R2 F2 U
U F R U' F2 R2 U
D F R F2 B R2 U
D F R B R2 F2 U
D F R B F2 R2 U
U F R D' L F2 L
U F R D' L2 F2 D
U F R D' L2 F2 D'
U F R D' L2 F2 D2
U F R D' F' L2 F'
U F R D' F2 L2 D
U F R D' F2 L2 D'
U F R D' F2 L2 D2
U2 F R' F2 L' B' U
L2 F R' F2 L2 B' U
D F R' F2 U2 F U'
R2 F R2 F' R B U
F' U2 B2 L F B2 U'
F' U2 B2 L B2 F U'
U F U' R' F2 U R2
R' F D B' U L R2
R' F D B' U R2 L
U F D R D' F2 L'
F' D R D' B U F2
F' D R B R2 U D
F' D R B R2 U D'
F' D R B R2 U D2
F' D R B R2 D U
F' D R B R2 D' U
F' D R B R2 D2 U
F' D R B U D' F2
F' D R B D' U F2
F' D R B' R2 B2 U
F2 D R F B R2 U
F' D R B2 R2 B' U
F2 D R B R2 F U
F2 D R B F R2 U
U F D' L2 R D' F2
U F D' R L2 D' F2
F' D R' U2 D F' U'
F' D R' U2 D' F' U'
F' D R' U2 D2 F' U'
F' D R' U2 F' U' D
F' D R' U2 F' U' D'
F' D R' U2 F' U' D2
F' D R' U2 F' D U'
F' D R' U2 F' D' U'
F' D R' U2 F' D2 U'
F' D R' D U2 F' U'
F' D R' D' U2 F' U'
F' D R' D2 U2 F' U'
F' D R' B U2 F' U'
F2 D R' F U D R2
F2 D R' F U2 F2 U'
F2 D R' F D U R2
F' D R' B' U2 F' U'
F2 D R' F D2 B2 U
U2 F D2 B2 L F U'
F' D R' B2 U2 F' U'
F' D U F R D' F2
R F B R' F' R' U
L' F' L R B R2 U
L' F' L R' U2 F' U'
F2 D F R B R2 U
F2 D F R' U2 F' U'
L2 F' L2 R B R2 U
L2 F' L2 R' U2 F' U'
L' F' R L B R2 U
B2 D F' U2 L F U'
D2 F' R D' B U F2
D' F' R D' B U F2
D' F' R B R2 U D
D' F' R B R2 U D'
D' F' R B R2 U D2
D' F' R B R2 D U
D' F' R B R2 D' U
D' F' R B R2 D2 U
D2 F' R B R2 U D
D2 F' R B R2 U D'
D2 F' R B R2 U D2
D2 F' R B R2 D U
D2 F' R B R2 D' U
D2 F' R B R2 D2 U
D' F' R B U D' F2
D2 F' R B U D' F2
D' F' R B D' U F2
D2 F' R B D' U F2
D' F' R B' R2 B2 U
D2 F' R B' R2 B2 U
L2 F' R L2 B R2 U
D2 F' R B2 R2 B' U
D' F' R B2 R2 B' U
L' F' R' L U2 F' U'
D2 F' R' U2 D F' U'
D2 F' R' U2 D' F' U'
D2 F' R' U2 D2 F' U'
D' F' R' U2 D F' U'
D' F' R' U2 D' F' U'
D2 F' R' U2 F' U' D
D' F' R' U2 D2 F' U'
D2 F' R' U2 F' U' D'
D2 F' R' U2 F' U' D2
D2 F' R' U2 F' D U'
D2 F' R' U2 F' D' U'
D2 F' R' U2 F' D2 U'
D' F' R' U2 F' U' D
D' F' R' U2 F' U' D'
D' F' R' U2 F' U' D2
D' F' R' U2 F' D U'
D' F' R' U2 F' D' U'
D' F' R' U2 F' D2 U'
D2 F' R' D U2 F' U'
D' F' R' D U2 F' U'
D2 F' R' D' U2 F' U'
D' F' R' D' U2 F' U'
L2 F' R B L2 R2 U
D2 F' R' D2 U2 F' U'
D' F' R' D2 U2 F' U'
L2 F' R B R2 L2 U
D2 F' R' B U2 F' U'
D' F' R' B U2 F' U'
D F' R D' B U F2
L2 F' R' L2 U2 F' U'
D2 F' R' B' U2 F' U'
D' F' R' B' U2 F' U'
D' F' R' B2 U2 F' U'
D2 F' R' B2 U2 F' U'
D F' R B R2 U D
D F' R B R2 U D'
D F' R B R2 U D2
D F' R B R2 D U
D F' R B R2 D' U
D F' R B R2 D2 U
D F' R B U D' F2
D F' R B D' U F2
D F' R B' R2 B2 U
D F' R B2 R2 B' U
D F' R' U2 D F' U'
D F' R' U2 D' F' U'
D F' R' U2 D2 F' U'
D F' R' U2 F' U' D
D F' R' U2 F' U' D'
D F' R' U2 F' U' D2
D F' R' U2 F' D U'
D F' R' U2 F' D' U'
D F' R' U2 F' D2 U'
D F' R' D U2 F' U'
D F' R' D' U2 F' U'
D F' R' D2 U2 F' U'
F' D B' R B R' U
D F' R' B U2 F' U'
D F' R' B' U2 F' U'
L F' R' U2 F' R U'
D F' R' B2 U2 F' U'
D2 F' U F R D' F2
D' F' U F R D' F2
F' D B2 U2 L F U'
D F' U F R D' F2
D2 F' D R B R2 U
D' F' D R B R2 U
D2 F' D R' U2 F' U'
D' F' D R' U2 F' U'
D2 F' D' R B R2 U
D' F' D' R B R2 U
D2 F' D' R' U2 F' U'
D' F' D' R' U2 F' U'
D F' D R B R2 U
D F' D R' U2 F' U'
D2 F' D2 R B R2 U
F' D' R D' B U F2
D' F' D2 R B R2 U
D2 F' D2 R' U2 F' U'
D' F' D2 R' U2 F' U'
B' D' R B U F' L'
F' D' R B R2 U D
F' D' R B R2 U D'
F' D' R B R2 U D2
F' D' R B R2 D U
F' D' R B R2 D' U
F' D' R B R2 D2 U
F' D' R B U D' F2
F' D' R B D' U F2
F' D' R B' R2 B2 U
D F' D' R B R2 U
D F' D' R' U2 F' U'
F' D' R B2 R2 B' U
F2 D' R F B R2 U
F2 D' R B R2 F U
F2 D' R B F R2 U
F' D' R' U2 D F' U'
F' D' R' U2 D' F' U'
F' D' R' U2 D2 F' U'
F' D' R' U2 F' U' D
F' D' R' U2 F' U' D'
F' D' R' U2 F' U' D2
F' D' R' U2 F' D U'
F' D' R' U2 F' D' U'
F' D' R' U2 F' D2 U'
F' D' R' D U2 F' U'
F' D' R' D' U2 F' U'
F' D' R' D2 U2 F' U'
F' D' R' B U2 F' U'
F' D' R' B' U2 F' U'
D F' D2 R B R2 U
D F' D2 R' U2 F' U'
F2 D' R' F U D R2
F' D' R' B2 U2 F' U'
F2 D' R' F U2 F2 U'
F2 D' R' F D U R2
F2 D' R' F D2 B2 U
D2 F' B' R B R' U
D' F' B' R B R' U
F D' R B R2 U L2
F D' R' U2 F' U' L2
F' D' U F R D' F2
D2 F' B2 U2 L F U'
D' F' B2 U2 L F U'
D F' B' R B R' U
R F' B R' F' R' U
D F' B2 U2 L F U'
F2 D' F R B R2 U
F2 D' F R' U2 F' U'
B' D' F' R B U F'
B' D' F' U F R F'
B2 D' F' U2 L F U'
D2 F2 R F B R2 U
D' F2 R F B R2 U
D2 F2 R B R2 F U
D' F2 R B R2 F U
D2 F2 R B F R2 U
D' F2 R B F R2 U
D2 F2 R' F U D R2
D2 F2 R' F U2 F2 U'
D2 F2 R' F D U R2
D' F2 R' F U D R2
D2 F2 R' F D2 B2 U
D' F2 R' F U2 F2 U'
D' F2 R' F D U R2
D' F2 R' F D2 B2 U
D F2 R F B R2 U
D F2 R B R2 F U
D F2 R B F R2 U
F' D' B' R B R' U
D F2 R' F U D R2
D F2 R' F U2 F2 U'
D F2 R' F D U R2
D F2 R' F D2 B2 U
F' D' B2 U2 L F U'
R' F2 U2 D' F U' L'
R' F2 D' U2 F U' L'
F' D2 R D' B U F2
F' D2 R B R2 U D
F' D2 R B R2 U D'
F' D2 R B R2 U D2
F' D2 R B R2 D U
F' D2 R B R2 D' U
F' D2 R B R2 D2 U
F' D2 R B U D' F2
F' D2 R B D' U F2
F' D2 R B' R2 B2 U
F' D2 R B2 R2 B' U
F2 D2 R F B R2 U
F2 D2 R B R2 F U
F2 D2 R B F R2 U
F' D2 R' U2 D F' U'
F' D2 R' U2 D' F' U'
F' D2 R' U2 D2 F' U'
F' D2 R' U2 F' U' D
F' D2 R' U2 F' U' D'
F' D2 R' U2 F' U' D2
F' D2 R' U2 F' D U'
F' D2 R' U2 F' D' U'
F' D2 R' U2 F' D2 U'
F' D2 R' D U2 F' U'
F' D2 R' D' U2 F' U'
F' D2 R' D2 U2 F' U'
F' D2 R' B U2 F' U'
F' D2 R' B' U2 F' U'
F' D2 R' B2 U2 F' U'
F2 D2 R' F U D R2
F2 D2 R' F U2 F2 U'
F2 D2 R' F D U R2
F2 D2 R' F D2 B2 U
F D2 R B R2 F' U
F D2 R' U2 F' B2 U'
F D2 R' U2 B2 F' U'
F' D2 U F R D' F2
R F2 B R' F' R' U
F2 D2 F R B R2 U
F2 D2 F R' U2 F' U'
B' D2 F' R D B U
B' D2 F' R D' B U
B' D2 F' R D2 B U
B' D2 F' R B U D
B' D2 F' R B U D'
B' D2 F' R B U D2
B' D2 F' R B D U
B' D2 F' R B D' U
B' D2 F' R B D2 U
B' D2 F' D R B U
B' D2 F' D' R B U
B' D2 F' D2 R B U
B' D2 F' B R B U
B' D2 F' B' R B U
B' D2 F' B2 R B U
F D2 U2 B2 L F U'
B2 D2 F' U2 L F U'
B' D2 B F' R B U
F' D2 B' R B R' U
B' D2 B' F' R B U
R B R' D F' R' U
R B R' D' F' R' U
R B R' D2 F' R' U
R B R' F R' F2 U
R B R' F' R' U D
R B R' F' R' U D'
R B R' F' R' U D2
R B R' F' R' D U
R B R' F' R' D' U
R B R' F' R' D2 U
B' D2 B2 F' R B U
R B R' F' D R' U
F' D2 B2 U2 L F U'
R B R' F' D' R' U
R B R' F' D2 R' U
R B R' F2 R' F U
R B R2 D' F U L'
R B U D' F' L' F'
R B U F D' F2 L'
R B U F' L' D' F2
R B U F' D' L' F2
B' F R F2 B R' U
B' F R B R' F2 U
B' F R B F2 R' U
F' B R B U2 L U'
F' B R B' R' B2 U
F' B R' U2 F' L' U'
R B D' R' F' U F'
R B D' U F' L' F'
R B D' F' U F' L'
F' B R2 B' R' B U
F' B U R' F R F2
F' B U R2 F R F'
F' B U F R' F' R2
F' B U F2 R' F' R
F' B U' L U2 F R
F' B U' L' B' U2 R'
R B F R' F' R' U
F' B U' B L U2 F
F' B U' B' U2 R' F'
R B F' R' F' R' U
R B F2 R' F' R' U
D2 B' R B R' F' U
D' B' R B R' F' U
R2 B' R U2 F' B2 U'
R2 B' R U2 B2 F' U'
D B' R B R' F' U
R2 B' R' B R2 F' U
R B' R' F' R' B2 U
B' F' R B R' U D
B' F' R B R' U D'
B' F' R B R' U D2
B' F' R B R' D U
B' F' R B R' D' U
B' F' R B R' D2 U
B' F' R B D R' U
B' F' R B D' R' U
B' F' R B D2 R' U
F' B' R B R' U D
F' B' R B R' U D'
F' B' R B R' U D2
F' B' R B R' D U
F' B' R B R' D' U
F' B' R B R' D2 U
F' B' R B D R' U
F' B' R B D' R' U
F' B' R B D2 R' U
F2 B' R F B R' U
F2 B' R B R' F U
B2 F' R B2 R' B' U
F2 B' R B F R' U
B2 F' R' U2 L F' U'
B2 F' R' U2 F' L U'
B F' R B U2 L U'
B F' R B' R' B2 U
B' F' R2 B R' B U
F B' R F2 B R' U
B F' R' U2 F' L' U'
F B' R B R' F2 U
F B' R B F2 R' U
F' B' R2 B R' B U
B' F' U D' F R F'
B2 F' R2 B2 R' B U
B' F' U F D' R F'
D2 B' D2 F' R B U
D' B' D2 F' R B U
F' B' U D' F R F'
F' B' U F D' R F'
B F' R2 B' R' B U
B F' U R' F R F2
B F' U R2 F R F'
D2 B' F' R B R' U
B F' U F R' F' R2
D' B' F' R B R' U
D B' D2 F' R B U
B F' U F2 R' F' R
B F' U' L U2 F R
