U' L' U' D' R2 B'
U' L' U' D' B' R2
U' L' U2 B2 U B
U' L' D' U' R2 B'
U' L' D' U' B' R2
U' L' D2 F2 U' B'
F2 U R B2 U B'
U' D' L' U' R2 B'
U' D' L' U' B' R2
D' U' L' U' R2 B'
D' U' L' U' B' R2
D2 U' L' F2 U' B'
F2 U B2 R U B
U' D2 L' F2 U' B'
U B2 U2 L' U' B'
D2 U' F2 U2 R U B
R' D2 L' F2 U' L' B'
F2 U' D2 F2 L' U' B'
U' D2 L' R F2 U' B'
U' D2 L' R' F2 U' B'
U' D2 L' R2 F2 U' B'
U' D2 L' U' D R2 B'
U' D2 L' U' D B' R2
U' D2 L' U' B' D R2
U' D2 L' D U' R2 B'
U' D2 L' D U' B' R2
U' D2 L' F2 R U' B'
U' D2 L' F2 R' U' B'
U' D2 L' F2 R2 U' B'
U' D2 L' F2 U' D B'
U' D2 L' F2 U' D' B'
U' D2 L' F2 U' D2 B'
U' D2 L' F2 U' B' D
U' D2 L' F2 U' B' D'
U' D2 L' F2 U' B' D2
U' D2 L' F2 D U' B'
U' D2 L' F2 D' U' B'
U' D2 L' F2 D2 U' B'
L' D2 R' F2 U' L' B'
U' D2 L2 F2 L U' B'
U' D2 R L' F2 U' B'
U' D2 R' L' F2 U' B'
U' D2 R2 L' F2 U' B'
D' U2 R2 U L' U' B'
B2 U2 L' U' D L B'
B2 U2 L' D U' L B'
U' D2 F2 U2 R U B
L' D2 B' R' F2 U' L'
B2 U2 B L' R' U' L
B2 U2 B R' L' U' L
F2 D L2 U R U B
F2 D' U R U B R
D F2 L2 U R U B
U F2 R F2 B2 U B'
U F2 R B2 F2 U B'
D' F2 U R U B R
U' F2 U2 R B2 U B'
U' F2 U2 B2 R U B
U' F2 D2 F2 L' U' B'
F2 D2 U' F2 L' U' B'
U F2 B2 R F2 U B
L2 B U L B R' U
L' B U2 L B U L'
F2 B U L B R U
B F U L B U F
F B U L B U F
D2 B' L' R' F2 U' L'
D B' L2 U' L R' U'
D B' L2 U' R' L U'
D2 B' R' L' F2 U' L'
D2 B' U' L' R' F2 U'
D2 B' U' L' F2 R' U'
D' B' U' L' R' U' R'
D2 B' U' R' L' F2 U'
D' B' U' R' L' U' R'
L B' U' L2 R' F U'
L B' U' L2 F R' U'
L B' U' R' L2 F U'
U B2 R U2 L' U' B
B F2 U L B R U
U B2 U2 L' R U' B'
U B2 U2 L' R' U' B'
U B2 U2 L' R2 U' B'
U B2 U2 L' U' D B'
U B2 U2 L' U' D' B'
U B2 U2 L' U' D2 B'
U B2 U2 L' U' B' D
U B2 U2 L' U' B' D'
U B2 U2 L' U' B' D2
U B2 U2 L' D U' B'
U B2 U2 L' D' U' B'
U B2 U2 L' D2 U' B'
U B2 U2 R L' U' B'
U B2 U2 R' L' U' B'
U B2 U2 R2 L' U' B'
U B2 U2 D L' U' B'
U B2 U2 D' L' U' B'
U B2 U2 D2 L' U' B'
U B2 D U2 L' U' B'
U B2 D' U2 L' U' B'
U B2 D2 U2 L' U' B'
U B2 F2 R F2 U B
