F' L R' B' L2 U'
F' L' R' U2 F U
F' R' L B' L2 U'
F' R' L' U2 F U
D2 F' L' R' B U'
L2 F' L' R' B' U'
D2 F' R' L' B U'
L2 F' R' L' B' U'
D2 F' R' B L' U'
L F' R' B' L' U'
F' D2 L' R' B U'
F' D2 R' L' B U'
F' D2 R' B L' U'
D F' L' R' U R2 U2
D F' L' R' U' D2 L2
D F' L' R' D B2 U'
D F' L' R' D2 U' L2
L F' L' D2 R' B U'
U' F' R' L B' U' F'
L2 F' R L' B' R2 U'
U' F' R' L2 U' F' L'
D2 F' R' L B L2 U'
D2 F' R' L' D B U'
D2 F' R' L' D' B U'
D2 F' R' L' D2 B U'
D2 F' R' L' B U' D
D2 F' R' L' B U' D'
D2 F' R' L' B U' D2
D2 F' R' L' B D U'
D2 F' R' L' B D' U'
D2 F' R' L' B D2 U'
D' F' R' L' B' U' L
L' F' R' L' U' D' L2
L' F' R' L' U2 F2 U
L' F' R' L' D' U' L2
L' F' R' L' D2 B2 U'
D2 F' R' D L' B U'
D2 F' R' D B L' U'
D2 F' R' D' L' B U'
D2 F' R' D' B L' U'
D2 F' R' D2 L' B U'
L' F' R' U2 F2 R U
D2 F' R' D2 B L' U'
L' F' R' D' L' U' L'
L' F' R' D2 L' B2 U'
L' F' R' D2 B2 L' U'
D2 F' R' B L' U' D
D2 F' R' B L' U' D'
D2 F' R' B L' U' D2
D2 F' R' B L' D U'
D2 F' R' B L' D' U'
D2 F' R' B L' D2 U'
L2 F' R' L' D B' U'
L2 F' R' L' D' B' U'
D2 F' R' B D L' U'
L2 F' R' L' D2 B' U'
D2 F' R' B D' L' U'
D2 F' R' B D2 L' U'
L2 F' R' L' B' U' D
L2 F' R' L' B' U' D'
L2 F' R' L' B' U' D2
L2 F' R' L' B' D U'
L2 F' R' L' B' D' U'
L2 F' R' L' B' D2 U'
D' F' R' B' L' U' L2
D2 F' R' B' L' B2 U'
L2 F' R' D L' B' U'
L2 F' R' D' L' B' U'
L2 F' R' D2 L' B' U'
D F' R' L' U R2 U2
D F' R' L' U' D2 L2
D F' R' L' D B2 U'
D F' R' L' D2 U' L2
U2 F' R' B L B' U'
L2 F' R' B L' B' U'
L2 F' R' B' L' B' U'
L2 F' R' B2 L' B' U'
D F' R' D L' B2 U'
D F' R' D B2 L' U'
L F' R B' L' R2 U'
L F' R B' R2 L' U'
L2 F' R2 L' B' R U'
D F' R' D2 L' U' L'
U F' R' L B' U' F
L F' R' D B' L' U'
L F' R' D' B' L' U'
L F' R' D2 B' L' U'
L F' R' B L' B2 U'
L F' R' B' L' U' D
L F' R' B' L' U' D'
L F' R' B' L' U' D2
L F' R' B' L' D U'
L F' R' B' L' D' U'
L F' R' B' L' D2 U'
L F' R' B' D L' U'
L F' R' B' D' L' U'
L F' R' B' D2 L' U'
L F' R' B2 L' B U'
L F' R2 B' L' R U'
L F' R2 B' R L' U'
F' D' L' R' B' U' L
F' D' L' D' R' B U'
L2 F' D L' R' B' U'
L2 F' D R' L' B' U'
D' F' D' L' R' B U'
L' F' D' L' R' U' L'
D' F' D' R' L' B U'
D' F' D' R' B L' U'
L' F' D' R' L' U' L'
L2 F' D' L' R' B' U'
L2 F' D' R' L' B' U'
U' F' D2 R' B U' F'
L' F' D2 L' R' B2 U'
L F' D R' B' L' U'
L' F' D2 R' L' B2 U'
L' F' D2 R' B2 L' U'
F' D' R' L' B' U' L
L2 F' D2 L' R' B' U'
L2 F' D2 R' L' B' U'
U2 F' D2 R' B L U'
L F' D' R' B' L' U'
F' D' R' B' L' U' L2
U2 F' B L B' R' U'
L2 F' B L' B' R' U'
L F' D2 R' B' L' U'
D2 F2 R' F L' B U'
D2 F2 R' F B L' U'
D2 F2 R' B F L' U'
L2 F2 R' F L' B' U'
L F2 R' F B' L' U'
L F2 R' B' F L' U'
F' D2 L R' B L2 U'
F' D2 L' R' D B U'
F' D2 L' R' D' B U'
F' D2 L' R' D2 B U'
F' D2 L' R' B U' D
F' D2 L' R' B U' D'
F' D2 L' R' B U' D2
F' D2 L' R' B D U'
F' D2 L' R' B D' U'
F' D2 L' R' B D2 U'
F' D2 R' L B L2 U'
F' D2 R' L' D B U'
F' D2 R' L' D' B U'
F' D2 R' L' D2 B U'
F' D2 R' L' B U' D
F' D2 R' L' B U' D'
F' D2 R' L' B U' D2
F' D2 R' L' B D U'
F' D2 R' L' B D' U'
F' D2 R' L' B D2 U'
F' D2 R' D L' B U'
F' D2 R' D B L' U'
F' D2 R' D' L' B U'
F' D2 R' D' B L' U'
F' D2 R' D2 L' B U'
F' D2 R' D2 B L' U'
F' D2 R' B L' U' D
F' D2 R' B L' U' D'
F' D2 R' B L' U' D2
F' D2 R' B L' D U'
F' D2 R' B L' D' U'
F' D2 R' B L' D2 U'
F' D2 R' B D L' U'
F' D2 R' B D' L' U'
F' D2 R' B D2 L' U'
F' D2 R' B' L' B2 U'
U2 B L F' B' R' U'
U2 B L B' F' R' U'
F D2 B2 L R F' U
F' B L B' L2 R' U'
F' B L B' R' L2 U'
F D2 B2 R L F' U
F D2 B2 R F' L U
U2 B F' L B' R' U'
L2 B F' L' B' R' U'
B2 F' L' U2 F L2 U
B F' L B' L2 R' U'
B F' L B' R' L2 U'
L B' D2 F' L' R U'
L B' D2 F' R L' U'
F' B2 L' U2 F L2 U
