F' D R U2 F'
U' L' U F' R U2
L' U L F' R U2
L' U F' L R U2
L' U F' R L U2
F' R2 D R' B U2
F' U2 D' F2 L' F
F' D R U2 D F'
F' D R U2 D' F'
F' D R U2 D2 F'
F' D R U2 F' D
F' D R U2 F' D'
F' D R U2 F' D2
F' D R D U2 F'
F' D R D' U2 F'
F' D R D2 U2 F'
F' D R B U2 F'
F' D R B' U2 F'
F' D R B2 U2 F'
F' D R' B R2 U2
F' D B R U2 F'
F' D B' R U2 F'
F' D B2 R U2 F'
F' D' U2 F2 L' F
F' B D R U2 F'
F' B' D R U2 F'
B' F' D R U2 F'
B2 F' D R U2 F'
B F' D R U2 F'
F' B2 D R U2 F'
L' F D2 U' B2 L' R'
L' F D2 U' B2 R' L'
U F D' L2 U L F
F' D R' D2 B U2 L2
F' D R' B R2 U2 D
F' D R' B R2 U2 D'
F' D R' B R2 U2 D2
F' D R' B R2 D U2
F' D R' B R2 D' U2
F' D R' B R2 D2 U2
F' D R' B U2 D2 L2
F' D R' B D2 U2 L2
F' D R' B' R2 B2 U2
F' D R' B2 R2 B' U2
F' D R2 D R' U2 F'
F' D R2 D' R' U2 F'
F' D R2 D2 R' U2 F'
F' D R2 B2 U2 L F
L' F' L R U' L' U'
F' D U2 F2 D2 L' F
F2 D F D R U2 F'
L2 F' L2 R U' L' U'
U' F' R U' F L' U'
L' F' R L U' L' U'
R' F' R F' U R U
L2 F' R L2 U' L' U'
D F' R U F' R U
F' D B R U2 D F'
F' D B R U2 D' F'
F' D B R U2 D2 F'
F' D B R U2 F' D
F' D B R U2 F' D'
F' D B R U2 F' D2
F' D B R D U2 F'
F' D B R D' U2 F'
F' D B R D2 U2 F'
F' D B R B U2 F'
F' D B R B' U2 F'
F' D B R B2 U2 F'
F' D B R' B R2 U2
F' D B' R U2 D F'
F' D B' R U2 D' F'
F' D B' R U2 D2 F'
F' D B' R U2 F' D
F' D B' R U2 F' D'
F' D B' R U2 F' D2
F' D B' R D U2 F'
F' D B' R D' U2 F'
F' D B' R D2 U2 F'
F' D B' R B U2 F'
F' D B' R B' U2 F'
F' D B' R B2 U2 F'
F' D B' R' B R2 U2
F' D B2 R U2 D F'
F' D B2 R U2 D' F'
F' D B2 R U2 D2 F'
F' D B2 R U2 F' D
F' D B2 R U2 F' D'
F' D B2 R U2 F' D2
F' D B2 R D U2 F'
F' D B2 R D' U2 F'
F' D B2 R D2 U2 F'
F' D B2 R B U2 F'
F' D B2 R B' U2 F'
F' D B2 R B2 U2 F'
F' D B2 R' B R2 U2
D F' U R F' R U
F' D' L R B' L' U2
D F' U F' R F' U
F' D' L B' L' R U2
F' D' L B' R L' U2
D F' U2 D' L' F L'
D F' U2 D' F L' F
U2 F' D R U2 F' R'
D F' D R' B R' U2
F' D' R L B' L' U2
F' D' R U' L' U' F
F' D' R U2 L' F L
D F' D B R' B U2
R F' D R U2 F' B
R F' D R U2 B F'
D F' D' U2 L' F L'
D F' D' U2 F L' F
D2 F' B D R' B U2
F' D' R2 D2 R' B U2
F' D' U F2 U L' F
F' D' U2 L' F2 L' F'
F' D' U2 F L' F L'
F' D' U2 F2 L' D F
F' D' U2 F2 L' D' F
F' D' U2 F2 L' D2 F
F' D' U2 F2 L' F D
F' D' U2 F2 L' F D'
F' D' U2 F2 L' F D2
F2 D' F D R U2 F'
F' D' B U2 F2 L' F
F' D' B D2 R U2 F'
F' D' B' U2 F2 L' F
F' D' B' D2 R U2 F'
F' D' B2 U2 F2 L' F
F' D' B2 D2 R U2 F'
F' D2 R B U R' U
F' D2 R B' U' L U'
F' D2 R2 D' R' B U2
U' B L' U F' R U2
F' D2 U2 F2 D L' F
F2 D2 F D R U2 F'
F D2 U2 B2 D L' F
F' D2 B R U R2 U
F' D2 B R U2 D' F2
F' D2 B R D B2 U2
F' D2 B R D' U2 F2
F' D2 B' R U' L U'
F' B R2 D R' B U2
D2 B F' D R' B U2
U' B' L' U F' R U2
F' B U2 D' F2 L' F
F' B D R U2 D F'
F' B D R U2 D' F'
F' B D R U2 D2 F'
F' B D R U2 F' D
F' B D R U2 F' D'
F' B D R U2 F' D2
F' B D R D U2 F'
F' B D R D' U2 F'
F' B D R D2 U2 F'
F' B D R B U2 F'
F' B D R B' U2 F'
F' B D R B2 U2 F'
F' B D R' B R2 U2
F' B D B R U2 F'
F' B D B' R U2 F'
F' B D B2 R U2 F'
F' B D' U2 F2 L' F
B' F' R2 D R' B U2
F' B' R2 D R' B U2
B2 F' R2 D R' B U2
B F' R2 D R' B U2
B' F' U2 D' F2 L' F
F' B' U2 D' F2 L' F
B2 F' U2 D' F2 L' F
B' F' D R U2 D F'
B' F' D R U2 D' F'
B' F' D R U2 D2 F'
B' F' D R U2 F' D
B' F' D R U2 F' D'
B' F' D R U2 F' D2
B' F' D R D U2 F'
B' F' D R D' U2 F'
B' F' D R D2 U2 F'
B' F' D R B U2 F'
B' F' D R B' U2 F'
B' F' D R B2 U2 F'
B' F' D R' B R2 U2
F' B' D R U2 D F'
F' B' D R U2 D' F'
F' B' D R U2 D2 F'
F' B' D R U2 F' D
F' B' D R U2 F' D'
F' B' D R U2 F' D2
F' B' D R D U2 F'
F' B' D R D' U2 F'
F' B' D R D2 U2 F'
F' B' D R B U2 F'
F' B' D R B' U2 F'
F' B' D R B2 U2 F'
F' B' D R' B R2 U2
B' F' D B R U2 F'
B' F' D B' R U2 F'
B2 F' D R U2 D F'
B2 F' D R U2 D' F'
B2 F' D R U2 D2 F'
B2 F' D R U2 F' D
B2 F' D R U2 F' D'
B2 F' D R U2 F' D2
B2 F' D R D U2 F'
B2 F' D R D' U2 F'
B2 F' D R D2 U2 F'
B2 F' D R B U2 F'
B2 F' D R B' U2 F'
B2 F' D R B2 U2 F'
B' F' D B2 R U2 F'
B2 F' D R' B R2 U2
B F' U2 D' F2 L' F
F' B' D B R U2 F'
F' B' D B' R U2 F'
F' B' D B2 R U2 F'
B2 F' D B R U2 F'
U' B2 L' U F' R U2
B2 F' D B' R U2 F'
B' F' D' U2 F2 L' F
B2 F' D B2 R U2 F'
B F' D R U2 D F'
B F' D R U2 D' F'
B F' D R U2 D2 F'
B F' D R U2 F' D
B F' D R U2 F' D'
B F' D R U2 F' D2
B F' D R D U2 F'
B F' D R D' U2 F'
B F' D R D2 U2 F'
B F' D R B U2 F'
B F' D R B' U2 F'
B F' D R B2 U2 F'
B F' D R' B R2 U2
F' B' D' U2 F2 L' F
B2 F' D' U2 F2 L' F
B F' D B R U2 F'
B F' D B' R U2 F'
B F' D B2 R U2 F'
B F' D' U2 F2 L' F
L' B2 U F' R U2 R2
F' B2 R2 D R' B U2
F' B2 U2 D' F2 L' F
F' B2 D R U2 D F'
F' B2 D R U2 D' F'
F' B2 D R U2 D2 F'
F' B2 D R U2 F' D
F' B2 D R U2 F' D'
F' B2 D R U2 F' D2
F' B2 D R D U2 F'
F' B2 D R D' U2 F'
F' B2 D R D2 U2 F'
F' B2 D R B U2 F'
F' B2 D R B' U2 F'
F' B2 D R B2 U2 F'
F' B2 D R' B R2 U2
F' B2 D B R U2 F'
F' B2 D B' R U2 F'
F' B2 D B2 R U2 F'
F' B2 D' U2 F2 L' F
