F R D' L2 B' L
D F L' D R B2
D F L' D B2 R
D F D L' R B2
D F D L' B2 R
D F D R L' B2
D F D R B2 L'
D F D B2 L' R
D F D B2 R L'
F D' L2 R B' L
F D' L2 B' L R
F D' L2 B' R L
F D' R L2 B' L
D2 B2 D' F L' R
D2 B2 D' F R L'
D B' F D B2 R L'
F B' D' L2 R B' L
F B' D' L2 B' L R
F B' D' L2 B' R L
F B' D' R L2 B' L
D2 B2 R F R D' L2
D2 B2 R F D' L2 R
D2 B2 R F D' R L2
F B2 R D' L2 B' L
D2 B2 D' R F L' R
D2 B2 D' R F R L'
D2 B2 D' R' F L' R
D2 B2 D' R' F R L'
D2 B2 D' R2 F L' R
D2 B2 D' R2 F R L'
D2 B2 D' F L' R D
D2 B2 D' F L' R D'
D2 B2 D' F L' R D2
D2 B2 D' F L' D R
D2 B2 D' F L' D' R
D2 B2 D' F L' D2 R
D2 B2 D' F R L' D
D2 B2 D' F R L' D'
D2 B2 D' F R L' D2
D2 B2 D' F R D L'
D2 B2 D' F R D' L'
D2 B2 D' F R D2 L'
D2 B2 D' F D L' R
D2 B2 D' F D R L'
D2 B2 D' F D' L' R
D2 B2 D' F D' R L'
D2 B2 D' F D2 L' R
D2 B2 D' F D2 R L'
D2 B2 F R U' F' U
D B2 F L' D R B2
D B2 F L' D B2 R
D B2 F D L' R B2
D B2 F D L' B2 R
D B2 F D R L' B2
D B2 F D R B2 L'
D B2 F D B2 L' R
D B2 F D B2 R L'
F B2 D' L2 R B' L
F B2 D' L2 B' L R
F B2 D' L2 B' R L
F B2 D' R L2 B' L
