R2 L F' U F
L R2 F' U F
D' L R2 F' U F
D L R2 F' U F
F2 L R2 F' U F'
D2 L R2 F' U F
R2 L D F' U F
R2 L D' F' U F
F L U2 B U' F'
F2 L U2 B U' F2
R2 L D2 F' U F
R' L F U F' L'
F2 L D R2 F' U
R2 L F' R U F
R2 L F' R' U F
R2 L F' R2 U F
R2 L F' U D F
R2 L F' U D' F
R2 L F' U D2 F
R2 L F' U F D
R2 L F' U F D'
R2 L F' U F D2
R2 L F' D U F
R2 L F' D' U F
R2 L F' D2 U F
L R' F U F' L'
L R2 D F' U F
L R2 D' F' U F
L R2 D2 F' U F
L R2 F' R U F
L R2 F' R' U F
L R2 F' R2 U F
L R2 F' U D F
L R2 F' U D' F
L R2 F' U D2 F
L R2 F' U F D
L R2 F' U F D'
L R2 F' U F D2
L R2 F' D U F
L R2 F' D' U F
L R2 F' D2 U F
F2 R2 L F' U F'
D2 R2 L F' U F
D' R2 L F' U F
D R2 L F' U F
L U2 B L2 U' F
L U2 B U B' U2
R2 D L F' U F
F' R2 F' L U F2
F2 R2 F' L U F'
L D R2 F' U F
R2 D' L F' U F
L D' R2 F' U F
R2 D2 L F' U F
L D2 R2 F' U F
B U' B' L U L'
R' F L U F' L'
R2 F L F2 U F
F2 D L R2 F' U
L F U2 B U' F'
F2 D R2 L F' U
F2 D R2 F' L U
L F' R2 F' U F2
L F' U2 B U' F
L F2 R2 F' U F'
L F2 U2 B U' F2
L F2 D R2 F' U
U B2 R' B' U' R
L R' F' R' F' U F2
R2 L' F' U D' F B2
R2 L' F' U D' B2 F
R2 L' F' U F D' B2
L R' F' U F' L' F2
R2 L' F' D' U F B2
R2 L' F' D' U B2 F
L R' F2 R' F' U F'
L R' F2 U F' L' F'
U2 L' B U2 L2 U F
L2 R2 D L' F' U F
R2 L2 D L' F' U F
L R2 D F' R U F
L R2 D F' R' U F
L R2 D F' R2 U F
L R2 D F' U D F
L R2 D F' U D' F
L R2 D F' U D2 F
L R2 D F' U F D
L R2 D F' U F D'
L R2 D F' U F D2
L R2 D F' D U F
L R2 D F' D' U F
L R2 D F' D2 U F
U' L' B2 L2 F U R'
L2 R2 D' L' F' U F
R2 L2 D' L' F' U F
L' R2 D' F' U F B2
L' R2 D' F' U B2 F
L R2 D' F' R U F
L R2 D' F' R' U F
L R2 D' F' R2 U F
L R2 D' F' U D F
L R2 D' F' U D' F
L R2 D' F' U D2 F
L R2 D' F' U F D
L R2 D' F' U F D'
L R2 D' F' U F D2
L R2 D' F' D U F
L R2 D' F' D' U F
L R2 D' F' D2 U F
L2 R2 D2 L' F' U F
R2 L2 D2 L' F' U F
R L2 D2 L' F U F'
L R2 D2 F' R U F
L R2 D2 F' R' U F
L R2 D2 F' R2 U F
L R2 D2 F' U D F
L R2 D2 F' U D' F
L R2 D2 F' U D2 F
L R2 D2 F' U F D
L R2 D2 F' U F D'
L R2 D2 F' U F D2
L R2 D2 F' D U F
L R2 D2 F' D' U F
L R2 D2 F' D2 U F
L' R2 F L2 F2 U F
R' L2 F U F' L' B'
L R2 F U D' L2 F'
L R2 F U D' F' L2
L R2 F D' U L2 F'
L R2 F D' U F' L2
L' R2 F' L2 U' B' U2
L' R2 F' U D' F B2
L' R2 F' U D' B2 F
L' R2 F' U F D' B2
L R2 F' R U D F
L R2 F' R U D' F
L R2 F' R U D2 F
L R2 F' R U F D
L R2 F' R U F D'
L R2 F' R U F D2
L R2 F' R D U F
L R2 F' R D' U F
L R2 F' R D2 U F
L' R2 F' D' U F B2
L' R2 F' D' U B2 F
L R2 F' R' U D F
L R2 F' R' U D' F
L R2 F' R' U D2 F
L R2 F' R' U F D
L R2 F' R' U F D'
L R2 F' R' U F D2
L R2 F' R' D U F
L R2 F' R' D' U F
L R2 F' R' D2 U F
L R2 F' R2 U D F
L R2 F' R2 U D' F
L R2 F' R2 U D2 F
L R2 F' R2 U F D
L R2 F' R2 U F D'
L R2 F' R2 U F D2
L R2 F' R2 D U F
L R2 F' R2 D' U F
L R2 F' R2 D2 U F
L R2 F' U R F R'
L R2 F' U R2 F R2
L R2 F' U D F D
L R2 F' U D F D'
L R2 F' U D F D2
L R2 F' U D' F D
L R2 F' U D' F D'
L R2 F' U D' F D2
L R2 F' U D2 F D
L R2 F' U D2 F D'
L R2 F' U D2 F D2
L R2 F' U F2 D F'
L R2 F' U F2 D' F'
L R2 F' U F2 D2 F'
L R2 F' U' B U2 F
L R2 F' U' B' U2 F
L R2 F' U' B2 U2 F
L R2 F' D R U F
L R2 F' D R' U F
L R2 F' D R2 U F
L R2 F' D U F D
L R2 F' D U F D'
L R2 F' D U F D2
L R2 F' D' R U F
L R2 F' D' R' U F
L R2 F' D' R2 U F
L R2 F' D' U F D
L R2 F' D' U F D'
L R2 F' D' U F D2
L R2 F' D2 R U F
L R2 F' D2 R' U F
L R2 F' D2 R2 U F
L R2 F' D2 U F D
L R2 F' D2 U F D'
L R2 F' D2 U F D2
L R2 F2 R F U F
L R2 F2 R' F U F
L R2 F2 R2 F U F
L R2 F2 D R2 F U
L R2 F2 D F R2 U
B2 L2 U' F B2 L U
B2 L2 U' B2 F L U
F2 L2 D L' R2 F' U
F2 L2 D R2 L' F' U
L U L U L' B U'
L U L U B L' U'
L U L' U L B U'
B2 L2 F B2 L U F'
L U L2 U L2 B U'
L U L2 U B L2 U'
B2 L2 B2 F L U F'
L' U D2 B R2 U' R2
L2 U F2 B R U' R'
L' U B D2 R2 U' R2
B R U' B' L U L'
L U B R U' R' B'
L U B R' U' R B'
L U B R' U' B' R
L U B R2 U' R2 B'
L U B R2 U' B' R2
L2 U B F2 R U' R'
R U B2 R' B U' R
L U' R2 U F' R2 U
F' R' L U F' L' F
F2 R' L U F' L' F'
D2 R' L F U F' L'
D' R' L F U F' L'
F2 R' L F' U F' L'
D R' L F U F' L'
R2 U' F L F2 U R
R2 U' F' L U' L' U2
U2 R' U2 L F U F'
B R' U' B' L U L'
D2 R' F L U F' L'
D' R' F L U F' L'
B2 R' D2 F2 B' U' F2
L U2 L B L2 U' F
L U2 L B U B' U2
B2 R' D2 B' F2 U' F2
D R' F L U F' L'
L U2 L' B L2 U' F
L U2 L' B U B' U2
F2 R' F' L U F' L'
F' R' F2 L U F' L'
L U2 L2 B L2 U' F
L U2 L2 B U B' U2
B2 R' B' L2 F U' F'
L U2 D B L2 U' F
L U2 D B U B' U2
D2 R2 L D F' U F
D' R2 L D F' U F
D2 R2 L D' F' U F
F' R2 L D F' R U
D' R2 L D' F' U F
D2 R2 L D2 F' U F
D' R2 L D2 F' U F
D2 R2 L F' R U F
D2 R2 L F' R' U F
D2 R2 L F' R2 U F
D2 R2 L F' U D F
D2 R2 L F' U D' F
D2 R2 L F' U D2 F
D2 R2 L F' U F D
D2 R2 L F' U F D'
D2 R2 L F' U F D2
D2 R2 L F' D U F
D2 R2 L F' D' U F
D' R2 L F' R U F
D2 R2 L F' D2 U F
D' R2 L F' R' U F
D' R2 L F' R2 U F
D' R2 L F' U D F
D' R2 L F' U D' F
D' R2 L F' U D2 F
D' R2 L F' U F D
D' R2 L F' U F D'
D' R2 L F' U F D2
D' R2 L F' D U F
D' R2 L F' D' U F
D' R2 L F' D2 U F
F2 R2 L D F' R2 U
F2 R2 L F' U D F'
F2 R2 L F' U D' F'
F2 R2 L F' U D2 F'
F2 R2 L F' U F' D
F2 R2 L F' U F' D'
F2 R2 L F' U F' D2
F2 R2 L F' D U F'
F2 R2 L F' D' U F'
F2 R2 L F' D2 U F'
D R2 L D F' U F
L U2 D' B L2 U' F
L U2 D' B U B' U2
D R2 L D' F' U F
D R2 L D2 F' U F
D R2 L F' R U F
D R2 L F' R' U F
D R2 L F' R2 U F
D R2 L F' U D F
D R2 L F' U D' F
D R2 L F' U D2 F
D R2 L F' U F D
D R2 L F' U F D'
D R2 L F' U F D2
D R2 L F' D U F
D R2 L F' D' U F
D R2 L F' D2 U F
F R2 L F' R2 U F'
F R2 L F' U' B U2
F2 R2 L' F' L2 U F'
L U2 D2 B L2 U' F
L U2 D2 B U B' U2
U' R2 U L F' R2 U
U' R2 U F' L R2 U
U' R2 U F' R2 L U
L' U2 B U2 L2 U F
U2 R2 U2 L F' U F
B R2 U' B' L U L'
L U2 B L2 U' D F
L U2 B L2 U' D' F
L U2 B L2 U' D2 F
L U2 B L2 U' F D
L U2 B L2 U' F D'
L U2 B L2 U' F D2
L U2 B L2 D U' F
L U2 B L2 D' U' F
L U2 B L2 D2 U' F
D2 R2 D L F' U F
D' R2 D L F' U F
L U2 B U D B' U2
L U2 B U D' B' U2
L U2 B U D2 B' U2
L U2 B U B' U2 D
L U2 B U B' U2 D'
L U2 B U B' U2 D2
L U2 B U B' D U2
L U2 B U B' D' U2
L U2 B U B' D2 U2
L U2 B U' L2 F L2
U R2 U2 L F' U R2
L U2 B D L2 U' F
L U2 B D U B' U2
L U2 B D' L2 U' F
L U2 B D' U B' U2
F2 R2 D L F' R2 U
L U2 B D2 L2 U' F
L U2 B D2 U B' U2
F' R2 D F' L U F2
D R2 D L F' U F
U R2 U2 F' L U R2
F2 R2 D F' L R2 U
D2 R2 D' L F' U F
F2 R2 D F' R2 L U
D' R2 D' L F' U F
R' D L R' F' U F
F' R2 D' F' L U F2
D R2 D' L F' U F
R' D L F U F' L'
D2 R2 D2 L F' U F
D' R2 D2 L F' U F
L U2 B2 D B' L2 U'
L U2 B2 D2 B' U' F2
R2 D L D F' U F
R2 D L D' F' U F
F' R2 D2 F' L U F2
R2 D L D2 F' U F
D R2 D2 L F' U F
R2 D L F' R U F
R2 D L F' R' U F
R2 D L F' R2 U F
R2 D L F' U D F
R2 D L F' U D' F
R2 D L F' U D2 F
R2 D L F' U F D
R2 D L F' U F D'
R2 D L F' U F D2
R2 D L F' D U F
R2 D L F' D' U F
R2 D L F' D2 U F
D2 R2 F L F2 U F
D' R2 F L F2 U F
F' R2 F L F2 U F2
L2 D L' R2 F' U F
D R2 F L F2 U F
F' R2 F' L R U F2
F' R2 F' L R' U F2
F' R2 F' L R2 U F2
F' R2 F' L U F2 D
F' R2 F' L U F2 D'
F' R2 F' L U F2 D2
F' R2 F' L D R2 U
F' R2 F' R L U F2
F' R2 F' R' L U F2
F2 R2 F' L U D F'
F2 R2 F' L U D' F'
F2 R2 F' L U D2 F'
F2 R2 F' L U F' D
F2 R2 F' L U F' D'
F2 R2 F' L U F' D2
F2 R2 F' L D U F'
F2 R2 F' L D' U F'
F2 R2 F' L D2 U F'
F' R2 F' R2 L U F2
F' R2 F' D L R2 U
F' R2 F' D R2 L U
F2 R2 F' D L U F'
F2 R2 F' D' L U F'
F R2 F' L R2 U F'
F R2 F' L U' B U2
F2 R2 F' D2 L U F'
R' D R' L F' U F
F R2 F' R2 L U F'
L2 D R2 L' F' U F
L D R' F U F' L'
L D R2 D F' U F
L D R2 D' F' U F
L D R2 D2 F' U F
L D R2 F' R U F
L D R2 F' R' U F
L D R2 F' R2 U F
L D R2 F' U D F
L D R2 F' U D' F
L D R2 F' U D2 F
L D R2 F' U F D
L D R2 F' U F D'
L D R2 F' U F D2
L D R2 F' D U F
L D R2 F' D' U F
L D R2 F' D2 U F
R' D F L U F' L'
R2 D F L F2 U F
L D U2 B L2 U' F
L D U2 B U B' U2
L D F U2 B U' F'
L D F' R2 F' U F2
L D F' U2 B U' F
L D F2 R2 F' U F'
B2 U R' D' B' U' R2
B2 U R' D2 F2 B' U'
B2 U R' D2 B' F2 U'
L D F2 U2 B U' F2
L D F2 D R2 F' U
B2 U R' B' U2 B' U
R' D' L R' F' U F
R' D' L F U F' L'
R2 D' L D F' U F
B2 U D2 R' F2 B' U'
B2 U D2 R' B' F2 U'
R2 D' L D' F' U F
R2 D' L D2 F' U F
R2 D' L F' R U F
R2 D' L F' R' U F
R2 D' L F' R2 U F
R2 D' L F' U D F
R2 D' L F' U D' F
R2 D' L F' U D2 F
R2 D' L F' U F D
R2 D' L F' U F D'
R2 D' L F' U F D2
B2 U D2 F2 R' B' U'
R2 D' L F' D U F
R2 D' L F' D' U F
R2 D' L F' D2 U F
L2 D' L' R2 F' U F
R D' L F U L' F'
R' D' R' L F' U F
D' U B2 R' B' U' R
D2 U B2 R' B' U' R
D U B2 R' B' U' R
L' D' R2 F' U F B2
L' D' R2 F' U B2 F
L2 D' R2 L' F' U F
U D B2 R' B' U' R
L D' R' F U F' L'
B2 U B' U2 B' L U
L D' R2 D F' U F
L D' R2 D' F' U F
L D' R2 D2 F' U F
L D' R2 F' R U F
L D' R2 F' R' U F
L D' R2 F' R2 U F
L D' R2 F' U D F
L D' R2 F' U D' F
L D' R2 F' U D2 F
L D' R2 F' U F D
L D' R2 F' U F D'
L D' R2 F' U F D2
L D' R2 F' D U F
L D' R2 F' D' U F
L D' R2 F' D2 U F
R' D' F L U F' L'
B2 U' L B2 L F U
R2 D' F L F2 U F
L D' U2 B L2 U' F
L D' U2 B U B' U2
R D' F L U L2 F'
R D' F L U F' L2
B2 U' L2 F B2 L U
L D' F U2 B U' F'
B2 U' L2 B2 F L U
L D' F' R2 F' U F2
L D' F' U2 B U' F
L D' F2 R2 F' U F'
L D' F2 U2 B U' F2
L D' F2 D R2 F' U
R' D2 L R' F' U F
R' D2 L F U F' L'
R2 D2 L D F' U F
R2 D2 L D' F' U F
R2 D2 L D2 F' U F
R2 D2 L F' R U F
R2 D2 L F' R' U F
R2 D2 L F' R2 U F
R2 D2 L F' U D F
R2 D2 L F' U D' F
R2 D2 L F' U D2 F
R2 D2 L F' U F D
R2 D2 L F' U F D'
R2 D2 L F' U F D2
R2 D2 L F' D U F
R2 D2 L F' D' U F
R2 D2 L F' D2 U F
L2 D2 L' R2 F' U F
U D' B2 R' B' U' R
R D2 L' F L2 U F'
B U' F B' L U L'
R' D2 R' L F' U F
B U' F' B' L U L'
B U' F2 B' L U L'
L2 D2 R2 L' F' U F
L D2 R' F U F' L'
B U' B' L U L' D
B U' B' L U L' D'
B U' B' L U L' D2
B U' B' L U D L'
B U' B' L U D' L'
B U' B' L U D2 L'
B U' B' L D U L'
B U' B' L D' U L'
B U' B' L D2 U L'
L' D2 U B R2 U' R2
B2 U' B2 L U2 B U'
L D2 R2 D F' U F
L D2 R2 D' F' U F
L D2 R2 D2 F' U F
B U' B' D L U L'
L D2 R2 F' R U F
L D2 R2 F' R' U F
L D2 R2 F' R2 U F
L D2 R2 F' U D F
L D2 R2 F' U D' F
L D2 R2 F' U D2 F
L D2 R2 F' U F D
L D2 R2 F' U F D'
L D2 R2 F' U F D2
L D2 R2 F' D U F
L D2 R2 F' D' U F
L D2 R2 F' D2 U F
B U' B' D' L U L'
B U' B' D2 L U L'
B U' B' F L U L'
B U' B' F' L U L'
B U' B' F2 L U L'
R' D2 F L U F' L'
R2 D2 F L F2 U F
L D2 U2 B L2 U' F
L D2 U2 B U B' U2
L D2 F U2 B U' F'
L D2 F' R2 F' U F2
L D2 F' U2 B U' F
L D2 F2 R2 F' U F'
L D2 F2 U2 B U' F2
L D2 F2 D R2 F' U
R' F L U L F' L'
R' F L U L' F' L'
R' F L U L2 F' L'
R' F L U D F' L'
R' F L U D' F' L'
R' F L U D2 F' L'
R' F L U F' L' D
R' F L U F' L' D'
R' F L U F' L' D2
R' F L U F' D L'
R' F L U F' D' L'
R' F L U F' D2 L'
D' F L U2 B U' F'
R' F L D U F' L'
R' F L D' U F' L'
D2 F L U2 B U' F'
R' F L D2 U F' L'
U D2 B2 R' B' U' R
R2 F L U D' L2 F'
R2 F L U D' F' L2
R2 F L D' U L2 F'
R2 F L D' U F' L2
D F L U2 B U' F'
R2 F L F2 R U F
R2 F L F2 R' U F
R2 F L F2 R2 U F
R2 F L F2 U D F
R2 F L F2 U D' F
R2 F L F2 U D2 F
R2 F L F2 U F D
R2 F L F2 U F D'
R2 F L F2 U F D2
R2 F L F2 D U F
R2 F L F2 D' U F
R2 F L F2 D2 U F
L' F L2 U2 B U' F'
R' F U F' L' D' B2
B U2 B' L R2 U F'
B U2 B' L U' B U2
F' U2 B2 R' B' U' F
B U2 B' R2 L U F'
F2 U2 B2 R' B' U' F2
L F R2 F' R2 U F'
L F R2 F' U' B U2
F2 D L R2 D F' U
F2 D L R2 D' F' U
F2 D L R2 D2 F' U
F2 D L R2 F' U D
F2 D L R2 F' U D'
F2 D L R2 F' U D2
F2 D L R2 F' D U
F2 D L R2 F' D' U
F2 D L R2 F' D2 U
L F U F' U B U'
F2 D L F R2 F' U
F2 D L F' R2 F' U
F2 D L F2 R2 F' U
R' F D L U F' L'
F2 D L' R2 F' L2 U
F D L U2 B U' F'
L F U2 L B U' F'
R' F D' L U F' L'
L F U2 L' B U' F'
L F U2 L2 B U' F'
L F U2 D B U' F'
L F U2 D' B U' F'
L F U2 D2 B U' F'
L F U2 B L U' F'
L F U2 B L' U' F'
L F U2 B L2 U' F'
L F U2 B U' D F'
L F U2 B U' D' F'
L F U2 B U' D2 F'
L F U2 B U' F' D
L F U2 B U' F' D'
L F U2 B U' F' D2
L F U2 B D U' F'
L F U2 B D' U' F'
L F U2 B D2 U' F'
R' F D2 L U F' L'
R2 F D' L U L F'
R2 F D' L U F' L
L F D U2 B U' F'
L F D' U2 B U' F'
F2 D R2 L D F' U
F2 D R2 L D' F' U
F2 D R2 L D2 F' U
F2 D R2 L F' U D
F2 D R2 L F' U D'
F2 D R2 L F' U D2
F2 D R2 L F' D U
F2 D R2 L F' D' U
