B L D' B2
B L U' L2 U
B' L D' B2 L
B L D' B2 D
B L D' B2 D'
B L D' B2 D2
U' L F L2 U
B L B D' B2
B L B' D' B2
B L B2 D' B2
U' L' U2 B' U'
L2 U' L F U
B U' L' U L2
L D' B L B
B D L D' B2
B D' L D' B2
B D2 L D' B2
D B L D' B2
D' B L D' B2
D2 B L D' B2
L B D' L B2
L2 B D L B'
L B' D' B2 L
B' L D' L2 B2 D' L
B' L D' L2 B2 D2 L
B L D' L B L' B
D L D' L' B L B
B L D' L B2 L' D
B L D' L B2 L' D'
B L D' L B2 L' D2
B L D' L B2 D L'
B L D' L B2 D' L'
B L D' L B2 D2 L'
D L D' L2 B L B
B L D' L2 B L2 B
B L D' L2 B2 L2 D
B L D' L2 B2 L2 D'
B L D' L2 B2 L2 D2
B L D' R' B' R B'
B L D' R' B2 R D
B L D' R' B2 R D'
B L D' R' B2 R D2
B L D' R' B2 D R
B L D' R' B2 D' R
B L D' R' B2 D2 R
B' L D' U2 R' U2 B2
B L D' R2 B' R2 B'
B L D' R2 B2 R2 D
B L D' R2 B2 R2 D'
B L D' R2 B2 R2 D2
B L D' U R U' B2
B L D' U R' U' B2
B L D' U R2 U' B2
U' L D' F L U B2
U' L D' F L' U B2
B L D' U' L U B2
U' L D' F L2 U B2
B L D' U' L' U B2
B L D' U' L2 U B2
B' L D' F B2 L F'
U' L D' F U B2 D
U' L D' F U B2 D'
U' L D' F U B2 D2
U' L D' F D L2 U
B L D' U2 F U2 B2
B L D' U2 F' U2 B2
B L D' U2 F2 U2 B2
D' L D' B L D B
D' L D' B L D' B
D' L D' B L D2 B
D' L D' B L B D
D' L D' B L B D'
D' L D' B L B D2
D' L D' B L' B L2
D' L D' B L2 B L'
D2 L D' B L D B
D2 L D' B L D' B
D2 L D' B L D2 B
D2 L D' B L B D
D2 L D' B L B D'
D2 L D' B L B D2
D2 L D' B L' B L2
D2 L D' B L2 B L'
D' L D' B D L B
D' L D' B D' L B
D' L D' B D2 L B
B' L D' F2 B2 L F2
B' L D' F2 B2 L F2
D2 L D' B D L B
B' L D' B L B L
D2 L D' B D' L B
B' L D' B L' B L
D2 L D' B D2 L B
B' L D' B L2 B L
B L D' F B2 D F'
B L D' F B2 D' F'
B L D' F B2 D2 F'
B' L D' B D B L
B' L D' B D' B L
B' L D' B D2 B L
D L D' B L D B
D L D' B L D' B
D L D' B L D2 B
D L D' B L B D
D L D' B L B D'
D L D' B L B D2
D L D' B L' B L2
D L D' B L2 B L'
B L D' F' B2 D F
B L D' F' B2 D' F
B L D' F' B2 D2 F
D L D' B D L B
D L D' B D' L B
D L D' B D2 L B
B' L D' B2 L2 D L'
B' L D' B2 L2 D' L'
B' L D' B2 L2 D2 L'
B L D' B L B L'
B L D' B L2 B L2
B' L D' B2 D L D
B' L D' B2 D L D'
B' L D' B2 D L D2
B' L D' B2 D' L D
B' L D' B2 D' L D'
B' L D' B2 D' L D2
B' L D' B2 D2 L D
B' L D' B2 D2 L D'
B' L D' B2 D2 L D2
B' L D' B2 F L F'
B2 L D' B' D B' L
B' L D' B2 F2 L F2
B L D' B D B D
B L D' B D B D'
B L D' B D B D2
B L D' B D' B D
B L D' B D' B D'
B L D' B D' B D2
B L D' B D2 B D
B L D' B D2 B D'
B L D' B D2 B D2
B' L D2 L D B2 L
B L D' B' R' B' R
B L D' B' R2 B' R2
B L D' B' D B' D
B L D' B' D B' D'
B L D' B' D B' D2
B L D' B' D' B' D
B L D' B' D' B' D'
B L D' B' D' B' D2
B L D' B' D2 B' D
B L D' B' D2 B' D'
B L D' B' D2 B' D2
B L D' B2 L D L'
B L D' B2 L D' L'
B L D' B2 L D2 L'
B' L D2 L' D B2 L
B L D' B2 L' D L
B L D' B2 L' D' L
B L D' B2 L' D2 L
B L D' B2 R D R'
B L D' B2 R D' R'
B L D' B2 R D2 R'
B L D' B2 R' D R
B L D' B2 R' D' R
B L D' B2 R' D2 R
B L D' B2 F D F'
B L D' B2 F D' F'
B L D' B2 F D2 F'
B L D' B2 F' D F
B L D' B2 F' D' F
B L D' B2 F' D2 F
B' L D2 L2 D B2 L
B L D2 L D L' B2
B L D2 L D B2 L'
B L D2 L' D L B2
B L D2 U R2 U' D
B L D2 U R2 U' D'
B L D2 U R2 U' D2
B L D2 U R2 D U'
B L D2 U R2 D' U'
B L D2 U R2 D2 U'
U' L D2 F U D B2
U' L D2 F U2 R2 U'
U' L D2 F D U B2
U' L D2 F D2 L2 U
D' L D2 B L D B2
D2 L D2 B L D B2
D' L D2 B D L B2
D2 L D2 B D L B2
B L D2 F D F' B2
B L D2 F D B2 F'
D' L D2 B' D B2 L
D L D2 B L D B2
D2 L D2 B' D B2 L
B L D2 F' D F B2
B L D2 F' D B2 F
D L D2 B D L B2
B' L D2 B2 L D B2
D L D2 B' D B2 L
B' L D2 B2 D L B2
B L D2 B U R2 U'
B L D2 B D B2 D
B L D2 B D B2 D'
B L D2 B D B2 D2
U' L F L D L U
B L D2 B' U R2 U'
U' L F L D' L U
U' L F L D2 L U
B L D2 B' D B2 D
B L D2 B' D B2 D'
B L D2 B' D B2 D2
U' L F L' D L' U
B L D2 B2 U R2 U'
U' L F L' D' L' U
U' L F L' D2 L' U
B L D2 B2 D B2 D
B L D2 B2 D B2 D'
B L D2 B2 D B2 D2
U' L F U D' B2 D
U' L F U D' B2 D'
U' L F U D' B2 D2
U' L F U B D' B2
U' L F U B' D' B2
U' L F U B2 D' B2
U' L F U' D F2 U2
R' L B R D' L B2
U' L F U2 D2 R2 U'
B L F U' L2 U F'
U' L F D U' F2 U2
U' L F D' L U B2
U' L F D' L' U B2
U' L F D' L2 U B2
B' L F D' F' B2 L
U' L F D' U B2 D
U' L F D' U B2 D'
U' L F D' U B2 D2
B' L F D' B2 L F'
B' L F D' B2 F' L
U' L F D2 U2 R2 U'
R2 L B R2 D' L B2
B L F D' F' B2 D
B L F D' F' B2 D'
B L F D' F' B2 D2
B L F D' B2 D F'
B L F D' B2 D' F'
B L F D' B2 D2 F'
B L F D' B2 F' D
B L F D' B2 F' D'
B L F D' B2 F' D2
U' L F B' L2 B U
B L F D2 F' D B2
U' L F B2 L2 B2 U
R' L B D' L R B2
R' L B D' L B2 R
R' L B D' R L B2
B L F B D' F' B2
B L F B D' B2 F'
U' L F' L F2 L U
B L F B' D' F' B2
B L F B' D' B2 F'
L2 R B D L B' R'
B L F B2 D' F' B2
B L F B2 D' B2 F'
U' L F' L2 U D' L2
U' L F' L2 D' U L2
U' L F' L2 F2 U D
U' L F' L2 F2 U D'
U' L F' L2 F2 U D2
U' L F' L2 F2 D U
U' L F' L2 F2 D' U
U' L F' L2 F2 D2 U
U' L F' U D' L2 B2
U' L F' U D' B2 L2
U' L F' D' U L2 B2
B' L F' D' F B2 L
U' L F' D' U B2 L2
B' L F' D' B2 F L
B L F' D' F B2 D
B L F' D' F B2 D'
B L F' D' F B2 D2
B L F' D' B2 D F
B L F' D' B2 D' F
B L F' D' B2 D2 F
B L F' D' B2 F D
B L F' D' B2 F D'
B L F' D' B2 F D2
F L F' B L D' B2
B L F' D2 F D B2
B L F' B D' F B2
B L F' B D' B2 F
U' L F2 L F' L U
R' L B' D' B2 L R
R' L B' D' B2 R L
B L F' B' D' F B2
B L F' B' D' B2 F
B L F' B2 D' F B2
B L F' B2 D' B2 F
U' L F2 L2 D F' U
U' L F2 L2 D' F' U
U' L F2 L2 D2 F' U
U' L F2 L2 F' U D
U' L F2 L2 F' U D'
U' L F2 L2 F' U D2
U' L F2 L2 F' D U
U' L F2 L2 F' D' U
U' L F2 L2 F' D2 U
B L F2 U' L2 U F2
U' L F2 D' F' U B2
F2 L F2 B L D' B2
D2 L B L U' L U
D' L B L U' L U
B L F2 D' B2 D F2
D L B L U' L U
D2 L B U' L2 U L'
D' L B U' L2 U L'
B L B R D' R' B2
B L B R' D' R B2
B L B R' D' B2 R
D2 L B D L D2 B2
D' L B D L D2 B2
D L B U' L2 U L'
D2 L B D' L B2 D
D2 L B D' L B2 D'
D2 L B D' L B2 D2
D2 L B D' L' B2 L2
D2 L B D' L2 B2 L'
D' L B D' L B2 D
D' L B D' L B2 D'
D' L B D' L B2 D2
D' L B D' L' B2 L2
D' L B D' L2 B2 L'
B L B U D2 R2 U'
D2 L B D2 L D B2
B L B U' L2 U D
B L B U' L2 U D'
B L B U' L2 U D2
B L B U' L2 D U
B L B U' L2 D' U
D' L B D2 L D B2
B L B U' L2 D2 U
D L B D L D2 B2
B L B U2 D F2 U2
D L B D' L B2 D
D L B D' L B2 D'
D L B D' L B2 D2
D L B D' L' B2 L2
D L B D' L2 B2 L'
B2 L B D' L B2 L
B' L B D' B L B
B2 L B D' L' B2 L
B2 L B D' L2 B2 L
D L B D2 L D B2
B L B D U2 F2 U2
B2 L B D' B2 L D
B2 L B D' B2 L D'
B2 L B D' B2 L D2
B2 L B D' B2 D L
B2 L B D' B2 D' L
B2 L B D' B2 D2 L
B L B D B D2 B2
B L B D B' D2 B2
B L B D B2 D2 B2
B L B D' L B2 L'
B L B D' L2 B2 L2
B L B D' R' B2 R
B L B D' R2 B2 R2
B L B D' B D B
B L B D' B D' B
B L B D' B D2 B
B L B D' B' D B'
B L B D' B' D' B'
B L B D' B' D2 B'
F2 L B F2 L D' B2
B L B D2 U R2 U'
B L B D2 B D B2
B L B D2 B' D B2
B L B D2 B2 D B2
F L B F' L D' B2
B L B F D' F' B2
B L B F D' B2 F'
B2 L B' L U' L U
B L B F' D' F B2
B L B F' D' B2 F
B L B' R D' R' B2
B L B' R' D' R B2
B L B' R' D' B2 R
D2 L B' D' L B2 L
D2 L B' D' L' B2 L
D2 L B' D' L2 B2 L
B2 L B' U' L2 U L'
D' L B' D' L B2 L
D' L B' D' L' B2 L
D' L B' D' L2 B2 L
D2 L B' D' B2 L D
D2 L B' D' B2 L D'
D2 L B' D' B2 L D2
D2 L B' D' B2 D L
D2 L B' D' B2 D' L
D2 L B' D' B2 D2 L
B L B' U D2 R2 U'
D' L B' D' B2 L D
D' L B' D' B2 L D'
D' L B' D' B2 L D2
D' L B' D' B2 D L
D' L B' D' B2 D' L
D' L B' D' B2 D2 L
B L B' U' L2 U D
B L B' U' L2 U D'
B L B' U' L2 U D2
B L B' U' L2 D U
B L B' U' L2 D' U
B L B' U' L2 D2 U
B2 L B' D L D2 B2
D L B' D' L B2 L
B L B' U2 D F2 U2
D L B' D' L' B2 L
D L B' D' L2 B2 L
B2 L B' D' L B2 D
B2 L B' D' L B2 D'
B2 L B' D' L B2 D2
B2 L B' D' L' B2 L2
B2 L B' D' L2 B2 L'
D L B' D' B2 L D
D L B' D' B2 L D'
D L B' D' B2 L D2
D L B' D' B2 D L
D L B' D' B2 D' L
D L B' D' B2 D2 L
B L B' D U2 F2 U2
B2 L B' D2 L D B2
U' L B' F L2 B U
B L B' D B D2 B2
B L B' D B' D2 B2
B L B' D B2 D2 B2
B L B' D' L B2 L'
B L B' D' L2 B2 L2
B L B' D' R' B2 R
B L B' D' R2 B2 R2
B L B' D' B D B
B L B' D' B D' B
B L B' D' B D2 B
B L B' D' B' D B'
B L B' D' B' D' B'
B L B' D' B' D2 B'
B L B' D2 U R2 U'
B L B' D2 B D B2
B L B' D2 B' D B2
B L B' D2 B2 D B2
B' L B2 L U' L U
B L B' F D' F' B2
B L B' F D' B2 F'
B L B' F' D' F B2
B L B' F' D' B2 F
B L B2 R D' R' B2
B' L B2 U' L2 U L'
B L B2 R' D' R B2
B L B2 R' D' B2 R
B' L B2 D L D2 B2
B L B2 U D2 R2 U'
B L B2 U' L2 U D
B L B2 U' L2 U D'
B L B2 U' L2 U D2
B L B2 U' L2 D U
B L B2 U' L2 D U
B L B2 U' L2 D' U
B L B2 U' L2 D2 U
B' L B2 D' L B2 D
B' L B2 D' L B2 D'
B' L B2 D' L B2 D2
B' L B2 D' L' B2 L2
B' L B2 D' L2 B2 L'
B' L B2 D2 L D B2
B L B2 U2 D F2 U2
B2 L B2 D' B L B
B L B2 D U2 F2 U2
U' L B2 F L2 B2 U
B L B2 D B D2 B2
B L B2 D B' D2 B2
B L B2 D B2 D2 B2
B L B2 D' L B2 L'
B L B2 D' L2 B2 L2
B L B2 D' R' B2 R
B L B2 D' R2 B2 R2
B L B2 D' B D B
B L B2 D' B D' B
B L B2 D' B D2 B
B L B2 D' B' D B'
B L B2 D' B' D' B'
B L B2 D' B' D2 B'
B L B2 D2 U R2 U'
B L B2 D2 B D B2
B L B2 D2 B' D B2
B L B2 D2 B2 D B2
B L B2 F D' F' B2
B L B2 F D' B2 F'
B L B2 F' D' F B2
B L B2 F' D' B2 F
L R' D' R B L B
L R' D' B L B R
D2 L' U R B U' B'
D' L' U R B U' B'
U' L' U L2 U' F U
F2 L' U R B U' F2
D L' U R B U' B'
D2 L' U B' U' B L
B L' U D' B2 U' B2
D' L' U B' U' B L
U' L' U B D B' L2
B' L' U B2 U' L B2
B2 L' U B' U' L B
D L' U B' U' B L
B L' U B U' B' L2
B L' U B' U' L2 B
B L' U B' U' B L2
B L' U B2 U' L2 B2
B L' U B2 U' B2 L2
U' L' U' R U' B' U'
U' L' U' R' U' B' U'
U' L' U' R2 U' B' U'
B L' U' F' U L2 B'
B' L' U2 R' U' R U'
U' L' U2 R' B' R U'
U' L' U2 R2 B' R2 U'
U' L' U2 D B' U' D
U' L' U2 D B' U' D'
U' L' U2 D B' U' D2
U' L' U2 D B' D U'
U' L' U2 D B' D' U'
U' L' U2 D B' D2 U'
U' L' U2 D' B' U' D
U' L' U2 D' B' U' D'
U' L' U2 D' B' U' D2
U' L' U2 D' B' D U'
U' L' U2 D' B' D' U'
U' L' U2 D' B' D2 U'
U' L' U2 D2 B' U' D
U' L' U2 D2 B' U' D'
U' L' U2 D2 B' U' D2
U' L' U2 D2 B' D U'
U' L' U2 D2 B' D' U'
U' L' U2 D2 B' D2 U'
U' L' U2 B U' D L2
U' L' U2 B D U' L2
U' L' U2 B2 D B U'
U' L' U2 B2 D' B U'
U' L' U2 B2 D2 B U'
B' L' D L2 D' B2 L
U' L' D L2 F L2 U
B L' D L2 D' L2 B2
B L' D L2 D' B2 L2
U' L' D U2 B' U' D
U' L' D U2 B' U' D'
U' L' D U2 B' U' D2
U' L' D U2 B' D U'
U' L' D U2 B' D' U'
U' L' D U2 B' D2 U'
U' L' D F U2 B' U'
U' L' D F' U2 B' U'
U' L' D F2 U2 B' U'
U' L' D' L2 F L2 U
B' L' D' L2 D' B2 L
L2 R' B R D L B'
L R' B R D' L B2
U' L' D' U2 B' U' D
U' L' D' U2 B' U' D'
U' L' D' U2 B' U' D2
U' L' D' U2 B' D U'
U' L' D' U2 B' D' U'
U' L' D' U2 B' D2 U'
U' L' D' F U2 B' U'
L2 R' B D L R B'
L2 R' B D L B' R
U' L' D' F' U2 B' U'
L2 R' B D R L B'
B L' D' U B2 U' B2
F' L' D' B L F B'
F' L' D' B L B' F
U' L' D' F2 U2 B' U'
L R' B D' L R B2
L R' B D' L B2 R
L R' B D' R L B2
B' L' D2 L2 D' B2 L
U' L' D2 L2 F L2 U
U' L' D2 U2 B' U' D
U' L' D2 U2 B' U' D'
U' L' D2 U2 B' U' D2
U' L' D2 U2 B' D U'
U' L' D2 U2 B' D' U'
U' L' D2 U2 B' D2 U'
U' L' D2 F U2 B' U'
U' L' D2 F' U2 B' U'
U' L' D2 F2 U2 B' U'
L R' B' D' B2 L R
L R' B' D' B2 R L
U' L' F L2 F L2 U
B L' F L2 D' F' B2
B L' F L2 D' B2 F'
B L' F L2 F' D' B2
U' L' F U2 D B' U'
U' L' F U2 D' B' U'
U' L' F U2 D2 B' U'
U' L' F U2 B' U' D
U' L' F U2 B' U' D'
U' L' F U2 B' U' D2
U' L' F U2 B' D U'
U' L' F U2 B' D' U'
U' L' F U2 B' D2 U'
U' L' F D U2 B' U'
U' L' F D' U2 B' U'
U' L' F D2 U2 B' U'
U' L' F' L2 F L2 U
U' L' F' U2 D B' U'
U' L' F' U2 D' B' U'
U' L' F' U2 D2 B' U'
U' L' F' U2 B' U' D
U' L' F' U2 B' U' D'
U' L' F' U2 B' U' D2
U' L' F' U2 B' D U'
U' L' F' U2 B' D' U'
U' L' F' U2 B' D2 U'
U' L' F' D U2 B' U'
