F2 U F' L' B'
F2 L U F' L' B'
F L' R' F' U F
F2 L' U F' L' B'
F L' F U F' L'
F2 L2 U F' L' B'
F2 L2 U F' L' B'
F R' L' F' U F
D R' F' U F2 B
D R' F' U B F2
F2 U L' F' B' L'
F2 U L' B' F' L'
F2 U D F' L' B'
F2 U D' F' L' B'
F2 U D2 F' L' B'
F2 U D2 F' L' B'
F2 U F' L' D B'
F2 U F' L' D' B'
F2 U F' L' D2 B'
F2 U F' L' B' D
F2 U F' L' B' D'
F2 U F' L' B' D2
F2 U F' D L' B'
F2 U F' D' L' B'
F2 U F' D2 L' B'
F2 U F' B L' B'
F2 U F' B' L' B'
F2 U F' B2 L' B'
F2 U B F' L' B'
F2 U B' F' L' B'
F2 U B2 F' L' B'
R' F L' F2 U F2
F2 D U F' L' B'
R' F' U2 R U' F2
F2 D' U F' L' B'
F2 D2 U F' L' B'
R' F' U F2 U' L' U
R' F' U2 L R U' F2
R' F' U2 L' R U' F2
R' F' U2 L2 R U' F2
R' F' U2 R L U' F2
R' F' U2 R L' U' F2
R' F' U2 R L2 U' F2
U F' U R U' L' F2
R' F' U2 R U' F2 D
R' F' U2 R U' F2 D'
R' F' U2 R U' F2 D2
R' F' U2 R D' L2 U'
F2 D' L U F' L' B'
R' F' U2 D' L2 R U'
R' F' U2 D' R L2 U'
R' F' D R2 U2 R' U'
F2 D' L' U F' L' B'
F2 D' L2 U F' L' B'
F D' L' R' F' U F
R' F' D' U2 L2 R U'
R' F' D' U2 R L2 U'
F D' L' F U F' L'
R F' U2 B R U' F2
F' D' R B L2 F U'
F D' R' L' F' U F
F2 D' U L' F' B' L'
F2 D' U L' B' F' L'
F2 D' U F' L' D B'
F2 D' U F' L' D' B'
F2 D' U F' L' D2 B'
F2 D' U F' L' B' D
F2 D' U F' L' B' D'
F2 D' U F' L' B' D2
F2 D' U F' D L' B'
F2 D' U F' D' L' B'
F2 D' U F' D2 L' B'
F2 D' U F' B L' B'
F2 D' U F' B' L' B'
F2 D' U F' B2 L' B'
D' F2 L U F' B' L'
D' F2 L U B' F' L'
F2 D' U B F' L' B'
F2 D' U B' F' L' B'
F2 D' U B2 F' L' B'
F D' F U F' L' B'
D' F2 U L F' B' L'
D' F2 U L B' F' L'
D' F2 U L2 F' L' B'
D' F2 U F' L B' L2
L F2 R' F' L' U F
F2 D2 L U F' L' B'
L2 F2 U' B' R' F' U2
L F2 U F' L' F B'
L F2 U F' L' B' F
F2 D2 L' U F' L' B'
F2 D2 L2 U F' L' B'
F D2 L' R' F' U F
F D2 L' F U F' L'
F D2 R' L' F' U F
F2 D2 U L' F' B' L'
F2 D2 U L' B' F' L'
F2 D2 U F' L' D B'
F2 D2 U F' L' D' B'
F2 D2 U F' L' D2 B'
F2 D2 U F' L' B' D
F2 D2 U F' L' B' D'
F2 D2 U F' L' B' D2
F2 D2 U F' D L' B'
F2 D2 U F' D' L' B'
F2 D2 U F' D2 L' B'
F2 D2 U F' B L' B'
F2 D2 U F' B' L' B'
F2 D2 U F' B2 L' B'
F2 D2 U B F' L' B'
F2 D2 U B' F' L' B'
F2 D2 U B2 F' L' B'
F D2 F U F' L' B'
U' B U2 D' F L B'
U' B U2 F L D' B2
U' B D' U2 F L B'
B' F U' L' B U L
B' F U' B L' U L2
U' B' D R' U2 F B
U' B' D R' U2 B F
F B' U' L' B U L
F B' U' B L' U L2
