D2 R2 B U L2
D2 R2 B U L2
U2 L2 D F' B2 U'
U2 L2 D B2 F' U'
F' L2 D2 R2 U' L2
U2 L2 D2 F' U' L2
U2 L2 F' U R2 U2
U2 L2 F' U' D2 L2
U2 L2 F' D B2 U'
U2 L2 F' D2 U' L2
D2 R2 D F2 B U
D2 R2 D B F2 U
D2 R2 F B U L2
D2 R2 F' B U L2
D2 R2 F2 B U L2
D2 R2 B U L2 D
D2 R2 B U L2 D'
D2 R2 B U L2 D2
D2 R2 B D F2 U
D2 R2 B F U L2
D2 R2 B F' U L2
D2 R2 B F2 U L2
U2 D F' B2 U' F'
U2 D B2 F' U' F'
L2 D2 F' R2 U' L2
D U2 F' B2 U' F'
D U2 B2 F' U' F'
U2 F' L2 U R2 U2
U2 F' L2 U' D2 L2
U2 F' L2 D B2 U'
U2 F' L2 D2 U' L2
U2 F' D B2 U' F2
L2 F' D2 R2 U' L2
B' D2 R2 B U L2
B2 D2 R2 B U L2
B D2 R2 B U L2
F D2 R2 B2 U L2
D2 B R2 B U L2
R2 B U2 L2 U' L2
F D2 B2 R2 U L2
D2 B' R2 B U L2
D2 B2 R2 B U L2
D2 R' F' R' B U L2
R2 U2 L2 U2 B U L2
D2 R' F2 R' B U L2
F' R2 L2 U2 L2 U L2
D2 R2 L2 B L2 U L2
D2 R2 U L2 U' B U
U' R2 U D B U F2
U' R2 U D2 B R2 U
U' R2 U B U D F2
U' R2 U B U2 L2 U'
U' R2 U B D U F2
U' R2 U B D2 R2 U
U' R2 U' L2 U2 B U
U2 R2 U' L2 R2 F' U'
U2 R2 U' R2 L2 F' U'
U2 R2 U' R2 F' L2 U'
F2 R2 U2 F L2 U' L2
F R2 U2 L2 F2 U' L2
U' R2 D U B U F2
D2 R2 D F2 D B U
D2 R2 D F2 D' B U
D2 R2 D F2 D2 B U
D2 R2 D F2 B U D
D2 R2 D F2 B U D'
D2 R2 D F2 B U D2
D2 R2 D F2 B D U
D2 R2 D F2 B D' U
D2 R2 D F2 B D2 U
F R2 U2 F2 L2 U' L2
D2 R2 D B U D' L2
D2 R2 D B D' U L2
D2 R2 D B F2 U D
D2 R2 D B F2 U D'
D2 R2 D B F2 U D2
D2 R2 D B F2 D U
D2 R2 D B F2 D' U
D2 R2 D B F2 D2 U
R2 U2 B2 L2 F U' L2
D R2 D B R2 U L2
D' R2 D' B R2 U L2
D2 R2 D' B U2 B U'
U' R2 D' B2 U B' U
U' R2 D2 U B R2 U
D2 R2 D2 B U D2 L2
D2 R2 D2 B U' R2 U2
D2 R2 D2 B D' F2 U
D2 R2 D2 B D2 U L2
D2 R2 F D F2 B U
D2 R2 F D B F2 U
D2 R2 F B U L2 D
D2 R2 F B U L2 D'
D2 R2 F B U L2 D2
D2 R2 F B D F2 U
D2 R2 F' D F2 B U
D2 R2 F' D B F2 U
D2 R2 F' B U L2 D
D2 R2 F' B U L2 D'
D2 R2 F' B U L2 D2
D2 R2 F' B D F2 U
D2 R2 F2 D F2 B U
D2 R2 F2 D B F2 U
D' R2 F2 D' B R2 U
D' R2 F2 D2 B U F2
D' R2 F2 B R2 U F'
D' R2 F2 B U' B U2
D2 R2 F2 B U L2 D
D2 R2 F2 B U L2 D'
D2 R2 F2 B U L2 D2
D2 R2 F2 B D F2 U
D' R2 B R2 F2 U F
D2 R2 B U L D L
D2 R2 B U L D' L
D2 R2 B U L D2 L
D2 R2 B U L' D L'
D2 R2 B U L' D' L'
D2 R2 B U L' D2 L'
D2 R2 B U F L2 F'
D2 R2 B U F2 L2 F2
D2 R2 B U B' L2 B
D2 R2 B U B2 L2 B2
D2 R2 B U' R U2 L2
D2 R2 B U' R' U2 L2
D2 R2 B U' R2 U2 L2
D2 R2 B U' D2 R2 U2
D2 R2 B U2 D' B2 U'
D2 R2 B U2 B U' L2
D2 R2 B U2 B' U' L2
D2 R2 B U2 B2 U' L2
B' R2 B U2 L2 U' L2
D2 R2 B D F2 U D
D2 R2 B D F2 U D'
D2 R2 B D F2 U D2
D2 R2 B D F2 D U
D2 R2 B D F2 D' U
D2 R2 B D F2 D2 U
D2 R2 B D' U2 B2 U'
D2 R2 B D2 U' R2 U2
D2 R2 B F U L2 D
D2 R2 B F U L2 D'
D2 R2 B F U L2 D2
D2 R2 B F D F2 U
B2 R2 B U2 L2 U' L2
D2 R2 B F' U L2 D
D2 R2 B F' U L2 D'
D2 R2 B F' U L2 D2
D2 R2 B F' D F2 U
D' R2 B F2 R2 U F'
D2 R2 B F2 U L2 D
D2 R2 B F2 U L2 D'
D2 R2 B F2 U L2 D2
D' R2 B F2 U' B U2
D2 R2 B F2 D F2 U
D R2 B R2 F' U F'
B R2 B U2 L2 U' L2
D2 R2 B' U L2 D' R2
D R2 B U2 B U' F2
D R2 B D R2 F' U
U' R2 B' D L2 U2 F2
U' R2 B' D' B2 U2 R2
U' R2 B2 U' L2 F U'
D2 R2 B2 D F2 B' U
D2 R2 B2 D B' F2 U
R2 D U B U F2 B'
R2 D U B U B' F2
R D U F R F L'
U2 D L F' B2 U' F'
U2 D L B2 F' U' F'
U2 D L' F' B2 U' F'
D2 U L2 U' R2 B U
U2 D L' B2 F' U' F'
R D F U F L' R
R D F U F R L'
L2 D F' R2 B2 U' B'
U2 D L2 F' B2 U' F'
U2 D L2 B2 F' U' F'
L2 D F' B2 R2 U' B
L2 D F' B2 U F' U2
F U R D F2 L' R2
F U R D F2 R2 L'
R2 D B R' U F2 L'
R2 D B U F2 D' L2
F' U R2 D' B2 U2 B2
F U R' D R2 F2 L'
D2 U R2 B U B' L2
L' D B2 L' F' R' U'
L2 D B2 D F' R2 U'
L2 D B2 D2 F' U' B2
D U F D R2 F L2
L2 D B2 F' R2 U' B
D U F D F L2 R2
D U F D F R2 L2
L2 D B2 F' U F' U2
U2 D F' L B2 U' F'
U2 D F' L' B2 U' F'
F U D R2 F2 D L2
U2 D F' L2 B2 U' F'
F U D F2 R2 D L2
U D F D R2 F L2
U D F D F L2 R2
U D F D F R2 L2
U2 D F' U' D L2 F'
U2 D F' U' D F' L2
U2 D F' U' F' D L2
U2 D F' D U' L2 F'
U2 D F' D U' F' L2
U2 D F' B2 L U' F'
U2 D F' B2 L' U' F'
U2 D F' B2 L2 U' F'
U2 D F' B2 U' D F'
U2 D F' B2 U' D' F'
U2 D F' B2 U' D2 F'
U2 D F' B2 U' F' D
U2 D F' B2 U' F' D'
U2 D F' B2 U' F' D2
U2 D F' B2 D U' F'
U2 D F' B2 D' U' F'
U2 D F' B2 D2 U' F'
D U F' B2 U' F' B2
D U F' B2 U' B2 F'
F U D2 L2 D' R2 F2
F U D2 L2 D' F2 R2
U D F' B2 U' F' B2
U D F' B2 U' B2 F'
D U F2 U F B2 U'
D U F2 U B2 F U'
U D F2 U F B2 U'
U D F2 U B2 F U'
U2 D B2 L F' U' F'
U2 D B2 L' F' U' F'
U2 D B2 L' F' U' F'
U2 D B2 L2 F' U' F'
U2 D B2 D' L2 F' U'
U2 D B2 D' F' L2 U'
U2 D B2 F' L U' F'
U2 D B2 F' L' U' F'
U2 D B2 F' L2 U' F'
U2 D B2 F' U' D F'
U2 D B2 F' U' D' F'
U2 D B2 F' U' D2 F'
U2 D B2 F' U' F' D
U2 D B2 F' U' F' D'
U2 D B2 F' U' F' D2
U2 D B2 F' D U' F'
U2 D B2 F' D' U' F'
U2 D B2 F' D2 U' F'
D U B2 F' U' F' B2
D U B2 F' U' B2 F'
U D B2 F' U' F' B2
U D B2 F' U' B2 F'
L2 D' F' R2 B U' B
L2 D' F' U2 F' U B2
L2 D' F' D' R2 B U'
F' U' R2 U' L2 U' R2
F' U' R2 U2 R2 D F2
F2 U' R2 U' F L2 U'
F U' R2 U' L2 F2 U'
F U' R2 U' F2 L2 U'
F U' R2 U2 D R2 F2
F U' R2 U2 D F2 R2
F U' R2 D U2 R2 F2
F U' R2 D U2 F2 R2
F U' R2 D' L2 B2 U2
F U' R2 D' B2 L2 U2
R2 D' B2 U B' U B
D U2 L F' B2 U' F'
D U2 L B2 F' U' F'
D U2 L' F' B2 U' F'
D U2 L' B2 F' U' F'
L2 D2 R2 U2 B U L2
U D2 L2 U' R2 B U
D U2 L2 F' B2 U' F'
D U2 L2 B2 F' U' F'
R2 D2 U B R2 U B'
L2 D2 F R2 F2 U' L2
F' U2 L2 U R2 U2 R2
U D2 R2 B U B' L2
B' U2 L2 D F' B2 U'
D2 U2 F' U' L2 D' F2
B' U2 L2 D B2 F' U'
D2 U2 F' U2 R2 U L2
B' U2 L2 D2 F' U' L2
B' U2 L2 F' U R2 U2
B' U2 L2 F' U' D2 L2
B2 U2 L2 D F' B2 U'
B' U2 L2 F' D B2 U'
D2 U2 F' D' B2 U' F2
B' U2 L2 F' D2 U' L2
B2 U2 L2 D B2 F' U'
B2 U2 L2 D2 F' U' L2
B2 U2 L2 F' U R2 U2
B2 U2 L2 F' U' D2 L2
B2 U2 L2 F' D B2 U'
B2 U2 L2 F' D2 U' L2
L2 D2 F' R2 U' L2 D
L2 D2 F' R2 U' L2 D'
L2 D2 F' R2 U' L2 D2
L2 D2 F' R2 D' B2 U'
L2 D2 F' R2 B U' L2
L2 D2 F' R2 B' U' L2
L2 D2 F' R2 B2 U' L2
U2 D2 F' U' L2 D' F2
L2 D2 F' U' L2 D B2
U2 D2 F' U2 R2 U L2
D U2 F' L B2 U' F'
D U2 F' L' B2 U' F'
D U2 F' L2 B2 U' F'
U2 D2 F' D' B2 U' F2
L2 D2 F' B R2 U' L2
L2 D2 F' B' R2 U' L2
L2 D2 F' B2 R2 U' L2
B U2 L2 D F' B2 U'
B U2 L2 D B2 F' U'
D U2 F' U' D L2 F'
D U2 F' U' D F' L2
D U2 F' U' F' D L2
B U2 L2 D2 F' U' L2
D U2 F' D U' L2 F'
D U2 F' D U' F' L2
B U2 L2 F' U R2 U2
B U2 L2 F' U' D2 L2
B U2 L2 F' D B2 U'
B U2 L2 F' D2 U' L2
F U2 L2 D B2 U' R2
L2 D2 F2 R2 F U' L2
D U2 F' B2 L U' F'
D U2 F' B2 L' U' F'
D U2 F' B2 L2 U' F'
D U2 F' B2 U' D F'
D U2 F' B2 U' D' F'
D U2 F' B2 U' D2 F'
D U2 F' B2 U' F' D
D U2 F' B2 U' F' D'
D U2 F' B2 U' F' D2
D U2 F' B2 D U' F'
D U2 F' B2 D' U' F'
D U2 F' B2 D2 U' F'
F U2 L2 F2 U R2 U2
F U2 L2 F2 U' D2 L2
F U2 L2 F2 D B2 U'
F U2 L2 F2 D2 U' L2
R2 D2 B R2 U D2 L2
R2 D2 B R2 U' R2 U2
R2 D2 B R2 D' F2 U
R2 D2 B R2 D2 U L2
L2 D2 B F' R2 U' L2
B' U2 D F' B2 U' F'
L2 D2 B' F' R2 U' L2
B' U2 D B2 F' U' F'
B2 U2 D F' B2 U' F'
F2 U2 D F B2 U' F
B2 U2 D B2 F' U' F'
D U2 B2 L F' U' F'
F2 U2 D B2 F U' F
D U2 B2 L' F' U' F'
D U2 B2 L2 F' U' F'
L2 D2 B2 F' R2 U' L2
B U2 D F' B2 U' F'
D U2 B2 D' L2 F' U'
D U2 B2 D' F' L2 U'
B U2 D B2 F' U' F'
D U2 B2 F' L U' F'
D U2 B2 F' L' U' F'
D U2 B2 F' L2 U' F'
D U2 B2 F' U' D F'
D U2 B2 F' U' D' F'
D U2 B2 F' U' D2 F'
D U2 B2 F' U' F' D
D U2 B2 F' U' F' D'
D U2 B2 F' U' F' D2
D U2 B2 F' D U' F'
D U2 B2 F' D' U' F'
D U2 B2 F' D2 U' F'
F U2 D B2 U' R2 F2
F U2 D B2 U' F2 R2
F2 U2 F L2 U R2 U2
F2 U2 F L2 U' D2 L2
F2 U2 F L2 D B2 U'
F2 U2 F L2 D2 U' L2
F2 U2 F D B2 U' F2
B' U2 F' L2 U R2 U2
B' U2 F' L2 U' D2 L2
B' U2 F' L2 D B2 U'
B' U2 F' L2 D2 U' L2
B2 U2 F' L2 U R2 U2
B2 U2 F' L2 U' D2 L2
B2 U2 F' L2 D B2 U'
B2 U2 F' L2 D2 U' L2
U2 F L2 D B2 U' R2
B' U2 F' D B2 U' F2
U2 F L2 F2 U R2 U2
U2 F L2 F2 U' D2 L2
U2 F L2 F2 D B2 U'
U2 F L2 F2 D2 U' L2
B2 U2 F' D B2 U' F2
B U2 F' L2 U R2 U2
B U2 F' L2 U' D2 L2
B U2 F' L2 D B2 U'
B U2 F' L2 D2 U' L2
B U2 F' D B2 U' F2
U F R D F2 L' R2
U F R D F2 R2 L'
D2 F R2 U L2 D R2
F U2 F2 L2 U R2 U2
F U2 F2 L2 U' D2 L2
F U2 F2 L2 D B2 U'
F U2 F2 L2 D2 U' L2
D2 F R2 U2 F2 U' L2
D2 F R2 D F2 U R2
F U2 F2 D B2 U' F2
U F R' D R2 F2 L'
D F U D R2 F L2
D F U D F L2 R2
D F U D F R2 L2
F' D L' B2 R' U' F2
D F U2 F2 B2 U' F'
D F U2 B2 F2 U' F'
U2 F D B2 U' R2 F2
U2 F D B2 U' F2 R2
D F D U R2 F L2
D F D U F L2 R2
D F D U F R2 L2
U F D R2 F2 D L2
U F D F2 R2 D L2
D' F D2 F B2 U F
D' F D2 B2 F U F
U F D2 L2 D' R2 F2
U F D2 L2 D' F2 R2
D F D2 F2 B2 U F'
D F D2 B2 F2 U F'
R2 F B U2 L2 U' L2
F D U R2 F2 D L2
U2 F' L D L B2 U'
B' D U2 F' B2 U' F'
U2 F' L D2 L U' L
F D U F2 R2 D L2
B' D U2 B2 F' U' F'
B2 D U2 F' B2 U' F'
F2 D U2 F B2 U' F
B2 D U2 B2 F' U' F'
U' F' L2 U R2 U2 B'
F2 D U2 B2 F U' F
U' F' L2 U' D2 B' L2
U' F' L2 U' B' D2 L2
U2 F' L' D L' B2 U'
U2 F' L' D B2 L' U'
U' F' L2 D B2 U' B
U2 F' L' D2 L' U' L'
U' F' L2 D2 U' B' L2
B D U2 F' B2 U' F'
B D U2 B2 F' U' F'
U2 F' L2 U R2 U2 D
U2 F' L2 U R2 U2 D'
U2 F' L2 U R2 U2 D2
U2 F' L2 U R2 D U2
U2 F' L2 U R2 D' U2
U2 F' L2 U R2 D2 U2
U2 F' L2 U' L D2 L2
U2 F' L2 U' L' D2 L2
U2 F' L2 U' L2 D2 L2
U2 F' L2 U' D2 L2 D
U2 F' L2 U' D2 L2 D'
U2 F' L2 U' D2 L2 D2
U2 F' L2 U2 D' F2 U
F D U2 B2 U' R2 F2
F D U2 B2 U' F2 R2
U2 F' L2 D B2 U' D
U2 F' L2 D B2 U' D'
U2 F' L2 D B2 U' D2
U2 F' L2 D B2 D U'
U2 F' L2 D B2 D' U'
U2 F' L2 D B2 D2 U'
U2 F' L2 D' U2 F2 U
U2 F' L2 D2 U' L2 D
U2 F' L2 D2 U' L2 D'
U2 F' L2 D2 U' L2 D2
U2 F' L2 D2 B U' L2
U2 F' L2 D2 B' U' L2
U2 F' L2 D2 B2 U' L2
U2 F' L2 B U R2 U2
U2 F' L2 B U' D2 L2
U2 F' L2 B D B2 U'
U2 F' L2 B D2 U' L2
U2 F' L2 B' U R2 U2
U2 F' L2 B' U' D2 L2
U2 F' L2 B' D B2 U'
U2 F' L2 B' D2 U' L2
U2 F' L2 B2 U R2 U2
U2 F' L2 B2 U' D2 L2
U2 F' L2 B2 D B2 U'
U2 F' L2 B2 D2 U' L2
U F' L2 D B2 U' B2
L2 F' R' U' D' B2 L
D2 F' R2 U L2 D2 R2
L2 F' R' D' U' B2 L
L2 F' R2 U2 L2 U L2
U2 F' U R2 U' L2 U'
L2 F' U R2 U L2 U
U2 F' U R2 U2 D F2
U2 F' U R2 D U2 F2
L2 F' U R2 U2 D' B2
U2 F' U R2 D' B2 U2
L2 F' U R2 D F2 U2
L2 F' U R2 D' U2 B2
F' D B2 U' F2 D2 B2
U2 F' U' D F2 D L2
U2 F' U' D2 L2 D' F2
L2 F' U' D' B2 D' L2
L2 F' U' D2 L2 D B2
D F' U' D F' L2 B'
L2 F' U2 L2 U D2 L2
L2 F' U2 L2 U' R2 U2
L2 F' U2 L2 D' F2 U
L2 F' U2 L2 D2 U L2
D F' U' F' D L2 B'
L2 F' U2 D' F2 U B2
U2 F' U2 D2 R2 U L2
U2 F' D L B2 U' F2
U2 F' D L' B2 U' F2
U2 F' D L2 B2 U' F2
U2 F' D U' F2 D L2
U2 F' D B2 L U' F2
U2 F' D B2 L' U' F2
U2 F' D B2 L2 U' F2
U2 F' D B2 U' F2 D
U2 F' D B2 U' F2 D'
U2 F' D B2 U' F2 D2
L2 F' D B2 U F2 U2
L2 F' D B2 U' D2 B2
U2 F' D B2 D' L2 U'
L2 F' D B2 D R2 U'
L2 F' D B2 D2 U' B2
D F' D U' F' L2 B'
L2 F' D' U' B2 D' L2
L2 F' D' U2 F2 U B2
U F' D F2 D L2 R2
U F' D F2 D R2 L2
U F' D B2 U' F2 B2
U F' D B2 U' B2 F2
L2 F' D2 R2 U' L2 D
L2 F' D2 R2 U' L2 D'
L2 F' D2 R2 U' L2 D2
L2 F' D2 R2 D' B2 U'
L2 F' D2 R2 B U' L2
L2 F' D2 R2 B' U' L2
L2 F' D2 R2 B2 U' L2
U2 F' D2 U' L2 D' F2
L2 F' D2 U' L2 D B2
U2 F' D2 U2 R2 U L2
L2 F' D2 B R2 U' L2
L2 F' D2 B' R2 U' L2
L2 F' D2 B2 R2 U' L2
U2 F' B L2 U R2 U2
U2 F' B L2 U' D2 L2
U2 F' B L2 D B2 U'
U2 F' B L2 D2 U' L2
U2 F' B D B2 U' F2
L2 F' B D2 R2 U' L2
U2 F' B' L2 U R2 U2
R2 F' B U2 L2 U' L2
U2 F' B' L2 U' D2 L2
U2 F' B' L2 D B2 U'
U2 F' B' L2 D2 U' L2
U2 F' B' D B2 U' F2
L2 F' B' D2 R2 U' L2
U2 F' B2 L2 U R2 U2
U2 F' B2 L2 U' D2 L2
U2 F' B2 L2 D B2 U'
U2 F' B2 L2 D2 U' L2
U2 F' B2 D B2 U' F2
L2 F' B2 D2 R2 U' L2
D' F2 L2 B' L2 U F
F' D' F2 D2 B2 U F2
F2 D' F2 D' R2 B U
D2 F2 R2 U2 F U' L2
F D' F2 U D2 R2 F2
F D' F2 U D2 F2 R2
F D' F2 U' L2 B2 U2
F D' F2 U' B2 L2 U2
F D' F2 D' R2 B2 U
F D' F2 D' B2 R2 U
F D' F2 D2 U R2 F2
F D' F2 D2 U F2 R2
D' F2 U' B2 U' F U'
D F2 U F B2 U' B2
D F2 U B2 F U' B2
D' F2 U2 D F L2 U'
D' F2 U2 D2 F U' F
D' F2 U2 F U B2 U2
D' F2 U2 F U' D2 F2
D' F2 U2 F D L2 U'
D' F2 U2 F D2 U' F2
D' F2 D U2 F L2 U'
D' F2 D' R2 U2 F U'
U2 F2 D F B2 U' F
U2 F2 D B2 F U' F
D' F2 D2 U2 F U' F
F D2 L2 D' R2 F2 B2
F D2 L2 D' R2 B2 F2
F D2 L2 D' F2 R2 B2
F D2 L2 D' F2 B2 R2
F D2 L2 D' B2 R2 F2
F D2 L2 D' B2 F2 R2
L2 F2 D2 R2 F U' L2
L2 F2 D2 F R2 U' L2
B' D2 R2 D F2 B U
B' D2 R2 D B F2 U
F' D2 R2 U L2 D2 R2
B' D2 R2 F B U L2
B' D2 R2 F' B U L2
B' D2 R2 F2 B U L2
B' D2 R2 B U L2 D
B' D2 R2 B U L2 D'
B' D2 R2 B U L2 D2
B' D2 R2 B D F2 U
B' D2 R2 B F U L2
B' D2 R2 B F' U L2
B' D2 R2 B F2 U L2
F D2 R B2 R U L2
B2 D2 R2 D F2 B U
B2 D2 R2 D B F2 U
F2 D2 R2 U2 F U' L2
B2 D2 R2 F B U L2
B2 D2 R2 F' B U L2
B2 D2 R2 F2 B U L2
B2 D2 R2 B U L2 D
B2 D2 R2 B U L2 D'
B2 D2 R2 B U L2 D2
B2 D2 R2 B D F2 U
B2 D2 R2 B F U L2
B2 D2 R2 B F' U L2
B2 D2 R2 B F2 U L2
R2 F2 B U2 L2 U' L2
D' F2 B2 U2 F U' F'
