U2 L2 R U' R' F
U2 L2 R U' F R'
U2 R L2 U' R' F
U2 R L2 U' F R'
U' R U R' B' U2
B' U F2 L' U L
B' U' R U R' U2
B' U' R B2 U' L
U' B' U' R U' R'
F2 B' U L' F2 U
B' F2 U L' F2 U
U2 R U' L2 F R' L2
U2 R U' R' L2 F L2
U2 R U' R' U2 B' U2
U2 R D L2 U' R' F
U2 R D L2 U' F R'
U' R D U R' B' U2
U2 R D' L2 U' R' F
U2 R D' L2 U' F R'
U' R D' U R' B' U2
L' U' L B' U' R U'
U2 R D2 L2 U' R' F
U2 R D2 L2 U' F R'
U' R D2 U R' B' U2
U2 R F L2 U' R' F
U2 R F L2 U' F R'
U2 R F' L2 U' R' F
U2 R F' L2 U' F R'
L2 U' L2 B' U' R U'
U2 R F2 L2 U' R' F
U2 R F2 L2 U' F R'
R2 U' R' U R B' U2
R2 U' R' U B' R U2
R' U' R2 U R2 B' U2
R' U' R2 U B' R2 U2
R' U' R2 U' D2 L2 F
R' U' R2 D2 U' L2 F
F2 R B' U L' F2 U
B' R' U D2 L2 U L2
B' R' U' R2 U R2 U2
B' R' U' R2 U' D2 L2
B' R' U' R2 D B2 U'
B' R' U' R2 D2 U' L2
B' R' U2 D B2 D L2
R' U' B' U' R2 U' R2
B' R' U2 B2 D L2 B2
B' R' U2 B2 D B2 L2
B' R' D U2 B2 D L2
B' R' D' F2 U F2 U
B' R' D' F2 U2 D' L2
B' R' D' F2 D R2 U2
B' R' D' F2 D' U2 L2
U R' D B2 D' R2 F'
B' R' D2 U L2 U L2
U R' D2 L2 U F L2
R' U2 L2 R2 U' R2 F
R' U2 L2 R2 U' F R2
B' R' F U' R2 B U'
R2 U2 L2 R' U' R F
L' U2 R U L B' U2
L2 U2 R U L2 B' U2
L2 U2 R U' D2 R2 F
L2 U2 R U' D2 F R2
L2 U2 R U' F D2 R2
L2 U2 R D F2 U' F'
L2 U2 R D2 U' R2 F
L2 U2 R D2 U' F R2
L U2 R U L' B U2
L U2 R U B L' U2
B' R' F2 D R2 U2 B2
B' R' F2 D' F2 U2 L2
R2 U2 R' L2 U' R F
R2 U2 R' U B' U2 R
R' U2 R2 L2 U' R2 F
R' U2 R2 L2 U' F R2
R' U2 R2 U B' U2 R2
F2 R' B' U L' F2 U
L2 U2 D R F2 U' F'
L2 U2 D2 R U' R F
B' R2 U' R' U R U2
B2 R2 U2 R' U' R F'
R' U2 B2 D B2 L2 F
U' R2 D2 R' U' L2 F
F2 R2 B' U L' F2 U
R' D U B2 D' R2 F'
B R2 B2 U L U L'
B' U L U2 R U' L'
L2 D U2 R F2 U' F'
B' U L' U2 R U' L
B' U L' F2 L' U L2
B' U L2 U2 R U' L2
B' U L2 D F2 L' U
U2 D L2 R U' R' F
U2 D L2 R U' F R'
B' U L2 F2 L' U L'
F2 U L2 F2 L U F'
U' D R U R' B' U2
U2 D R L2 U' R' F
U2 D R L2 U' F R'
B' U D F2 L' U L
F2 U D' L' U L' F
B' U D' F2 L' U L
B' U D2 F2 L' U L
B' U F' L U L' B'
U' D B' U' R U' R'
B' U F2 L' U L D
B' U F2 L' U L D'
B' U F2 L' U L D2
B' U F2 L' U D L
B' U F2 L' U D' L
B' U F2 L' U D2 L
B' U F2 L' D U L
B' U F2 L' D' U L
B' U F2 L' D2 U L
B' U F2 L' F U L
B' U F2 L' F' U L
B' U F2 L' F2 U L
B' U F2 D L' U L
B' U F2 D' L' U L
B' U F2 D2 L' U L
U2 D' L2 R U' R' F
U2 D' L2 R U' F R'
U' D' R U R' B' U2
D' U' R U R' B' U2
D2 U' R U R' B' U2
U2 D' R L2 U' R' F
U2 D' R L2 U' F R'
D U' R U R' B' U2
B' U' R U R' U2 D
B' U' R U R' U2 D'
B' U' R U R' U2 D2
B' U' R U R' D U2
B' U' R U R' D' U2
B' U' R U R' D2 U2
B' U' R U D R' U2
B' U' R U D' R' U2
B' U' R U D2 R' U2
B' U' R U' B2 L B2
R' D' F2 U2 D' L2 F
R' D' F2 D R2 B' U2
B' U' R D U R' U2
R' D' F2 D B' R2 U2
B2 U' R U R' B U2
B' U' R D B2 U' L
R' D' F2 D' U2 L2 F
B' U' R D' U R' U2
R' D' F2 D' B' U2 L2
B' U' R D' B2 U' L
B' U' R D2 U R' U2
B' U' R D2 B2 U' L
R' D' F2 B' U F2 U
R' D' F2 B' U2 D' L2
R' D' F2 B' D R2 U2
R' D' F2 B' D' U2 L2
B' U' R B2 U' L D
B' U' R B2 U' L D'
B' U' R B2 U' L D2
B' U' R B2 U' D L
B' U' R B2 U' D' L
B' U' R B2 U' D2 L
B' U' R B2 D U' L
B' U' R B2 D' U' L
B' U' R B2 D2 U' L
B U' R U R' B2 U2
B U' R U B2 U2 L
B' U' R2 D R' B2 U'
B' U' R2 D2 R' U' L2
R' D' B' F2 U F2 U
R' D' B' F2 U2 D' L2
R' D' B' F2 D R2 U2
R' D' B' F2 D' U2 L2
B' U' D R U R' U2
B' U' D R B2 U' L
B' U' D' R U R' U2
B' U' D' R B2 U' L
L2 D' B2 U2 R U' F
U' D' B' U' R U' R'
D' U' B' U' R U' R'
B' U' D2 R U R' U2
D2 U' B' U' R U' R'
B' U' D2 R B2 U' L
R' D2 L2 U D2 R2 F
R' D2 L2 U D2 F R2
R' D2 L2 U F D2 R2
R' D2 L2 U' L2 B' U2
D U' B' U' R U' R'
R' D2 L2 D' B2 U F
R' D2 L2 D2 U R2 F
R' D2 L2 D2 U F R2
D' U2 L2 R U' R' F
D' U2 L2 R U' F R'
D2 U2 L2 R U' R' F
D2 U2 L2 R U' F R'
B' U' B R U R' U2
B' U' B R B2 U' L
U2 D2 L2 R U' R' F
U2 D2 L2 R U' F R'
B2 U' B U' R U' R'
D' U2 R L2 U' R' F
D' U2 R L2 U' F R'
U' D2 R U R' B' U2
D2 U2 R L2 U' R' F
D2 U2 R L2 U' F R'
D U2 L2 R U' R' F
D U2 L2 R U' F R'
B' U' B' R U R' U2
B' U' B' R B2 U' L
R' D2 U L2 U F L2
U2 D2 R L2 U' R' F
U2 D2 R L2 U' F R'
D U2 R L2 U' R' F
D U2 R L2 U' F R'
B' U' B2 R U R' U2
B' U' B2 R B2 U' L
B U' B2 U' R U' R'
L2 D2 U2 R U' R F
B2 U2 R U' R F' R2
B' U2 R F U' F' R'
B' U2 R F' U' R' F
B' U2 R F' U' F R'
B' U2 R F2 U' R' F2
B' U2 R F2 U' F2 R'
B U2 R U B2 L U2
B U2 R U' R' D2 F2
B U2 R U' D2 R' F2
B U2 R U' D2 F2 R'
B U2 R D L2 U' R'
B U2 R D2 U' R' F2
B U2 R D2 U' F2 R'
R' D2 B' U L2 U L2
U' D2 B' U' R U' R'
B U2 D L2 R U' R'
B U2 D R L2 U' R'
B U2 D2 R U' R' F2
B U2 D2 R U' F2 R'
B' U2 B U R B' U'
B' U2 B U B' R U'
B' U2 B' U B R U'
B' U2 B2 U R B2 U'
B' U2 B2 U B2 R U'
U' F B' U' F' R U'
R' F B' U' R2 B U'
F2 D R2 B' U L' U
B' D U F2 L' U L
B' D U' R U R' U2
B' D U' R B2 U' L
B D U2 L2 R U' R'
B D U2 R L2 U' R'
B' D F2 U L' F2 U
F2 D B' R2 U L' U
B' D' U F2 L' U L
F2 D' U L' U L' F
B D' R2 U2 R' U' R
B' D' U' R U R' U2
B' D' U' R B2 U' L
L2 F2 L' F2 U R F
U F2 L' U L' F L2
B' D' F2 U L' F2 U
F2 D' B' U L' U L'
R' F2 D R2 B' U2 B'
R' F2 D B' R2 U2 B'
R' F2 D' F2 U2 L2 F
R' F2 D' F2 B' U2 L2
R' F2 D' B' F2 U2 L2
U' F2 B' U' F2 R U'
D2 F2 B' U L' F2 U
D' F2 B' U L' F2 U
R' F2 B' D R2 U2 B2
R' F2 B' D' F2 U2 L2
B' D2 U F2 L' U L
B' D2 U' R U R' U2
B' D2 U' R B2 U' L
D F2 B' U L' F2 U
B D2 U2 R U' R' F2
B D2 U2 R U' F2 R'
U' B R U R' B2 U2
U' B R U B2 U2 L
B' D2 F2 U L' F2 U
F D2 B' U L F' U
F D2 B' U F' L U
B' F U F L' F2 U
B' F U F' U2 R U'
U' B' L U' R U' R'
U' B' L' U' R U' R'
U' B' L2 U' R U' R'
R' B' U D2 L2 U L2
D2 B' U F2 L' U L
D' B' U F2 L' U L
U' B' U' R U' R' D
U' B' U' R U' R' D'
U' B' U' R U' R' D2
U' B' U' R U' D R'
U' B' U' R U' D' R'
U' B' U' R U' D2 R'
U' B' U' R D U' R'
U' B' U' R D' U' R'
U' B' U' R D2 U' R'
U' B' U' R F U' R'
U' B' U' R F' U' R'
U' B' U' R F2 U' R'
U' B' U' D R U' R'
U' B' U' D' R U' R'
D2 B' U' R U R' U2
U' B' U' D2 R U' R'
D2 B' U' R B2 U' L
R' B' U' R2 U R2 U2
R' B' U' R2 U' D2 L2
R' B' U' R2 D B2 U'
R' B' U' R2 D2 U' L2
D' B' U' R U R' U2
D' B' U' R B2 U' L
D B' U F2 L' U L
R' B' U2 D B2 D L2
D B' U' R U R' U2
F2 B' R U L' F2 U
D B' U' R B2 U' L
R' B' U2 B2 D L2 B2
R' B' U2 B2 D B2 L2
U' B' D U' R U' R'
R' B' D U2 B2 D L2
F2 B' R' U L' F2 U
U' B' D' U' R U' R'
R' B' D' F2 U F2 U
R' B' D' F2 U2 D' L2
R' B' D' F2 D R2 U2
R' B' D' F2 D' U2 L2
F2 B' R2 U L' F2 U
U' B' D2 U' R U' R'
R' B' D2 U L2 U L2
B' F' U F L' U B'
F2 B' U L F2 L2 U
F2 B' U L' U D' L2
F2 B' U L' D' U L2
F2 B' U L' F2 U D
F2 B' U L' F2 U D'
F2 B' U L' F2 U D2
F2 B' U L' F2 D U
F2 B' U L' F2 D' U
F2 B' U L' F2 D2 U
F2 B' U L2 F2 L U
F' B' U F L' U B'
F2 B' U D' L' U L'
U' B' F U' F' R U'
F2 B' U F2 U2 R U'
R' B' F U' R2 B U'
F B' U F L' F2 U
F2 B' U2 L D' L2 B2
F2 B' U2 L D' B2 L2
F B' U F' U2 R U'
U' B' F2 U' F2 R U'
D2 B' F2 U L' F2 U
D' B' F2 U L' F2 U
R' B' F2 D R2 U2 B2
R' B' F2 D' F2 U2 L2
F2 B' D R2 U L' U
D B' F2 U L' F2 U
F2 B' D' U L' U L'
R2 B2 L U' L' B U2
R2 B2 L U' B L' U2
U' B2 R U R' B U2
B' F2 R U L' F2 U
B' F2 R' U L' F2 U
B' F2 R2 U L' F2 U
R' B2 U2 R2 U' F' R2
B' F2 U L F2 L2 U
B' F2 U L' U D' L2
B' F2 U L' D' U L2
B' F2 U L' F2 U D
B' F2 U L' F2 U D'
B' F2 U L' F2 U D2
B' F2 U L' F2 D U
B' F2 U L' F2 D' U
B' F2 U L' F2 D2 U
B' F2 U L2 F2 L U
B' F2 U D' L' U L'
B' F2 U F2 U2 R U'
B' F2 U2 L D' L2 B2
B' F2 U2 L D' B2 L2
B' F2 D R2 U L' U
B' F2 D' U L' U L'
