D2 L2 R' F' U'
D2 R' L2 F' U'
D' R' F' U' F'
D2 R' F' L2 U'
R' F' U2 R' U
D2 R' L' D2 L' F' U'
D' R' L' F' L U' F'
D' R' L' F' L' U' F'
D' R' L' F' L2 U' F'
D' R' L' F' U' D F'
D' R' L' F' U' D' F'
D' R' L' F' U' D2 F'
D' R' L' F' U' F' D
D' R' L' F' U' F' D'
D' R' L' F' U' F' D2
D' R' L' F' D U' F'
D' R' L' F' D' U' F'
D' R' L' F' D2 U' F'
F R' L F' U2 R' U
F' R' L' F' U2 R' U
D R' L' D L2 F' U'
D R' L' D F' L2 U'
F2 R' L' F' U2 R' U
D R' L' D2 F' U' F'
D2 R' L2 D F' U' D
D2 R' L2 D F' U' D'
D2 R' L2 D F' U' D2
D2 R' L2 D F' D U'
D2 R' L2 D F' D' U'
D2 R' L2 D F' D2 U'
D R' L' F' U B2 U2
D R' L' F' U' D2 F2
D R' L' F' D L2 U'
D R' L' F' D2 U' F2
D' R' L2 D' L2 F' U'
D2 R' L2 D' F' U' D
D2 R' L2 D' F' U' D'
D2 R' L2 D' F' U' D2
D2 R' L2 D' F' D U'
D2 R' L2 D' F' D' U'
D2 R' L2 D' F' D2 U'
D' R' L2 D' F' L2 U'
D2 R' L2 D2 F' U' D
D2 R' L2 D2 F' U' D'
D2 R' L2 D2 F' U' D2
D2 R' L2 D2 F' D U'
D2 R' L2 D2 F' D' U'
D2 R' L2 D2 F' D2 U'
D2 R' L2 F U' D R2
D2 R' L2 F D U' R2
D' R' L2 F' L U' F'
D' R' L2 F' L' U' F'
D' R' L2 F' L2 U' F'
D' R' L2 F' U' D F'
D' R' L2 F' U' D' F'
D' R' L2 F' U' D2 F'
D' R' L2 F' U' F' D
D' R' L2 F' U' F' D'
D' R' L2 F' U' F' D2
D' R' L2 F' D U' F'
D' R' L2 F' D' U' F'
D' R' L2 F' D2 U' F'
D2 R' L2 F2 D F U'
F R' L' F' U2 R' U
D2 R' L2 F2 D' F U'
D2 R' L2 F2 D2 F U'
F' R' L2 F' U2 R' U
R' U' F' U' R' U R
D R' L2 D L2 F' U'
D R' L2 D F' L2 U'
F2 R' L2 F' U2 R' U
D R' L2 D2 F' U' F'
D R' L2 F' U B2 U2
D R' L2 F' U' D2 F2
D R' L2 F' D L2 U'
D R' L2 F' D2 U' F2
F R' L2 F' U2 R' U
D R' U B2 U' F' U'
D2 R' U' F D R2 F2
D2 R' U' F D F2 R2
D' R' U' F D R2 F
D' R' U' F D F R2
D' R' U' F2 U F U'
D' R' U2 R2 B U F2
D' R' U2 D R2 B U
F' R' U2 R2 B R U
D2 R' U2 D2 R2 B U
F2 R' U2 R2 B R U
D2 R' D L F' U' F'
D2 R' D L' F' U' F'
D R' U2 D' R2 B U
D2 R' D L2 F' U' F'
L' U' B' D' R' F2 B
L' U' B' D' R' B F2
L' U' B' D' F2 R' B
F R' U2 R2 B R U
D' R' D U2 R2 B U
L2 U' B' D' R' F2 B
L2 U' B' D' R' B F2
D2 R' D F' L U' F'
D2 R' D F' L' U' F'
L2 U' B' D' F2 R' B
D2 R' D F' L2 U' F'
D R' D L F' L U'
D2 R' D F' U' D F'
D2 R' D F' U' D' F'
D2 R' D F' U' D2 F'
D2 R' D F' U' F' D
D2 R' D F' U' F' D'
D2 R' D F' U' F' D2
D2 R' D F' D U' F'
D' R' D F' U' D' F2
D2 R' D F' D' U' F'
D' R' D F' U2 R2 U
D2 R' D F' D2 U' F'
D' R' D F' D' U' F2
D' R' D F' D2 L2 U'
D R' D L2 D F' U'
D R' D L2 D' F' U'
D R' D L2 D2 F' U'
D R' D L2 F' U' D
D R' D L2 F' U' D'
D R' D L2 F' U' D2
D R' D L2 F' D U'
D R' D L2 F' D' U'
D R' D L2 F' D2 U'
F' R' D F' U2 R' U
D' R' D' L F' L U'
F2 R' D F' U2 R' U
L U' B' D' R' F2 B
L U' B' D' R' B F2
L U' B' D' F2 R' B
D' R' D' L2 D F' U'
D' R' D' L2 D' F' U'
D' R' D' L2 D2 F' U'
D' R' D' L2 F' U' D
D' R' D' L2 F' U' D'
D' R' D' L2 F' U' D2
D' R' D' L2 F' D U'
D' R' D' L2 F' D' U'
D' R' D' L2 F' D2 U'
D R' D F L2 F2 U'
D R' D F' L2 U' D
D R' D F' L2 U' D'
D R' D F' L2 U' D2
D R' D F' L2 D U'
D R' D F' L2 D' U'
D R' D F' L2 D2 U'
D R' D F' U' D F2
D R' D F' D U' F2
D' R' D' F L2 F2 U'
F R' D F' U2 R' U
D' R' D' F' L2 U' D
D' R' D' F' L2 U' D'
D' R' D' F' L2 U' D2
D' R' D' F' L2 D U'
D' R' D' F' L2 D' U'
D' R' D' F' L2 D2 U'
D2 R' D' F' U B2 U2
D2 R' D' F' U' D2 F2
D2 R' D' F' D L2 U'
D' R' D' F' U' D F2
D2 R' D' F' D2 U' F2
D' R' D' F' D U' F2
F' R' D' F' U2 R' U
F2 R' D' F' U2 R' U
D R' D' U2 R2 B U
D R' D' F' U' D' F2
D R' D' F' U2 R2 U
D R' D' F' D' U' F2
D R' D' F' D2 L2 U'
D2 R' D2 U2 R2 B U
D2 R' D2 F' U' D' F2
D2 R' D2 F' U2 R2 U
D' R' D2 F' U B2 U2
D' R' D2 F' U' D2 F2
F R' D' F' U2 R' U
D2 R' D2 F' D' U' F2
D2 R' D2 F' D2 L2 U'
D' R' D2 F' D L2 U'
D' R' D2 F' D2 U' F2
D R' D2 L F' U' F'
D R' D2 L' F' U' F'
F' R' D2 F' U2 R' U
D R' D2 L2 F' U' F'
D2 R' F L F2 L U'
F2 R' D2 F' U2 R' U
D2 R' F L2 U' D R2
D2 R' F L2 D U' R2
D2 R' F L2 F2 U' D
D2 R' F L2 F2 U' D'
D2 R' F L2 F2 U' D2
D2 R' F L2 F2 D U'
D2 R' F L2 F2 D' U'
D2 R' F L2 F2 D2 U'
D R' D2 F' L U' F'
D R' D2 F' L' U' F'
D R' D2 F' L2 U' F'
D R' D2 F' U' D F'
D R' D2 F' U' D' F'
D R' D2 F' U' D2 F'
D R' D2 F' U' F' D
D R' D2 F' U' F' D'
D R' D2 F' U' F' D2
D R' D2 F' D U' F'
D R' D2 F' D' U' F'
D R' D2 F' D2 U' F'
D2 R' F U' D R2 F2
D2 R' F U' D F2 R2
D' R' F U' D R2 F
D' R' F U' D F R2
D2 R' F D U' R2 F2
D2 R' F D U' F2 R2
D' R' F D U' R2 F
D' R' F D U' F R2
F R' D2 F' U2 R' U
D2 R' F' L D L U'
D2 R' F' L D' L U'
D2 R' F' L D2 L U'
D' R' F' L U' D F'
D' R' F' L U' D' F'
D' R' F' L U' D2 F'
D' R' F' L U' F' D
D' R' F' L U' F' D'
D' R' F' L U' F' D2
D' R' F' L D U' F'
D' R' F' L D' U' F'
D' R' F' L D2 U' F'
D2 R' F' L' D L' U'
D2 R' F' L' D' L' U'
D2 R' F' L' D2 L' U'
D' R' F' L' U' D F'
D' R' F' L' U' D' F'
D' R' F' L' U' D2 F'
D' R' F' L' U' F' D
D' R' F' L' U' F' D'
D' R' F' L' U' F' D2
D' R' F' L' D U' F'
D' R' F' L' D' U' F'
D' R' F' L' D2 U' F'
F' R' F' L U2 R' U
D' R' F' L2 U' D F'
D' R' F' L2 U' D' F'
D' R' F' L2 U' D2 F'
D' R' F' L2 U' F' D
D' R' F' L2 U' F' D'
D' R' F' L2 U' F' D2
D' R' F' L2 D U' F'
D' R' F' L2 D' U' F'
D' R' F' L2 D2 U' F'
F' R' F' L' U2 R' U
F' R' F' L2 U2 R' U
D R' F D L2 U' R2
D2 R' F' U D' B2 U2
F2 R' F' L U2 R' U
D' R' F' U B U2 F'
D' R' F' U B' U2 F'
D' R' F' U B2 U2 F'
D' R' F' U' L' F' L
D' R' F' U' L2 F' L2
D2 R' F' U' D F2 D
D2 R' F' U' D F2 D'
D2 R' F' U' D F2 D2
D' R' F' U' D F' D
D' R' F' U' D F' D'
D' R' F' U' D F' D2
D2 R' F' U' F D F2
D' R' F' U' D' F' D
D' R' F' U' D' F' D'
D' R' F' U' D' F' D2
D2 R' F' U' F' D F2
D' R' F' U' D2 F' D
D' R' F' U' D2 F' D'
D' R' F' U' D2 F' D2
D2 R' F' U' F2 D F2
F2 R' F' L' U2 R' U
D' R' F' U' F2 D F
D' R' F' U' F2 D' F
