U R2 U B R F'
F' U R U R2 F'
F' U R2 U R F'
F' U' L U' R' F
F' U' L U' F R'
F' U2 F R' D' F2
B2 D L F' B' U2
B2 D L B' F' U2
B2 D F' L B' U2
F' B U' L F U'
B F' U' L F U'
B2 F' D L B' U2
F' B2 D L B' U2
F' U2 F D R' D' F2
F' U2 F D' R' D' F2
F' U2 F D2 R' D' F2
F' U2 F' R' U L' U'
F' U2 F' U L' U' R'
F' U2 F2 R2 D R F'
F' U2 F2 D R F' R2
U2 F R' D' F2 D' B2
U2 F R' D2 B2 D F2
B2 D L D F' B' U2
B2 D L D B' F' U2
B2 D L D' F' B' U2
B2 D L D' B' F' U2
B2 D L D2 F' B' U2
B2 D L D2 B' F' U2
B2 D L F' D B' U2
B2 D L F' D' B' U2
B2 D L F' D2 B' U2
B2 D L F' B' U2 D
B2 D L F' B' U2 D'
B2 D L F' B' U2 D2
B2 D L F' B' D U2
B2 D L F' B' D' U2
B2 D L F' B' D2 U2
B2 D L B' D F' U2
B2 D L B' D' F' U2
B2 D L B' D2 F' U2
B2 D L B' F' U2 D
B2 D L B' F' U2 D'
B2 D L B' F' U2 D2
B2 D L B' F' D U2
B2 D L B' F' D' U2
B2 D L B' F' D2 U2
B2 D L' F' L2 U2 F2
U2 F D' R' D' F2 B2
U2 F D' R' D' B2 F2
U2 F D2 R' B2 D' F2
F' D U R U R2 F'
F' D U R2 U R F'
F' D U' L U' R' F
F' D U' L U' F R'
F' D U2 F R' D' F2
B2 D F L F2 B' U2
B2 D F L B' F2 U2
B2 D F' L D B' U2
B2 D F' L D' B' U2
B2 D F' L D2 B' U2
B2 D F' L B' U2 D
B2 D F' L B' U2 D'
B2 D F' L B' U2 D2
B2 D F' L B' D U2
B2 D F' L B' D' U2
B2 D F' L B' D2 U2
B D F' U' L F U'
F' D B U' L F U'
D2 F' U R U R2 F'
D' F' U R U R2 F'
D2 F' U R2 U R F'
D' F' U R2 U R F'
L' F' U R U R2 F'
L' F' U R2 U R F'
U F' R' F' D' L2 B'
L2 F' U R U R2 F'
D2 F' U' L U' R' F
D2 F' U' L U' F R'
D' F' U' L U' R' F
D' F' U' L U' F R'
L2 F' U R2 U R F'
L' F' U' L U' R' F
L' F' U' L U' F R'
F' D B2 D L B' U2
D F' U R U R2 F'
D F' U R2 U R F'
L2 F' U' L U' R' F
L2 F' U' L U' F R'
L F' U R U R2 F'
L F' U R2 U R F'
D F' U' L U' R' F
D F' U' L U' F R'
U F' U F R U R2
D2 F' U2 F R' D' F2
D' F' U2 F R' D' F2
L' F' U2 F R' D' F2
L F' U' L U' R' F
L F' U' L U' F R'
L2 F' U2 F R' D' F2
D F' U2 F R' D' F2
L F' U2 F R' D' F2
D2 F' B U' L F U'
D' F' B U' L F U'
L' F' B U' L F U'
L2 F' B U' L F U'
D F' B U' L F U'
F' D' U R U R2 F'
F' D' U R2 U R F'
D2 F' B2 D L B' U2
D' F' B2 D L B' U2
L' F' B2 D L B' U2
L F' B U' L F U'
F' D' U' L U' R' F
F' D' U' L U' F R'
L2 F' B2 D L B' U2
D F' B2 D L B' U2
F' D' U2 F R' D' F2
L F' B2 D L B' U2
B' D' F' U R' B U
B2 D' F' D2 L B' U2
B D' F' U' L F U'
F' D' B U' L F U'
U F2 R' D' L2 F' B'
U F2 R' D' L2 B' F'
F' D' B2 D L B' U2
B2 D2 L F' U R U
U F2 D' L2 R' F' B'
U F2 D' L2 R' B' F'
U F2 D' R' L2 F' B'
U F2 D' R' L2 B' F'
F' D2 U R U R2 F'
F' D2 U R2 U R F'
F' D2 U' L U' R' F
F' D2 U' L U' F R'
F' D2 U2 F R' D' F2
R2 B L' R D F2 L'
B' D2 F' U R' U R2
B' D2 F' U2 R D' F2
B2 D2 F' L U R U
R2 B R L' D F2 L'
B D2 F' U' L F U'
R2 B R F2 L' D F2
F' D2 B U' L F U'
F' D2 B2 D L B' U2
D2 B F' U' L F U'
D' B F' U' L F U'
L' B F' U' L F U'
L2 B F' U' L F U'
F' B U' L D F U'
F' B U' L D' F U'
F' B U' L D2 F U'
F' B U' L F U' D
F' B U' L F U' D'
F' B U' L F U' D2
F' B U' L F D U'
F' B U' L F D' U'
F' B U' L F D2 U'
D B F' U' L F U'
F' B U' D L F U'
F' B U' D' L F U'
F' B U' D2 L F U'
F' B U' F L F U'
F' B U' F' L F U'
F' B U' F2 L F U'
L B F' U' L F U'
F' B D U' L F U'
F' B D' U' L F U'
F' B D2 U' L F U'
R2 B' R B2 D' F2 L'
R2 B' R' U B2 L R2
R2 B' R' U B2 R2 L
B2 F' L B U R' U
B2 F' L B' U' L U'
B2 F' L2 D L' U2 F
B' F' U R' B U R'
B' F' U D' R' B U
F' B' U R' B U R'
B' F' U B U R' F'
F' B' U D' R' B U
F' B' U B U R' F'
B2 F' U B2 U R' F'
B F' U' L D F U'
B F' U' L D' F U'
B F' U' L D2 F U'
B F' U' L F U' D
B F' U' L F U' D'
B F' U' L F U' D2
B F' U' L F D U'
B F' U' L F D' U'
B F' U' L F D2 U'
B F' U' D L F U'
B F' U' D' L F U'
B F' U' D2 L F U'
B F' U' F L F U'
B F' U' F' L F U'
B F' U' F2 L F U'
B2 F' D L D B' U2
B2 F' D L D' B' U2
B2 F' D L D2 B' U2
B2 F' D L B' U2 D
B2 F' D L B' U2 D'
B2 F' D L B' U2 D2
B2 F' D L B' D U2
B2 F' D L B' D' U2
B2 F' D L B' D2 U2
B' F' D' U R' B U
F' B' D' U R' B U
B F' D U' L F U'
B F' D' U' L F U'
B F' D2 U' L F U'
F' B2 L B U R' U
F' B2 L B' U' L U'
F' B2 L2 D L' U2 F
D2 B2 D L F' B' U2
D2 B2 D L B' F' U2
D' B2 D L F' B' U2
D' B2 D L B' F' U2
L' B2 D L F' B' U2
L' B2 D L B' F' U2
D2 B2 D F' L B' U2
F' B2 U B2 U R' F'
D' B2 D F' L B' U2
L' B2 D F' L B' U2
L2 B2 D L F' B' U2
L2 B2 D L B' F' U2
L2 B2 D F' L B' U2
D B2 D L F' B' U2
D B2 D L B' F' U2
D B2 D F' L B' U2
L B2 D L F' B' U2
L B2 D L B' F' U2
F' B2 D L D B' U2
F' B2 D L D' B' U2
F' B2 D L D2 B' U2
F' B2 D L B' U2 D
F' B2 D L B' U2 D'
F' B2 D L B' U2 D2
F' B2 D L B' D U2
F' B2 D L B' D' U2
F' B2 D L B' D2 U2
L B2 D F' L B' U2
B2 F2 D F L B' U2
F2 B2 D F L B' U2
D2 B2 F' D L B' U2
D' B2 F' D L B' U2
L' B2 F' D L B' U2
L2 B2 F' D L B' U2
D B2 F' D L B' U2
L B2 F' D L B' U2
