U' L2 B' U' R' U'
R' U D2 R2 F B
R' U D2 R2 B F
R' U F D2 R2 B2
R' U F D2 B2 R2
R U D2 F B R2
R U D2 B R2 F
R U D2 B F R2
R U F D2 B R2
R U F B D2 R2
D2 R U B R F
R U B D2 R2 F
R U B D2 F R2
R U B F D2 R2
R' U' L2 F' B' U2
R' U' L2 B' F' U2
R U' L2 B' U2 B2
D' R B2 U F B'
D' R B2 U B' F
R' U' F' L2 U2 F2
R D' B2 U F B'
R D' B2 U B' F
R' D2 U R2 F B
R' D2 U R2 B F
R D2 U F B R2
R D2 U B R2 F
R D2 U B F R2
D' B2 R U F B
D' B2 R U B F
D2 R U B R D2 F
D2 R U B R F D
D2 R U B R F D'
D2 R U B R F D2
D2 R U B R' F R2
D2 R U B R2 F R'
D2 R U B D R F
D2 R U B D' R F
D2 R U B D2 R F
B2 R U D2 F B R2
B2 R U D2 B R2 F
B2 R U D2 B F R2
D2 R U B' R F B2
D2 R U B' R B2 F
B2 R U F D2 B R2
B2 R U F B D2 R2
D2 R U B2 R F B'
D2 R U B2 R B' F
D R U D F B R2
B' R U B D2 R2 F
D R U D B R2 F
B' R U B D2 F R2
D R U D B F R2
B' R U B F D2 R2
B R U D2 F B R2
B R U D2 B R2 F
B R U D2 B F R2
B2 R U B D2 R2 F
B2 R U B D2 F R2
B2 R U B F D2 R2
B R U F D2 B R2
R U F' D2 B R2 F'
B R U F B D2 R2
D R U B D R2 F
D R U B D F R2
B' R U' L2 B' U2 B2
B R U B D2 R2 F
B R U B D2 F R2
B R U B F D2 R2
B2 R U' L2 B' U2 B2
B R U' L2 B' U2 B2
R U F2 D2 F' B R2
R U F2 D2 B F' R2
R U F2 B D2 F' R2
R' U B D2 R2 F B
R' U B D2 R2 B F
R' U B F D2 R2 B2
R' U B F D2 B2 R2
R U B R D2 R2 F
R U B R D2 F R2
R U B R F D2 R2
R U B R' D2 R2 F
R U B R' D2 F R2
R U B R' F D2 R2
R U B R2 D2 R2 F
R U B R2 D2 F R2
R U B R2 F D2 R2
R U B U2 L2 B' U2
R U B D' F D' R2
R U B D2 R' F R'
R U B D2 R2 D F
R U B D2 R2 D' F
R U B D2 R2 D2 F
R U B D2 R2 F D
R U B D2 R2 F D'
R U B D2 R2 F D2
R U B D2 F R2 D
R U B D2 F R2 D'
R U B D2 F R2 D2
R U B D2 F' R2 F2
R U B F R D2 R2
R U B F R' D2 R2
D R U2 F2 U' F' B
D R U2 F2 U' B F'
R U B F R2 D2 R2
R U B F U2 L2 U2
R U B F D2 R2 D
R U B F D2 R2 D'
R U B F D2 R2 D2
R' U B' D2 R2 F B
R' U B' D2 R2 B F
R' U B' F D2 R2 B2
R' U B' F D2 B2 R2
R U B F2 D2 F' R2
D2 R D U B R F
D R D U F B R2
D R D U B R2 F
D R D U B F R2
R' U B2 D2 R2 F B
R' U B2 D2 R2 B F
R' U B2 F D2 R2 B2
R' U B2 F D2 B2 R2
D2 R D' U B R F
D' R D' U F B R2
D' R D' U B R2 F
D' R D' U B F R2
B' R D' B2 U F B'
B' R D' B2 U B' F
R' U' L F' L B' U2
R U B2 D2 R2 F B'
R U B2 D2 R2 B' F
R U B2 D2 F R2 B'
R U B2 D2 F B' R2
R U B2 D2 B' R2 F
R U B2 D2 B' F R2
B2 R D' B2 U F B'
B2 R D' B2 U B' F
R U B2 F D2 R2 B'
R U B2 F D2 B' R2
D2 R D2 U B R F
B' R D2 U F B R2
B' R D2 U B R2 F
B' R D2 U B F R2
B R D' B2 U F B'
B R D' B2 U B' F
B2 R D2 U F B R2
B2 R D2 U B R2 F
B2 R D2 U B F R2
B R D2 U F B R2
B R D2 U B R2 F
B R D2 U B F R2
L U' L B' U' R' U'
D R D2 B2 U F B'
D R D2 B2 U B' F
R' U' L2 D F' B' U2
R' U' L2 D B' F' U2
R' U' L2 D' F' B' U2
R' U' L2 D' B' F' U2
R' U' L2 D2 F' B' U2
R' U' L2 D2 B' F' U2
R' U' L2 F' D B' U2
R' U' L2 F' D' B' U2
R' U' L2 F' D2 B' U2
R' U' L2 F' B' U2 D
R' U' L2 F' B' U2 D'
R' U' L2 F' B' U2 D2
R' U' L2 F' B' D U2
R' U' L2 F' B' D' U2
R' U' L2 F' B' D2 U2
R' U' L2 B' D F' U2
R' U' L2 B' D' F' U2
R' U' L2 B' D2 F' U2
R' U' L2 B' F' U2 D
R' U' L2 B' F' U2 D'
R' U' L2 B' F' U2 D2
R' U' L2 B' F' D U2
R' U' L2 B' F' D' U2
R' U' L2 B' F' D2 U2
R U' L2 U2 B D2 F2
R U' L2 D B' U2 B2
R U' L2 D' B' U2 B2
R U' L2 D2 B' U2 B2
R U' L2 F B' U2 B2
R U' L2 F' B' U2 B2
R U' L2 F2 B' U2 B2
R U' L2 B' U2 B2 D
R U' L2 B' U2 B2 D'
R U' L2 B' U2 B2 D2
R U' L2 B' D2 F2 U2
R U' L2 B' F U2 B2
R U' L2 B' F' U2 B2
R U' L2 B' F2 U2 B2
D2 R B' U R F B2
D2 R B' U R B2 F
D2 R B' U B2 R F
D' R B2 R U F B'
D' R B2 R U B' F
D' R B2 R' U F B'
D' R B2 R' U B' F
D' R B2 R2 U F B'
D' R B2 R2 U B' F
D2 R B2 U R F B'
D2 R B2 U R B' F
D' R B2 U D F B'
D' R B2 U D B' F
D' R B2 U D' F B'
D' R B2 U D' B' F
D' R B2 U D2 F B'
D' R B2 U D2 B' F
D' R B2 U F D B'
D' R B2 U F D' B'
D' R B2 U F D2 B'
D' R B2 U F B' D
D' R B2 U F B' D'
D' R B2 U F B' D2
D2 R B2 U B' R F
D' R B2 U B' D F
D' R B2 U B' D' F
D' R B2 U B' D2 F
D' R B2 U B' F D
D' R B2 U B' F D'
D' R B2 U B' F D2
D' R B2 D U F B'
D' R B2 D U B' F
D' R B2 D' U F B'
D' R B2 D' U B' F
D' R B2 D2 U F B'
D' R B2 D2 U B' F
R' U' D2 F' U2 R2 F2
R' U' D2 F' U2 F2 R2
R' U' F L2 F2 U2 F2
R' U' F' L' U2 F2 R
R' U' F' L2 U2 F2 D
R' U' F' L2 U2 F2 D'
R' U' F' L2 U2 F2 D2
R' U' F' L2 D2 B2 U2
R' U' F' L2 B U2 F2
R' U' F' L2 B' U2 F2
R' U' F' L2 B2 U2 F2
R' U' F' U2 F2 D2 R2
R' U' F' D2 B2 U2 R2
R' U' F' B L2 U2 F2
R' U' F' B' L2 U2 F2
R' U' F' B2 L2 U2 F2
D2 R' U R2 B R F
D' R' U D' R2 F B
D' R' U D' R2 B F
R' U' F2 L2 U2 F' B'
R' U' F2 L2 U2 B' F'
D2 R' U F R' D2 B2
R U' F' L2 U2 F2 B
R U' F' L2 U2 B F2
D2 R' U F D2 R' B2
B' R' U D2 R2 F B
B' R' U D2 R2 B F
B' R' U F D2 R2 B2
B' R' U F D2 B2 R2
B2 R' U D2 R2 F B
B2 R' U D2 R2 B F
B2 R' U F D2 R2 B2
B2 R' U F D2 B2 R2
D R' U D R2 F B
D R' U D R2 B F
B R' U D2 R2 F B
B R' U D2 R2 B F
B' R' U' L2 F' B' U2
B' R' U' L2 B' F' U2
B R' U F D2 R2 B2
B R' U F D2 B2 R2
B2 R' U' L2 F' B' U2
B2 R' U' L2 B' F' U2
R' U' B L2 F' B' U2
R' U' B L2 B' F' U2
R U' F2 L2 U2 F' B
R U' F2 L2 U2 B F'
D2 R' U' F' U2 R' F2
D2 R' U' F' U2 F2 R'
B' R' U' F' L2 U2 F2
B R' U' L2 F' B' U2
B R' U' L2 B' F' U2
B2 R' U' F' L2 U2 F2
R' U' B F' L2 U2 F2
B R' U' F' L2 U2 F2
R' U' B' L2 F' B' U2
R' U' B' L2 B' F' U2
R U' B L2 B' U2 B
R' U' B' F' L2 U2 F2
L2 U' B' U' R' U' R
R' U' B2 L2 F' B' U2
R' U' B2 L2 B' F' U2
R U' B' L2 B' U2 B'
D R' D U R2 F B
D R' D U R2 B F
R' U' B2 F' L2 U2 F2
D' R' D' U R2 F B
D' R' D' U R2 B F
R U' B2 L2 F B' U2
R U' B2 L2 B' F U2
B' R' D2 U R2 F B
B' R' D2 U R2 B F
B2 R' D2 U R2 F B
B2 R' D2 U R2 B F
B R' D2 U R2 F B
B R' D2 U R2 B F
D' R' B2 R2 U F B
D' R' B2 R2 U B F
D' R' B2 U F D2 B2
D' R' B2 U' F' U2 F2
R U2 D F2 U' F' B
R U2 D F2 U' B F'
D' R2 B2 R' U F B
D' R2 B2 R' U B F
R D U B D R2 F
R D U B D F R2
R D U2 F2 U' F' B
R D U2 F2 U' B F'
D2 U R' F R' D B2
D2 U R2 F U R U'
D2 U F R' D R' B2
D2 U F R2 U R' U'
D2 U F U R U' R
D U F U R F U'
U D F U R F U'
U2 D F2 L' U' F' B'
U2 D F2 L' U' B' F'
R' D' R2 B2 U F B'
R' D' R2 B2 U B' F
R D' U F D' B R2
B' U' L2 B' U' R' U'
B2 U' L2 B' U' R' U'
B U' L2 B' U' R' U'
R' D' B2 R2 U F B
R' D' B2 R2 U B F
R' D' B2 U F D2 B2
R' D' B2 U' F' U2 F2
R D' B2 R U F B'
R D' B2 R U B' F
R D' B2 R' U F B'
R D' B2 R' U B' F
R D' B2 R2 U F B'
R D' B2 R2 U B' F
R D' B2 U D F B'
R D' B2 U D B' F
R D' B2 U D' F B'
R D' B2 U D' B' F
R D' B2 U D2 F B'
R D' B2 U D2 B' F
R D' B2 U F D B'
R D' B2 U F D' B'
R D' B2 U F D2 B'
R D' B2 U F B' D
R D' B2 U F B' D'
R D' B2 U F B' D2
R D' B2 U B' D F
R D' B2 U B' D' F
R D' B2 U B' D2 F
R D' B2 U B' F D
R D' B2 U B' F D'
R D' B2 U B' F D2
R D' B2 D U F B'
R D' B2 D U B' F
R D' B2 D' U F B'
R D' B2 D' U B' F
R D' B2 D2 U F B'
R D' B2 D2 U B' F
R' D2 R' U R' F B
R' D2 R' U R' B F
R' D2 R' U F R' B
R' D2 U R' F R' B
R' D2 U R2 D F B
R' D2 U R2 D B F
R' D2 U R2 D' F B
R' D2 U R2 D' B F
R' D2 U R2 D2 F B
R' D2 U R2 D2 B F
R' D2 U R2 F D B
R' D2 U R2 F D' B
R' D2 U R2 F D2 B
R' D2 U R2 F B D
R' D2 U R2 F B D'
R' D2 U R2 F B D2
R' D2 U R2 B D F
R' D2 U R2 B D' F
R' D2 U R2 B D2 F
R' D2 U R2 B F D
R' D2 U R2 B F D'
R' D2 U R2 B F D2
R' D2 U F R2 D2 B2
R' D2 U B R2 F B
R' D2 U B R2 B F
R' D2 U B' R2 F B
R' D2 U B' R2 B F
R' D2 U B2 R2 F B
R' D2 U B2 R2 B F
R' D2 U' F' U2 R2 F2
R' D2 U' F' U2 F2 R2
R D2 U R2 F D2 B2
R D2 U F B R2 D
R D2 U F B R2 D'
R D2 U F B R2 D2
R D2 U F B' R2 B2
R D2 U F B2 R2 B'
R D2 U F' B R2 F2
R D2 U B R' F R'
R D2 U B R2 D F
R D2 U B R2 D' F
R D2 U B R2 D2 F
R D2 U B R2 F D
R D2 U B R2 F D'
R D2 U B R2 F D2
R D2 U B F R2 D
R D2 U B F R2 D'
R D2 U B F R2 D2
R D2 U B F' R2 F2
R D2 U B' R2 F B2
R D2 U B' R2 B2 F
R D2 U B' F R2 B2
R D2 U B2 R2 F B'
R D2 U B2 R2 B' F
R D2 U B2 F R2 B'
U D2 R' F R' D B2
U D2 R2 F U R U'
U D2 F R' D R' B2
U D2 F R2 U R' U'
U D2 F U R U' R
D U2 F2 L' U' F' B'
D U2 F2 L' U' B' F'
R' D2 B U R2 F B
R' D2 B U R2 B F
R' D2 B' U R2 F B
R' D2 B' U R2 B F
R' D2 B2 U R2 F B
R' D2 B2 U R2 B F
R D2 B' U R2 F B2
R D2 B' U R2 B2 F
R D2 B' U F R2 B2
R D2 B' U F B2 R2
R D2 B' U B2 R2 F
R D2 B' U B2 F R2
R D2 B2 U R2 F B'
R D2 B2 U R2 B' F
R D2 B2 U F R2 B'
R D2 B2 U F B' R2
R D2 B2 U B' R2 F
R D2 B2 U B' F R2
U F R D2 R2 D B2
U F R' D B2 D R2
U F R' D2 R2 D' B2
U F U R U L2 U2
U F U R U' D2 R2
U F U R D F2 U'
U F U R D2 U' R2
U F U D R F2 U'
U F U D2 R U' R
U F U2 L2 U' R U'
U F D R' D R2 B2
U F D R' D B2 R2
U F D U R F2 U'
U F D2 R' D R' B2
U F D2 R2 U R' U'
U F D2 U R U' R
L2 F B' U F' L' U
U2 F' L' U' F2 R B'
U2 F' L' U' F2 B' R
U2 F' L' U' B' F2 R
R' F' L2 U' B' U' F2
U F' L' U F2 L R
U F' L' U F2 R L
U F' U' L' U F2 R
B' D' R B2 U F B'
B' D' R B2 U B' F
B2 D' R B2 U F B'
B2 D' R B2 U B' F
B D' R B2 U F B'
B D' R B2 U B' F
B' D' B2 R U F B
B' D' B2 R U B F
B2 D' B2 R U F B
B2 D' B2 R U B F
B D' B2 R U F B
B D' B2 R U B F
B' D2 R U B R F
B2 D2 R U B R F
B D2 R U B R F
U' B L2 B' U L' U
D2 B R U B R F
R' B U D2 R2 F B
R' B U D2 R2 B F
R' B U F D2 R2 B2
R' B U F D2 B2 R2
R' B U' L2 F' B' U2
R' B U' L2 B' F' U2
R' B U' F' L2 U2 F2
R' B D2 U R2 F B
R' B D2 U R2 B F
R B D' B2 U F B2
R B D' B2 U B2 F
D2 B' R U B R F
D' B' R B' U F B2
D' B' R B' U B2 F
L2 B' R' F' U F U
R' B' U D2 R2 F B
R' B' U D2 R2 B F
R' B' U F D2 R2 B2
R' B' U F D2 B2 R2
L2 B' U L U L' B'
R' B' U' L2 F' B' U2
R' B' U' L2 B' F' U2
L2 B' U F' L' U L
R' B' U' F' L2 U2 F2
R B' U F B2 D2 R2
R B' U B2 D2 R2 F
R B' U B2 D2 F R2
R B' U B2 F D2 R2
R B' U' L2 B' U2 B'
R' B' D2 U R2 F B
R' B' D2 U R2 B F
L2 B' F U F' L' U
U' B2 L2 B' U L U
D2 B2 R U B R F
D' B2 R U D F B
D' B2 R U D B F
D' B2 R U D' F B
D' B2 R U D' B F
D' B2 R U D2 F B
D' B2 R U D2 B F
D' B2 R U F D B
D' B2 R U F D' B
D' B2 R U F D2 B
D' B2 R U F B D
D' B2 R U F B D'
D' B2 R U F B D2
D' B2 R U B D F
D' B2 R U B D' F
D' B2 R U B D2 F
D' B2 R U B F D
D' B2 R U B F D'
D' B2 R U B F D2
D' B2 R D U F B
D' B2 R D U B F
D' B2 R D' U F B
D' B2 R D' U B F
D' B2 R D2 U F B
D' B2 R D2 U B F
D' B2 R' U F D2 B2
D' B2 R' U' F' U2 F2
R' B2 U D2 R2 F B
R' B2 U D2 R2 B F
R' B2 U F D2 R2 B2
R' B2 U F D2 B2 R2
D' B2 U F U R U'
R' B2 U' L2 F' B' U2
R' B2 U' L2 B' F' U2
R' B2 U' F' L2 U2 F2
D' B2 D R U F B
D' B2 D R U B F
R B2 U D2 R2 F B'
R B2 U D2 R2 B' F
R B2 U D2 F R2 B'
R B2 U D2 F B' R2
R B2 U D2 B' R2 F
R B2 U D2 B' F R2
R B2 U F D2 R2 B'
R B2 U F D2 B' R2
R B2 U F B' D2 R2
R B2 U B' D2 R2 F
R B2 U B' D2 F R2
R B2 U B' F D2 R2
R B2 U' L2 F B' U2
R B2 U' L2 B' F U2
D' B2 D' R U F B
D' B2 D' R U B F
D' B2 D2 R U F B
D' B2 D2 R U B F
R' B2 D2 U R2 F B
R' B2 D2 U R2 B F
R B2 D' B2 U F B
R B2 D' B2 U B F
R B2 D2 U R2 F B'
R B2 D2 U R2 B' F
R B2 D2 U F R2 B'
R B2 D2 U F B' R2
R B2 D2 U B' R2 F
R B2 D2 U B' F R2
