F2 R U L' R2 U
F2 R U R2 L' U
U' R U' L' D' F2
U' R U' D' L' F2
U' R U2 R2 U L'
U' R D' U' L' F2
U' R D2 L2 U' L
U R' U L' D B2
U R' U D L' B2
U R' U D B2 L'
U R' U2 R2 U' L'
U R' D U L' B2
U R' D U B2 L'
U R' D2 L2 U L
R' U2 R2 U' L' R2
R' U2 R2 U' R2 L'
R U2 R2 U L' R2
R U2 R2 U R2 L'
B2 U' L R U' L2
B2 U' R L U' L2
U' B2 L R U' L2
U' B2 R L U' L2
B2 R' U2 L' D F2 B2
B2 R' U2 L' D B2 F2
B' R' U2 D L' F B2
B' R' U2 D L' B2 F
U R' U' D' F2 R U2
B' R' U2 D B2 L' F
R' U' B' R2 U' L' F'
U2 R' U2 R2 U' L' R'
U2 R' U2 R2 U' R' L'
D R' U2 R2 U' L' R2
D R' U2 R2 U' R2 L'
B' R' D L' F B2 R'
B' R' D L' B2 R' F
B' R' D L' B2 F R'
U R' U2 R2 U' L' D
U R' U2 R2 U' L' D'
U R' U2 R2 U' L' D2
U R' U2 R2 U' D L'
U R' U2 R2 U' D' L'
U R' U2 R2 U' D2 L'
U R' U2 R2 D U' L'
U R' U2 R2 D' U' L'
U R' U2 R2 D2 U' L'
U R' U2 R2 B U' L'
U R' U2 R2 B' U' L'
U R' U2 R2 B2 U' L'
U' R' D U L' B2 R'
B' R' D U2 L' F B2
B' R' D U2 L' B2 F
B' R' D U2 B2 L' F
U R' U2 B R2 U' L'
U2 R' D U L' R B2
U2 R' D U L' B2 R
U2 R' D U R L' B2
U2 R' D U R B2 L'
U2 R' D U B2 L' R
U2 R' D U B2 R L'
U R' U2 B' R2 U' L'
U R' U2 B2 R2 U' L'
U R' D L U L2 B2
U R' D L U B2 L2
U R' D L2 U L B2
U R' D U L B2 L2
U R' D U L' B2 D
U R' D U L' B2 D'
U R' D U L' B2 D2
U R' D U B L' B
U R' D U B2 L' D
U R' D U B2 L' D'
U R' D U B2 L' D2
U R' D U B2 D L'
U R' D U B2 D' L'
U R' D U B2 D2 L'
B' R' D' F2 R U2 F'
U R' D' U L' D2 B2
U R' D' U' F2 R U2
R' U2 L' U L R2 U'
R' U2 L' U R2 L U'
U2 R' D2 L2 U L R
U2 R' D2 L2 U R L
U R' D2 L2 U L D
U R' D2 L2 U L D'
U R' D2 L2 U L D2
U R' D2 L2 U D L
U R' D2 L2 U D' L
U R' D2 L2 U D2 L
U R' D2 L2 D U L
U R' D2 L2 D' U L
U R' D2 L2 D2 U L
U R' D2 L2 F U L
U R' D2 L2 F' U L
U R' D2 L2 F2 U L
R' U2 L2 D L F2 B2
R' U2 L2 D L B2 F2
R U2 L' U' L R2 U
R' U2 L2 D F2 L B2
R U2 L' U' R2 L U
R U2 L2 D' L F2 B2
R U2 L2 D' L B2 F2
R U2 L2 D' F2 L B2
R' U2 R2 U' L' R2 D
R' U2 R2 U' L' R2 D'
R' U2 R2 U' L' R2 D2
R' U2 R2 U' R2 L' D
R' U2 R2 U' R2 L' D'
R' U2 R2 U' R2 L' D2
R' U2 R2 U' R2 D L'
R' U2 R2 U' R2 D' L'
R' U2 R2 U' R2 D2 L'
R' U2 R2 B U' L' R2
R' U2 R2 B U' R2 L'
R' U2 R2 B' U' L' R2
R' U2 R2 B' U' R2 L'
R' U2 R2 B2 U' L' R2
R' U2 R2 B2 U' R2 L'
R U2 R2 U L' R2 D
R U2 R2 U L' R2 D'
R U2 R2 U L' R2 D2
R U2 R2 U R2 L' D
R U2 R2 U R2 L' D'
R U2 R2 U R2 L' D2
R U2 R2 U R2 D L'
R U2 R2 U R2 D' L'
R U2 R2 U R2 D2 L'
R U2 R2 D B2 U L'
R U2 R2 B U L' R2
R U2 R2 B U R2 L'
R U2 R2 B' U L' R2
R U2 R2 B' U R2 L'
R U2 R2 B2 U L' R2
R U2 R2 B2 U R2 L'
B2 R2 U' L R' U' L2
B2 R2 U' R' L U' L2
R' U2 B R2 U' L' R2
R' U2 B R2 U' R2 L'
R' U2 B' R2 U' L' R2
R' U2 B' R2 U' R2 L'
R U2 B R2 U L' R2
R U2 B R2 U R2 L'
R' U2 B2 R2 U' L' R2
R' U2 B2 R2 U' R2 L'
R U2 B' R2 U L' R2
R U2 B' R2 U R2 L'
R' D L U L2 B2 R'
R U2 B2 R2 U L' R2
R U2 B2 R2 U R2 L'
R' D L2 U L B2 R'
R' D U L' B2 D' R2
R' D U B2 L' D' R2
R' D U B2 D' L' R2
R' D U B2 D' R2 L'
F U L R' F L' U
F2 U L' R' U D2 L2
F2 U L' R' U' R2 U2
F2 U L' R' D' F2 U
F2 U L' R' D2 U L2
F U L F L' R' U
F U L F R' L' U
F2 U L' F2 R' U L'
U' D R U' L' D' F2
U' D R U' D' L' F2
U' D R U2 R2 U L'
U' D R D' U' L' F2
U' D R D2 L2 U' L
D' U R' U L' D B2
D' U R' U D L' B2
D' U R' U D B2 L'
D2 U R' U L' D B2
D2 U R' U D L' B2
D2 U R' U D B2 L'
D' U R' U2 R2 U' L'
D2 U R' U2 R2 U' L'
D' U R' D U L' B2
D' U R' D U B2 L'
D2 U R' D U L' B2
D2 U R' D U B2 L'
F2 U R' L' U D2 L2
L D F2 L' R' U R2
F2 U R' L' U' R2 U2
F2 U R' L' D' F2 U
F2 U R' L' D2 U L2
D' U R' D2 L2 U L
D2 U R' D2 L2 U L
L D F2 R' L' U R2
F2 U R' D' L' F2 U
F2 U R' D2 L' U L'
D U R' U L' D B2
D U R' U D L' B2
D U R' U D B2 L'
D U R' U2 R2 U' L'
F U R' L F L' U
D U R' D U L' B2
D U R' D U B2 L'
D U R' D2 L2 U L
U D R' U L' D B2
U D R' U D L' B2
U D R' U D B2 L'
U D R' U2 R2 U' L'
U D R' D U L' B2
U D R' D U B2 L'
U D R' D2 L2 U L
F U D R' U B L
R D' L U' F2 L2 R
R D' L U' F2 R L2
U' D B2 L R U' L2
U' D B2 R L U' L2
B2 U' L R U' L2 D
B2 U' L R U' L2 D'
B2 U' L R U' L2 D2
B2 U' L R D' B2 U'
B2 U' L R B U' L2
B2 U' L R B' U' L2
B2 U' L R B2 U' L2
U' D' R U' L' D' F2
D' U' R U' L' D' F2
U' D' R U' D' L' F2
D' U' R U' D' L' F2
U' D' R U2 R2 U L'
D' U' R U2 R2 U L'
D2 U' R U' L' D' F2
B2 U' L D' R B2 U'
D2 U' R U' D' L' F2
B2 U' L D' B2 R U'
D2 U' R U2 R2 U L'
D' U' R D' U' L' F2
U' D' R D' U' L' F2
D' U' R D2 L2 U' L
U' D' R D2 L2 U' L
D2 U' R D' U' L' F2
D2 U' R D2 L2 U' L
R D' U' L' F2 D R2
B U' L R U' F L2
B2 U' L B R U' L2
B2 U' L B' R U' L2
B2 U' L B2 R U' L2
D U' R U' L' D' F2
D U' R U' D' L' F2
D U' R U2 R2 U L'
D U' R D' U' L' F2
D U' R D2 L2 U' L
R' D' F2 R U R' U
U D' R' U L' D B2
U D' R' U D L' B2
U D' R' U D B2 L'
U D' R' U2 R2 U' L'
B2 U' R L U' L2 D
B2 U' R L U' L2 D'
B2 U' R L U' L2 D2
B2 U' R L D' B2 U'
B' U' R U' D L' F
U D' R' D U L' B2
U D' R' D U B2 L'
B2 U' R L B U' L2
B2 U' R L B' U' L2
B2 U' R L B2 U' L2
U D' R' D2 L2 U L
B' U' R D U' L' F
B2 U' R U' L' D F2
B2 U' R D L U' L2
B2 U' R D' L U' L2
B2 U' R D2 L U' L2
B' U' R B' L U' L2
B U' R L U' F L2
B' U' D R U' L' F
B2 U' D L R U' L2
B2 U' D R L U' L2
B' U' D' R U' L' F'
B2 U' D' L R U' L2
B2 U' D' R L U' L2
B2 U' D2 L R U' L2
B2 U' D2 R L U' L2
U' D' B2 L R U' L2
D' U' B2 L R U' L2
D' U' B2 R L U' L2
U' D' B2 R L U' L2
D2 U' B2 L R U' L2
D2 U' B2 R L U' L2
R' D2 L2 U D2 L R2
R' D2 L2 U D2 R2 L
R' D2 L2 U' L2 U2 L'
R' D2 L2 D2 U L R2
R' D2 L2 D2 U R2 L
D U' B2 L R U' L2
D U' B2 R L U' L2
R D2 L2 U L2 U2 L'
R D2 L2 U' D2 L R2
R D2 L2 U' D2 R2 L
R D2 L2 D F2 U' L
R D2 L2 D2 U' L R2
R D2 L2 D2 U' R2 L
U' D2 R U' L' D' F2
B' U' B' L R U' L2
U' D2 R U' D' L' F2
U' D2 R U2 R2 U L'
B' U' B' R L U' L2
U' D2 R D' U' L' F2
U' D2 R D2 L2 U' L
B2 U2 L R U' L2 R'
B2 U2 L R U' R' L2
U D2 R' U L' D B2
U D2 R' U D L' B2
U D2 R' U D B2 L'
U D2 R' U2 R2 U' L'
U D2 R' D U L' B2
U D2 R' D U B2 L'
U D2 R' D2 L2 U L
B2 U2 L' U L2 R U'
B2 U2 L' U R L2 U'
B2 U2 R L U' L2 R'
B2 U2 R L U' R' L2
B U2 R U' L' R' F'
B U2 R U' R' L' F'
U' D2 B2 L R U' L2
U' D2 B2 R L U' L2
F2 D R U L' R2 U
F2 D R U R2 L' U
B' D U' R U' L' F
B2 D U' L R U' L2
B2 D U' R L U' L2
F D U R' U B L
F2 D' R U L' R2 U
F2 D' R U R2 L' U
B' D' U' R U' L' F'
B2 D' U' L R U' L2
B2 D' U' R L U' L2
U F2 L' R' U D2 L2
U F2 L' R' U' R2 U2
U F2 L' R' D' F2 U
U F2 L' R' D2 U L2
L F2 L' R' U L' R2
L F2 L' R' U R2 L'
D2 F2 R U L' R2 U
D2 F2 R U R2 L' U
D' F2 R U L' R2 U
D' F2 R U R2 L' U
U F2 L' F2 R' U L'
R2 F2 R U' L' R2 U'
R2 F2 R U' R2 L' U'
D F2 R U L' R2 U
D F2 R U R2 L' U
U F2 R' L' U D2 L2
U F2 R' L' U' R2 U2
U F2 R' L' D' F2 U
U F2 R' L' D2 U L2
L F2 R' L' U L' R2
L F2 R' L' U R2 L'
U F2 R' D' L' F2 U
U F2 R' D2 L' U L'
F2 D2 R U L' R2 U
F2 D2 R U R2 L' U
B2 D2 U' L R U' L2
B2 D2 U' R L U' L2
U' B L2 R U' L F
U' B R L2 U' L F
U' B R U' L F L2
U' B R B L U' L2
R2 B U R U L' B
R2 B U R U B L'
R' B U2 R2 U' L' R2
R' B U2 R2 U' R2 L'
R B U2 R2 U L' R2
R B U2 R2 U R2 L'
U' B' R U' D L' F
U' B' R D U' L' F
U' B' R B' L U' L2
R' B' U2 R2 U' L' R2
R' B' U2 R2 U' R2 L'
U' B' D R U' L' F
U' B' D' R U' L' F'
R B' U2 R2 U L' R2
R B' U2 R2 U R2 L'
U' B2 L R U' L2 D
U' B2 L R U' L2 D'
U' B2 L R U' L2 D2
U' B2 L R D' B2 U'
U' B2 L R B U' L2
U' B2 L R B' U' L2
U' B2 L R B2 U' L2
U' B2 L D' R B2 U'
U' B2 L D' B2 R U'
L' B2 L R U' L' R2
L' B2 L R U' R2 L'
U' B2 L B R U' L2
U' B2 L B' R U' L2
U' B2 L B2 R U' L2
U2 B2 L R U' L2 R'
U2 B2 L R U' R' L2
U2 B2 L' U L2 R U'
U2 B2 L' U R L2 U'
U' B2 R L U' L2 D
U' B2 R L U' L2 D'
U' B2 R L U' L2 D2
U' B2 R L D' B2 U'
U' B2 R L B U' L2
U' B2 R L B' U' L2
U' B2 R L B2 U' L2
U' B2 R U' L' D F2
U' B2 R D L U' L2
U' B2 R D' L U' L2
U' B2 R D2 L U' L2
L' B2 R L U' L' R2
L' B2 R L U' R2 L'
U2 B2 R L U' L2 R'
U2 B2 R L U' R' L2
L' B2 R' U L R2 U'
L' B2 R' U R2 L U'
L' B2 U L R U' R2
L' B2 U R L U' R2
U2 B2 U L R U' L2
D2 B2 U' L R U' L2
U2 B2 U R L U' L2
D' B2 U' L R U' L2
D2 B2 U' R L U' L2
D' B2 U' R L U' L2
R2 B2 U L R U L2
R2 B2 U R L U L2
R' B2 U2 R2 U' L' R2
R' B2 U2 R2 U' R2 L'
U' B2 D L R U' L2
D B2 U' L R U' L2
U' B2 D R L U' L2
D B2 U' R L U' L2
U' B2 D' L R U' L2
U' B2 D' R L U' L2
U' B2 D2 L R U' L2
U' B2 D2 R L U' L2
R B2 U2 R2 U L' R2
R B2 U2 R2 U R2 L'
