U' R2 F2 B L R'
U' R2 F2 B R' L
U' R2 B L R' F2
U' R2 B L F2 R'
U' R2 B R' L F2
U' R2 B R' F2 L
U' R2 B F2 L R'
U' R2 B F2 R' L
U' R2 B F2 R' L
U' R2 B F2 D L R'
U' R2 B F2 D R' L
U' R2 B F2 D' L R'
U' R2 B F2 D' R' L
U' R2 B F2 D2 L R'
U' R2 B F2 D2 R' L
U R2 B R' F' L' F'
U R2 B F' L' F' R'
B' U L F' U2 L' F'
D2 U F' B2 U2 L' R
D2 U F' B2 U2 R L'
B' U F' L U2 L2 F'
B' U F' L U2 F' L2
B U F' U2 L' F' R'
D2 U B2 F' U2 L' R
D2 U B2 F' U2 R L'
B' U' L F' U2 F' L'
B U' R2 B L R F2
B U' R2 B R L F2
B U' R2 B R F2 L
B' U' F' L U2 F' L'
B U' F' U2 F' L' R'
B U' F' U2 F' R' L'
F' U' B U' L F' R'
F' U' B U' F' L R'
F' U' B U' F' R' L
U D2 F' B2 U2 L' R
U D2 F' B2 U2 R L'
U D2 B2 F' U2 L' R
U D2 B2 F' U2 R L'
R2 F B D' R' F L'
R2 F B D' F L' R'
R2 F B D' F R' L'
U' F' R2 B U2 L R'
U' F' R2 B U2 R' L
R' F' U F' R' B R'
R' F' U F' B R' B
R' F' U B F' R' B
U F' R2 B U2 L' R'
U F' R2 B U2 R' L'
U' F' U2 D2 F' L' R
U' F' U2 D2 F' R L'
U F' U2 L' D2 F' R
U F' U2 D2 L' F' R
U' F' D2 U2 F' L' R
U' F' D2 U2 F' R L'
U' F' B U2 L F' R'
U' F' B U2 F' L R'
U' F' B U2 F' R' L
R' F' B U F' R' B
U F' D2 U2 L' F' R
U F' B U2 L' F' R'
U F' B' L U2 L2 F'
U F' B' L U2 F' L2
U' F2 L B L R' B'
U' F2 L B R' L B'
U' F2 L2 B L R' B2
U' F2 L2 B R' L B2
U' F2 B L D2 R' B
U' F2 B L2 R' B' L'
U' F2 B R' L2 B' L'
R2 F2 B R' U B U'
U' F2 B2 L2 B' L R'
U' F2 B2 L2 B' R' L
U' B L R2 B R F2
R2 F2 B2 D B' L R'
R2 F2 B2 D B' R' L
U' B L' F2 L2 R' B'
U' B L' F2 R' L2 B'
U' B R' F2 D2 L B'
U' B R2 L B R F2
R2 B R' U B U' F2
R B R U' F2 B R2
R B R U' B R2 F2
R B R U' B F2 R2
R2 B R' F2 U B U'
U' B F' U2 L F' R'
U' B F' U2 F' L R'
U' B F' U2 F' R' L
R' B F' U F' R' B
U' B F2 L D2 R' B
U' B F2 L2 R' B' L'
B F R' F D' L2 B'
U' B F2 R' L2 B' L'
F B R' F D' L2 B'
R2 B F D' R' F L'
R2 B F D' F L' R'
R2 B F D' F R' L'
R2 B F2 R' U B U'
U B F' U2 L' F' R'
U B' L F' U2 L' F'
U B' F' L U2 L2 F'
U B' F' L U2 F' L2
U' B2 F2 L2 B' L R'
U' B2 F2 L2 B' R' L
R2 B2 F2 D B' L R'
R2 B2 F2 D B' R' L
