D' L2 R2 F' R
D' R2 L2 F' R
D' R2 F' L2 R
D' R2 F' R L2
D' L R2 F' L R
D' L R2 F' R L
D' L2 R F' R F'
D' L2 R2 F' R D
D' L2 R2 F' R D'
D' L2 R2 F' R D2
D' L2 R2 F' D R
D' L2 R2 F' D' R
D' L2 R2 F' D2 R
D' L2 F' R2 F' R'
D' R L2 F' R F'
D' R F' L2 R F'
D' R F' R L2 F'
D' R F' R F' L2
D' R2 L F' L R
D' R2 L F' R L
D' R2 L2 F' R D
D' R2 L2 F' R D'
D' R2 L2 F' R D2
D' R2 L2 F' D R
D' R2 L2 F' D' R
D' R2 L2 F' D2 R
D2 R2 D L2 F' R
D2 R2 D F' L2 R
D2 R2 D F' R L2
D' R2 F' L2 R D
D' R2 F' L2 R D'
D' R2 F' L2 R D2
D' R2 F' L2 D R
D' R2 F' L2 D' R
D' R2 F' L2 D2 R
D' R2 F' R L2 D
D' R2 F' R L2 D'
D' R2 F' R L2 D'
D' R2 F' R L2 D2
U' R2 F2 U F R
L' D' L2 R2 F' R
U2 D B R2 U2 R
L' D' R2 L2 F' R
L D' L2 R2 F' R
L2 D' L2 R2 F' R
L' D' R2 F' L2 R
L' D' R2 F' R L2
L D' R2 L2 F' R
L2 D' R2 L2 F' R
L D' R2 F' L2 R
L D' R2 F' R L2
L2 D' R2 F' L2 R
L2 D' R2 F' R L2
D U2 B R2 U2 R
D' F' L2 R2 F' R'
D' F' R2 L2 F' R'
D' F' R2 F' L2 R'
D' F' R2 F' R' L2
D B R2 U2 R B'
D B R2 U2 B' R
D' R2 L F' L R D2
D' R2 L F' L D R
D' R2 L F' L D' R
D' R2 L F' L D2 R
D' R2 L F' R L D
D' R2 L F' R L D'
D' R2 L F' R L D2
D' R2 L F' R D L
D' R2 L F' R D' L
D' R2 L F' R D2 L
D' R2 L F' D L R
D' R2 L F' D R L
D' R2 L F' D' L R
D' R2 L F' D' R L
D' R2 L F' D2 L R
D' R2 L F' D2 R L
D2 R2 L' F' D L2 R2
D2 R2 L' F' D R2 L2
D' R2 L2 F R F2 R
D' R2 L2 F R' F2 R
D' R2 L2 F R2 F2 R
D' R2 L2 F' R2 D R'
D' R2 L2 F' R2 D' R'
D' R2 L2 F' R2 D2 R'
D' R2 L2 F' D R D
D' R2 L2 F' D R D'
D' R2 L2 F' D R D2
D' R2 L2 F' D' R D
D' R2 L2 F' D' R D'
D' R2 L2 F' D' R D2
D' R2 L2 F' D2 R D
D' R2 L2 F' D2 R D'
D' R2 L2 F' D2 R D2
D' R2 L2 F' B R B'
D' R2 L2 F' B2 R B2
D' R2 L2 F2 R F R
D' R2 L2 F2 R' F R
D' R2 L2 F2 R2 F R
D' R2 L2 F2 D F R
D' R2 L2 F2 D' F R
D' R2 L2 F2 D2 F R
D' R2 L2 B F' R B'
D' R2 L2 B2 F' R B2
D' R2 U2 F' L2 R B'
D' R2 U2 F' L2 B' R
D' R2 U2 F' R L2 B'
D2 R2 D L F' L R
D2 R2 D L F' R L
D2 R2 D L2 F' R D
D2 R2 D L2 F' R D'
D2 R2 D L2 F' R D2
D2 R2 D L2 F' D R
D2 R2 D L2 F' D' R
D2 R2 D L2 F' D2 R
D2 R2 D F' L2 R D
D2 R2 D F' L2 R D'
D2 R2 D F' L2 R D2
D2 R2 D F' L2 D R
D2 R2 D F' L2 D' R
D2 R2 D F' L2 D2 R
D2 R2 D F' R L2 D
D2 R2 D F' R L2 D'
D2 R2 D F' R L2 D2
D' R2 F R F2 L2 R
D' R2 F R F2 R L2
D' R2 F R' F2 L2 R
D' R2 F R' F2 R L2
D' R2 F R2 F2 L2 R
D' R2 F R2 F2 R L2
D' R2 F' L R D L
D' R2 F' L R D' L
D' R2 F' L R D2 L
D' R2 F' L D L R
D' R2 F' L D R L
D' R2 F' L D' L R
D' R2 F' L D' R L
D' R2 F' L D2 L R
D' R2 F' L D2 R L
D' R2 F' L' R D L'
D' R2 F' L' R D' L'
D' R2 F' L' R D2 L'
D' R2 F' L' D L' R
D' R2 F' L' D R L'
D' R2 F' L' D' L' R
D' R2 F' L' D' R L'
D' R2 F' L' D2 L' R
D' R2 F' L' D2 R L'
D' R2 F' L2 R2 D R'
D' R2 F' L2 R2 D' R'
D' R2 F' L2 R2 D2 R'
D' R2 F' L2 D R D
D' R2 F' L2 D R D'
D' R2 F' L2 D R D2
D' R2 F' L2 D' R D
D' R2 F' L2 D' R D'
D' R2 F' L2 D' R D2
D' R2 F' L2 D2 R D
D' R2 F' L2 D2 R D'
D' R2 F' L2 D2 R D2
D' R2 F' L2 B R B'
D' R2 F' L2 B2 R B2
D' R2 F' R L D L
D' R2 F' R L D' L
D' R2 F' R L D2 L
D' R2 F' R L' D L'
D' R2 F' R L' D' L'
D' R2 F' R L' D2 L'
D' R2 F' R F L2 F'
D' R2 F' R F2 L2 F2
D' R2 F' R B' L2 B
D' R2 F' R B2 L2 B2
D' R2 F' R2 L2 D R'
D' R2 F' R2 L2 D' R'
D' R2 F' R2 L2 D2 R'
D' R2 F' D R D' L2
D' R2 F' D' R D L2
D' R2 F' B R B' L2
D' R2 F' B' L2 B R
D' R2 F' B2 L2 R B2
D' R2 F' B2 L2 B2 R
D' R2 F' B2 R L2 B2
D' R2 F' B2 R B2 L2
D' R2 F2 R F L2 R
D' R2 F2 R F R L2
D' R2 F2 R' F L2 R
D' R2 F2 R' F R L2
U' R2 F2 R B U F
D' R2 F2 R2 F L2 R
D' R2 F2 R2 F R L2
U' R2 F2 U R F R
U' R2 F2 U R' F R
U' R2 F2 U R2 F R
U' R2 F2 U D F R
U' R2 F2 U D' F R
U' R2 F2 U D2 F R
U' R2 F2 U F R D
U' R2 F2 U F R D'
U' R2 F2 U F R D2
U' R2 F2 U F D R
U' R2 F2 U F D' R
U' R2 F2 U F D2 R
U' R2 F2 D U F R
U' R2 F2 D' U F R
U' R2 F2 D2 U F R
U' R2 F2 B U F R
U' R2 F2 B' U F R
U' R2 F2 B2 U F R
F' R2 B U' F' B' R'
F' R2 B U' B' F' R'
D' R2 B F' R B' L2
U' R2 B F2 U F R
D' R2 B' L2 F' B R
D' R2 B' L2 B F' R
D R2 B U2 F' R' B'
D' R2 B' F' L2 B R
D R2 B' L U2 F' B
D R2 B' L U2 B F'
U' R2 B' F2 U F R
D' R2 B2 L2 F' R B2
D' R2 B2 L2 F' B2 R
D' R2 B2 L2 B2 F' R
D' R2 B2 F' L2 R B2
D' R2 B2 F' L2 B2 R
D' R2 B2 F' R L2 B2
D' R2 B2 F' R B2 L2
U' R2 B2 F2 U F R
L' D U2 B R2 U2 R
U2 D L B R2 U2 R
L2 D U2 B R2 U2 R
L D U2 B R2 U2 R
U2 D L' B R2 U2 R
U2 D L2 B R2 U2 R
L' D B R2 U2 R B'
L' D B R2 U2 B' R
L2 D B R2 U2 R B'
L2 D B R2 U2 B' R
L D B R2 U2 R B'
L D B R2 U2 B' R
U2 D R2 U2 D2 F' R
U2 D R2 D2 U2 F' R
U2 D R2 B U2 F' R'
U2 D R2 B' L U2 F'
L' D' L R2 F' L R
L' D' L R2 F' R L
L2 D' L R2 F' L R
L2 D' L R2 F' R L
L D' L R2 F' L R
L D' L R2 F' R L
L' D' L2 R F' R F'
L' D' L2 R2 F' R D
L' D' L2 R2 F' R D'
L' D' L2 R2 F' R D2
L' D' L2 R2 F' D R
L' D' L2 R2 F' D' R
L' D' L2 R2 F' D2 R
U2 D B L R2 U2 R
U2 D B L' R2 U2 R
L2 D' L2 R F' R F'
U2 D B L2 R2 U2 R
L' D' L2 F' R2 F' R'
L2 D' L2 R2 F' R D
L2 D' L2 R2 F' R D'
L2 D' L2 R2 F' R D2
L2 D' L2 R2 F' D R
L2 D' L2 R2 F' D' R
L2 D' L2 R2 F' D2 R
U2 D B R2 L U2 R
U2 D B R2 L' U2 R
U2 D B R2 L2 U2 R
U2 D B R2 U2 R D
U2 D B R2 U2 R D'
U2 D B R2 U2 R D2
U2 D B R2 U2 D R
U2 D B R2 U2 D' R
U2 D B R2 U2 D2 R
U2 D B R2 D U2 R
U2 D B R2 D' U2 R
U2 D B R2 D2 U2 R
U2 D B U2 D2 L2 R'
U2 D B U2 D2 R' L2
L' D' R L2 F' R F'
L2 D' L2 F' R2 F' R'
U2 D B D2 U2 L2 R'
U2 D B D2 U2 R' L2
L D' L2 R F' R F'
L D' L2 R2 F' R D
L D' L2 R2 F' R D'
L D' L2 R2 F' R D2
L D' L2 R2 F' D R
L D' L2 R2 F' D' R
L D' L2 R2 F' D2 R
U2 D B' L R2 B2 U2
U2 D B' L B2 R2 U2
L' D' R F' L2 R F'
L' D' R F' R L2 F'
L' D' R F' R F' L2
L2 D' R L2 F' R F'
U2 D B' R2 L B2 U2
U2 D B' R2 B2 U2 R'
L D' L2 F' R2 F' R'
D2 U B2 L2 U' F R
L2 D' R F' L2 R F'
L2 D' R F' R L2 F'
L2 D' R F' R F' L2
L D' R L2 F' R F'
U2 D B2 R2 B' U2 R'
L' D' R2 L F' L R
L' D' R2 L F' R L
L D' R F' L2 R F'
L D' R F' R L2 F'
L D' R F' R F' L2
L' D' R2 L2 F' R D
L' D' R2 L2 F' R D'
L' D' R2 L2 F' R D2
L' D' R2 L2 F' D R
L' D' R2 L2 F' D' R
L' D' R2 L2 F' D2 R
L2 D' R2 L F' L R
L2 D' R2 L F' R L
L' D' R2 F' L2 R D
L' D' R2 F' L2 R D'
L' D' R2 F' L2 R D2
L' D' R2 F' L2 D R
L' D' R2 F' L2 D' R
L' D' R2 F' L2 D2 R
L' D' R2 F' R L2 D
L' D' R2 F' R L2 D'
L' D' R2 F' R L2 D2
L2 D' R2 L2 F' R D
L2 D' R2 L2 F' R D'
L2 D' R2 L2 F' R D2
L2 D' R2 L2 F' D R
L2 D' R2 L2 F' D' R
L2 D' R2 L2 F' D2 R
L2 D' R2 F' L2 R D
L2 D' R2 F' L2 R D'
L2 D' R2 F' L2 R D2
L2 D' R2 F' L2 D R
L2 D' R2 F' L2 D' R
L2 D' R2 F' L2 D2 R
L2 D' R2 F' R L2 D
L2 D' R2 F' R L2 D'
L2 D' R2 F' R L2 D2
L D' R2 L F' L R
L D' R2 L F' R L
L D' R2 L2 F' R D
L D' R2 L2 F' R D'
L D' R2 L2 F' R D2
L D' R2 L2 F' D R
L D' R2 L2 F' D' R
L D' R2 L2 F' D2 R
L D' R2 F' L2 R D
L D' R2 F' L2 R D'
L D' R2 F' L2 R D2
L D' R2 F' L2 D R
L D' R2 F' L2 D' R
L D' R2 F' L2 D2 R
L D' R2 F' R L2 D
L D' R2 F' R L2 D'
L D' R2 F' R L2 D2
L' D' F' L2 R2 F' R'
L' D' F' R2 L2 F' R'
L' D' F' R2 F' L2 R'
L' D' F' R2 F' R' L2
U' D' R2 U L2 F' R
D' U' R2 U L2 F' R
U' D' R2 U F' L2 R
U' D' R2 U F' R L2
D' U' R2 U F' L2 R
D' U' R2 U F' R L2
L2 D' F' L2 R2 F' R'
L2 D' F' R2 L2 F' R'
L2 D' F' R2 F' L2 R'
L2 D' F' R2 F' R' L2
U2 D' R2 U2 L2 F' R
U2 D' R2 U2 F' L2 R
U2 D' R2 U2 F' R L2
L D' F' L2 R2 F' R'
U2 D' R2 F' L2 R B'
U2 D' R2 F' L2 B' R
U2 D' R2 F' R L2 B'
L D' F' R2 L2 F' R'
L D' F' R2 F' L2 R'
L D' F' R2 F' R' L2
R D2 L' F D L2 R2
R D2 L' F D R2 L2
D U2 L B R2 U2 R
D U2 L' B R2 U2 R
L' D2 R2 D L2 F' R
L' D2 R2 D F' L2 R
L' D2 R2 D F' R L2
L2 D2 R2 D L2 F' R
L2 D2 R2 D F' L2 R
L2 D2 R2 D F' R L2
D U2 L2 B R2 U2 R
L D2 R2 D L2 F' R
L D2 R2 D F' L2 R
L D2 R2 D F' R L2
D' U2 R2 U2 L2 F' R
D' U2 R2 U2 F' L2 R
D' U2 R2 U2 F' R L2
D' U2 R2 F' L2 R B'
D' U2 R2 F' L2 B' R
D' U2 R2 F' R L2 B'
D U2 R2 U2 D2 F' R
D U2 R2 D2 U2 F' R
D U2 R2 B U2 F' R'
D U2 R2 B' L U2 F'
D U2 B L R2 U2 R
D U2 B L' R2 U2 R
D U2 B L2 R2 U2 R
D U2 B R2 L U2 R
D U2 B R2 L' U2 R
D U2 B R2 L2 U2 R
D U2 B R2 U2 R D
D U2 B R2 U2 R D'
D U2 B R2 U2 R D2
D U2 B R2 U2 D R
D U2 B R2 U2 D' R
D U2 B R2 U2 D2 R
D U2 B R2 D U2 R
D U2 B R2 D' U2 R
D U2 B R2 D2 U2 R
D U2 B U2 D2 L2 R'
D U2 B U2 D2 R' L2
D U2 B D2 U2 L2 R'
D U2 B D2 U2 R' L2
B U2 R' B' D' L2 R2
B U2 R' B' D' R2 L2
D U2 B' L R2 B2 U2
D U2 B' L B2 R2 U2
D U2 B' R2 L B2 U2
D U2 B' R2 B2 U2 R'
D' F L D2 L R2 F'
D' F L D2 R2 L F'
D' F L D2 R2 F' L
D U2 B2 R2 B' U2 R'
U D2 B2 L2 U' F R
B U2 D B R' B2 L
D' F L' B U2 B' L'
D' F L2 U2 L B U2
D' F R F2 L2 R F'
D' F R F2 R L2 F'
D' F R F2 R F' L2
D2 F R2 D L2 F' R
D2 F R2 D F' L2 R
D2 F R2 D F' R L2
D' F R2 F2 R F L2
D' F U2 L' B U2 L'
D' F U2 B L' U2 L'
D2 F D L2 R2 F' R
D2 F D R2 L2 F' R
D2 F D R2 F' L2 R
D2 F D R2 F' R L2
D F U2 B R2 U2 R
D F D2 L2 R2 F' R
D F D2 R2 L2 F' R
D F D2 R2 F' L2 R
D F D2 R2 F' R L2
D F B R2 U2 R B'
D F B R2 U2 B' R
D' F B2 L2 F B2 R'
D' F B2 L2 B2 R' F
D' F B2 L2 B2 F R'
B D R2 U2 B R' B2
D' F' L R2 F' L R'
D' F' L R2 F' R' L
D' F' L' R D2 L' F
D' F' L2 R2 D F' R'
D' F' L2 R2 D' F' R'
D' F' L2 R2 D2 F' R'
D' F' L2 R2 F R' F2
D' F' L2 R2 F' R' D
D' F' L2 R2 F' R' D'
D' F' L2 R2 F' R' D2
D' F' L2 R2 F' D R'
D' F' L2 R2 F' D' R'
D' F' L2 R2 F' D2 R'
D' F' L2 R2 F2 R' F
D' F' L2 U2 B U2 R
D' F' L2 D R2 F' R'
D' F' L2 D' R2 F' R'
D' F' L2 D2 R2 F' R'
D' F' L2 F R2 F' R
B D U2 B R' B2 L
D' F' R L' D2 L' F
R2 F' R U' B U L
D' F' R2 L F' L R'
D' F' R2 L F' R' L
D' F' R2 L2 D F' R'
D' F' R2 L2 D' F' R'
D' F' R2 L2 D2 F' R'
D' F' R2 L2 F R' F2
D' F' R2 L2 F' R' D
D' F' R2 L2 F' R' D'
D' F' R2 L2 F' R' D2
D' F' R2 L2 F' D R'
D' F' R2 L2 F' D' R'
D' F' R2 L2 F' D2 R'
D' F' R2 L2 F2 R' F
D2 F' R2 D L2 F' R
D2 F' R2 D F' L2 R
D2 F' R2 D F' R L2
D' F' R2 F L2 R' F2
D' F' R2 F L2 F2 R'
D' F' R2 F R' L2 F2
D' F' R2 F R' F2 L2
D' F' R2 F' L2 R' D
D' F' R2 F' L2 R' D'
D' F' R2 F' L2 R' D2
D' F' R2 F' L2 D R'
D' F' R2 F' L2 D' R'
D' F' R2 F' L2 D2 R'
D' F' R2 F' R' L2 D
D' F' R2 F' R' L2 D'
D' F' R2 F' R' L2 D2
D' F' R2 F2 R' F L2
D' F' U2 B U2 L2 R
D' F' U2 B U2 R L2
R2 F' U' F' B' U R'
R2 F' U' B' F' U R'
D2 F' D L2 R2 F' R
D2 F' D R2 L2 F' R
D2 F' D R2 F' L2 R
D2 F' D R2 F' R L2
D F' U2 B R2 U2 R
B D' L2 F L' U2 L
D F' D2 L2 R2 F' R
D' F' B U2 R B' L2
D' F' B U2 B' L2 R
D' F' B U2 B' R L2
D F' D2 R2 L2 F' R
D F' D2 R2 F' L2 R
D F' D2 R2 F' R L2
D F' B R2 U2 R B'
D F' B R2 U2 B' R
D' F' B2 L2 R F B2
D' F' B2 L2 R B2 F
D' F' B2 L2 B2 R F
D' F' B2 R L2 F B2
D' F' B2 R L2 B2 F
F D' R2 F' R D' L2
F D' R2 F' D' L2 R
F D' R2 F' D' R L2
D' F2 L2 R F R F'
D' F2 L2 R2 F R F2
D' F2 L2 U2 B L U2
D' F2 L2 F R2 F' R'
D' F2 L2 F2 R2 F' R
D' F2 R L2 F R F'
D' F2 R F L2 R F'
D' F2 R F R L2 F'
D' F2 R F R F' L2
B D' F' U2 R B' L2
B D' F' U2 B' L2 R
B D' F' U2 B' R L2
U' F2 R' B R' U F'
U' F2 R2 U F R F2
R2 F2 R B U F B'
R2 F2 R B U B' F
D' F2 R2 L2 F R F2
D2 F2 R2 D L2 F' R
D2 F2 R2 D F' L2 R
D2 F2 R2 D F' R L2
B D' F2 U2 B' L2 R'
B D' F2 U2 B' R' L2
D' F2 R2 F L2 R F2
D' F2 R2 F R L2 F2
D' F2 R2 F R F2 L2
U' F2 U D' R2 F' R
B D' B' L2 R2 F' R
U' F2 U' D B U2 R'
B D' B' R2 L2 F' R
B D' B' R2 F' L2 R
B D' B' R2 F' R L2
D' F2 U2 B L U2 L
D2 F2 D L2 R2 F' R
U' F2 D U' B U2 R'
D2 F2 D R2 L2 F' R
D2 F2 D R2 F' L2 R
D2 F2 D R2 F' R L2
U' F2 D' R2 U F' R
U' F2 D' U R2 F' R
D F2 U2 B R2 U2 R
R' F2 B R' U F' B'
R' F2 B R' U B' F'
D F2 D2 L2 R2 F' R
D' F2 B U2 B' L2 R'
D' F2 B U2 B' R' L2
D F2 D2 R2 L2 F' R
D F2 D2 R2 F' L2 R
D F2 D2 R2 F' R L2
R2 F2 B U F R B'
R2 F2 B U F B' R
R2 F2 B U B' F R
D F2 B R2 U2 R B'
D F2 B R2 U2 B' R
D' F2 B2 L2 F R B2
D' F2 B2 L2 F B2 R
D' F2 B2 L2 B2 F R
R2 F2 B' U F B R
R2 F2 B' U B F R
R2 F2 B2 U F R B2
R2 F2 B2 U F B2 R
R2 F2 B2 U B2 F R
D B L R2 U2 R B
D' B L2 F L' U2 L
D B L2 F R2 U2 R
R' B R' F2 U F B'
R' B R' F2 U B' F
U2 B R' U F2 B U
U2 B R' U B F2 U
D B R2 L U2 R B
D B R2 U2 R D B'
D B R2 U2 R D' B'
D B R2 U2 R D2 B'
D B R2 U2 R B' D
D B R2 U2 R B' D'
D B R2 U2 R B' D2
D B R2 U2 R' B' R2
D B R2 U2 D R B'
D B R2 U2 D B' R
D B R2 U2 D' R B'
D B R2 U2 D' B' R
D B R2 U2 D2 R B'
D B R2 U2 D2 B' R
D B R2 U2 B R B2
D B R2 U2 B' R D
D B R2 U2 B' R D'
D B R2 U2 B' R D2
D B R2 U2 B' D R
D B R2 U2 B' D' R
D B R2 U2 B' D2 R
D B R2 D U2 R B'
D B R2 D U2 B' R
D B R2 D' U2 R B'
D B R2 D' U2 B' R
D B R2 D2 U2 R B'
D B R2 D2 U2 B' R
D B R2 F' U2 B' R'
D B U2 R' B2 L B
D B U2 D2 R' B' L2
D B D2 U2 R' B' L2
D' B F' U2 R B' L2
D' B F' U2 B' L2 R
D' B F' U2 B' R L2
D B F R2 U2 R B'
D B F R2 U2 B' R
R' B F2 R' U F' B'
R' B F2 R' U B' F'
D' B F2 U2 B' L2 R'
D' B F2 U2 B' R' L2
D B F' R2 U2 R B'
D B F' R2 U2 B' R
R2 B F2 U F R B'
R2 B F2 U F B' R
R2 B F2 U B' F R
D B F2 R2 U2 R B'
D B F2 R2 U2 B' R
D B' L R2 F' B2 U2
D B' L R2 B2 F' U2
D B' L B2 R2 U2 B'
D' B' L2 D2 F2 B R'
D' B' L2 D2 B R' F2
D' B' L2 D2 B F2 R'
D' B' L2 B R2 F' R
D B' R2 L F' B2 U2
D B' R2 L B2 F' U2
D B' R2 F' L B2 U2
D B' R2 F' B2 U2 R'
D B' R2 B2 F' U2 R'
D B' D2 L2 F2 B R
D B' D2 L2 B F2 R
R2 B' F2 U F B R
R2 B' F2 U B F R
D2 B2 L2 U' F R B2
D2 B2 L2 U' F B2 R
D2 B2 L2 U' B2 F R
D' B2 L2 F' R F2 B2
D' B2 L2 F' R B2 F2
D' B2 L2 F' B2 R F2
D' B2 L2 B2 F' R F2
D B2 R2 B' U2 R' B'
U2 B2 D R2 B' L U2
U2 B2 D B' L R2 U2
U2 B2 D B' R2 L U2
D' B2 F L2 F B2 R'
D' B2 F L2 B2 R' F
D' B2 F L2 B2 F R'
D' B2 F' L2 R F B2
D' B2 F' L2 R B2 F
D' B2 F' L2 B2 R F
