B' L2 F' R' B U
F' L2 B' R' B U
L2 F' B' R' B U
F' B' L2 R' B U
B' F' L2 R' B U
F' B' R' L2 B U
B' F' R' L2 B U
F' B' R' B L2 U
B' F' R' B L2 U
L2 B' F' R' B U
B' F' L2 R' B D2 U
F' B' L2 R' D B U
F' B' L2 R' D' B U
F' B' L2 R' D2 B U
F' B' L2 R' B U D
F' B' L2 R' B U D'
F' B' L2 R' B U D2
F' B' L2 R' B D U
F' B' L2 R' B D' U
F' B' L2 R' B D2 U
B2 F' L2 R' B R' U
B2 F' L2 B R' B U
B' F' R' L' B L' U
B' F' R' L2 D B U
B' F' R' L2 D' B U
B' F' R' L2 D2 B U
B' F' R' L2 B U D
B' F' R' L2 B U D'
B' F' R' L2 B U D2
B' F' R' L2 B D U
B' F' R' L2 B D' U
B' F' R' L2 B D2 U
F B' L2 R' F2 B U
F B' L2 R' B F2 U
B' F' R' D' B U B
F' B' R' L' B L' U
F' B' R' L2 D B U
F' B' R' L2 D' B U
F' B' R' L2 D2 B U
F' B' R' L2 B U D
F' B' R' L2 B U D'
F' B' R' L2 B U D2
F' B' R' L2 B D U
F' B' R' L2 B D' U
F' B' R' L2 B D2 U
B2 F' R' L2 B R' U
B' F' R' B L2 U D
B' F' R' B L2 U D'
B' F' R' B L2 U D2
B' F' R' B L2 D U
B' F' R' B L2 D' U
B' F' R' B L2 D2 U
B' F' R' B U D' B2
B' F' R' B D' U B2
B' F' R' B' L2 B2 U
F B' L2 F2 R' B U
F' B' R' D' B U B
F' B' R' B L2 U D
F' B' R' B L2 U D'
F' B' R' B L2 U D2
F' B' R' B L2 D U
F' B' R' B L2 D' U
F' B' R' B L2 D2 U
F' B' R' B U D' B2
F' B' R' B D' U B2
F' B' R' B' L2 B2 U
F2 B' R' F L2 B U
F2 B' R' F B L2 U
B2 F' R' B L2 R' U
B2 F' R' B R' L2 U
F2 B' R' B F L2 U
F B' R' L2 F2 B U
F B' R' L2 B F2 U
L2 B' D' F' R' U R2
F B' R' F2 L2 B U
F B' R' F2 B L2 U
F B' R' B L2 F2 U
F B' R' B F2 L2 U
L2 B' F R' F2 B U
L2 B' F R' B F2 U
D' B' F' R' U R2 B'
D' B' F' R' U B' R2
L2 B' F' R' D B U
L2 B' F' R' D' B U
L2 B' F' R' D2 B U
L2 B' F' R' B U D
L2 B' F' R' B U D'
L2 B' F' R' B U D2
L2 B' F' R' B D U
L2 B' F' R' B D' U
L2 B' F' R' B D2 U
L2 B' F2 R' F B U
L2 B' F2 R' B F U
L B' F' R' B L U
F' B2 L2 R' B R' U
F' B2 L2 B R' B U
B' F2 R' F L2 B U
B' F2 R' F B L2 U
F' B2 R' L2 B R' U
B' F2 R' B F L2 U
F' B2 R' B L2 R' U
F' B2 R' B R' L2 U
L2 B2 D' F' U R F'
L2 B2 F' R' B R' U
