F' L D2 R2 B L
F R' F2 R2 B L
F' R2 B L D2 R2
F' U2 L' F' U2 L'
F2 U2 F' L' R F2
F2 U2 F' R L' F2
U2 F2 U2 F L' R
U2 F2 U2 F R L'
F' B L D2 R2 B
B F' L D2 R2 B
F' R2 U2 L' U2 B L
L U2 F2 U2 F L' R
L U2 F2 U2 F R L'
F2 R2 U2 F' L' R F2
F2 R2 U2 F' R L' F2
F' R2 D B L D2 R2
F' R2 D' B L D2 R2
F' R2 D2 B L D2 R2
F' R2 F2 B L R F2
F' R2 F2 B R L F2
F' R2 F2 B R F2 L
F' R2 B L R D2 R2
F' R2 B L R' D2 R2
F' R2 B L R2 D2 R2
F' R2 B L U2 L2 U2
F' R2 B L D2 R2 D
F' R2 B L D2 R2 D'
F' R2 B L D2 R2 D2
F' R2 B R L D2 R2
F' R2 B R' L D2 R2
F' R2 B R2 L D2 R2
F R2 F2 R2 B L R
F R2 F2 R2 B R L
F' R2 B U2 L' U2 L2
F' R2 B D L D2 R2
F' R2 B D' L D2 R2
F' R2 B D2 L D2 R2
F' R2 B F2 L R F2
F' R2 B F2 R L F2
F' R2 B F2 R F2 L
F' R2 B' L2 B2 L R'
F' R2 B' L2 B2 R' L
B U L F' D R2 B
F2 U R' F' U R F2
F' U2 L F' L2 U2 L
F2 U2 L F' L' R F
F2 U2 L F' R L' F
F' U2 L' R2 U2 B L
F' U2 L' D F' U2 L'
F' U2 L' D' F' U2 L'
F' U2 L' D2 F' U2 L'
F' U2 L' F R F2 U2
F' U2 L' F' R U2 L'
F' U2 L' F' R' U2 L'
F' U2 L' F' R2 U2 L'
F' U2 L' F' U2 L' D
F' U2 L' F' U2 L' D'
F' U2 L' F' U2 L' D2
F' U2 L' F' U2 D L'
F' U2 L' F' U2 D' L'
F' U2 L' F' U2 D2 L'
F' U2 L' F' D U2 L'
F' U2 L' F' D' U2 L'
F' U2 L' F' D2 U2 L'
D2 U2 F' L' B' R' B'
U2 D2 F' L' B' R' B'
F' U2 L2 F' L U2 L2
D2 U2 F' B' R' B' L'
U2 D2 F' B' R' B' L'
F2 U2 R F' L' R F2
F2 U2 R F' R L' F2
F2 U2 R' F' L' R F2
F2 U2 R' F' R L' F2
F' U2 R2 L' U2 B L
D2 U2 B' F' R' B' L'
F2 U2 R2 F' L' R F2
F2 U2 R2 F' R L' F2
F' U2 D L' F' U2 L'
U2 D2 B' F' R' B' L'
D2 U2 B2 D2 F' L' R
D2 U2 B2 D2 F' R L'
F' U2 D' L' F' U2 L'
U2 D2 B2 D2 F' L' R
U2 D2 B2 D2 F' R L'
F' U2 D2 L' F' U2 L'
U2 F L' F2 L' B' R'
F2 U2 F U2 L' R U2
F2 U2 F U2 R L' U2
F2 U2 F' L R F2 L2
F2 U2 F' L' R F2 D
F2 U2 F' L' R F2 D'
F2 U2 F' L' R F2 D2
F2 U2 F' L' R' F2 R2
F2 U2 F' L' R2 F2 R'
F2 U2 F' L2 R F2 L
F2 U2 F' R L F2 L2
F2 U2 F' R L' F2 D
F2 U2 F' R L' F2 D'
F2 U2 F' R L' F2 D2
F2 U2 F' R L2 F2 L
F2 U2 F' R' L' F2 R2
F2 U2 F' R2 L' F2 R'
U2 F L2 F2 B' L' R'
U2 F L2 F2 B' R' L'
U2 F L2 B' F2 L' R'
U2 F L2 B' F2 R' L'
D2 F R F2 B L B
D2 F R B L F2 B
D2 F R B L B F2
B' U2 F2 R' U2 F R
D2 F R B F2 L B
U2 F R F U2 F R
L' F R' F2 R2 B L
B U2 F2 U2 F L R
B U2 F2 U2 F R L
L2 F R' F2 R2 B L
L F R' F2 R2 B L
F' D L D2 R2 B L
D2 F B L B R F2
F' D R2 B L D2 R2
L' F' L D2 R2 B L
F' D U2 L' F' U2 L'
L2 F' L D2 R2 B L
U2 F' L' R' B' R' B
U2 F' L' R2 B' R' B2
U2 F' L' U2 F' L' U2
L F' L D2 R2 B L
U2 F' L' B' R2 B R
U2 F' L' B2 R2 B R'
D2 F' L2 B L B R'
R2 F' L' F' B U2 L
R2 F' L' B F' U2 L
F' D B L D2 R2 B
U2 F' R' L' B' R' B
U2 F' R' B' L' R' B
U2 F' R' B' R' L' B
U2 F' R' B' R' B L'
U2 F' R2 L' B' R' B2
L' F' R2 B L D2 R2
U2 F' R2 B L' D2 R2
L2 F' R2 B L D2 R2
U2 F' R2 B' L' R' B2
U2 F' R2 B' R' L' B2
U2 F' R2 B' R' B2 L'
L F' R2 B L D2 R2
F' D' L D2 R2 B L
L' F' U2 L' F' U2 L'
L2 F' U2 L' F' U2 L'
L F' U2 L' F' U2 L'
D2 F' B L D2 B R2
D2 F' B L B D2 R2
L' F' B L D2 R2 B
L2 F' B L D2 R2 B
U2 F' B L' D2 R2 B
R2 F' B L' F' U2 L2
F' D' R2 B L D2 R2
U2 F' B' L' R2 B R
U2 F' B' R2 L' B R
U2 F' B' R2 B L' R
U2 F' B' R2 B R L'
L F' B L D2 R2 B
U2 F' B2 L' R2 B R'
U2 F' B2 R2 L' B R'
U2 F' B2 R2 B L' R'
U2 F' B2 R2 B R' L'
F' D' U2 L' F' U2 L'
R' F2 R U2 F' L' R
R' F2 R U2 F' R L'
U2 F2 R U2 F L' R
U2 F2 R U2 F R L'
F' D' B L D2 R2 B
U2 F2 R' U2 F L' R
U2 F2 R' U2 F R L'
U2 F2 R2 U2 F L' R
U2 F2 R2 U2 F R L'
R2 F2 R2 U2 F' L' R
R2 F2 R2 U2 F' R L'
R F2 R' U2 F' L' R
R F2 R' U2 F' R L'
R' F2 U2 R F' L' R
R' F2 U2 R F' R L'
F' D2 L D2 R2 B L
R' F2 U2 F' L' R F'
R' F2 U2 F' R L' F'
L' F2 U2 F' L' R F2
L' F2 U2 F' R L' F2
U2 F2 U2 R F L' R
U2 F2 U2 R F R L'
U2 F2 U2 R' F L' R
U2 F2 U2 R' F R L'
U2 F2 U2 R2 F L' R
U2 F2 U2 R2 F R L'
U2 F2 U2 F L' R D
U2 F2 U2 F L' R D'
U2 F2 U2 F L' R D2
U2 F2 U2 F L' D R
U2 F2 U2 F L' D' R
U2 F2 U2 F L' D2 R
U2 F2 U2 F R L' D
U2 F2 U2 F R L' D'
U2 F2 U2 F R L' D2
U2 F2 U2 F R D L'
U2 F2 U2 F R D' L'
U2 F2 U2 F R D2 L'
U2 F2 U2 F D L' R
U2 F2 U2 F D R L'
U2 F2 U2 F D' L' R
U2 F2 U2 F D' R L'
U2 F2 U2 F D2 L' R
U2 F2 U2 F D2 R L'
L2 F2 U2 F' L' R F2
L2 F2 U2 F' R L' F2
B D2 L F R F2 B2
B D2 L F R B2 F2
B D2 L F B2 R F2
R2 F2 U2 R2 F' L' R
R2 F2 U2 R2 F' R L'
B D2 L B2 F R F2
B D2 L' F' L2 B2 R'
L F2 U2 F' L' R F2
L F2 U2 F' R L' F2
F2 D2 L2 B' L R' U2
F2 D2 L2 B' R' L U2
R2 F2 D2 B U2 L R'
R2 F2 D2 B U2 R' L
F' D2 R2 B L D2 R2
U2 F2 B' U2 R' F L'
U2 F2 B' U2 F L' R'
U2 F2 B' U2 F R' L'
D2 B L F B R F2
D2 B L B F R F2
F' D2 U2 L' F' U2 L'
R F2 B' R' U2 F' R
U2 B L F2 U2 F L'
B2 D2 F L' R F2 B2
B2 D2 F L' R B2 F2
B2 D2 F L' B2 R F2
B2 D2 F R L' F2 B2
B2 D2 F R L' B2 F2
B2 D2 F R B2 L' F2
B' D2 F B2 L R F2
B' D2 F B2 R L F2
B' D2 F B2 R F2 L
F2 D2 F R2 B L R'
F2 D2 F R2 B R' L
B' D2 F' L2 B2 L R'
B' D2 F' L2 B2 R' L
B2 D2 F B2 L' R F2
B2 D2 F B2 R L' F2
B D2 F L R F2 B2
B D2 F L R B2 F2
B D2 F L B2 R F2
B D2 F R L F2 B2
B D2 F R L B2 F2
B D2 F R F2 L B2
B' D2 F' B2 L D2 R2
B D2 F' L B2 D2 R2
B D2 F' L2 B2 L' R'
B D2 F' L2 B2 R' L'
F' D2 B L D2 R2 B
F2 D2 B U2 R' F L
F2 D2 B U2 F L R'
F2 D2 B U2 F R' L
B' D2 B2 L F R F2
B' D2 B2 F L R F2
B' D2 B2 F R L F2
B' D2 B2 F R F2 L
B' D2 B2 F' L D2 R2
B2 D2 B2 F L' R F2
B2 D2 B2 F R L' F2
F' B L R2 D2 B R2
F' B L R2 B D2 R2
F' B L U2 L2 F' U2
F' B L U2 F' L2 U2
F' B L D2 R2 D B
F' B L D2 R2 D' B
F' B L D2 R2 D2 B
F' B L D2 R2 B D
F' B L D2 R2 B D'
F' B L D2 R2 B D2
F' B L D2 B R2 B
F' B L D2 B' R2 B
F' B L D2 B2 R2 B
F' B L B D2 R2 B
F' B L B' D2 R2 B
F' B L B2 D2 R2 B
F' B L' F' U2 F L2
B2 F L2 R F2 B' L
B2 F L2 R B' L F2
B2 F L2 R B' F2 L
B2 F L2 B' L R F2
B2 F L2 B' R L F2
B2 F L2 B' R F2 L
B F L2 R B' L' F2
B2 F R L2 F2 B' L
B2 F R L2 B' L F2
B2 F R L2 B' F2 L
F B L2 R B' L' F2
B' F R' U2 F2 R2 B
B F L2 B' L' R F2
B F L2 B' R L' F2
B' F R' F U2 R2 F
B' F R' F U2 F R2
D2 B F L B R F2
B F R L2 B' L' F2
F B L2 B' L' R F2
F B L2 B' R L' F2
U2 B D2 F' B2 L' R'
U2 B D2 F' B2 R' L'
F B R L2 B' L' F2
F' B R2 L D2 B R2
F' B R2 L B D2 R2
D2 B F' L D2 B R2
U2 B D2 B2 F' L' R'
U2 B D2 B2 F' R' L'
D2 B F' L B D2 R2
L' B F' L D2 R2 B
B F R' F2 L R2 B
B F R' F2 R2 L B
L2 B F' L D2 R2 B
U2 B F' L' D2 R2 B
F B R' F2 L R2 B
F B R' F2 R2 L B
R2 B F' L' F' U2 L2
L B F' L D2 R2 B
F' B U2 L' F' U2 L2
F2 B U2 F L D2 R2
F2 B U2 F' L R F2
F2 B U2 F' R L F2
F2 B U2 F' R F2 L
F' B D L D2 R2 B
F' B D' L D2 R2 B
F' B D2 L D2 R2 B
B' F' L' F' R' U2 F
B F' L R2 D2 B R2
B F' L R2 B D2 R2
B F' L U2 L2 F' U2
B F' L U2 F' L2 U2
F' B' L' F' R' U2 F
B F' L D2 R2 D B
B F' L D2 R2 D' B
B F' L D2 R2 D2 B
B F' L D2 R2 B D
B F' L D2 R2 B D'
B F' L D2 R2 B D2
B F' L D2 B R2 B
B F' L D2 B' R2 B
B F' L D2 B2 R2 B
B F' L B D2 R2 B
B F' L B' D2 R2 B
B F' L B2 D2 R2 B
B F' L' F' U2 F L2
F2 B' R' U2 F' R F2
F B' R' U2 F2 R2 B
B F' R2 L D2 B R2
B F' R2 L B D2 R2
F B' R' F U2 R2 F
F B' R' F U2 F R2
U2 B' D2 F' L' R' B2
U2 B' D2 F' R' L' B2
U2 B' D2 F' R' B2 L'
B' F' U2 L' F' R' U2
F' B' U2 L' F' R' U2
U2 B' F' L' R2 B R
U2 B' F' R2 L' B R
U2 B' F' R2 B L' R
U2 B' F' R2 B R L'
B F' U2 L' F' U2 L2
U2 B' F2 U2 R' F L'
U2 B' F2 U2 F L' R'
U2 B' F2 U2 F R' L'
B F' D L D2 R2 B
B F' D' L D2 R2 B
R B' F2 R' U2 F' R
B F' D2 L D2 R2 B
B' F2 R' U2 F' R F2
F B2 L2 R F2 B' L
F B2 L2 R B' L F2
F B2 L2 R B' F2 L
F B2 L2 B' L R F2
F B2 L2 B' R L F2
F B2 L2 B' R F2 L
F B2 R L2 F2 B' L
F B2 R L2 B' L F2
F B2 R L2 B' F2 L
D2 B2 D2 F L' R F2
D2 B2 D2 F R L' F2
U2 B2 D2 F' L' R B2
U2 B2 D2 F' L' B2 R
U2 B2 D2 F' R L' B2
U2 B2 D2 F' R B2 L'
B F2 U2 F L D2 R2
U2 B2 D2 F' B2 L' R
U2 B2 D2 F' B2 R L'
B F2 U2 F' L R F2
B F2 U2 F' R L F2
B F2 U2 F' R F2 L
U2 B2 D2 B2 F' L' R
U2 B2 D2 B2 F' R L'
U2 B2 F' L' R2 B R'
U2 B2 F' R2 L' B R'
U2 B2 F' R2 B L' R'
U2 B2 F' R2 B R' L'
