B2 U L2 B' L R'
B2 U L2 B' R' L
B U L2 B' L' R'
B U L2 B' R' L'
B' U' R' F U2 R
B' U' F R' U2 R2
B U' F U2 L R
B U' F U2 R L
B' U' F R' U2 R2 D
B' U' F R' U2 R2 D'
B' U' F R' U2 R2 D2
B' U' F R' D2 L2 U2
B' U' F U2 R D2 L2
B' U' F D R' U2 R2
B' U' F D' R' U2 R2
B U' D2 F U2 L R
B U' D2 F U2 R L
B' U' F D2 R' U2 R2
B' U' F' L' R' F2 U2
B' U' F' L' F2 R' U2
B U' F L' U2 L2 R
B U' F L' U2 R L2
B U' F L2 U2 L' R
B U' F L2 U2 R L'
B' U' F' R' L' F2 U2
B' U' F' R' F2 U2 R
B U' F R' U2 L R2
B U' F R' U2 R2 L
F2 U' F' L' U' B' U'
B U' F R2 U2 L R'
B U' F R2 U2 R' L
B U' F U2 L R D
B U' F U2 L R D'
B U' F U2 L R D2
B U' F U2 L D R
B U' F U2 L D' R
B U' F U2 L D2 R
B U' F U2 R L D
B U' F U2 R L D'
B U' F U2 R L D2
B U' F U2 R D L
B U' F U2 R D' L
B U' F U2 R D2 L
B U' F U2 D L R
B U' F U2 D R L
B U' F U2 D' L R
B U' F U2 D' R L
B U' F U2 D2 L R
B U' F U2 D2 R L
B U' F D U2 L R
B U' F D U2 R L
B U' F D' U2 L R
B U' F D' U2 R L
B U' F D2 U2 L R
B U' F D2 U2 R L
B U' F' L' F2 U2 L2
U' F L' U' B' U' R
U' F U B U L R
U' F U B U R L
U' F U2 R U B U'
B' D U' R' F U2 R
B' D U' F R' U2 R2
B D U L2 B' L' R'
B D U L2 B' R' L'
U' F' L' F2 U' B' U'
B D U' F U2 L R
B D U' F U2 R L
B' D' U' R' F U2 R
B' D' U' F R' U2 R2
B D' U L2 B' L' R'
B D' U L2 B' R' L'
B D' U' F U2 L R
B D' U' F U2 R L
U2 F2 U F' L' R U2
U2 F2 U F' R L' U2
B' D2 U' R' F U2 R
B' D2 U' F R' U2 R2
B D2 U L2 B' L' R'
B D2 U L2 B' R' L'
B2 D2 U' F U2 L' R
B2 D2 U' F U2 R L'
B D2 U' F U2 L R
B D2 U' F U2 R L
L' B L' B2 U L2 B
L' B L' B2 U B L2
L B L' U L2 B' R'
D2 B U L2 B' L' R'
D2 B U L2 B' R' L'
D' B U L2 B' L' R'
D' B U L2 B' R' L'
D2 B U' F U2 L R
D2 B U' F U2 R L
D' B U' F U2 L R
D' B U' F U2 R L
D B U L2 B' L' R'
D B U L2 B' R' L'
D B U' F U2 L R
D B U' F U2 R L
L B U2 F U' L B'
L' B' L U' R' F U2
L' B' L U' F R' U2
F2 B U' F' L' U2 L2
L' B' L' U B2 L B
L' B' L' U' R' U2 B'
L' B' L2 U B2 L B'
L' B' U B2 D L B'
D2 B' U' R' F U2 R
D' B' U' R' F U2 R
D2 B' U' F R' U2 R2
D' B' U' F R' U2 R2
D B' U' R' F U2 R
D B' U' F R' U2 R2
F2 B' U' F' L' R' U2
F2 B' U' F' R' L' U2
L2 B2 L B' U L B2
L' B2 L' B U B2 L
D2 B2 U L2 B' L R'
D2 B2 U L2 B' R' L
D' B2 U L2 B' L R'
D' B2 U L2 B' R' L
D B2 U L2 B' L R'
D B2 U L2 B' R' L
B' F2 U' F' L' R' U2
B' F2 U' F' R' L' U2
B F2 U' F' L' U2 L2
