U' L2 U2 D' B' L
U' L2 D' U2 B' L
B' U' L2 R' U2 B'
B2 U' L2 U2 B' L
B U' L2 U2 B' L'
B' U' R' L2 U2 B'
B' U' R' F L2 U2
B' U' F L2 R' U2
B' U' F R' L2 U2
B U' F L2 U2 L'
D' B2 L2 U B' L
D' B2 U L2 B' L
D2 B' U' F R' U2 R'
F B' L2 R' U R U
F B' R' L2 U R U
B' F' U D2 B2 L R2
B' F' U D2 B2 R2 L
F' B' U D2 B2 L R2
F' B' U D2 B2 R2 L
B' F' U' L2 R' F2 U2
B' F' U' L2 F2 R' U2
B' F' U' R' L2 F2 U2
B' F' U' R' F2 L2 U2
F' B' U' L2 R' F2 U2
F' B' U' L2 F2 R' U2
B F' U L D2 B2 R'
B' F' U' F2 L2 R' U2
F' B' U' R' L2 F2 U2
B' F' U' F2 R' L2 U2
F' B' U' R' F2 L2 U2
F2 B' U' L2 F' R' U2
B F' U D2 L R2 B2
F' B' U' F2 L2 R' U2
B F' U D2 L B2 R2
F' B' U' F2 R' L2 U2
B F' U D2 R2 L B2
F2 B' U' F' L2 R' U2
F2 B' U' F' R' L2 U2
B F' U' L2 F2 R U2
B F' U' F2 L2 U2 L'
D' B2 L U L B' L
D' B2 L U B' L B'
B' F' D' L2 B2 U L
F' B' D' L2 B2 U L
B' F' D' B2 L2 U L'
F' B' D' B2 L2 U L'
B' F' D2 U B2 L R2
B' F' D2 U B2 R2 L
D2 B2 L2 U R2 B' L
D2 B2 L2 U B' L R2
D2 B2 L2 U B' R2 L
B F' D' L2 B2 U L'
F' B' D2 U B2 L R2
F' B' D2 U B2 R2 L
D' B2 L2 U B' L D
D' B2 L2 U B' L D'
D' B2 L2 U B' L D2
D' B2 L2 U B' D L
D' B2 L2 U B' D' L
D' B2 L2 U B' D2 L
L B2 L U R' B' L
D' B2 L2 F U B' L
D' B2 L2 F' U B' L
D' B2 L2 F2 U B' L
B F' D2 U L R2 B2
B F' D2 U L B2 R2
B F' D2 U R2 L B2
D2 B2 U L2 R2 B' L
D2 B2 U L2 B' L R2
D2 B2 U L2 B' R2 L
D' B2 U L B' L B'
D2 B2 U R2 L2 B' L
D' B2 U L2 B' L D
D' B2 U L2 B' L D'
D' B2 U L2 B' L D2
D' B2 U L2 B' D L
D' B2 U L2 B' D' L
D' B2 U L2 B' D2 L
D' B2 U B' L2 B' L'
D' B2 U' D2 F U2 L'
L B2 U L R' B' L
L B2 U R' L B' L
L B2 U R' B' L B'
B' F2 U' L2 F' R' U2
B' F2 U' F' L2 R' U2
B' F2 U' F' R' L2 U2
B F2 U D2 L R2 B
B F2 U D2 R2 L B
D' B2 D2 U' F U2 L'
B F2 U' F' L2 U2 L'
B F2 D2 U L R2 B
B F2 D2 U R2 L B
