D2 L2 R F U' L2
D2 R L2 F U' L2
U R U2 R B' U
U R U2 B' R U
R U' R B' U B
F2 R2 B' L' U L
U' R2 B2 L B U
B R2 B2 L U L'
D2 U L2 R F U'
D2 U R L2 F U'
F2 U' R2 B' L' U
B U' R2 B2 L U
U D2 L2 R F U'
F2 U' B' L' R2 U
F2 U' B' R2 L' U
U D2 R L2 F U'
D' F2 U' B' L' U
U' B R2 B2 L U
U' B' R2 U2 R' U'
F2 B' L' R2 U L
F2 B' R2 L' U L
R2 B2 L B U L'
B' F2 L' R2 U L
B' F2 R2 L' U L
U R D U2 R B' U
U R D U2 B' R U
U R D' U2 R B' U
U R D' U2 B' R U
D2 R F L2 F U' L2
B R D2 F2 L' U' L
U R D2 U2 R B' U
U R D2 U2 B' R U
U R F L2 F L' U'
D2 R F' L2 F U' L2
D2 R F2 L2 F U' L2
U R F' U2 B' R' U
D' R F2 U' B' U B
R U' R D B' U B
R U' R D' B' U B
R U' R D2 B' U B
U R F2 L2 F L U'
R U' R B' L U B
R U' R B' L' U B
R U' R B' L2 U B
R U' R B' U D B
R U' R B' U D' B
R U' R B' U D2 B
R U' R B' U B D
R U' R B' U B D'
R U' R B' U B D2
R U' R B' D U B
R U' R B' D' U B
R U' R B' D2 U B
R' U' R' B2 L B U
U' R B R B2 L U
U' R B' R U2 R' U'
F2 R B' L' R U L
F2 R B' R L' U L
R' U' D R' B' U B'
R U' D R B' U B
R' U' D2 R' B' L2 U
R U' D' R B' U B
R U' D2 R B' U B
D2 R' L2 F R2 U' L2
D2 R' U L2 R2 F U'
D2 R' U L2 F R2 U'
D2 R' U R2 L2 F U'
F2 R' U' R' B' L' U
B R' U' R' B2 L U
R U' B R B2 U B
U' R' D R' B' U B'
B' R' D2 L2 R' U L2
B' R' D2 R' L2 U L2
U' R' D2 R' B' L2 U
F' R2 L U L' B' R'
B' R2 L U2 R' U' L'
U' R2 L U2 R' F' U'
B' R2 L' U2 R' U' L
B R2 L B2 L U L2
U' R2 L' B2 L B' U
B' R2 L2 U2 R' U' L2
U' R2 L2 U2 R' F U'
U' R2 L2 U2 F R' U'
D2 R2 L2 F R' U' L2
D2 R2 U L2 R' F U'
D2 R2 U L2 F R' U'
D2 R2 U R' L2 F U'
B R2 L2 B2 L U L
B2 R2 U F' R' U' F
B' R2 U2 R' U R U2
U' R2 U2 R' U2 B' U
R U2 B R B2 U L
R U2 B' R U' R' U2
U' R2 D B2 L B U
F2 R2 D B' L' U L
U' R2 D' B2 L B U
F2 R2 D' B' L' U L
U' R2 D2 B2 L B U
F2 R2 D2 B' L' U L
F R2 D2 B' L U L'
B R2 F B2 L U L'
F' R2 F' B' L' U L
F R2 F B' L' U L
B R2 F' B2 L U L'
B R2 F2 B2 L U L'
F' R2 B' L U L' B'
F2 R2 B' L' U L D
F2 R2 B' L' U L D'
F2 R2 B' L' U L D2
F2 R2 B' L' U D L
F2 R2 B' L' U D' L
F2 R2 B' L' U D2 L
F2 R2 B' L' D U L
F2 R2 B' L' D' U L
F2 R2 B' L' D2 U L
F2 R2 B' L' F U L
F2 R2 B' L' F' U L
F2 R2 B' L' F2 U L
U' R2 B' D L U B'
F' R2 B' F' L' U L
F2 R2 B' D L' U L
U' R2 B2 L D B U
U' R2 B2 L D' B U
U' R2 B2 L D2 B U
F2 R2 B' D' L' U L
U' R2 B2 L B U D
U' R2 B2 L B U D'
U' R2 B2 L B U D2
U' R2 B2 L B D U
U' R2 B2 L B D' U
U' R2 B2 L B D2 U
B' R2 B2 L B2 U L'
U' R2 B2 L' B L2 U
F2 R2 B' D2 L' U L
U' R2 B2 L2 B L' U
R' D U' R' B' U B'
U' R2 B2 D L B U
U' R2 B2 D' L B U
U' R2 B2 D2 L B U
B R2 B2 L U L' D
B R2 B2 L U L' D'
B R2 B2 L U L' D2
B R2 B2 L U D L'
B R2 B2 L U D' L'
B R2 B2 L U D2 L'
B R2 B2 L D U L'
B R2 B2 L D' U L'
B R2 B2 L D2 U L'
U R2 B' U2 B R' U'
F R2 B' F L' U L
B R2 B2 D L U L'
B R2 B2 D' L U L'
B R2 B2 D2 L U L'
B R2 B2 F L U L'
B R2 B2 F' L U L'
B R2 B2 F2 L U L'
R D U' R B' U B
D' U L2 R F U' F
D2 U L2 R D F U'
D2 U L2 R D' F U'
D2 U L2 R D2 F U'
D2 U L2 R F U' D
D2 U L2 R F U' D'
D2 U L2 R F U' D2
D2 U L2 R F D U'
D2 U L2 R F D' U'
D2 U L2 R F D2 U'
D2 U L2 R' F R2 U'
D2 U L2 R2 F R' U'
D2 U L2 D R F U'
D2 U L2 D' R F U'
D2 U L2 D2 R F U'
D' U R L2 F U' F
D2 U R L2 D F U'
D2 U R L2 D' F U'
D2 U R L2 D2 F U'
D2 U R L2 F U' D
D2 U R L2 F U' D'
D2 U R L2 F U' D2
D2 U R L2 F D U'
D2 U R L2 F D' U'
D2 U R L2 F D2 U'
D' U R U2 B' U F2
B' U R U' R' D' F2
B' U R U2 R U R2
D' U R D' L2 F U'
D2 U R F L2 F U'
D2 U R F' L2 F U'
D2 U R F2 L2 F U'
B' U R F' U' R' F'
B' U R F2 L' U' R'
D2 U R' L2 F R2 U'
B U R U2 R B2 U
B U R U2 B2 R U
D U R D L2 F U'
B U R D2 F2 L' U'
U D R D L2 F U'
D2 U R2 L2 F R' U'
R2 D B2 L B U L'
B' U D' R U' R' F2
B' U D' R U' F2 R'
D2 U F' L2 F R U'
B' U D2 L2 R U' R'
B' U D2 R L2 U' R'
B U D' R U' R F2
B U D2 L2 R F2 U'
B U D2 R L2 F2 U'
B U D2 R F2 L2 U'
L2 D' R F B2 U' F
L2 D' R B2 F U' F
F2 U B' L' R2 F' U
F2 U B' R2 L' F' U
U D' L2 R F U' F
R D' U' R B' U B
B U' L R2 B2 L U
U D' R L2 F U' F
U D' R U2 B' U F2
B U' L' R2 B2 L U
U D' R D' L2 F U'
B U' L2 R2 B2 L U
F' U' R B' R U B2
F2 U' R B' L' R U
F2 U' R B' R L' U
B' U' R2 U2 R' U' R
F' U' R2 D B' L U
B2 U' R2 U2 F' R' U'
F2 U' R2 D B' L' U
F2 U' R2 D' B' L' U
F2 U' R2 D2 B' L' U
B U' R2 L B2 L U
F2 U' R2 B L' B2 U
B U' R2 L' B2 L U
F2 U' R2 B' L' U D
F2 U' R2 B' L' U D'
F2 U' R2 B' L' U D2
F2 U' R2 B' L' D U
F2 U' R2 B' L' D' U
F2 U' R2 B' L' D2 U
B U' R2 L2 B2 L U
F2 U' R2 B' D L' U
F2 U' R2 B' D' L' U
F2 U' R2 B' D2 L' U
F2 U' R2 B2 L' B U
L2 D' B2 R F U' F
R2 D' B2 L B U L'
B U' R2 B2 L U D
B U' R2 B2 L U D'
B U' R2 B2 L U D2
B U' R2 B2 L D U
B U' R2 B2 L D' U
B U' R2 B2 L D2 U
F U' R2 D2 B' L U
B U' R2 B2 D L U
B U' R2 B2 D' L U
B U' R2 B2 D2 L U
U' D' B' U2 R U' F2
D' U' B' U2 R U' F2
F2 U' D' B' L' U F2
D2 U' B' U2 L2 R U'
D2 U' B' U2 R L2 U'
L' D2 R F' L2 U' L'
R' D2 R' B' L2 U L2
F2 U' B L' R2 B2 U
F2 U' B L' B2 R2 U
B2 U' B R2 U2 R' U'
F2 U' B R2 L' B2 U
F2 U' B R2 B2 L' U
F2 U' B' L' R2 U D
F2 U' B' L' R2 U D'
F2 U' B' L' R2 U D2
F2 U' B' L' R2 D U
F2 U' B' L' R2 D' U
F2 U' B' L' R2 D2 U
F2 U' B' L' U D' F2
F2 U' B' L' D' U F2
U D2 L2 R D F U'
U D2 L2 R D' F U'
U D2 L2 R D2 F U'
U D2 L2 R F U' D
U D2 L2 R F U' D'
U D2 L2 R F U' D2
U D2 L2 R F D U'
U D2 L2 R F D' U'
U D2 L2 R F D2 U'
U D2 L2 R' F R2 U'
U D2 L2 R2 F R' U'
B2 U' B' R2 B2 L U
F2 U' B' R2 L' U D
F2 U' B' R2 L' U D'
F2 U' B' R2 L' U D2
F2 U' B' R2 L' D U
F2 U' B' R2 L' D' U
F2 U' B' R2 L' D2 U
F2 U' B' R2 D L' U
F2 U' B' R2 D' L' U
F2 U' B' R2 D2 L' U
U D2 L2 D R F U'
U D2 L2 D' R F U'
U D2 L2 D2 R F U'
F2 U' B' D' L' U F2
R' D2 U' R' B' L2 U
F2 U' B2 L' B R2 U
U D2 R L2 D F U'
U D2 R L2 D' F U'
U D2 R L2 D2 F U'
U D2 R L2 F U' D
U D2 R L2 F U' D'
U D2 R L2 F U' D2
U D2 R L2 F D U'
U D2 R L2 F D' U'
U D2 R L2 F D2 U'
U D2 R F L2 F U'
U D2 R F' L2 F U'
U D2 R F2 L2 F U'
B U' B2 R2 U2 R' U'
U D2 R' L2 F R2 U'
R D2 U' R B' U B
U D2 R2 L2 F R' U'
U D2 F' L2 F R U'
U' D2 B' U2 L2 R U'
U' D2 B' U2 R L2 U'
R2 D2 B2 L B U L'
R F L2 F L' U' L'
F D R' B D' R2 F'
R2 F B2 L B U L'
D2 F' L2 F R U' L2
U F' D2 L2 F R U'
B D' R' F2 D R' B2
B' D' U R U' R' F2
B' D' U R U' F2 R'
B D' R2 U R' U' F2
B D' R2 F2 U R' U'
R2 F' B2 L B U L'
B D' U R U' R F2
U F' B' R2 F' L' U
F2 D' U' B' L' U F2
L2 F2 L' R2 B U L'
D' F2 R U' B' L' U
D' F2 R' U' B' L' U
B2 D' F2 U' L' B U
B2 D' F2 U' B L' U
R F2 L2 F L U' L
B D' F2 R2 U' L' U
D' F2 R2 U' B' L' U
B D' F2 U' L' U R2
U' F2 R2 B' L' F2 U
L2 F2 R2 L' B U L'
F2 D' B' L' U L F2
F2 D' B' L' U F2 L
L2 F2 R2 B L' U L'
U2 F2 U R2 B' L' U
D' F2 U' D B' L' U
D' F2 U' D' B' L' U
D' F2 U' D2 B' L' U
U2 F2 U B' L' R2 U
U2 F2 U B' R2 L' U
D' F2 U' B L' B2 U
D' F2 U' B' L' U D
D' F2 U' B' L' U D'
D' F2 U' B' L' U D2
D' F2 U' B' L' D U
D' F2 U' B' L' D' U
D' F2 U' B' L' D2 U
D' F2 U' B' D L' U
D' F2 U' B' D' L' U
D' F2 U' B' D2 L' U
D' F2 U' B2 L' B U
D' F2 D U' B' L' U
F' D2 L2 F R U' L2
U F2 U2 R2 B' L' U
D' F2 D' U' B' L' U
U F2 U2 B' L' R2 U
U F2 U2 B' R2 L' U
B D2 L2 R F2 U' L2
D' F2 D2 U' B' L' U
B D2 R L2 F2 U' L2
D' F2 B U' L' B2 U
D' F2 B U' B2 L' U
U' F2 B' L' R2 F2 U
B D2 R F2 L2 U' L2
U' F2 B' L' F2 R2 U
U' F2 B' R2 L' F2 U
B D2 R' D R2 F2 B2
B D2 R' D R2 B2 F2
B D2 R' D F2 R2 B2
B D2 R' D F2 B2 R2
B D2 R' D B2 R2 F2
B D2 R' D B2 F2 R2
B' D2 U L2 R U' R'
B' D2 U R L2 U' R'
D' F2 B2 U' L' B U
D' F2 B2 U' B L' U
U' B L R2 B2 L U
R2 F2 B2 L B U L'
U F2 B' L' R2 F' U
B D2 U L2 R F2 U'
B D2 U R L2 F2 U'
B D2 U R F2 L2 U'
U F2 B' R2 L' F' U
U' B L' R2 B2 L U
U' B L2 R2 B2 L U
U' B R2 L B2 L U
U' B R2 L' B2 L U
U' B R2 L2 B2 L U
U' B R2 B2 L U D
U' B R2 B2 L U D'
U' B R2 B2 L U D2
U' B R2 B2 L D U
U' B R2 B2 L D' U
U' B R2 B2 L D2 U
U' B R2 B2 D L U
U' B R2 B2 D' L U
U' B R2 B2 D2 L U
R B R B2 L U L'
U2 B U R2 B2 L U
R B U' R B2 U B2
R B U' B2 R U B2
R B U2 R B2 U L
B' F R2 F L' U L
F2 B R2 B2 L' U L
D' B F2 U' L' B2 U
D' B F2 U' B2 L' U
U' B' L R2 U2 R' U'
R B D2 F2 L' U' L
F2 B U' L' R2 B2 U
F2 B U' L' B2 R2 U
U' B' L' R2 U2 R' U'
F2 B U' R2 L' B2 U
F2 B U' R2 B2 L' U
F2 B U' B2 L' R2 U
F2 B U' B2 R2 L' U
U' B' L2 R2 U2 R' U'
R2 B' L' U D L B'
R2 B' L' D U L B'
U' B' R' D R' U B2
U' B' R' D2 L2 R' U
U' B' R' D2 R' L2 U
U' B' R2 L U2 R' U'
U' B' R2 L' U2 R' U'
U' B' R2 L2 U2 R' U'
B' F' L R2 U L' B'
U' B' R2 U2 R' U' D
U' B' R2 U2 R' U' D'
U' B' R2 U2 R' U' D2
U' B' R2 U2 R' D U'
U' B' R2 U2 R' D' U'
U' B' R2 U2 R' D2 U'
U' B' R2 U2 D R' U'
U' B' R2 U2 D' R' U'
U' B' R2 U2 D2 R' U'
U' B' R2 D U2 R' U'
U' B' R2 D' U2 R' U'
U' B' R2 D2 U2 R' U'
F' B' L R2 U L' B'
U' B' R2 B2 L B2 U
D2 B' U L2 R U' R'
D2 B' U R L2 U' R'
D' B' U R U' R' F2
D' B' U R U' F2 R'
F2 B' L' R2 U L D
F2 B' L' R2 U L D'
F2 B' L' R2 U L D2
F2 B' L' R2 U D L
F2 B' L' R2 U D' L
F2 B' L' R2 U D2 L
F2 B' L' R2 D U L
F2 B' L' R2 D' U L
F2 B' L' R2 D2 U L
F2 B' L' R2 F U L
F2 B' L' R2 F' U L
F2 B' L' R2 F2 U L
F2 B' L' U L D' F2
F2 B' L' U D' L F2
F2 B' L' U D' F2 L
F2 B' L' D' U L F2
F2 B' L' D' U F2 L
F2 B' L' F R2 U L
F2 B' L' F' R2 U L
F2 B' L' F2 R2 U L
U' B' U2 R U2 R U
U B' R2 F' U2 R' U'
U' B' U2 D' R U' F2
U' B' U2 D2 L2 R U'
U' B' U2 D2 R L2 U'
B' F' R2 L U L' B'
U' B' D' U2 R U' F2
F' B' R2 L U L' B'
R2 B' D L U B' L'
B' F' R2 F' L' U L
F2 B' R2 L' U L D
F2 B' R2 L' U L D'
F2 B' R2 L' U L D2
F2 B' R2 L' U D L
F2 B' R2 L' U D' L
F2 B' R2 L' U D2 L
F2 B' R2 L' D U L
F2 B' R2 L' D' U L
F2 B' R2 L' D2 U L
F2 B' R2 L' F U L
F2 B' R2 L' F' U L
F2 B' R2 L' F2 U L
F' B' R2 F' L' U L
F2 B' R2 D L' U L
F2 B' R2 D' L' U L
F2 B' R2 D2 L' U L
U' B' D2 U2 L2 R U'
U' B' D2 U2 R L2 U'
F B' R2 F L' U L
R2 B' D2 F L' U L
U' B' F2 L' R2 F2 U
U' B' F2 L' F2 R2 U
U' B' F2 R2 L' F2 U
U B' F' R2 F' L' U
F2 B' D' L' U L F2
F2 B' D' L' U F2 L
U B' F2 L' R2 F' U
U B' F2 R2 L' F' U
R2 B2 L D B U L'
R2 B2 L D' B U L'
R2 B2 L D2 B U L'
R2 B2 L B U L' D
R2 B2 L B U L' D'
R2 B2 L B U L' D2
R2 B2 L B U D L'
R2 B2 L B U D' L'
R2 B2 L B U D2 L'
R2 B2 L B D U L'
R2 B2 L B D' U L'
R2 B2 L B D2 U L'
B' F2 L' R2 U L D
B' F2 L' R2 U L D'
B' F2 L' R2 U L D2
B' F2 L' R2 U D L
B' F2 L' R2 U D' L
B' F2 L' R2 U D2 L
B' F2 L' R2 D U L
B' F2 L' R2 D' U L
B' F2 L' R2 D2 U L
B' F2 L' R2 F U L
B' F2 L' R2 F' U L
B' F2 L' R2 F2 U L
B' F2 L' U L D' F2
B' F2 L' U D' L F2
B' F2 L' U D' F2 L
B' F2 L' D' U L F2
B' F2 L' D' U F2 L
B' F2 L' F R2 U L
B' F2 L' F' R2 U L
B' F2 L' F2 R2 U L
R2 B2 L2 B L' U L'
U' B2 R2 U2 F' R' U'
R' B2 R2 F' L U' L'
R' B2 U L R2 F' U'
R' B2 U R2 L F' U'
R' B2 U R2 F' L U'
B' F2 R2 L' U L D
B' F2 R2 L' U L D'
B' F2 R2 L' U L D2
B' F2 R2 L' U D L
B' F2 R2 L' U D' L
B' F2 R2 L' U D2 L
B' F2 R2 L' D U L
B' F2 R2 L' D' U L
B' F2 R2 L' D2 U L
B' F2 R2 L' F U L
B' F2 R2 L' F' U L
B' F2 R2 L' F2 U L
B' F2 R2 D L' U L
B' F2 R2 D' L' U L
B' F2 R2 D2 L' U L
B F2 R2 B2 L' U L
B2 F2 U' L' B R2 U
F2 B2 U' L' B R2 U
R2 B2 D L B U L'
R B2 U' B R U B'
B2 F2 U' B L' R2 U
B2 F2 U' B R2 L' U
F2 B2 U' B L' R2 U
F2 B2 U' B R2 L' U
B F2 U' L' R2 B2 U
B F2 U' L' B2 R2 U
B F2 U' R2 L' B2 U
B F2 U' R2 B2 L' U
R2 B2 D' L B U L'
B F2 U' B2 L' R2 U
B F2 U' B2 R2 L' U
B' F2 D' L' U L F2
B' F2 D' L' U F2 L
R2 B2 D2 L B U L'
R2 B2 F L B U L'
D' B2 F2 U' L' B U
D' B2 F2 U' B L' U
R2 B2 F' L B U L'
R2 B2 F2 L B U L'
