R2 B L U F
B L R U F R
L R U F R B
R L U F R B
B L R2 B U F
B L U F D R2
B L U2 F' U' F2
B R L U F R
B R2 L B U F
D2 R2 B L U F
D' R2 B L U F
D R2 B L U F
R2 D B L U F
R2 D' B L U F
R2 D2 B L U F
B' U2 F' R' U' F'
R2 B L R U F
R2 B L R' U F
R2 B L R2 U F
R2 B L U D F
R2 B L U D' F
R2 B L U D2 F
R2 B L U F D
R2 B L U F D'
R2 B L U F D2
R2 B L D U F
R2 B L D U F
R2 B L D' U F
R2 B L D2 U F
R2 B R L U F
R B L U F R
R2 B R' L U F
R2 B R2 L U F
R2 B D L U F
R2 B D' L U F
R2 B D2 L U F
R2 B R L D' U F
R2 B R L D2 U F
D B R L U F R
R2 B R D L U F
R2 B R D' L U F
R2 B R D2 L U F
R' B R2 L U F R
D2 B R2 L B U F
D' B R2 L B U F
R2 B R' L U D F
R2 B R' L U D' F
R2 B R' L U D2 F
R2 B R' L U F D
R2 B R' L U F D'
R2 B R' L U F D2
R2 B R' L D U F
R2 B R' L D' U F
R2 B R' L D2 U F
R B R L B U F
R2 B R' D L U F
R2 B R' D' L U F
R2 B R' D2 L U F
R2 B R2 L U D F
R2 B R2 L U D' F
R2 B R2 L U D2 F
R2 B R2 L U F D
R2 B R2 L U F D'
R2 B R2 L U F D2
R2 B R2 L D U F
R2 B R2 L D' U F
R2 B R2 L D2 U F
D B R2 L B U F
R2 B R2 D L U F
R2 B R2 D' L U F
R2 B R2 D2 L U F
L' B D' L R2 B U
R2 B D L R U F
R2 B D L R' U F
R2 B D L R2 U F
R2 B D L U D F
R2 B D L U D' F
R2 B D L U D2 F
R2 B D L U F D
R2 B D L U F D'
R2 B D L U F D2
R2 B D L D U F
R2 B D L D' U F
R2 B D L D2 U F
R2 B D R L U F
L' B D' R2 L B U
R2 B D R' L U F
R2 B D R2 L U F
R' B D2 L B' U F
R2 B D' L R U F
R2 B D' L R' U F
R2 B D' L R2 U F
R2 B D' L U D F
R2 B D' L U D' F
R2 B D' L U D2 F
R2 B D' L U F D
R2 B D' L U F D'
R2 B D' L U F D2
R2 B D' L D U F
R2 B D' L D' U F
R2 B D' L D2 U F
R2 B D' R L U F
R2 B D' R' L U F
R B D L U F R
R2 B D' R2 L U F
R2 B D2 L R U F
R2 B D2 L R' U F
R2 B D2 L R2 U F
R2 B D2 L U D F
R2 B D2 L U D' F
R2 B D2 L U D2 F
R2 B D2 L U F D
R2 B D2 L U F D'
R2 B D2 L U F D2
R2 B D2 L D U F
R2 B D2 L D' U F
R2 B D2 L D2 U F
R2 B D2 R L U F
R2 B D2 R' L U F
R B D' L U F R
R2 B D2 R2 L U F
R2 B F L F' U F2
R B D2 L U F R
R2 B F2 L F2 U F'
D2 B' U2 F' R' U' F'
D' B' U2 F' R' U' F'
L' B' U2 F' R' U' F
D B' U2 F' R' U' F'
L B' U2 F' R' U' F2
R2 B2 R B' L U F
R2 B2 R' B' L U F
R2 B2 R2 B' L U F
