L B R2 U L
R2 L U2 F' U' L'
U' L F B R2 U
F' L B R2 U L
D' L B U L F2
F2 L B R2 U L
D' L B U F2 L
U' L B R2 F U
U' L B R2 F U
F L B R2 U L
U' L B F R2 U
L R2 U2 F' U' L'
B R2 U D L B'
B R2 D U L B'
L D' B U L F2
L D' B U F2 L
L F B R2 U L
L F' B R2 U L
L F2 B R2 U L
L' B L2 R2 U L'
L2 B L' R2 U L2
L' B R2 L2 U L'
L2 B R2 L' U L2
L B R2 U L D
L B R2 U L D'
L B R2 U L D2
L B R2 U D L
L B R2 U D' L
L B R2 U D2 L
L B R2 D U L
L B R2 D' U L
L B R2 D2 U L
L B R2 F U L
L B R2 F' U L
L B R2 F2 U L
L B U L D' F2
L B U D' L F2
L B U D' F2 L
L B D' U L F2
L B D' U F2 L
L B F R2 U L
L B F' R2 U L
L B F2 R2 U L
L B2 R2 B' U L
F2 U' L F B R2 U
F2 U' L B R2 F U
F2 U' L B F R2 U
F U' L F B R2 U
F U' L B R2 F U
F U' L B F R2 U
L D' F B U F L
L D' F' B U L F'
L D' F' B U F' L
L' D' B U L F2 B
L' D' B U L B F2
L' D' B U F2 L B
L2 D' B L' U L2 F2
L2 D' B L' U F2 L2
L D' B R U L F2
L D' B R U F2 L
L D' B R' U L F2
L D' B R' U F2 L
L D' B R2 U L F2
L D' B R2 U F2 L
L D' B U L F2 D
L D' B U L F2 D'
L D' B U L F2 D2
L D' B U L' F2 L2
L D' B U F' L F'
L D' B U F2 L D
L D' B U F2 L D'
L D' B U F2 L D2
L D' B U F2 D L
L D' B U F2 D' L
L D' B U F2 D2 L
L D' B D R2 U L
L D' B F U F L
L D' B F' U L F'
L D' B F' U F' L
B' U' D' R2 F2 L' B'
R2 D2 L U2 F' U' L'
L D2 B U D L F2
L D2 B U D F2 L
L D2 B U2 L2 U' L'
L D2 B D U L F2
L D2 B D U F2 L
L D2 B D2 R2 U L
U' F L F B R2 U
U' F L B R2 F U
U' F L B F R2 U
L' F L2 B R2 U L
L F R2 U2 F' U' L'
L' F B L2 R2 U L'
L' F B R2 L2 U L'
L F D' B U L F2
L F D' B U F2 L
L F B R2 U L D
L F B R2 U L D'
L F B R2 U L D2
L F B R2 U D L
L F B R2 U D' L
L F B R2 U D2 L
L F B R2 D U L
L F B R2 D' U L
L F B R2 D2 U L
L F B R2 F U L
L F B R2 F' U L
L F B R2 F2 U L
L F B U L D' F2
L F B U D' L F2
L F B U D' F2 L
L F B D' U L F2
L F B D' U F2 L
B D U L D2 F2 B'
B D U L D2 B' F2
U' F' L F B R2 U
U' F' L B R2 F U
U' F' L B F R2 U
D' F' L B U L F'
D' F' L B U F' L
L F B2 R2 B' U L
U2 F' L B R2 U L2
L' F' L2 B R2 U L
L F' R2 U2 F' U' L'
F' D' L B U L F2
F' D' L B U F2 L
F2 D' L B U L F2
F2 D' L B U F2 L
F D' L B U L F2
F D' L B U F2 L
L' F' B L2 R2 U L'
L' F' B R2 L2 U L'
L F' D' B U L F2
L F' D' B U F2 L
B D' R' U L F2 B
B D' R' U L B F2
B D' R' U F2 L B
L F' B R2 U L D
L F' B R2 U L D'
L F' B R2 U L D2
L F' B R2 U D L
L F' B R2 U D' L
L F' B R2 U D2 L
L F' B R2 D U L
L F' B R2 D' U L
L F' B R2 D2 U L
L F' B R2 F U L
L F' B R2 F' U L
L F' B R2 F2 U L
L F' B U L D' F2
L F' B U D' L F2
L F' B U D' F2 L
B' D' U' R2 F2 L' B'
L F' B D' U L F2
L F' B D' U F2 L
U' F2 L F B R2 U
U' F2 L B R2 F U
U' F2 L B F R2 U
B D' U F2 D2 L B'
L F' B2 R2 B' U L
L' F2 L2 B R2 U L
D' F2 U' L F B U
D' F2 U' L B F U
L F2 R2 U2 F' U' L'
B2 D2 L2 R' F U' L'
B2 D2 L2 F R' U' L'
B2 D2 R' L2 F U' L'
L' F2 B L2 R2 U L'
L' F2 B R2 L2 U L'
L F2 D' B U L F2
L F2 D' B U F2 L
L F2 B R2 U L D
L F2 B R2 U L D'
L F2 B R2 U L D2
L F2 B R2 U D L
L F2 B R2 U D' L
L F2 B R2 U D2 L
L F2 B R2 D U L
L F2 B R2 D' U L
L F2 B R2 D2 U L
L F2 B R2 F U L
L F2 B R2 F' U L
L F2 B R2 F2 U L
L F2 B U L D' F2
L F2 B U D' L F2
L F2 B U D' F2 L
L F2 B D' U L F2
L F2 B D' U F2 L
L F2 B2 R2 B' U L
L2 B L' R2 U L2 D
L2 B L' R2 U L2 D'
L2 B L' R2 U L2 D2
L2 B L' R2 D F2 U
L2 B L' R2 F U L2
L2 B L' R2 F' U L2
L2 B L' R2 F2 U L2
L2 B L' U L2 D' F2
L' B L2 R2 U L' D
L' B L2 R2 U L' D'
L' B L2 R2 U L' D2
L' B L2 R2 U D L'
L' B L2 R2 U D' L'
L' B L2 R2 U D2 L'
L' B L2 R2 D U L'
L' B L2 R2 D' U L'
L' B L2 R2 D2 U L'
L' B L2 U L' D' F2
L' B L2 U D' L' F2
L2 B L' F R2 U L2
L2 B L' F' R2 U L2
L2 B L' F2 R2 U L2
L' B L2 D' U L' F2
L' B R2 L2 U L' D
L' B R2 L2 U L' D'
L' B R2 L2 U L' D2
L' B R2 L2 U D L'
L' B R2 L2 U D' L'
L' B R2 L2 U D2 L'
L' B R2 L2 D U L'
L' B R2 L2 D' U L'
L' B R2 L2 D2 U L'
L' B R2 U D' L B2
L B R D R U L
L B R D' R U L
L B R D2 R U L
L' B R2 D' U L B2
L B R F' U L F
L' B R2 F L2 U L'
L' B R2 F' L2 U L'
L2 B R2 L' U L2 D
L2 B R2 L' U L2 D'
L2 B R2 L' U L2 D2
L' B R2 F2 L2 U L'
L2 B R2 L' D F2 U
L2 B R2 L' F U L2
L2 B R2 L' F' U L2
L2 B R2 L' F2 U L2
L2 B R2 U L D' B2
L2 B R2 D L' U L2
L2 B R2 D' L' U L2
L2 B R2 D2 L' U L2
D2 B U D L F2 B'
D2 B U D L B' F2
D2 B U D F2 L B'
L B R' D R' U L
L B R' D' R' U L
L B R' D2 R' U L
L' B U D' L F2 B2
L' B U D' L B2 F2
L' B U D' F2 L B2
L B R' F R' U L
L B R' F' R' U L
D' B U F2 D L B'
L B R' F2 R' U L
L2 B U L D' F2 B2
L2 B U L D' B2 F2
L B R2 U L2 D L'
L B R2 U L2 D' L'
L B R2 U L2 D2 L'
L B R2 U D L D
L B R2 U D L D'
L B R2 U D L D2
L B R2 U D' L D
L B R2 U D' L D'
L B R2 U D' L D2
L B R2 U D2 L D
L B R2 U D2 L D'
L B R2 U D2 L D2
L B R2 U F L F'
L B R2 U F2 L F2
L B R2 U' R U2 L
L B R2 U' R' U2 L
L B R2 U' R2 U2 L
L B R2 D U L D
L B R2 D U L D'
L B R2 D U L D2
L B R2 D F U L
L B R2 D F' U L
L B R2 D F2 U L
L B R2 D' U L D
L B R2 D' U L D'
L B R2 D' U L D2
L B R2 D' F U L
L B R2 D' F' U L
L B R2 D' F2 U L
L B R2 D2 U L D
L B R2 D2 U L D'
L B R2 D2 U L D2
L B R2 D2 F U L
L B R2 D2 F' U L
L B R2 D2 F2 U L
L B R2 F U L D
L B R2 F U L D'
L B R2 F U L D2
L B R2 F U D L
L B R2 F U D' L
L B R2 F U D2 L
L B R2 F D U L
L B R2 F D' U L
L B R2 F D2 U L
L B R2 F' U L D
L B R2 F' U L D'
L B R2 F' U L D2
L B R2 F' U D L
L B R2 F' U D' L
L B R2 F' U D2 L
L B R2 F' D U L
L B R2 F' D' U L
L B R2 F' D2 U L
L B R2 F2 U L D
L B R2 F2 U L D'
L B R2 F2 U L D2
L B R2 F2 U D L
L B R2 F2 U D' L
L B R2 F2 U D2 L
L B R2 F2 D U L
L B R2 F2 D' U L
L B R2 F2 D2 U L
L B U L U' R2 U
L B U L D' F2 D
L B U L D' F2 D'
L B U L D' F2 D2
L B U L F D' F2
L B U L F' D' F2
L B U L F2 D' F2
L B U L2 D' L' F2
L B U D L D2 F2
L B U D' L F2 D
L B U D' L F2 D'
L B U D' L F2 D2
L B U D' L' F2 L2
L B U D' F' L F'
L B U D' F2 L D
L B U D' F2 L D'
L B U D' F2 L D2
L B U D' F2 D L
L B U D' F2 D' L
L B U D' F2 D2 L
L B U F L D' F2
L B U F D' L F2
L B U F D' F2 L
L B U F' L D' F2
L B U F' D' L F2
L B U F' D' F2 L
L B U F2 L D' F2
L B U F2 D' L F2
L B U F2 D' F2 L
D2 B D U L F2 B'
D2 B D U L B' F2
D' B D R2 U L B'
D2 B D U F2 L B'
L B U' D B2 R' U2
L' B D' U L F2 B2
L' B D' U L B2 F2
L' B D' U F2 L B2
L B U2 D2 L2 U' L'
L2 B D' L' U L2 F2
L2 B D' L' U F2 L2
L B D U L D2 F2
L B D U' B2 R' U2
L' B F L2 R2 U L'
L B D' R U L F2
L B D' R U F2 L
L B D' R' U L F2
L B D' R' U F2 L
L B D' R2 U L F2
L B D' R2 U F2 L
L' B F R2 L2 U L'
L B D' U L F2 D
L B D' U L F2 D'
L B D' U L F2 D2
L B D' U L' F2 L2
L B D' U F' L F'
L B D' U F2 L D
L B D' U F2 L D'
L B D' U F2 L D2
L B D' U F2 D L
L B D' U F2 D' L
L B D' U F2 D2 L
L B D' F U F L
L B D' F' U L F'
L B D' F' U F' L
F' B R2 U D L B'
F' B R2 D U L B'
L' B F' L2 R2 U L'
F2 B R2 U D L B'
L' B F' R2 L2 U L'
F2 B R2 D U L B'
L B D2 U2 L2 U' L'
L' B F2 L2 R2 U L'
B F R2 U D L B'
L' B F2 R2 L2 U L'
B F R2 D U L B'
L B F R2 U L D
L B F R2 U L D'
L B F R2 U L D2
L B F R2 U D L
L B F R2 U D' L
L B F R2 U D2 L
L B F R2 D U L
L B F R2 D' U L
L B F R2 D2 U L
L B F R2 F U L
L B F R2 F' U L
L B F R2 F2 U L
L B F U L D' F2
L B F U D' L F2
L B F U D' F2 L
F B R2 U D L B'
F B R2 D U L B'
L B F D' U L F2
L B F D' U F2 L
L B F' R2 U L D
L B F' R2 U L D'
L B F' R2 U L D2
L B F' R2 U D L
L B F' R2 U D' L
L B F' R2 U D2 L
L B F' R2 D U L
L B F' R2 D' U L
L B F' R2 D2 U L
L B F' R2 F U L
L B F' R2 F' U L
L B F' R2 F2 U L
L B F' U L D' F2
L B F' U D' L F2
L B F' U D' F2 L
L B F' D' U L F2
L B F' D' U F2 L
L B F2 R2 U L D
L B F2 R2 U L D'
L B F2 R2 U L D2
L B F2 R2 U D L
L B F2 R2 U D' L
L B F2 R2 U D2 L
L B F2 R2 D U L
L B F2 R2 D' U L
L B F2 R2 D2 U L
L B F2 R2 F U L
L B F2 R2 F' U L
L B F2 R2 F2 U L
L B F2 U L D' F2
L B F2 U D' L F2
L B F2 U D' F2 L
L B F2 D' U L F2
L B F2 D' U F2 L
L2 B' L' B2 R2 U L
L' B' L2 B2 R2 U L
L B' R2 F2 B2 U L'
L B' R2 B2 U' R U2
L B' R2 B2 F2 U L'
L B' U D' R2 F2 L'
L' B' D' R2 F2 L' B2
L' B' D' R2 F2 B2 L'
L' B' D' R2 B2 F2 L'
L' B' D' F2 B2 L R2
L' B' D' F2 B2 R2 L
L' B' D' B2 L R2 F2
L' B' D' B2 L F2 R2
L' B' D' B2 R2 L F2
L' B' D' B2 R2 F2 L
L' B' D' B2 F2 L R2
L' B' D' B2 F2 R2 L
B F' R2 U D L B'
B F' R2 D U L B'
L B' D' U R2 F2 L'
L' B2 R2 B' L2 U L'
L B2 R B' R U L
L2 B2 R2 B' L' U L2
L B2 R2 F B' U L
L B2 R2 F' B' U L
L B2 R2 F2 B' U L
L B2 R2 B' U L D
L B2 R2 B' U L D'
L B2 R2 B' U L D2
L B2 R2 B' U D L
L B2 R2 B' U D' L
L B2 R2 B' U D2 L
L B2 R2 B' D U L
L B2 R2 B' D' U L
L B2 R2 B' D2 U L
L B2 R2 B' F U L
L B2 R2 B' F' U L
L B2 R2 B' F2 U L
B F2 R2 U D L B'
B F2 R2 D U L B'
L B2 F R2 B' U L
L B2 F' R2 B' U L
L B2 F2 R2 B' U L
